time	cpep	cglcex	cg6p	cpyr	cf6p	cg1p	cpg	cfdp	csed7p	cgap	ce4p	cxyl5p	crib5p	cdhap	cpgp	cpg3	cpg2	cribu5p
0.0	2.67	2.0	3.48	2.67	0.6	0.653	0.808	0.272	0.276	0.218	0.098	0.138	0.398	0.167	0.008	2.13	0.399	0.111
1.0	1.9349430821898517	1.9720687645646668	4.414376079265883	4.085990946560061	0.7564628821461081	0.6630977374079495	0.8280576809434237	0.5534209485225592	0.31918191118152334	0.2681770306265493	0.11687673501578737	0.1724090364970415	0.4310398066843915	0.23944681890023967	0.0026693524593314547	1.5930400703717775	0.2944087818931295	0.12754431588047999
2.0	2.000732943199735	1.9576719653065093	4.56635891595605	4.30843712851386	0.7836125150040185	0.6755374478017048	0.8524414896633266	0.6376573308073504	0.33832763637480573	0.27818113801056366	0.12373757097326163	0.17681881536905797	0.47084586355537095	0.26157342946763057	0.0021140488436082816	1.6538465566854708	0.30503299934033196	0.1341910689557003
3.0	2.1897736598794304	1.9448606736173113	4.749155323542203	4.351282641993115	0.8155245668404417	0.6893457958224319	0.8773506592927598	0.5694725134712336	0.3681142187775848	0.26142897679342364	0.12150243059930615	0.17664844022457896	0.48480025395038157	0.24678176485803333	0.002003031452448624	1.8071754354996736	0.33354597832069505	0.13560656909284416
4.0	2.3755666054118736	1.9329574253460757	4.925403237323084	4.33175880165424	0.8459993592055921	0.7047460461508261	0.9029271451794438	0.49646005516930974	0.39804783277962685	0.24447951371279966	0.11815028622174305	0.17651763326637773	0.4896939217191191	0.22893058628991697	0.0019990749859107653	1.9550783522944901	0.3612908385480814	0.13586187329455818
5.0	2.535415283125785	1.9217225166645373	5.075024496298431	4.291778021354373	0.8717491137281795	0.7211409074774021	0.9284983981506144	0.45706254253473216	0.4218997175819106	0.23540670509865358	0.11667903644268951	0.17749958125346565	0.4938701669122909	0.21850362143439814	0.0020406607948424047	2.0820503442759066	0.38513292174374053	0.13634750910037816
6.0	2.674945238639366	1.910959788864901	5.196768213587667	4.250229914095033	0.8926356282567111	0.7378564256433349	0.9533599373679053	0.4504538096949245	0.4374778253942898	0.2349941726697785	0.11770281669416544	0.17988293865868524	0.5005354140124325	0.2164819250692705	0.0021134143484874304	2.193590519631643	0.4060170246072499	0.1375980029816312
7.0	2.8028843638218026	1.9005099050137861	5.29564786885805	4.214888905746208	0.909558735096641	0.7543777952274224	0.9770672929169912	0.46815142639496826	0.44559181243130486	0.24138369159462938	0.12076359225626959	0.18341820647101925	0.5100305249498935	0.2208777819759305	0.0022117782247062013	2.2967353622704514	0.42525683436067446	0.13961355054213787
8.0	2.9244173914172955	1.89025742631702	5.377267943829188	4.187784187624938	0.9235011956381199	0.7703602201338221	0.9994330703207916	0.5030806486148147	0.4482921113622585	0.2524532651216968	0.12519313901522006	0.18770696696036412	0.5215511808562634	0.22952843513807297	0.0023315518783853352	2.3953779406331335	0.4436025823560889	0.14217921132546407
9.0	3.0411644429106057	1.8801265470155977	5.446020293402636	4.168249794027729	0.9352271812448835	0.7855829288512093	1.0204388368971515	0.5507924023469661	0.44752907914651285	0.2666160811288502	0.13046807928200188	0.19242102487897011	0.5342169248039901	0.24088801266852047	0.002468810901465862	2.490578805715118	0.46127406064985177	0.14507553707215873
