time	Lys	AspP	Thr	ASA	Hser	PHser	TS1	Ile	Asp	AK1	AdoMet	AK2	AKHSDHI	AKHSDHII	ASADH	DHDPS1	DHDPS2	HSK	Phosphate	Cys	CGS	Cysta	TD	Val	LysTRNA	ThrTRNA	IleTRNA	LKR	Sacc	THA	Gly
14.85148514851485	23.478076744302673	0.502527568231966	0.8658542890738732	1.0652484860331175	1.3180439223293965	9.591011759852938	7.4	0.015873024345519945	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15.841584158415841	24.631427332892077	0.505313442436915	1.0034016115417301	1.0833548257061427	1.3454240357209886	10.395131232094489	7.4	0.01962350491257768	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16.831683168316832	25.746220234301674	0.5079293879801612	1.1513927838093316	1.100469114803074	1.3713051379194574	11.204060893765787	7.4	0.023919594702466414	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17.821782178217823	26.824487212653846	0.5103860410448621	1.3097894375035377	1.1166588363721703	1.3957937261120301	12.016741175259442	7.4	0.028795459950863304	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18.81188118811881	27.868105735332772	0.5126928060040874	1.4785391776628223	1.1319832948411128	1.418980643720323	12.83220257919869	7.4	0.0342843666161183	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19.801980198019802	28.878817270992577	0.5148581904678664	1.6575769897367225	1.1464955863718072	1.4409448459034404	13.649553979719292	7.4	0.040418644682038506	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20.792079207920793	29.85824211430232	0.5168900319028451	1.846826478100088	1.160243985559125	1.4617562865582943	14.467973502102476	7.4	0.047229659337436405	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21.78217821782178	30.807891604371385	0.5187956464267724	2.046200970525076	1.1732729105601332	1.4814780605071431	15.286701351817955	7.4	0.05474778822910648	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22.77227722772277	31.729178366974498	0.5205819237111676	2.2556045144668277	1.1856235908268395	1.5001679523091438	16.105034085050356	7.4	0.06300240412805604	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23.762376237623762	32.62342503528605	0.5222553859574701	2.4749327841252287	1.197334529835147	1.5178795324290644	16.922319931290364	7.4	0.07202186246544862	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24.752475247524753	33.491871790739616	0.5238222238882568	2.704073912792948	1.2084418296131512	1.5346629220858887	17.737954872888313	7.4	0.08183349323667524	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25.742574257425744	34.33568295422354	0.5252883182092776	2.942909259731547	1.2189794217745378	1.5505653169958336	18.551379280887197	7.4	0.0924635969249246	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26.73267326732673	35.15595282162817	0.5266592530638676	3.1913141200905373	1.2289792394570367	1.5656313470655705	19.362074948021643	7.4	0.10393744402619835	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27.722772277227723	35.953710878767964	0.5279403247989193	3.4491583833434163	1.238471349458931	1.579903323062944	20.169562418967033	7.4	0.11627927785729678	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28.712871287128714	36.72992649341893	0.5291365488545852	3.716307144467064	1.247484060331822	1.593421408182985	20.97339854766339	7.4	0.1295123203575645	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29.7029702970297	37.485513167857945	0.5302526660152145	3.9926212715991776	1.2560440150077996	1.6062237420219088	21.773174232217464	7.4	0.14365878059100512	1500.0	0.25	20.0	0.25	0.63	0.63	11.6	1.6	1.6	4.0	10000.0	15.0	0.7	0.0	0.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
