time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s119
0.0	1500000.0	2830000.0	117.2	3870.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9900990099009901	1500000.0	2830016.7697678576	106.19004869795923	4101.397693227476	0.0	0.14140236321408117	-0.19119105411063225	0.04978869089655106	518.5556427914739	2214.583877130563	-2970.297029702972	0.9900990099009901	-0.9900990099009901	0.0
1.9801980198019802	1500000.0	2830053.3089862913	109.20589664689342	4214.283488819899	0.0	0.4388562656880457	-0.7686878410387677	0.32983157535072216	1054.2844549968552	4496.7112326541865	-5940.594059405941	1.9801980198019802	-1.9801980198019802	0.0
2.9702970297029703	1500000.0	2830100.003228457	110.81292542044363	4274.3410625165725	0.0	0.790657627473145	-1.7267778573761612	0.936120229903016	1598.8486117582877	6814.085260958923	-8910.8910891089	2.9702970297029703	-2.9702970297029703	0.0
3.9603960396039604	1500000.0	2830151.4417363047	111.68640904503943	4306.9518127269075	0.0	1.1590586109261494	-3.0597942456905	1.9007356347643503	2148.0844841429403	9150.223676594715	-11881.188118811868	3.9603960396039604	-3.9603960396039604	0.0
4.9504950495049505	1500000.0	2830204.222060621	112.1879698182487	4325.658490690918	0.0	1.53008788155887	-4.762154525439725	3.232066643880852	2699.891463932709	11496.725163455252	-14851.485148514832	4.9504950495049505	-4.9504950495049505	0.0
5.9405940594059405	1500000.0	2830255.8922466845	112.51540156377105	4337.853601854308	0.0	1.8986072261684277	-6.828359336639116	4.929752110470685	3253.24575536984	13849.475172748163	-17821.782178217778	5.9405940594059405	-5.9405940594059405	0.0
6.930693069306931	1500000.0	2830304.4245351823	112.77930006944396	4347.665736582154	0.0	2.262759505205752	-9.252991202234595	6.990231697028841	3807.707366286526	16206.70226980433	-20792.079207920728	6.930693069306931	-6.930693069306931	0.0
7.920792079207921	1500000.0	2830347.9496228998	113.0432634540743	4357.466944856603	0.0	2.621905857348158	-12.030713308903787	9.408807451555624	4363.163253317598	18567.95315310054	-23762.376237623685	7.920792079207921	-7.920792079207921	0.0
8.910891089108912	1500000.0	2830384.6247877125	113.34526227302528	4368.672033194518	0.0	2.9758592945555717	-15.156268306010016	12.180409011454438	4919.68990824636	20933.54127590495	-26732.67326732664	8.910891089108912	-8.910891089108912	0.0
9.900990099009901	1500000.0	2830412.5722695366	113.7090846604738	4382.166026402907	0.0	3.3245999721484116	-18.624477122439895	15.29987715029148	5477.4781712139165	23304.244745220625	-29702.9702970296	9.900990099009903	-9.900990099009903	0.0
10.89108910891089	1500000.0	2830429.8545678426	114.15050233227343	4398.534247487293	0.0	3.6681694050997917	-22.430237801057654	18.762068395957854	6036.7910060907425	25681.137002984862	-32673.26732673255	10.89108910891089	-10.89108910891089	0.0
11.881188118811881	1500000.0	2830434.468875716	114.68061595749306	4418.187053958057	0.0	4.006631177334815	-26.56852435051283	22.56189317317801	6597.9389407170265	28065.48887009194	-35643.56435643553	11.881188118811881	-11.881188118811881	0.0
12.871287128712872	1500000.0	2830424.3511349508	115.30768936813669	4441.428172801374	0.0	4.340056356192916	-31.03438561414491	26.69432925795199	7161.265085745585	30458.709303278927	-38613.86138613851	12.871287128712872	-12.871287128712872	0.0
13.861386138613861	1500000.0	2830397.384637599	116.03817210549052	4468.492755964606	0.0	4.668518082791107	-35.82294415573008	31.154426072938964	7727.13543340666	32862.30741677277	-41584.15841584149	13.861386138613863	-13.861386138613863	0.0
14.85148514851485	1500000.0	2830351.410493839	116.87728386309365	4499.569100240453	0.0	4.992089572711296	-40.92939516181803	35.93730558910673	8295.93214945482	35277.866418153426	-44554.45544554446	14.85148514851485	-14.85148514851485	0.0
15.841584158415841	1500000.0	2830284.238568105	117.82936052601305	4534.811483815335	0.0	5.310843383733726	-46.34900536041711	41.03816197668338	8868.048642141577	37707.02442066578	-47524.75247524744	15.841584158415841	-15.841584158415841	0.0
16.831683168316832	1500000.0	2830193.6581713483	118.89806882308717	4574.348112196556	0.0	5.624851153799179	-52.07711195575604	46.452260801956854	9443.885761828247	40151.459390760254	-50495.0495049504	16.831683168316832	-16.831683168316832	0.0
17.821782178217823	1500000.0	2830077.448157119	120.0865465867069	4618.286299377291	0.0	5.934183514042614	-58.10912157894925	52.174938064906634	10023.848795008504	42612.87673656771	-53465.346534653356	17.821782178217823	-17.821782178217823	0.0
18.81188118811881	1500000.0	2829933.3862659726	121.39749987128839	4666.716049413138	0.0	6.238910066049273	-64.4405092542513	58.201599188202	10608.345072464128	45092.998676641444	-56435.64356435632	18.811881188118814	-18.811881188118814	0.0
19.801980198019802	1500000.0	2829759.2576590762	122.83327330126428	4719.712648409042	0.0	6.539099383299628	-71.06681738071487	64.52771799741524	11197.782105557868	47593.55490772118	-59405.94059405927	19.801980198019802	-19.801980198019802	0.0
20.792079207920793	1500000.0	2829552.862634516	124.39590289523143	4777.338611234639	0.0	6.834819021312484	-77.98365472901482	71.14883570770233	11792.566207231008	50116.27426789236	-62376.23762376224	20.792079207920793	-20.792079207920793	0.0
21.78217821782178	1500000.0	2829312.023544472	126.08715644535107	4839.645172019704	0.0	7.126135530874936	-85.18669545323924	78.06055992236432	12393.101580049477	52662.87720048564	-65346.5346534652	21.782178217821784	-21.782178217821784	0.0
22.77227722772277	1500000.0	2829034.59095444	127.9085644553611	4906.673430243207	0.0	7.41311447228333	-92.67167811725207	85.25856364496876	12999.789859382225	55235.06887465424	-68316.83168316814	22.77227722772277	-22.77227722772277	0.0
