time	S2_n	pS2_n	G_n	pG_n	S22_n	S24_n	S4_n	G2_n	G4_n	GG_n	S22_c	S24_c	S4_c	S2_c	pS2_c	G_c	pG_c	G2_c	G4_c	GG_c	R_act	R	R_inact	PPase	TGFb_c	SB
0.0	2.8514773357616997e-11	0.0	2.8514773357616997e-11	0.0	0.0	0.0	5.078093897e-11	0.0	0.0	0.0	0.0	0.0	1.1527294733889999e-10	1.3753911295508424e-10	0.0	1.3753911295508424e-10	0.0	0.0	0.0	0.0	0.0	2.27e-12	0.0	1e-12	1.4981996022511265e-13	0.0
0.9900990099009901	2.8514779354985487e-11	3.552414435020501e-18	2.8514779354985487e-11	3.552414435020501e-18	2.5438894495831863e-24	7.947157706504303e-18	5.07809355568015e-11	2.5438894495831423e-24	7.947157706504303e-18	2.5438894495831878e-24	5.326659981254388e-23	1.4480753152379215e-16	1.1527264535130583e-10	1.3753842531790294e-10	5.253217303844116e-16	1.3753842531790294e-10	5.253217303844116e-16	5.326659981254327e-23	1.4480753152379215e-16	5.326659981254388e-23	1.0875300634887418e-14	2.2591246993651123e-12	0.0	1e-12	1.4981996022511265e-13	0.0
1.9801980198019802	2.8514782316558228e-11	8.921980093153524e-18	2.8514782316558228e-11	8.921980093153524e-18	6.417401550124645e-24	2.003955379712952e-17	5.078093007362175e-11	6.4174015501245415e-24	2.003955379712953e-17	6.41740155012465e-24	1.3437421985989601e-22	3.6384894533871964e-16	1.1527218873176931e-10	1.3753743220495045e-10	1.2789530070322026e-15	1.3753743220495045e-10	1.2789530070322026e-15	1.343742198598945e-22	3.6384894533871974e-16	1.3437421985989609e-22	2.168879841489197e-14	2.2483112015851075e-12	0.0	1e-12	1.4981996022511265e-13	0.0
2.9702970297029703	2.8514785278130967e-11	1.4291545751286548e-17	2.8514785278130967e-11	1.4291545751286548e-17	1.0290913650666108e-23	3.213194988775474e-17	5.078092459044199e-11	1.0290913650665941e-23	3.2131949887754755e-17	1.0290913650666114e-23	2.154818399072482e-22	5.828903591536471e-16	1.1527173211223278e-10	1.3753643909199798e-10	2.032584283679994e-15	1.3753643909199798e-10	2.032584283679994e-15	2.1548183990724575e-22	5.828903591536473e-16	2.154818399072483e-22	3.250229619489652e-14	2.237497703805103e-12	0.0	1e-12	1.4981996022511265e-13	0.0
3.9603960396039604	2.851468141307287e-11	7.572922924509038e-17	2.851468141307287e-11	7.572922924509038e-17	2.3302413812552708e-20	4.550808819582882e-16	5.078080725037938e-11	2.3302413812552708e-20	4.550808819582882e-16	2.3302413812552708e-20	7.164379295546413e-20	1.6542872821092208e-15	1.1526886744056656e-10	1.375338342390363e-10	3.1830718868269044e-15	1.375338342390363e-10	3.1830718868269044e-15	7.164379295546259e-20	1.6542872821092208e-15	7.164379295546413e-20	4.296931659830141e-14	2.2270306834016986e-12	0.0	1e-12	1.4981996022511265e-13	0.0
4.9504950495049505	2.8514208491293653e-11	3.3086688778346056e-16	2.8514208491293653e-11	3.3086688778346056e-16	1.270490534526142e-19	2.2974265021689823e-15	5.078030347545405e-11	1.270490534526142e-19	2.2974265021689823e-15	1.270490534526142e-19	3.8955713103562574e-19	5.670338800632672e-15	1.1525768360900274e-10	1.3752566126623019e-10	5.704589292765862e-15	1.3752566126623019e-10	5.704589292765862e-15	3.8955713103562425e-19	5.670338800632672e-15	3.8955713103562574e-19	5.2239352658526496e-14	2.2177606473414734e-12	0.0	1e-12	1.4981996022511265e-13	0.0
5.9405940594059405	2.8513735569514438e-11	5.860045463218276e-16	2.8513735569514438e-11	5.860045463218276e-16	2.307956930926745e-19	4.139772122379664e-15	5.077979970052873e-11	2.307956930926745e-19	4.139772122379664e-15	2.307956930926745e-19	7.074704691157844e-19	9.686390319156098e-15	1.1524649977743893e-10	1.375174882934241e-10	8.226106698704795e-15	1.375174882934241e-10	8.226106698704795e-15	7.074704691157828e-19	9.686390319156098e-15	7.074704691157844e-19	6.150938871875153e-14	2.2084906112812483e-12	0.0	1e-12	1.4981996022511265e-13	0.0
6.930693069306931	2.851326264773522e-11	8.411422048601978e-16	2.851326264773522e-11	8.411422048601978e-16	3.345423327327356e-19	5.982117742590358e-15	5.0779295925603413e-11	3.345423327327356e-19	5.982117742590358e-15	3.345423327327356e-19	1.0253838071959445e-18	1.3702441837679547e-14	1.1523531594587512e-10	1.37509315320618e-10	1.0747624104643726e-14	1.37509315320618e-10	1.0747624104643726e-14	1.025383807195943e-18	1.3702441837679547e-14	1.0253838071959445e-18	7.077942477897657e-14	2.199220575221023e-12	0.0	1e-12	1.4981996022511265e-13	0.0
7.920792079207921	2.8512789725956005e-11	1.0962798633985664e-15	2.8512789725956005e-11	1.0962798633985664e-15	4.382889723727963e-19	7.824463362801058e-15	5.077879215067809e-11	4.382889723727963e-19	7.824463362801058e-15	4.382889723727963e-19	1.3432971452761046e-18	1.7718493356202972e-14	1.152241321143113e-10	1.3750114234781189e-10	1.3269141510582673e-14	1.3750114234781189e-10	1.3269141510582673e-14	1.3432971452761029e-18	1.7718493356202972e-14	1.3432971452761046e-18	8.004946083920161e-14	2.1899505391607984e-12	0.0	1e-12	1.4981996022511265e-13	0.0
8.910891089108912	2.851231680417679e-11	1.351417521936935e-15	2.851231680417679e-11	1.351417521936935e-15	5.42035612012857e-19	9.666808983011753e-15	5.077828837575276e-11	5.42035612012857e-19	9.666808983011753e-15	5.42035612012857e-19	1.6612104833562632e-18	2.1734544874726422e-14	1.1521294828274749e-10	1.3749296937500578e-10	1.5790658916521606e-14	1.3749296937500578e-10	1.5790658916521606e-14	1.6612104833562617e-18	2.1734544874726422e-14	1.6612104833562632e-18	8.931949689942665e-14	2.1806805031005733e-12	0.0	1e-12	1.4981996022511265e-13	0.0
