time	S	R
0.0	10000000000.0	200000.0
0.9900990099009901	9692925538.66641	206647.97881066706
1.9801980198019802	9393555855.229153	213537.911596083
2.9702970297029703	9101751368.081486	220680.45982839318
3.9603960396039604	8817373579.908907	228086.79140843145
4.9504950495049505	8540285104.07477	235768.6069615464
5.9405940594059405	8270349690.741792	243738.1681069661
6.930693069306931	8007432251.452748	252008.3272438016
7.920792079207921	7751398882.747302	260592.55856857367
8.910891089108912	7502116889.279801	269504.99127327773
9.900990099009901	7259454806.079035	278760.44454505044
10.89108910891089	7023282419.978425	288374.4645739225
11.881188118811881	6793470790.261955	298363.3637258647
12.871287128712872	6569892268.478528	308744.2619758753
13.861386138613861	6352420517.449195	319535.13076845475
14.85148514851485	6140930529.446834	330754.83944541815
15.841584158415841	5935298643.554022	342423.2044053161
16.831683168316832	5735402562.193266	354561.0411650462
17.821782178217823	5541121366.828734	367190.21950753755
18.81188118811881	5352335532.8380375	380333.72191259963
19.801980198019802	5168926943.554992	394015.7054727925
20.792079207920793	4990778903.480977	408261.5675286096
21.78217821782178	4817776150.66793	423098.01525108406
22.77227722772277	4649804868.273404	438553.1394301465
23.762376237623762	4486752695.289859	454656.4927394101
24.752475247524753	4328508736.450605	471439.1727690377
25.742574257425744	4174963571.3165812	488933.9101306215
26.73267326732673	4026009262.546432	507175.1619735745
27.722772277227723	3881539363.3551173	526199.2112630602
28.712871287128714	3741448924.1661024	546044.272197684
29.7029702970297	3605634498.4625416	566750.6021735054
30.693069306930692	3473994147.843555	588360.6207290028
31.683168316831683	3346427446.2927694	610919.0359308441
32.67326732673267	3222835483.666199	634472.9786984859
33.663366336633665	3103120868.4067655	659072.1456054418
34.65346534653465	2987187729.4947367	684768.9507172048
35.64356435643565	2874941717.642491	711618.687080402
36.633663366336634	2766290005.743054	739679.6985162484
37.62376237623762	2661141288.582369	769013.5624180357
38.613861386138616	2559405781.8262844	799685.2842914028
39.603960396039604	2460995220.2916822	831763.5048658863
40.59405940594059	2365822855.514551	865320.7206155022
41.584158415841586	2273803452.6261163	900433.5186236876
42.57425742574257	2184853286.5492096	937182.8267780035
43.56435643564356	2098890137.5275915	975654.1803726256
44.554455445544555	2015833286.0020578	1015938.0062179391
45.54455445544554	1935603506.8448546	1058129.9255407027
46.53465346534654	1858123062.9679804	1102331.0769383695
47.524752475247524	1783315698.318703	1148648.4608184455
48.51485148514851	1711106630.2768707	1197195.3068300935
49.504950495049506	1641422541.4686544	1248091.4659219324
50.495049504950494	1574191571.0124695	1301463.8287369832
51.48514851485149	1509343305.2114031	1357446.772259311
52.475247524752476	1446808767.7084606	1416182.636703617
53.46534653465346	1386520409.120357	1477822.2347984223
54.45544554455446	1328412096.165912	1542525.3957929781
55.445544554455445	1272419100.305261	1610461.5466820556
56.43564356435643	1218478085.9066522	1681810.3333003602
57.42574257425743	1166527097.9572904	1756762.2841683973
58.415841584158414	1116505549.334775	1835519.5202045545
59.4059405940594	1068354207.6565791	1918296.5135676535
60.396039603960396	1022015181.724271	2005320.899204333
61.386138613861384	977431907.5797635	2096834.3429307495
62.37623762376238	934549134.1906928	2193093.4701245083
63.366336633663366	893312908.782531	2294370.8593686726
64.35643564356435	853670561.8340279	2400956.1058903467
65.34653465346534	815570691.7539761	2513156.9597066627
66.33663366336634	778963149.2562803	2631300.5439473237
67.32673267326733	743799021.4506353	2755734.659129268
68.31683168316832	710030615.6659548	2886829.179619986
69.3069306930693	677611443.024105	3024977.5487208893
70.29702970297029	646496201.780181	3170598.3797381464
71.2871287128713	616640760.4470594	3324137.1703534583
72.27722772277228	588002140.7205459	3486068.138382598
73.26732673267327	560538500.221892	3656896.187476883
74.25742574257426	534209115.07400614	3837159.011869123
75.24752475247524	508974362.3277491	4027429.349584941
76.23762376237623	484795702.253961	4228317.394529268
77.22772277227723	461635660.5170587	4440473.377999674
78.21782178217822	439457810.245504	4664590.330864675
79.20792079207921	418226754.0140752	4901407.038195124
80.1980198019802	397908105.7525057	5151711.198670188
81.18811881188118	378468472.59461176	5416342.8012851905
82.17821782178218	359875436.6814756	5696197.732559866
83.16831683168317	342097536.9316939	5992231.627752932
84.15841584158416	325104250.79113567	6305463.979394649
85.14851485148515	308865975.9738576	6636982.516847938
86.13861386138613	293354012.2050903	6987947.870305084
87.12871287128712	278540542.97631425	7359598.532210063
88.11881188118812	264398617.32145196	7753256.128109119
89.10891089108911	250902131.62218258	8170331.008917289
90.0990099009901	238025811.44913962	8612328.173625547
91.08910891089108	225745193.44447464	9080853.530692326
92.07920792079207	214036607.24986738	9577620.503345082
93.06930693069307	202877157.48255953	10104456.981085267
94.05940594059406	192244705.76029044	10663312.615073597
95.04950495049505	182117852.7746093	11256266.452085374
96.03960396039604	172475920.4100833	11885534.894190572
97.02970297029702	163298933.90554106	12553479.966267645
98.01980198019803	154567604.0519648	13262617.865815658
99.00990099009901	146263309.42051786	14015627.76165614
100.0	138368078.6135027	14815360.798999812
