time	RuBP_ch	PGA_ch	ATP_ch	BPGA_ch	GAP_ch	Pi_ch	DHAP_ch	FBP_ch	F6P_ch	E4P_ch	X5P_ch	SBP_ch	S7P_ch	R5P_ch	Ru5P_ch	G6P_ch	ADP_ch	G1P_ch	x_CO2	x_NADPH_ch	x_Pi_cyt	x_GAP_cyt	x_NADP_ch	x_PGA_cyt	x_DHAP_cyt	x_Proton_ch	x_Starch_ch
0.0	0.33644	3.35479	0.49806	0.14825	0.01334	1.5662	0.29345	0.02776	1.36481	0.41021	0.00363	1.56486	0.00541	0.00599	0.00235	3.1396	0.00149	0.18206	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
1.0	0.3719616338593292	1.055060093252493	0.49742848115899013	0.0766870992614198	0.010057291291215692	0.7409349406218896	0.22125614439664978	0.015798841418216095	1.9245696380995194	0.7292879860448838	0.0022294262096399725	2.0976717901998523	0.000981723888212134	0.0037341021300994733	0.0014936090612233483	4.4265102387329485	0.002121518841018146	0.2567375956395697	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
2.0	0.37196163318943815	1.0550600816237445	0.4974284811778811	0.07668709910201042	0.01005729128769227	0.7409349538307382	0.22125614431914148	0.015798841405831612	1.9245696355175477	0.7292879876245307	0.0022294262012490834	2.0976717939432623	0.0009817238811289403	0.0037341021160456063	0.0014936090556018013	4.426510232794412	0.002121518822128062	0.25673759529513457	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
3.0	0.37196163315817365	1.0550600813159503	0.49742848117832994	0.07668709909613036	0.010057291287046745	0.7409349542150924	0.22125614430494014	0.015798841403610802	1.9245696355419393	0.7292879876596635	0.002229426201043695	2.0976717938925393	0.0009817238809735728	0.0037341021157015985	0.0014936090554641982	4.426510232850511	0.002121518821679206	0.25673759529838835	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
4.0	0.3719616331578433	1.055060081319512	0.4974284811783198	0.07668709909606303	0.010057291287048303	0.740934954229836	0.22125614430497445	0.015798841403613824	1.9245696355417101	0.7292879876575861	0.0022294262010475385	2.097671793885191	0.0009817238809717234	0.003734102115708036	0.0014936090554667732	4.426510232849984	0.00212151882168933	0.2567375952983578	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
5.0	0.37196163315751296	1.0550600813230735	0.4974284811783097	0.07668709909599569	0.010057291287049862	0.7409349542445798	0.22125614430500878	0.015798841403616842	1.924569635541481	0.7292879876555087	0.0022294262010513818	2.0976717938778426	0.0009817238809698742	0.0037341021157144736	0.0014936090554693484	4.426510232849457	0.0021215188216994535	0.25673759529832724	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
6.0	0.3719616331571826	1.055060081326635	0.4974284811782996	0.07668709909592836	0.010057291287051422	0.7409349542593234	0.2212561443050431	0.01579884140361986	1.9245696355412518	0.7292879876534314	0.002229426201055225	2.0976717938704947	0.0009817238809680248	0.003734102115720911	0.0014936090554719234	4.426510232848931	0.002121518821709577	0.2567375952982967	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
7.0	0.37196163315685227	1.0550600813301967	0.4974284811782894	0.07668709909586104	0.010057291287052982	0.7409349542740672	0.2212561443050774	0.015798841403622883	1.9245696355410227	0.729287987651354	0.0022294262010590683	2.0976717938631464	0.0009817238809661753	0.0037341021157273487	0.0014936090554744984	4.426510232848404	0.0021215188217197003	0.2567375952982661	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
8.0	0.37196163315683695	1.055060081330418	0.4974284811782888	0.07668709909585876	0.010057291287053205	0.7409349542747503	0.2212561443050823	0.015798841403623917	1.9245696355410253	0.7292879876512443	0.0022294262010592674	2.097671793862816	0.0009817238809661233	0.0037341021157276826	0.0014936090554746322	4.42651023284841	0.0021215188217202584	0.25673759529826645	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
9.0	0.3719616331568329	1.0550600813305195	0.49742848117828864	0.07668709909585882	0.010057291287053379	0.7409349542749275	0.22125614430508614	0.01579884140362488	1.924569635541036	0.7292879876512051	0.0022294262010593355	2.097671793862738	0.0009817238809661359	0.0037341021157277967	0.0014936090554746777	4.426510232848435	0.0021215188217204722	0.25673759529826784	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
