time	M	C1	C2	A	T
0.0	37600000.0	5640000.0	3760000.0	2000000.0	700000.0
0.9900990099009901	20058815.11609729	10153236.259380953	3492134.1746643432	2251413.1165306866	461689.83177198947
1.9801980198019802	10978539.14892373	11367411.970684428	3387931.6368318372	2444360.9348200625	326285.228732593
2.9702970297029703	6269515.148517391	11065267.533586508	3316500.012397559	2603505.0332406224	250515.83168454657
3.9603960396039604	3819375.3140331693	10135623.249275489	3226811.076030621	2740773.0313066095	209265.04960084817
4.9504950495049505	2537446.453968269	9011120.60062435	3104933.4281827193	2861728.005507048	187918.85027781955
5.9405940594059405	1860648.231072136	7893381.4298723405	2952882.9581942456	2968883.2362703076	177953.60535194867
6.930693069306931	1498238.6254652413	6868483.6589350905	2778437.9607819305	3063393.0140213054	174387.79830329452
7.920792079207921	1300018.901140405	5965928.293501421	2590457.1859740047	3145887.2506198846	174306.9812954714
8.910891089108912	1188310.1272044068	5188545.446854936	2396913.4409092166	3216860.5894606076	176007.61147869605
9.900990099009901	1122854.7423800405	4527493.162863267	2204229.9289131206	3276834.672618893	178498.45331974953
10.89108910891089	1082710.946583046	3969639.1442071134	2017210.8802526623	3326409.0717102066	181209.06518797018
11.881188118811881	1056914.405500974	3501074.3548224987	1839217.3626292218	3366261.1006249394	183818.5649673969
12.871287128712872	1039662.0951453832	3108681.969529436	1672421.2199409304	3397125.215055695	186154.4992567679
13.861386138613861	1027828.0555269851	2780745.0520536643	1518061.3337722416	3419767.065600475	188132.74371822097
14.85148514851485	1019681.3885788649	2507092.902342769	1376671.3297630236	3434959.090576586	189721.54143519892
15.841584158415841	1014224.0048134954	2279037.939200782	1248269.3170427203	3443460.3478086623	190919.828803784
16.831683168316832	1010847.8579986749	2089228.0895632408	1132509.9578923767	3446001.2220991636	191744.0809072585
17.821782178217823	1009156.9202332278	1931475.0857294705	1028803.0882518103	3443272.6986006564	192220.2807957718
18.81188118811881	1008874.165513606	1800586.483246463	936404.2679254558	3435919.5204507313	192379.000949338
19.801980198019802	1009792.4766302312	1692212.9872423098	854482.5545207743	3424536.4614026267	192252.39522646274
20.792079207920793	1011748.3105956739	1602714.7866192376	782170.2026360265	3409666.9893903667	191872.37691449065
21.78217821782178	1014607.2091428782	1529046.9196653436	718598.2552284709	3391803.6945080026	191269.5410141706
22.77227722772277	1018255.5231330071	1468662.12194855	662921.2726392718	3371389.965926604	190472.5578135562
23.762376237623762	1022595.4389240756	1419429.0628479945	614333.8030795802	3348822.507923823	189507.86671627828
24.752475247524753	1027541.795362913	1379563.8168754932	572080.6546942507	3324454.3778479584	188399.56154174873
25.742574257425744	1033019.9018723053	1347572.5647976636	535462.5825848187	3298598.306324056	187169.3970642683
