time	TGFb_R1_surface	TGFb_R2_surface	TGFb_R1_endo	TGFb_R2_endo	TGFb	TGFb_In	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	pS2_c	S2_c	S4_c	pS2_pS2_S4_c	pS2_pS2_pS2_c	Smad7mRNA	Smad7mRNA1	S7	pS2_n	pS2_pS2_S4_n	pS2_pS2_pS2_n	S2_n	S4_n
0.0	34.94811747473889	28.366304192976784	22.22104024471051	57.61642152088941	200.0	0.0	0.0	0.0	0.0	0.0	0.0	2483.161681062214	1088.5918556212553	0.0	0.0	0.058120333635799944	0.1890717127790981	6.565010435696899	0.0	0.0	0.0	379.4619435530631	462.81889453674256
0.9900990099009901	5.238301812457807	1.5583105911451913	19.391879465329882	34.586882771040194	199.9283203094049	0.03088875706702725	17.25579379288905	25.903885035176053	1.0888400802102525	5.596144254510878	0.25525759485516575	2438.174076204555	1064.8710347802928	23.049912770959175	0.029232608281903126	0.05812033363621287	0.18907171296351374	0.9738518971331793	0.030143307498894455	1.0312876663061648	0.0011884769293233554	375.9146527285141	462.4585149404415
1.9801980198019802	3.9338891567794536	2.226672202514347	17.241837502113682	22.516704425634437	199.8566844442665	0.08426975477922995	25.080596575861623	28.699724403957887	1.798929157660461	5.689611048533966	0.40296674052351633	2330.997548153171	1007.0555187796061	76.78403533213493	0.21664505495018063	0.05812033690223993	0.18907239717985053	0.8861056011350668	0.07688035627268497	6.6752380975720405	0.019596915050255997	363.54957542281045	460.8959579486868
2.9702970297029703	3.5758308596567536	2.5585072498437436	15.765493355657682	16.284320324402305	199.78507671146744	0.1335577569606541	28.960283370904186	30.2824146707214	2.2206573858806675	5.736574231107234	0.5253739941626554	2197.032649108841	934.6704700755565	140.1742494897059	0.6940147849547579	0.0581207580516957	0.189127168090562	0.8449229641050443	0.1257522325502636	17.766521608445586	0.1026257056231495	346.7605964861226	458.799508984292
3.9603960396039604	3.485649614950194	2.706380444873066	14.753892084021945	13.073623312717366	199.71349588398297	0.1715096339578935	30.686812927829276	31.367575713008296	2.475097843535494	5.767934396695668	0.6310671682435481	2058.5578894461974	859.7246686310611	201.2859071922677	1.557904512904285	0.05813068061350976	0.19001969782308759	0.8193764888471886	0.1714963962193751	32.94342731779458	0.3253012223226844	329.3482583840515	457.45674701687733
4.9504950495049505	3.495693739587718	2.7616872303802906	14.058335322346156	11.419909320302072	199.6419413265308	0.1986177735173147	31.330083954705216	32.17544217338328	2.6355628363844157	5.791502998965669	0.7238646613272546	1927.6722751419252	788.4224680754035	254.8162866936087	2.8670859156136057	0.05822238834930337	0.1960693173601474	0.8016475798520497	0.2117723273414964	50.284746842392	0.7746323017987706	313.2220632201568	457.88724854659665
5.9405940594059405	3.5462957206755186	2.7723800460884704	13.581463853013025	10.567407075169205	199.57041270988992	0.21742819821960477	31.45100445170012	32.808094820512494	2.742596987288386	5.8105155939751745	0.8057988909560979	1810.0832553503747	723.6493381934919	299.09161241199064	4.6445752723078835	0.05869407663339537	0.21976590785590977	0.7885177234179531	0.24568369472441617	68.08207003546494	1.533832032111314	299.1160902686414	460.58772951705333
6.930693069306931	3.6122452571799357	2.7626665832682913	13.258966498394951	10.127052641253233	199.4989098620948	0.23045233309337881	31.33268719808719	33.3228387737871	2.8183814093813693	5.826694124292512	0.8780099744381161	1707.747559487499	666.5132600096084	334.227380240507	6.880353572885708	0.060326394617791886	0.28386611181553567	0.778343608978153	0.27318382420378173	85.08825941491716	2.6719632731477363	287.1546399655703	465.5818504929684
7.920792079207921	3.6822154573116825	2.7444507139334973	13.047245083950136	9.898699452072943	199.4274326915959	0.23961612801651286	31.114375237443667	33.75497998283468	2.875207783660528	5.841168907728847	0.9411571112658731	1620.523490904226	617.1826833098709	361.13723284973906	9.534350816543432	0.06458544272038583	0.4171042643935161	0.7702023648268982	0.2947409736148129	100.52221859170577	4.239550489746117	277.1776123546618	472.5686154066845
8.910891089108912	3.751193905824423	2.7234054936911645	12.915949023138603	9.779400446633298	199.3559811476826	0.2462533229672557	30.862463431248038	34.12734201535954	2.92005049335382	5.854883967787984	0.9956671038857039	1547.1757731544476	575.3294747599061	381.02510155223933	12.540307328256928	0.0736052005745996	0.6452868291672663	0.7635657551880584	0.3111017143508292	113.9830112189108	6.268267949562965	268.91291024830605	481.0731626269441
9.900990099009901	3.817175058419441	2.702104070912967	12.843470919597234	9.716198430957157	199.2845552000718	0.25124228141393085	30.607095496160056	34.45505217550546	2.9569821041213022	5.868810814683335	1.0419053598967527	1485.9793245147946	540.3670408418682	395.13332102526783	15.811220130355775	0.08991708190314543	0.9834062259196487	0.7581491195970015	0.3231180622173118	125.34580941644487	8.772465690157414	262.06382351788056	490.56457887441934
10.89108910891089	3.879574788984826	2.6816092683346158	12.814152983486753	9.681839883159654	199.2131548283353	0.2551470632261314	30.36074044911986	34.74824396253584	2.988451785624102	5.884053657639361	1.0802900042411896	1435.0755128639398	511.58463355596587	404.62248395836826	19.24660175001376	0.11604711679684684	1.4327801390281845	0.75382884964173	0.3316317067248553	134.66917605927694	11.751083777958115	256.3510495857775	500.5344565843886
11.881188118811881	3.9384437797269443	2.6622704641495933	12.816490315562241	9.662281214675728	199.14178001639118	0.2583259789454684	30.1275060027392	35.01370727815672	3.015971772372016	5.901878689993743	1.1113524706635758	1392.6745344036792	488.22823706971155	410.51839002812756	22.741033181342424	0.15414444617137588	1.983079052400802	0.7505901329073609	0.3374072230868816	142.1223227685351	15.189458109407617	251.53082308323908	510.5418002916256
