time	M	P0	P1	P2	Pn	Pt	EmptySet
0.0	1.0000000000000001e-16	2.5e-16	2.5e-16	2.5e-16	2.5e-16	1e-15	0.0
0.9900990099009901	5.914346219964807e-16	2.6706347172197234e-16	1.4883967206085065e-16	-1.8506391978927436e-17	1.1900091541444503e-17	4.0929684334534003e-16	0.0
1.9801980198019802	1.0621603291689575e-15	3.268276568224747e-16	4.753521678466564e-17	-3.3883508376660586e-16	-3.648464112598419e-16	-3.293186214193074e-16	0.0
2.9702970297029703	1.5328860363414346e-15	3.865918419229771e-16	-5.3769238491519393e-17	-6.591637755542842e-16	-7.415929140611283e-16	-1.0679340861839548e-15	0.0
3.9603960396039604	1.9940849169103215e-15	4.927408405697643e-16	-1.4295035792275216e-16	-9.41188847279879e-16	-1.0836654978937774e-15	-1.6750638625266445e-15	0.0
4.9504950495049505	2.422371223513774e-15	7.591366527924214e-16	-1.9024867583910615e-16	-1.0908854133137403e-15	-1.3059491981650527e-15	-1.8279466345254776e-15	0.0
5.9405940594059405	2.850657530117222e-15	1.0255324650150754e-15	-2.3754699375545974e-16	-1.2405819793476e-15	-1.5282328984363263e-15	-1.9808294065243108e-15	0.0
6.930693069306931	3.278943836720671e-15	1.2919282772377311e-15	-2.848453116718135e-16	-1.3902785453814604e-15	-1.7505165987076002e-15	-2.1337121785231432e-15	0.0
7.920792079207921	3.70723014332412e-15	1.5583240894603865e-15	-3.321436295881673e-16	-1.539975111415321e-15	-1.9728002989788748e-15	-2.2865949505219765e-15	0.0
8.910891089108912	4.1355164499275696e-15	1.824719901683042e-15	-3.794419475045211e-16	-1.6896716774491822e-15	-2.1950839992501493e-15	-2.4394777225208105e-15	0.0
9.900990099009901	4.563802756531019e-15	2.0911157139056976e-15	-4.2674026542087495e-16	-1.8393682434830426e-15	-2.417367699521424e-15	-2.5923604945196434e-15	0.0
10.89108910891089	4.992089063134467e-15	2.3575115261283516e-15	-4.740385833372285e-16	-1.9890648095169023e-15	-2.6396513997926976e-15	-2.745243266518477e-15	0.0
11.881188118811881	5.420375369737916e-15	2.623907338351008e-15	-5.213369012535823e-16	-2.1387613755507628e-15	-2.8619351000639717e-15	-2.898126038517309e-15	0.0
12.871287128712872	5.848661676341365e-15	2.8903031505736635e-15	-5.686352191699362e-16	-2.2884579415846233e-15	-3.0842188003352466e-15	-3.0510088105161423e-15	0.0
13.861386138613861	6.2769479829448145e-15	3.156698962796319e-15	-6.159335370862899e-16	-2.4381545076184837e-15	-3.306502500606521e-15	-3.2038915825149755e-15	0.0
14.85148514851485	6.705234289548262e-15	3.423094775018973e-15	-6.632318550026435e-16	-2.5878510736523438e-15	-3.528786200877795e-15	-3.3567743545138088e-15	0.0
15.841584158415841	7.133520596151712e-15	3.6894905872416285e-15	-7.105301729189973e-16	-2.7375476396862043e-15	-3.7510699011490694e-15	-3.5096571265126428e-15	0.0
16.831683168316832	7.561806902755161e-15	3.955886399464284e-15	-7.57828490835351e-16	-2.8872442057200647e-15	-3.973353601420344e-15	-3.662539898511475e-15	0.0
17.821782178217823	7.99009320935861e-15	4.22228221168694e-15	-8.051268087517047e-16	-3.0369407717539256e-15	-4.1956373016916185e-15	-3.815422670510309e-15	0.0
18.81188118811881	8.41837951596206e-15	4.488678023909595e-15	-8.524251266680586e-16	-3.186637337787786e-15	-4.417921001962893e-15	-3.968305442509143e-15	0.0
19.801980198019802	8.846665822565507e-15	4.75507383613225e-15	-8.997234445844122e-16	-3.336333903821646e-15	-4.640204702234167e-15	-4.1211882145079746e-15	0.0
20.792079207920793	9.274952129168957e-15	5.021469648354905e-15	-9.47021762500766e-16	-3.4860304698555066e-15	-4.862488402505442e-15	-4.274070986506809e-15	0.0
21.78217821782178	9.703238435772406e-15	5.28786546057756e-15	-9.943200804171198e-16	-3.6357270358893675e-15	-5.084772102776716e-15	-4.426953758505643e-15	0.0
22.77227722772277	1.0131524742375854e-14	5.554261272800215e-15	-1.0416183983334734e-15	-3.785423601923227e-15	-5.3070558030479896e-15	-4.579836530504475e-15	0.0
23.762376237623762	1.0559811048979303e-14	5.8206570850228706e-15	-1.088916716249827e-15	-3.935120167957088e-15	-5.529339503319263e-15	-4.7327193025033075e-15	0.0
24.752475247524753	1.0988097355582752e-14	6.087052897245526e-15	-1.136215034166181e-15	-4.084816733990948e-15	-5.751623203590539e-15	-4.885602074502142e-15	0.0
25.742574257425744	1.1416383662186201e-14	6.353448709468182e-15	-1.1835133520825348e-15	-4.2345133000248085e-15	-5.9739069038618124e-15	-5.038484846500973e-15	0.0
26.73267326732673	1.184466996878965e-14	6.619844521690837e-15	-1.2308116699988886e-15	-4.384209866058669e-15	-6.196190604133088e-15	-5.191367618499808e-15	0.0
27.722772277227723	1.2272956275393098e-14	6.886240333913491e-15	-1.2781099879152422e-15	-4.533906432092529e-15	-6.4184743044043615e-15	-5.3442503904986405e-15	0.0
28.712871287128714	1.2701242581996548e-14	7.152636146136147e-15	-1.3254083058315958e-15	-4.683602998126389e-15	-6.640758004675635e-15	-5.497133162497474e-15	0.0
29.7029702970297	1.3129528888599997e-14	7.419031958358802e-15	-1.3727066237479497e-15	-4.83329956416025e-15	-6.863041704946909e-15	-5.650015934496306e-15	0.0
30.693069306930692	1.3557815195203445e-14	7.685427770581456e-15	-1.4200049416643033e-15	-4.98299613019411e-15	-7.0853254052181835e-15	-5.802898706495141e-15	0.0
31.683168316831683	1.3986101501806894e-14	7.951823582804112e-15	-1.4673032595806571e-15	-5.1326926962279706e-15	-7.307609105489458e-15	-5.9557814784939735e-15	0.0
