time	C2	CP	M	pM	Y	YP	EmptySet	YT	CT
0.0	0.0	0.75	0.0	0.25	0.0	0.0	0.0	0.25	1.0
1.0	0.000736087345109277	0.7360842885479104	0.0030446216531991714	0.26013500243803794	0.0001018792672729302	0.001403445324054806	0.0	0.26468494868256487	0.9999999999842568
2.0	0.0007250126194059548	0.7250079652215548	0.0046438416418021445	0.26962318063571017	0.00010343695491282026	0.00377026699790438	0.0	0.27814072623032954	1.000000000118473
3.0	0.0007152304340250141	0.7152247108152704	0.005713935033711537	0.2783461238789425	0.00010485263808462506	0.00602334629228914	0.0	0.29018825784302776	1.0000000001619493
4.0	0.0007063950284685005	0.7063884472855526	0.006572766253517985	0.2863323916236021	0.00010616491792095541	0.007965034118634145	0.0	0.3009763569136752	1.000000000191141
5.0	0.0006983747792416572	0.6983674085523471	0.007363060508912214	0.29357115617404334	0.00010738492157824463	0.009641905339491863	0.0	0.31068350694402563	1.0000000000145444
6.0	0.0006911454676069089	0.6911372927135488	0.008168070864932661	0.30000349191949816	0.00010850903028476775	0.01115817849694371	0.0	0.3194382503116593	1.0000000009655867
7.0	0.0006847557675024016	0.6847467059539313	0.009055612195902516	0.30551292714906614	0.0001095226057735451	0.012625449647603957	0.0	0.32730351159834614	1.0000000010664023
8.0	0.0006793263051326693	0.6793161937198984	0.0101065258750446	0.30989795464026887	0.00011039928277827219	0.01415959693548698	0.0	0.33427447673357874	1.0000000005403444
9.0	0.00067507935569163	0.6750679002229941	0.011451928167651011	0.312805091826483	0.00011109559506104199	0.015902575754691586	0.0	0.3402706913438866	0.9999999995728198
10.0	0.0006724256570010814	0.6724122939700102	0.013361394721224376	0.313553883104079	0.00011153658657022338	0.018079192897594607	0.0	0.3451060073094682	0.9999999974523146
11.0	0.0006722197972114288	0.6722032553293726	0.01654342806627555	0.31058109431486014	0.00011157525868123153	0.02116277589850951	0.0	0.34839887353832644	0.9999999975077197
12.0	0.0006767445892529226	0.6767209046644614	0.02369328362881504	0.29890906454069394	0.00011083895980266898	0.02655807184491192	0.0	0.34927125897422356	0.9999999974232234
13.0	0.0006969530901934253	0.6968947016700475	0.058432000854429914	0.24397634158769252	0.00010766765875031552	0.042237952854756976	0.0	0.3447539629556297	0.9999999972023634
