time	Sulphate__PAPS	GSH	NAPQI	Paracetamol_APAP	Protein_adducts
0.0	1.325e-14	6.87e-15	0.0	1.32e-13	0.0
0.9900990099009901	-4.86602355586557e-13	3.182627272839132e-13	8.106733713147673e-15	-2.958311136687969e-13	1.5387732563194302e-12
1.9801980198019802	-8.890214066244473e-13	5.843923980072404e-13	1.1876823755422981e-14	-5.572139205421507e-13	3.5613238009719677e-12
2.9702970297029703	-1.2914404576623376e-12	8.505220687305676e-13	1.5646913797698295e-14	-8.185967274155044e-13	5.583874345624506e-12
3.9603960396039604	-1.5742383226305452e-12	1.0535525961939711e-12	1.851918689100896e-14	-1.0025867688838825e-12	7.533723449960662e-12
4.9504950495049505	-1.443777786016419e-12	1.0385928834534286e-12	1.8289748578227065e-14	-9.192060244894129e-13	9.232409010404373e-12
5.9405940594059405	-1.313317249402293e-12	1.023633170712886e-12	1.806031026544517e-14	-8.358252800949434e-13	1.093109457084808e-11
6.930693069306931	-1.1828567127881668e-12	1.0086734579723437e-12	1.783087195266328e-14	-7.524445357004738e-13	1.2629780131291789e-11
7.920792079207921	-1.0523961761740406e-12	9.937137452318011e-13	1.7601433639881386e-14	-6.690637913060041e-13	1.43284656917355e-11
8.910891089108912	-9.21935639559914e-13	9.787540324912586e-13	1.7371995327099492e-14	-5.856830469115343e-13	1.602715125217921e-11
9.900990099009901	-7.914751029457878e-13	9.63794319750716e-13	1.71425570143176e-14	-5.023023025170647e-13	1.7725836812622922e-11
10.89108910891089	-6.610145663316621e-13	9.488346070101737e-13	1.6913118701535708e-14	-4.1892155812259523e-13	1.9424522373066627e-11
11.881188118811881	-5.305540297175357e-13	9.338748942696311e-13	1.6683680388753814e-14	-3.3554081372812553e-13	2.1123207933510338e-11
12.871287128712872	-4.000934931034094e-13	9.189151815290886e-13	1.645424207597192e-14	-2.5216006933365584e-13	2.282189349395405e-11
13.861386138613861	-2.696329564892831e-13	9.039554687885461e-13	1.6224803763190026e-14	-1.687793249391861e-13	2.452057905439776e-11
