time	Ctelo	Utelo	Cdc13	Rad17Utelo	Rad17	Rad24	RPA	Mec1	ssDNA	RPAssDNA	RPAssDNA1	RPAssDNA2	Mec1RPAssDNA	ExoXI	ExoXA	Exo1I	Exo1A	Rad9I	Rad9A	Rad53I	Rad53A	Chk1I	Chk1A	Dun1I	Dun1A	ATP	ADP	Rad9Kin	recovery	G1	S	G2	M	G1cyclin	Scyclin	G2cyclin	Mcyclin	G1CdkI	G1CdkA	SCdkI	SCdkA	G2CdkI	G2CdkA	MCdkI	MCdkA	G1Soff	G1Son	SG2off	SG2on	G2Moff	G2Mon	MG1off	MG1on	budscar	sink
0.0	64.0	0.0	300.0	0.0	70.0	70.0	4000.0	4000.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	670.0	0.0	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	10000.0	1000.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1.0	63.97712336087661	0.022876118643733883	300.0228766391234	5.204798837605148e-07	69.99999947952016	70.0	3999.9999970964855	4000.0	2.498758812709173e-06	1.0360262718677756e-15	2.9034089973764692e-06	1.0697295155418592e-10	1.6921282207513502e-15	69.99999990057849	9.942155198313733e-08	646.923281360182	23.07671863981815	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999999425492	1000.0000005745097	0.0	1.0	1.0	0.0	0.0	0.0	0.15990403838858253	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
2.0	63.95744141310689	0.04255678515302985	300.0425585868931	1.801741462927049e-06	69.99999819825857	70.0	3999.999971109447	3999.999999999998	1.1500876300344984e-05	5.904233651710586e-13	2.8880085283987952e-05	1.0467429914793515e-08	1.989370826898206e-12	69.99999942389886	5.761012006981759e-07	624.6413915269742	45.358608473025896	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999997810299	1000.0000021897023	0.0	1.0	1.0	0.0	0.0	0.0	0.31961630701586946	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
3.0	63.940508448883214	0.059488029700537653	300.0594915511168	3.5214207784478747e-06	69.99999647857925	70.0	3999.999898166721	3999.9999999999072	2.5703133096697103e-05	1.780552917402879e-11	0.00010170365450251718	1.2951566685490632e-07	9.307833427519943e-11	69.999998559142	1.440858035430964e-06	603.1269537634881	66.87304623651184	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999995299802	1000.000004700199	0.0	1.0	1.0	0.0	0.0	0.0	0.47913703586765233	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
4.0	63.92594082835257	0.07405371351481123	300.0740591716475	5.458147861745861e-06	69.99999454185217	70.0	3999.999760572379	3999.999999998737	4.35964459595539e-05	1.7358356460772303e-10	0.00023871209461606436	7.140921797121588e-07	1.262827599950376e-09	69.99999741765191	2.5823481192807317e-06	582.353534784621	87.64646521537902	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999992019086	1000.0000079809147	0.0	1.0	1.0	0.0	0.0	0.0	0.6384664546538102	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
5.0	63.91340838956109	0.08658414743480512	300.0865916104389	7.463035684447383e-06	69.99999253696437	70.0	3999.999546153799	3999.999999991221	6.392562050207104e-05	9.34984698901887e-10	0.000451280722939045	2.5557656717628377e-06	8.77923605874753e-09	69.99999611892919	3.881070837523975e-06	562.2956118327038	107.70438816729623	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999988075762	1000.0000119242367	0.0	1.0	1.0	0.0	0.0	0.0	0.7976047928087333	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
6.0	63.902626960016455	0.09736360139106952	300.09737303998355	9.438644646328892e-06	69.99999056135542	70.0	3999.999247303736	3999.999999959357	8.565494037221275e-05	3.4878574261967707e-09	0.0007456581911543625	6.993943838116913e-06	4.06429583582138e-08	69.99999475880816	5.2411918741347696e-06	542.9285410677913	127.07145893220857	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999983562431	1000.0000164375689	0.0	1.0	1.0	0.0	0.0	0.0	0.9565522794916568	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
7.0	63.893352053249934	0.10663662278828369	300.1066479467501	1.1324068085130089e-05	69.99998867593197	70.0	3999.9988601755485	3999.9999998578733	0.00010794006166373362	1.0137347339100291e-08	0.0011237376181968241	1.593457090513975e-05	1.4212715691603937e-07	69.99999340582923	6.594170805533228e-06	524.2285277550883	145.77147224491162	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.99997855873	1000.0000214412684	0.0	1.0	1.0	0.0	0.0	0.0	1.1153091435869873	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
8.0	63.885373270450486	0.1146136459720396	300.1146267295497	1.3083663995341837e-05	69.99998691633607	70.0	3999.9983839472475	3999.9999995935423	0.00013010693305330492	2.459372038391648e-08	0.0015838428287835839	3.177887326249287e-05	4.0645795863670287e-07	69.99999210529005	7.894709982308165e-06	506.17259651244245	163.82740348755746	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999973133197	1000.0000268668027	0.0	1.0	1.0	0.0	0.0	0.0	1.273875613704636	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
9.0	63.878509525766724	0.12147577504935012	300.1214904742334	1.469926781565517e-05	69.99998530073225	70.0	3999.9978201792774	3999.9999990018573	0.00015163475185798697	5.203600425718703e-08	0.002121490126499578	5.728041835566444e-05	9.981433807008379e-07	69.99999088493429	9.115065727024993e-06	488.73856320842424	181.2614367915757	20.0	0.0	6900.0	0.0	60.0	0.0	3000.0	0.0	9999.999967344791	1000.0000326552093	0.0	1.0	1.0	0.0	0.0	0.0	1.4322519181803492	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
