time	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	L
0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002e-22	0.0	0.0	0.0	0.0	0.0	0.0	1e-21
1.0	1.0351593619760642e-14	4.6816013994271855e-14	-6.468161552062232e-14	-2.8830894381579883e-16	-1.548778498070508e-12	-5.401582389382873e-12	1.003260242208308e-12	8.068976495111638e-18	5.856624649169677e-12	5.697934346300973e-15	8.137108179583794e-17	4.0645991506982945e-13	-9.079379478817168e-12
2.0	2.6113761896267347e-14	1.18101566660377e-13	-1.631707953058816e-13	-7.27309983829041e-16	-3.907069151907286e-12	-1.3626435133140603e-11	2.530897872651195e-12	2.0355391764501147e-17	1.4774362508858467e-11	1.4374027041303265e-14	2.0527272450192822e-16	1.0253681746895183e-12	-2.2904330821108155e-11
3.0	4.1875930172774045e-14	1.8938711932648215e-13	-2.616599750911409e-13	-1.1663110238422831e-15	-6.265359805744065e-12	-2.1851287876898333e-11	4.058535503094082e-12	3.2641807033890657e-17	2.3692100368547257e-11	2.3050119736305557e-14	3.291743672080185e-16	1.6442764343092076e-12	-3.672928216339914e-11
4.0	5.33611809615206e-14	2.4402032644424815e-13	-3.3714202951500303e-13	-1.5027611796758724e-15	-8.072752537984103e-12	-2.8154810369977967e-11	5.581186383989401e-12	4.2058108505899345e-17	3.057436185488466e-11	2.969947210147361e-14	4.2413251516431104e-16	2.0938668884835736e-12	-4.757688109270788e-11
5.0	5.0070854423507524e-14	2.4112424523097734e-13	-3.3314077363029844e-13	-1.484926146828494e-15	-7.976943989629239e-12	-2.7820663614029344e-11	7.08660941240449e-12	4.155895370100676e-17	3.0424610533559447e-11	2.934699229418816e-14	4.1909882413699363e-16	1.958510746350137e-12	-4.813854372959758e-11
6.0	4.678052788549445e-14	2.3822816401770647e-13	-3.291395177455938e-13	-1.4670911139811157e-15	-7.881135441274376e-12	-2.748651685808071e-11	8.592032440819578e-12	4.1059798896114174e-17	3.027485921223423e-11	2.899451248690271e-14	4.1406513310967636e-16	1.8231546042167008e-12	-4.870020636648728e-11
7.0	4.349020134748138e-14	2.353320828044356e-13	-3.251382618608892e-13	-1.4492560811337372e-15	-7.785326892919513e-12	-2.7152370102132087e-11	1.0097455469234667e-11	4.056064409122159e-17	3.0125107890909014e-11	2.864203267961726e-14	4.0903144208235894e-16	1.6877984620832642e-12	-4.926186900337698e-11
8.0	3.91870399638551e-14	2.1872116316860724e-13	-3.021883782870123e-13	-1.3469603312050563e-15	-7.235799712833425e-12	-2.5235819571191505e-11	1.1273504931132352e-11	3.769766971685411e-17	2.8207558638231992e-11	2.6620333879953916e-14	3.8015994809264577e-16	1.5180315043948108e-12	-4.7043295814738745e-11
9.0	3.4618239330972364e-14	1.9851321150132642e-13	-2.7426878098775053e-13	-1.2225128143083302e-15	-6.567274378972538e-12	-2.2904247230298323e-11	1.2363168594482953e-11	3.421472925568313e-17	2.5826363691140577e-11	2.416084398147481e-14	3.450364416348776e-16	1.3392395183417347e-12	-4.409554179208011e-11
