time	S	E	I	M	N
0.0	3.5	2.5	3.0	6.0	9.0
0.9900990099009901	1.9312395631441703	2.6549435674736794	0.9549134840922049	6.927322910876507	5.541096614710055
1.9801980198019802	1.608647133080801	1.6787161296287045	0.3604350956412414	6.073219506171369	3.647798358350747
2.9702970297029703	1.4701904479886845	0.9787831922639012	0.1586468009385159	4.9975742561603305	2.6076204411911017
3.9603960396039604	1.400995807377636	0.5562482602349919	0.07797402869992189	4.097156452245973	2.03521809631255
4.9504950495049505	1.365774450021496	0.3133279206107625	0.04090086082209907	3.437658901021096	1.7200032314543574
5.9405940594059405	1.3481471092666302	0.17601590413447343	0.022201158630179674	2.986171162029373	1.546364172031283
6.930693069306931	1.339606248538905	0.09883526695709456	0.012259726661472993	2.6896407436947327	1.4507012421574728
7.920792079207921	1.33565384318719	0.055513030225192134	0.006828568994452798	2.5003414429459947	1.3979954424068348
8.910891089108912	1.333943318168463	0.031193291001736678	0.0038203549696637436	2.381992972919483	1.3689569641398636
9.900990099009901	1.333281764446556	0.01753421850204155	0.002142414053730988	2.3091814639618375	1.3529583970023285
10.89108910891089	1.333082444446994	0.009858895617022575	0.001203011132749877	2.264954507165482	1.3441443511967663
11.881188118811881	1.333068282736274	0.00554432864165577	0.0006760183274163214	2.2383690178284374	1.3392886297053461
12.871287128712872	1.333115322047893	0.003118318383776604	0.0003800450718072891	2.2225262805765444	1.336613685503477
13.861386138613861	1.3331724773926785	0.001753976096979873	0.00021370893002506156	2.21315452286004	1.3351401624196835
14.85148514851485	1.3332216884587385	0.0009866117497812849	0.00012019219803213918	2.2076455986703736	1.3343284924065517
15.841584158415841	1.3332588284508946	0.0005549842572547282	6.760353793218798e-05	2.2044250948904587	1.3338814162460815
16.831683168316832	1.3332849552812247	0.0003121922217046365	3.802648854005587e-05	2.2025514859037183	1.3336351739914694
17.821782178217823	1.3333025467417963	0.0001756174189193043	2.1390309843484247e-05	2.2014661455874314	1.333499554470559
18.81188118811881	1.333314041883278	9.879057286446604e-05	1.2032511552781662e-05	2.20083985337853	1.3334248649676952
19.801980198019802	1.33332139175993	5.557312466508258e-05	6.768624987711093e-06	2.20047971278636	1.3333837335095826
20.792079207920793	1.333326014227992	3.126193292598818e-05	3.8075746922127313e-06	2.200273277380535	1.33336108373561
21.78217821782178	1.3333288839443005	1.7586033736559015e-05	2.141897709963915e-06	2.2001552920584397	1.333348611875747
22.77227722772277	1.3333306470190998	9.892822362529935e-06	1.204897196643617e-06	2.20008804094823	1.333341744738659
23.762376237623762	1.333331720944259	5.565096163312447e-06	6.778004441067724e-07	2.200049804376067	1.3333379638408664
24.752475247524753	1.3333323704118465	3.130582657398233e-06	3.812887556424826e-07	2.2000281155496215	1.3333358822832595
25.742574257425744	1.3333327607913203	1.7611191867456426e-06	2.144950960009437e-07	2.200015840663058	1.333334736405603
26.73267326732673	1.3333329942157552	9.907303027988344e-07	1.2066573074399203e-07	2.200008907931535	1.333334105611789
27.722772277227723	1.3333331331581157	5.573425341907092e-07	6.788137339209175e-08	2.200005000159994	1.3333337583820233
28.712871287128714	1.333333215532528	3.1353509692978493e-07	3.818691334489736e-08	2.2000028016675044	1.3333335672545383
29.7029702970297	1.333333264197725	1.763810038768941e-07	2.1482270491410462e-08	2.2000015671069666	1.3333334620609991
30.693069306930692	1.3333332928536448	9.924624087550453e-08	1.2087665240949561e-08	2.2000008752667197	1.3333334041875509
31.683168316831683	1.3333333096806312	5.5861414751903206e-08	6.8036236430399005e-09	2.200000488199928	1.3333333723456697
32.67326732673267	1.333333319542838	3.143114050614026e-08	3.828145946955276e-09	2.2000002717658984	1.3333333548021247
33.663366336633665	1.3333333253069843	1.768914541849389e-08	2.154443933256764e-09	2.2000001510716953	1.3333333451505738
34.65346534653465	1.3333333286699132	9.953864797924901e-09	1.2123278454646955e-09	2.200000083830757	1.3333333398361058
35.64356435643565	1.3333333306257604	5.607965446193225e-09	6.830203925678486e-10	2.200000046505432	1.3333333369167462
36.633663366336634	1.333333331758366	3.1761463217779484e-09	3.868377463355092e-10	2.200000025909876	1.33333333532135
37.62376237623762	1.3333333324176353	1.801042189473955e-09	2.1935737052332838e-10	2.200000014434824	1.333333334438035
38.613861386138616	1.3333333328032548	1.0154894932346616e-09	1.236812271681925e-10	2.200000007977715	1.3333333339424256
39.603960396039604	1.333333333025738	5.757886731185723e-10	7.012800174143021e-11	2.200000004430998	1.3333333336716546
40.59405940594059	1.3333333331461306	3.5263082671362846e-10	4.2948559161699657e-11	2.200000002695967	1.33333333354171
41.584158415841586	1.333333333201094	2.681939350360352e-10	3.266459331273122e-11	2.2000000021176302	1.3333333335019524
42.57425742574257	1.333333333233293	2.176194449816698e-10	2.6504889905019672e-11	2.2000000017770622	1.3333333334774173
43.56435643564356	1.3333333332666593	1.4568797093097032e-10	1.7744020260989922e-11	2.200000001196482	1.3333333334300912
44.554455445544555	1.3333333333018185	6.029043654523345e-11	7.343054549012002e-12	2.200000000465381	1.333333333369452
45.54455445544554	1.333333333321854	1.528969095458125e-11	1.862198816820067e-12	2.200000000086219	1.333333333339006
46.53465346534654	1.3333333333252226	1.460509212878842e-11	1.7788137500966098e-12	2.2000000001006623	1.3333333333416064
47.524752475247524	1.3333333333161046	4.525280359815227e-11	5.511543268699349e-12	2.2000000003931457	1.333333333366869
48.51485148514851	1.3333333332996655	9.36298000010703e-11	1.140360407448495e-11	2.200000000841635	1.3333333334046988
49.504950495049506	1.3333333333001558	9.071048239481414e-11	1.1048049318442182e-11	2.200000000818117	1.3333333334019144
