time	PII	PIIUMP	GLN	PIIUMP2	PIIUMP3	GS	AMP	GLU	AZGLU	ATP	ADP	AZGLN	UTP	PPi	UMP	NH4	KG	NADPH	NADP	AZglu	AZgln	P_i
0.0	0.003	0.0	1.0	0.0	0.0	0.014	0.0	1.0	1.0	2.685	2.685	1.0	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
0.9900990099009901	0.00010308985587054042	0.00031159323176704234	0.09359803354697453	0.0005620557984892508	0.00202326111386843	0.00894400591508362	0.005055994084916365	2.3331821779676156	0.44098513745099993	5.282064535848033	0.08793546415196271	0.14322823365005974	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
1.9801980198019802	1.4581917875719624e-05	8.345810567418862e-05	0.7226758770310765	0.00047973998400523767	0.002422219992440121	0.012860122913315163	0.0011398770866848191	4.092916216072484	0.7496978901463218	5.142958748434473	0.22704125156551125	0.6079644651395633	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
2.9702970297029703	1.8810212560816606e-05	9.509315979757469e-05	0.584069802464008	0.00047594420155248527	0.002410152426084389	0.012507301247637497	0.0014926987523624976	4.021009542060057	0.742690262779616	5.160345230599967	0.20965476940001615	0.5202828995678965	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
3.9603960396039604	1.852257297162338e-05	9.389042358665045e-05	0.5986193799811449	0.000476119013859683	0.00241146798957731	0.01254751433801414	0.001452485661985852	4.030264107463151	0.7434659293558546	5.158407631666922	0.21159236833306075	0.5301717627621897	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
4.9504950495049505	1.853256696715668e-05	9.390963268403517e-05	0.5975333702377842	0.0004758712019967274	0.002411686598347346	0.012546466611954738	0.0014535333880452488	4.028629943838793	0.743216314073777	5.158485281352547	0.21151471864743326	0.5293314738846561	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
5.9405940594059405	1.8533074474443126e-05	9.391571382389197e-05	0.5975895571606584	0.00047591258991085155	0.0024116386217860777	0.012546260438725568	0.0014537395612744144	4.0288512829448715	0.743257954002801	5.15849011106171	0.2115098889382722	0.529387488340767	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
6.930693069306931	1.8532916768428534e-05	9.391465677216624e-05	0.5975895075514853	0.00047590823659670136	0.0024116441898579684	0.012546301385619772	0.001453698614380205	4.0288296720103425	0.7432534187100889	5.158488721244923	0.21151127875505948	0.5293854756205036	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
7.920792079207921	1.853293767135527e-05	9.391477151825833e-05	0.5975890403563063	0.0004759085683993516	0.0024116437224062995	0.012546296701259278	0.0014537032987407012	4.028831189217286	0.7432537769475658	5.158488898612429	0.21151110138755347	0.5293853194881304	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
8.910891089108912	1.853293566855837e-05	9.391476219158507e-05	0.5975891156073647	0.00047590855271880316	0.0024116437494163183	0.012546297097883944	0.0014537029021160317	4.028831132999765	0.7432537587970685	5.158488882206582	0.21151111779340107	0.5293853618295398	0.5	0.05	0.01	0.05	0.2	0.15	0.05	0.1	0.1	10.0
