time	The_FOD_in_the_circulation__X1	The_FOD_in_the_metabolizing_tissues__X4	The_cumulative_FOD_excreted_in_the_non_urinary_pool__X3	The_FOD_in_the_gallbladder___intestinal_lumen__X5	The_cumulative_FOD_excreted_in_the_urine__X2
0.0	1.0	0.0	0.0	0.0	0.0
0.9900990099009901	3.65642256949222e-12	0.029592568822538797	0.10689331469848122	0.05553855706581866	0.8079755593883429
1.9801980198019802	2.694232133624828e-23	0.0036722117043145657	0.1373144874491551	0.008781594032609518	0.850231706792759
2.9702970297029703	-2.756271521393384e-28	0.0005536973227705826	0.14201444275231745	0.0013363008474613892	0.8560955590562885
3.9603960396039604	4.0296116511842086e-30	8.411996231520944e-05	0.1427290793074833	0.0002030812160349904	0.8569837194930044
4.9504950495049505	-2.0451723827928538e-32	1.2783294970317851e-05	0.1428376814738776	3.086159168113457e-05	0.8571186736183084
5.9405940594059405	1.3677957759494353e-33	1.9426498295289704e-06	0.14285418534900193	4.689971498780159e-06	0.8571391820085071
6.930693069306931	-1.7296964113868273e-35	2.9525564668369344e-07	0.1428566933546352	7.128101862137594e-07	0.8571422985583692
7.920792079207921	-1.8634192448909511e-35	4.4918297537962143e-08	0.14285707447015547	1.0844236309211328e-07	0.8571427721480211
8.910891089108912	-6.27928404144799e-36	6.836217708664853e-09	0.14285713244660891	1.650408951101272e-08	0.8571428441919213
9.900990099009901	-5.166903040379733e-37	1.068608562082071e-09	0.14285714122726176	2.5798492806938367e-09	0.8571428551031177
10.89108910891089	-4.037227361568273e-35	2.232776567806042e-10	0.14285714251420012	5.390398879855541e-10	0.8571428567023195
11.881188118811881	1.0654578197174743e-35	9.375478776564598e-11	0.14285714271138672	2.2634408818031126e-10	0.8571428569473517
12.871287128712872	-2.581712537337649e-35	-5.1755837284388486e-11	0.1428571429329132	-1.2494965450929982e-10	0.8571428572226295
13.861386138613861	-8.218573858395629e-36	-6.721598979455956e-11	0.14285714295644988	-1.622737686196834e-10	0.8571428572518771
14.85148514851485	2.231687895230203e-37	-1.9652333316954273e-11	0.1428571428840386	-4.744493039721348e-11	0.857142857161896
15.841584158415841	-4.186643068136959e-37	2.089384984993068e-12	0.14285714285093884	5.044221341240019e-12	0.857142857120765
16.831683168316832	8.46715299462503e-38	-2.9670369624000684e-12	0.14285714285863677	-7.163061075390495e-12	0.8571428571303307
17.821782178217823	1.3459679984215901e-36	-3.26713952777448e-11	0.14285714290385892	-7.887572677901813e-11	0.8571428571865255
18.81188118811881	8.115179586219412e-37	-4.2268950126503085e-11	0.14285714291847032	-1.0204627356741211e-10	0.8571428572046823
19.801980198019802	8.442437993770514e-37	-4.864511305418833e-11	0.14285714292817744	-1.1743969252719763e-10	0.8571428572167448
20.792079207920793	2.7667452330541413e-37	-3.386998594969064e-11	0.14285714290568366	-8.176938216408891e-11	0.857142857188793
21.78217821782178	1.7854852702536127e-38	-1.3881437973780902e-11	0.14285714287525295	-3.351276566705371e-11	0.8571428571509785
22.77227722772277	-1.9633462625459117e-38	7.051178548572947e-13	0.14285714285304627	1.7022950439594648e-12	0.8571428571233836
23.762376237623762	5.428332403105534e-39	4.439028962420113e-12	0.14285714284736173	1.0716762079267595e-11	0.8571428571163198
24.752475247524753	6.005427966674734e-39	3.472058229821977e-12	0.14285714284883383	8.382292103576644e-12	0.8571428571181491
25.742574257425744	3.205746835130656e-39	-7.522522724750006e-13	0.142857142855265	-1.8160944243506223e-12	0.8571428571261407
26.73267326732673	-6.1098897023904264e-40	-2.7769196269971032e-12	0.14285714285834736	-6.704076171992964e-12	0.8571428571299708
27.722772277227723	-4.646404824125051e-39	-8.699976658929981e-12	0.14285714286736467	-2.1003602248478733e-11	0.8571428571411761
28.712871287128714	-4.4343827247858414e-39	-9.958935489534937e-12	0.1428571428692813	-2.4042998072792822e-11	0.8571428571435579
29.7029702970297	-1.1376969732281566e-39	-7.442113341940809e-12	0.14285714286544968	-1.7966851411265058e-11	0.8571428571387966
30.693069306930692	-2.009310679094297e-39	-8.24442634737581e-12	0.14285714286667112	-1.9903806797898245e-11	0.8571428571403144
31.683168316831683	-7.450848191920173e-40	-5.1234085198391336e-12	0.14285714286191967	-1.2369004924196318e-11	0.85714285713441
32.67326732673267	-1.4422053795128466e-40	-2.5579475422325267e-12	0.14285714285801399	-6.175435113975145e-12	0.8571428571295566
33.663366336633665	-1.3161450936243787e-40	-1.0088878412750771e-12	0.14285714285565568	-2.4356738684881815e-12	0.8571428571266262
34.65346534653465	-2.7189153086098136e-41	3.7677257498142165e-14	0.14285714285406237	9.09590198622763e-14	0.8571428571246463
35.64356435643565	-1.8262397981315236e-40	1.967697785882887e-12	0.1428571428511241	4.750440535540874e-12	0.8571428571209951
36.633663366336634	-3.3643503011278896e-40	3.554275819395681e-12	0.14285714284870868	8.580778529682852e-12	0.8571428571179935
37.62376237623762	-4.2304276370840375e-40	4.419240520735828e-12	0.14285714284739184	1.0668988045973216e-11	0.8571428571163573
38.613861386138616	-3.768676403233953e-40	4.184421052602681e-12	0.14285714284774934	1.010208412809706e-11	0.8571428571168015
39.603960396039604	-1.3233011968115949e-40	2.471646577695561e-12	0.1428571428503569	5.967081819739404e-12	0.8571428571200417
40.59405940594059	-6.2954599616049e-41	1.7969511404675856e-12	0.14285714285138407	4.338223383518922e-12	0.8571428571213181
41.584158415841586	-1.1755735700869775e-40	1.8770490564876666e-12	0.1428571428512621	4.531596838217624e-12	0.8571428571211666
42.57425742574257	-1.4829358039698108e-40	1.7915458170205097e-12	0.14285714285139228	4.325173759422104e-12	0.8571428571213283
