time	Susceptible	Exposed	Infected	Recovered	Total_Population
0.0	11080778.0	193.0	27.0	2.0	11081000.0
0.9900990099009901	11080689.828827577	250.64654061179894	55.588355938436635	3.9362758687539485	11081000.0
1.9801980198019802	11080569.608992726	330.8651788788035	92.11682603100088	7.4090023587678715	11081000.0
2.9702970297029703	11080405.69861217	441.64418544984215	139.78931472423253	12.867887647839929	11081000.0
3.9603960396039604	11080182.227061652	593.9007177272729	202.93204146509711	20.940179152600845	11081000.0
4.9504950495049505	11079877.559939522	802.5402316865558	287.4065172715666	32.49331151859485	11081000.0
5.9405940594059405	11079462.207559956	1087.9002434573817	401.1716542424582	48.72054234341629	11081000.0
6.930693069306931	11078895.975905094	1477.7171142285756	555.0490980858299	71.25788259107989	11081000.0
7.920792079207921	11078124.086874196	2009.8041357621337	763.7653514513183	102.34363859596093	11081000.0
8.910891089108912	11077071.897214144	2735.6961400966447	1047.370670978589	145.03597478991924	11081000.0
9.900990099009901	11075637.714194952	3725.605866938375	1433.1704732343976	203.50946488499153	11081000.0
10.89108910891089	11073683.029918518	5075.157699694352	1958.3532419972423	283.4591398007933	11081000.0
11.881188118811881	11071019.261258215	6914.524170966035	2673.5638194932476	392.65075134189976	11081000.0
12.871287128712872	11067389.77198505	9420.800490890868	3647.7577616222547	541.6697624489426	11081000.0
13.861386138613861	11062445.548473282	12834.723705143742	4974.78768233677	744.9401392547313	11081000.0
14.85148514851485	11055712.381267399	17483.18591599343	6782.323928032411	1022.1088885932734	11081000.0
15.841584158415841	11046546.758055568	23809.408713392808	9243.907857047438	1399.9253740120105	11081000.0
16.831683168316832	11034076.903108692	32413.124961430698	12595.183875356606	1914.7880545403575	11081000.0
17.821782178217823	11017124.549254399	44103.60355310913	17155.659200986913	2616.1879915243376	11081000.0
18.81188118811881	10994102.2321834	59968.727522218906	23357.6895596294	3571.3507347713253	11081000.0
19.801980198019802	10962880.449942358	81463.33148325636	31784.751000634235	4871.467573773115	11081000.0
20.792079207920793	10920619.528143134	110519.10978316201	43221.3495580299	6640.0125156961585	11081000.0
21.78217821782178	10863563.57430593	149675.70264832675	58716.96733505217	9043.75571071233	11081000.0
22.77227722772277	10786800.378934106	202226.51687252882	79665.9155022925	12307.18869109338	11081000.0
23.762376237623762	10684004.479313971	272361.1034261872	107903.28537961801	16731.131880249028	11081000.0
24.752475247524753	10547204.880933637	365265.4538275629	145813.43990507585	22716.2253337464	11081000.0
25.742574257425744	10366658.326489676	487109.6111944755	196440.3803955318	30791.681920341205	11081000.0
26.73267326732673	10130964.67120095	644808.9914121031	263577.42341458425	41648.91397239029	11081000.0
27.722772277227723	9827623.652485088	845401.9757192371	351796.19289297785	56178.178902725405	11081000.0
28.712871287128714	9444270.376014259	1094871.748214077	466353.88286366133	75503.99290803114	11081000.0
29.7029702970297	8970774.450822234	1396312.9882439908	612900.8441985652	101011.71673523729	11081000.0
30.693069306930692	8402154.601965275	1747576.9704641358	796914.4486701004	134353.9789005158	11081000.0
31.683168316831683	7741796.48631563	2138947.039029727	1022833.4664746128	177423.00818005725	11081000.0
32.67326732673267	7003886.223248578	2551861.7322852556	1292975.975240719	232276.06922547356	11081000.0
33.663366336633665	6213672.291266036	2959845.355975483	1606473.7046537662	301008.6481047415	11081000.0
34.65346534653465	5404632.542157649	3332212.224110186	1958571.0423971207	385584.1913350693	11081000.0
35.64356435643565	4612933.019675959	3639807.474648583	2340613.5900836694	487645.9155918136	11081000.0
36.633663366336634	3871005.9106675647	3860802.245650669	2740844.4551872415	608347.388494552	11081000.0
37.62376237623762	3202564.7502845204	3984373.958014612	3145824.2283658055	748237.0633350895	11081000.0
38.613861386138616	2620519.180210517	4011194.8793578856	3542068.661094748	907217.2793368782	11081000.0
39.603960396039604	2127758.8409483624	3951186.070815165	3917477.488743815	1084577.5994926866	11081000.0
40.59405940594059	1719702.0967296932	3819928.742565347	4262283.853908736	1279085.3067962534	11081000.0
41.584158415841586	1387305.2886792964	3635122.617544986	4569464.030376633	1489108.0633991135	11081000.0
42.57425742574257	1119638.6668029844	3413913.90250409	4834702.521369795	1712744.9093231598	11081000.0
43.56435643564356	905675.715308409	3171304.9503607904	5056071.178451057	1947948.1558797725	11081000.0
44.554455445544555	735320.7878761897	2919479.4895693366	5233573.427582233	2192626.294972271	11081000.0
45.54455445544554	599864.9106457368	2667746.8084621746	5368663.9600238735	2444724.320868246	11081000.0
46.53465346534654	492079.9549178406	2422828.757643508	5463809.271084747	2702282.016353936	11081000.0
47.524752475247524	406117.8466155316	2189290.1721710395	5522119.00940065	2963472.9718128103	11081000.0
48.51485148514851	337325.4384995849	1969991.4206759306	5547055.203179019	3226627.9376454973	11081000.0
49.504950495049506	282039.32466731034	1766500.6150223936	5542213.944541186	3490246.1157691395	11081000.0
50.495049504950494	237393.21468172997	1579440.5102180068	5511168.687634838	3752997.5874654567	11081000.0
51.48514851485149	201151.3798115975	1408766.0812006467	5457363.021896347	4013719.517091441	11081000.0
52.475247524752476	171571.30413691897	1253978.9012848006	5384041.586489282	4271408.208089032	11081000.0
53.46534653465346	147293.6735717575	1114288.2795688035	5294209.459916797	4525208.5869426755	11081000.0
54.45544554455446	127255.86657332661	988729.6414148748	5190612.216435057	4774402.275576772	11081000.0
55.445544554455445	110624.70435880226	876249.6468601042	5075730.565332822	5018395.083448305	11081000.0
56.43564356435643	96744.5321061386	775766.015225411	4951784.955259967	5256704.497408515	11081000.0
57.42574257425743	85097.28378413038	686208.4487731348	4820746.710260319	5488947.557182451	11081000.0
