time	species_1	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9	species_10
0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
0.9900990099009901	0.9084702112225702	0.5369330359120211	0.5370244772846123	9.416906272716924e-05	2.7276900429151118e-06	0.09143289202471072	1.0	1.0	1.0	0.9756457647278511
1.9801980198019802	0.7882477704334319	0.6502104805433491	0.6503646628212456	0.00015879222460692772	4.609946675204253e-06	0.2115888273953052	1.0	1.0	1.0	0.8855616798563983
2.9702970297029703	0.7358338066535693	0.6845508627744719	0.6847222175706557	0.00017648530355979868	5.1305073634205755e-06	0.2639845775355145	1.0	1.0	1.0	0.8027271975723029
3.9603960396039604	0.7163198299273317	0.6972695007202585	0.6974443125608477	0.00018004920631283926	5.237365718926781e-06	0.2834948835006389	1.0	1.0	1.0	0.752584579730313
4.9504950495049505	0.7091494173270615	0.7020747634213113	0.7022499632424538	0.00018045009265977452	5.250271515528209e-06	0.290664882308764	1.0	1.0	1.0	0.7268173669906574
5.9405940594059405	0.706502701658692	0.7038774815820479	0.7040525671546457	0.00018033284153730453	5.24726893872963e-06	0.29331171823083235	1.0	1.0	1.0	0.7146157580982008
6.930693069306931	0.7055222064616815	0.7045501261492255	0.7047250951614984	0.00018021290756022824	5.243895287215772e-06	0.29429233673547117	1.0	1.0	1.0	0.7091103727520056
7.920792079207921	0.7051583445551116	0.7048004711166432	0.7049753754880221	0.00018014635692727642	5.241985548323408e-06	0.2946562671024128	1.0	1.0	1.0	0.7067044624542098
8.910891089108912	0.7050232180036293	0.7048935470386078	0.7050684212319298	0.00018011527796418458	5.241084642258583e-06	0.29479142563376426	1.0	1.0	1.0	0.7056767557431516
9.900990099009901	0.7049730221688629	0.7049281375849158	0.7051029987829694	0.00018010189206999643	5.2406940162563714e-06	0.29484163524505086	1.0	1.0	1.0	0.7052452189214506
10.89108910891089	0.7049543738662383	0.7049409906332169	0.7051158464865749	0.00018009638589415862	5.240532536057628e-06	0.29486028921533153	1.0	1.0	1.0	0.7050664219249634
11.881188118811881	0.7049474454079313	0.7049457663201689	0.7051206200380846	0.00018009418567287844	5.240467757011045e-06	0.2948672199386388	1.0	1.0	1.0	0.7049931314803666
12.871287128712872	0.7049448712145522	0.7049475407357777	0.7051223936168991	0.00018009332341078425	5.240442289304126e-06	0.29486979501974764	1.0	1.0	1.0	0.7049633522990086
13.861386138613861	0.7049439148514228	0.7049481999776736	0.7051230525353244	0.00018009299006875948	5.240432417753965e-06	0.2948707517260906	1.0	1.0	1.0	0.7049513415580511
14.85148514851485	0.7049435594849736	0.704948444942108	0.7051232973759208	0.00018009286244282578	5.240428629931429e-06	0.29487110722395365	1.0	1.0	1.0	0.7049465269919875
15.841584158415841	0.704943427438679	0.7049485359661078	0.7051233883528487	0.00018009281392805673	5.240427187394789e-06	0.29487123932020554	1.0	1.0	1.0	0.7049446073524624
16.831683168316832	0.7049433783924093	0.7049485697755414	0.7051234221444909	0.0001800927955905228	5.240426641297263e-06	0.29487128838535887	1.0	1.0	1.0	0.7049438457101171
17.821782178217823	0.7049433601640442	0.7049485823410852	0.7051234347033336	0.00018009278868382522	5.2404264353455235e-06	0.2948713066208366	1.0	1.0	1.0	0.704943544641633
18.81188118811881	0.7049433533809272	0.704948587016973	0.7051234393767029	0.00018009278608742199	5.240426357838989e-06	0.2948713134066277	1.0	1.0	1.0	0.70494342595926
19.801980198019802	0.7049433508574612	0.7049485887565081	0.7051234411152935	0.0001800927851139783	5.240426328753964e-06	0.2948713159310961	1.0	1.0	1.0	0.7049433793418632
20.792079207920793	0.7049433499311483	0.7049485893950572	0.7051234417534935	0.00018009278475418096	5.240426317994715e-06	0.2948713168577797	1.0	1.0	1.0	0.7049433612529463
21.78217821782178	0.7049433495784222	0.7049485896382074	0.7051234419965102	0.00018009278461664503	5.240426313879785e-06	0.29487131721064747	1.0	1.0	1.0	0.7049433540689981
22.77227722772277	0.7049433494465084	0.7049485897291417	0.7051234420873944	0.0001800927845650376	5.240426312334981e-06	0.2948713173426142	1.0	1.0	1.0	0.7049433512601732
23.762376237623762	0.7049433494263241	0.704948589743056	0.7051234421013005	0.00018009278455666914	5.240426312082638e-06	0.2948713173628071	1.0	1.0	1.0	0.7049433506107614
24.752475247524753	0.7049433494132403	0.7049485897520754	0.705123442110315	0.00018009278455153227	5.2404263119287234e-06	0.2948713173758962	1.0	1.0	1.0	0.704943350287757
25.742574257425744	0.7049433493788887	0.7049485897757553	0.7051234421339823	0.00018009278453850808	5.240426311540419e-06	0.29487131741026135	1.0	1.0	1.0	0.704943349712575
26.73267326732673	0.7049433493515874	0.7049485897945751	0.7051234421527919	0.0001800927845280632	5.240426311228733e-06	0.2948713174375733	1.0	1.0	1.0	0.704943349246991
27.722772277227723	0.7049433493288031	0.7049485898102813	0.7051234421684895	0.0001800927845192981	5.240426310967013e-06	0.29487131746036654	1.0	1.0	1.0	0.7049433488509036
28.712871287128714	0.7049433493207609	0.7049485898158251	0.7051234421740304	0.0001800927845161443	5.2404263108726224e-06	0.29487131746841194	1.0	1.0	1.0	0.7049433486923019
29.7029702970297	0.7049433493301486	0.7049485898093538	0.7051234421675626	0.00018009278451967928	5.240426310977887e-06	0.2948713174590207	1.0	1.0	1.0	0.704943348828388
30.693069306930692	0.704943349341452	0.7049485898015618	0.7051234421597748	0.0001800927845239903	5.240426311106464e-06	0.29487131744771283	1.0	1.0	1.0	0.7049433490087457
