time	z	e	w	ez
0.0	2.4e-05	0.0	0.0	0.0
0.9900990099009901	2.3904014143383703e-05	9.372843823201216e-08	9.485714742415612e-08	1.1287127633270274e-09
1.9801980198019802	2.3806265488493954e-05	1.8492954626821155e-07	1.893320288871296e-07	4.402489433696769e-09
2.9702970297029703	2.370681527257708e-05	2.736532271786376e-07	2.834189773007801e-07	9.765758844153125e-09
3.9603960396039604	2.3605738422611043e-05	3.599633245361208e-07	3.7711245096253877e-07	1.714913438540877e-08
4.9504950495049505	2.3503109391473356e-05	4.4392429882727055e-07	4.704074536769573e-07	2.648315833396554e-08
5.9405940594059405	2.3399001481305164e-05	5.255999731438914e-07	5.63299245919364e-07	3.7699268567319347e-08
6.930693069306931	2.3293469358830202e-05	6.050381422378769e-07	6.557843917038358e-07	5.0746235208660136e-08
7.920792079207921	2.318661122218335e-05	6.823247324206449e-07	7.47856755118646e-07	6.553199775571934e-08
8.910891089108912	2.307849706029717e-05	7.575214582394093e-07	8.395121989711207e-07	8.199070605031322e-08
9.900990099009901	2.2969210155290932e-05	8.307017742785309e-07	9.307458094937993e-07	1.0004399372693385e-07
10.89108910891089	2.285881443594234e-05	9.019228518029762e-07	1.0215542079303178e-06	1.1963131060621942e-07
11.881188118811881	2.2747381196004186e-05	9.712480100835911e-07	1.1119334070397028e-06	1.406853508361294e-07
12.871287128712872	2.2634963925727822e-05	1.0387258430566938e-06	1.2018809586644358e-06	1.6315507029723545e-07
13.861386138613861	2.25216275141654e-05	1.1044144025800989e-06	1.2913934442073507e-06	1.8697899835056226e-07
14.85148514851485	2.240742453437243e-05	1.1683616945472833e-06	1.3804685800874279e-06	2.1210684415367007e-07
15.841584158415841	2.229241244233865e-05	1.2306198135449025e-06	1.4691036856031268e-06	2.3848383221714783e-07
16.831683168316832	2.21766428435678e-05	1.2912362845180146e-06	1.5572967204751083e-06	2.6606039782566035e-07
17.821782178217823	2.206017399056491e-05	1.35026372263454e-06	1.6450448660348167e-06	2.9478110619451835e-07
18.81188118811881	2.19430543674266e-05	1.4077471834217547e-06	1.7323464079975787e-06	3.24599188062149e-07
19.801980198019802	2.182533440693277e-05	1.463733234221903e-06	1.8191994136445662e-06	3.5546614364944137e-07
20.792079207920793	2.1707069438560774e-05	1.5182722413016447e-06	1.9056014013704362e-06	3.873291246918804e-07
21.78217821782178	2.1588290877881193e-05	1.5713956586795462e-06	1.9915523903991787e-06	4.20156696793438e-07
22.77227722772277	2.1469050579112395e-05	1.6231511266607062e-06	2.077050273774157e-06	4.5389911257103104e-07
23.762376237623762	2.1349397086440984e-05	1.6735836604299806e-06	2.1620932869945e-06	4.885095922756276e-07
24.752475247524753	2.122937791870495e-05	1.7227374589539713e-06	2.246679770124513e-06	5.239422769384793e-07
25.742574257425744	2.1109027335468596e-05	1.7706460748506732e-06	2.3308093696910397e-06	5.601632610576854e-07
26.73267326732673	2.0988375832073318e-05	1.8173400347169898e-06	2.414482101321838e-06	5.971420344227626e-07
27.722772277227723	2.0867472141145653e-05	1.8628644966117333e-06	2.497696177733042e-06	6.348316514922892e-07
28.712871287128714	2.0746355524328192e-05	1.9072570125667657e-06	2.5804507441192882e-06	6.731937056919807e-07
29.7029702970297	2.0625063349683843e-05	1.950553609991793e-06	2.6627451301539787e-06	7.121914994221088e-07
30.693069306930692	2.0503616514615916e-05	1.9927770940828037e-06	2.7445802897334466e-06	7.518031794106745e-07
31.683168316831683	2.03820550916368e-05	2.033965652291937e-06	2.825955280327571e-06	7.919896164421545e-07
32.67326732673267	2.026041041895363e-05	2.074150458008616e-06	2.9068700195274964e-06	8.327195544282705e-07
