time	comp1	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	kf_0	kr_0	kf_1	kr_1	kf_2	kr_2	kf_3	kr_3	kf_4	kr_4	kf_5	kr_5	kf_6	kr_6	kf_7	kr_7	kf_8	kr_8	kf_9	kr_9	kf_10	kr_10	kf_11	kr_11	kf_12	kr_12	kf_13	kr_13	kf_14	kr_14	kf_15	kr_15	kf_16	kr_16	t2	React0	React1	React2	React3	React4	React5	React6	React7	React8	React9	React10	React11	React12	React13	React14	React15	React16
0.0	1.0E-16	0.0	0.0	0.0	0.0	0.0	1.66057788110262E-21	0.0	0.0	0.0	0.0	0.0	0.0	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	4.9817336433078594E-18	0.0	0.0	0.0	0.0	8.967120557954149E-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0E-16	2.273065961218153E-24	7.413205467775106E-24	1.1838297113202883E-24	3.583860031427315E-27	2.674046109357041E-23	7.292841613755271E-23	6.831146930534294E-23	4.8577086870463595E-28	1.3891678907158669E-21	3.643279732016901E-25	9.89341750142815E-27	9.218125168819978E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	4.861559664094814E-21	3.741636260865168E-21	3.665102654804746E-21	5.23291388474654E-25	1.8285253780834013E-22	6.756563748634627E-25	2.325665331465637E-22	2.743063318402362E-26	6.465075935724058E-24	3.3600661163776816E-26	1.060004225577904E-23	7.183990422841432E-22	7.133071473937812E-31	2.053597916040371E-28	4.940879500289619E-28	3.702230798209133E-25	6.937642077262694E-23
2.0	1.0E-16	1.3770992204237691E-24	7.45521085048388E-24	6.9129815477633E-25	1.9685864172517745E-27	1.4712609242357743E-23	3.9247268277485913E-23	1.3958003383703223E-22	9.925691589836054E-28	1.3977894084729053E-21	7.444268582933826E-25	9.940707415983822E-27	5.896762432571089E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	4.0930893595780487E-23	3.5326336756311115E-23	3.563958471545559E-23	-6.705680551216958E-26	1.798668381621085E-23	-6.720843647676792E-26	1.8482257419362184E-23	1.2788460159396958E-27	5.010079425789683E-25	1.60290668408046E-27	7.502014924682E-25	4.7143065651164314E-23	4.377728586926077E-32	1.6743816111440633E-29	4.958442878084108E-28	3.71867230294242E-25	6.972197438304083E-23
3.0	1.0E-16	1.272302749745209E-24	7.137646230209742E-24	6.380945516568814E-25	1.8148824894181485E-27	1.356373962310655E-23	3.617087214140292E-23	2.078481881426208E-22	1.4780315700070222E-27	1.3382825126873092E-21	1.1085236747297518E-24	9.516898381914774E-27	5.454319148924015E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	2.6994393563560882E-24	-1.1234561263513796E-23	-1.1151550111831348E-23	-6.848945806100911E-26	1.4635478551252247E-23	-6.845992935842503E-26	1.490707946399712E-23	1.1022490535480287E-28	2.092438161391372E-25	1.5998509317626894E-28	2.466724098241445E-25	6.854994508082439E-24	1.1102060177917625E-32	6.95366107630966E-30	4.740712812117303E-28	3.555520831008114E-25	6.666470780859431E-23
4.0	1.0E-16	1.2127532815590178E-24	6.816732934148577E-24	6.08214829249225E-25	1.7298405529157185E-27	1.2928139936037277E-23	3.4475605081841153E-23	2.72961808303641E-22	1.941061756481957E-27	1.2781140936528246E-21	1.4557963150848592E-24	9.088994323520754E-27	5.1991976871444484E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.6957572252429206E-24	-1.1842600888372885E-23	-1.1785363240607999E-23	-6.545446596614923E-26	1.3900883535276617E-23	-6.545122729553397E-26	1.4149559541969428E-23	5.123396795391803E-29	1.8665200026855496E-25	8.502012247202688E-29	2.1194905517859397E-25	4.567121570101688E-24	9.106434010574242E-33	6.1981608810279114E-30	4.521204420682595E-28	3.3908969112932705E-25	6.357815051267687E-23
5.0	1.0E-16	1.1580233123763177E-24	6.509808882685445E-24	5.807662962866835E-25	1.651770845851213E-27	1.2344676258421429E-23	3.291966350229715E-23	3.3505258876736857E-22	2.382596194903132E-27	1.2205669719717488E-21	1.786947144023056E-24	8.679760530266134E-27	4.964572083968478E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.5804395200099546E-24	-1.1358610388939745E-23	-1.130521648982051E-23	-6.2508262363307E-26	1.3271388320272133E-23	-6.250684395264046E-26	1.3508261769273122E-23	4.6060056623945876E-29	1.7754825417634666E-25	7.758128007355535E-29	2.0114352541799434E-25	4.255169496579091E-24	8.617171898372396E-33	5.8956356100261025E-30	4.311289110794229E-28	3.233461075614446E-25	6.06262854920666E-23
6.0	1.0E-16	1.1059384752059749E-24	6.217091191635546E-24	5.54644898243096E-25	1.5774781070206864E-27	1.1789441776076294E-23	3.143901318850967E-23	3.942601531526392E-22	2.8036277634951888E-27	1.1656834122509542E-21	2.102720820566091E-24	8.289469482341932E-27	4.741279477328056E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.5053569186649316E-24	-1.0852939181154935E-23	-1.0802085117144963E-23	-5.969759975829063E-26	1.2674253682355926E-23	-5.96964340281898E-26	1.2900409703835015E-23	4.368048361415027E-29	1.694894456852119E-25	7.370284434869455E-29	1.9196255667960634E-25	4.052331542338079E-24	8.221202524376732E-33	5.628023004231042E-30	4.111091208009024E-28	3.08331294597098E-25	5.781105842876455E-23
7.0	1.0E-16	1.0562774829373611E-24	5.937963859187757E-24	5.297391236777625E-25	1.506642875974474E-27	1.1260047416536419E-23	3.0027271596280357E-23	4.50718349296517E-22	3.2051082690566322E-27	1.1133479940762634E-21	2.4038311998306816E-24	7.917298992234088E-27	4.5283778001095493E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.4354565497191885E-24	-1.0368602193150454E-23	-1.0320112646010002E-23	-5.701740065244635E-26	1.2105001657713728E-23	-5.701639853292541E-26	1.2320965272665073E-23	4.153995123770976E-29	1.618361715282181E-25	7.016642574164732E-29	1.8326449001688919E-25	3.8636848201366605E-24	7.847169980225975E-33	5.37388601500044E-30	3.920188196888365E-28	2.94013595519591E-25	5.512653768465736E-23
8.0	1.0E-16	1.0089228184359678E-24	5.671798003358701E-24	5.059900103147864E-25	1.4390973440214016E-27	1.0755238964400078E-23	2.868109353407571E-23	5.045548453306595E-22	3.587945573854122E-27	1.0634428081468083E-21	2.69095917851792E-24	7.56241050624276E-27	4.325363566246863E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.3688870264963806E-24	-9.906648375368324E-24	-9.860410649000905E-24	-5.44616570555503E-26	1.1562191224721681E-23	-5.446080703025601E-26	1.1768437109495144E-23	3.950529347716652E-29	1.5453986358562442E-25	6.680238387368544E-29	1.749731789043711E-25	3.684038650457835E-24	7.490686899951142E-33	5.131604098899609E-30	3.738149906235131E-28	2.803607491537136E-25	5.256667459294362E-23
9.0	1.0E-16	9.637671346287985E-25	5.417991854275131E-24	4.833437206206431E-25	1.37468838466237E-27	1.0273872009047074E-23	2.739742716179586E-23	5.5589138277024075E-22	3.9530053953280344E-27	1.015855024870654E-21	2.9647540447083345E-24	7.224001660848087E-27	4.131776584105235E-23	3000.0	8000.0	1500.0	16000.0	30000.0	700.0	3000.0	8.64	1500.0	17.28	0.54	10800.0	130.0	2740.0	3000.0	4.0	1500.0	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3000.0	4.0	1500.0	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	20.0	1.3054130109887464E-24	-9.466140490164824E-24	-9.422049872687826E-24	-5.202459217524658E-26	1.1044587197579878E-23	-5.202388698383271E-26	1.1241566675557441E-23	3.7565443738538586E-29	1.475824474658923E-25	6.35949662768402E-29	1.670670278810367E-25	3.5127466758172615E-24	7.150764637284111E-33	4.9005755237228194E-30	3.564564765680108E-28	2.673418878601066E-25	5.0125681584208415E-23
