time	c0	c1	c2	sul_ex	eth_ex	oxy_ex	oxy	H2O	A3c	aps	PPi	pap	sul	eth	A2c	hyd	cys	N2	N1	aco	oah	S1	S2	C1	C2	A2m	A3m	Ho	Hm	k_v0	k2	k3	k4	k5	k6	k7	k8	k9	k_v10	k11	k12	k_v13	k14	k15	k16	k17	k18	n	m	Ka	Kc	a	Ac	Am	S	N	Kh	v1	v13	v2	v10	v14	v3	v4	v5	v6	v7	v15	v17	v18	v8	v9	v11a	v11a2	v16	v11b	vLEAK	v12
0.0	1.0	1.0	1.0	0.0	0.0	0.0	7.0	0.0	1.5	0.5	0.0	0.4	0.4	4.0	0.5	0.5	0.3	2.0	0.0	0.3	1.5	1.5	0.5	0.0	0.0	0.5	1.5	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.01951219512195123	4.0	0.12000000000000002	80.0	70.0	0.15000000000000002	0.16000000000000003	0.07500000000000001	0.036	0.0	1.5	0.01	1.5	1.5	0.0	9.722222222222221	9.722222222222221	7.5	9.722222222222221	0.0	7.5
1.0	1.0	1.0	1.0	0.0	0.0	0.0	7.259444852005974	0.0	1.4844994126084876	0.4613566576889659	0.0	0.39042509830969513	0.30952440251594954	5.443789974253063	0.5155005873915124	0.5659163039870656	0.3391801323128475	1.95659087766429	0.04340912233571004	0.2979222834356243	1.4296614096281899	1.7080784413230874	0.2919215586769126	0.0	0.0	0.5237829655791892	1.4762170344208108	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.011998563928961916	4.0	0.09189775874458404	80.0	72.59444852005973	0.136976737468457	0.15278043715278664	0.08090687008897235	0.040701615877541696	2.36310144962263	1.4896114171781216	0.011318326079741313	1.4296614096281899	0.8696993734511239	0.7414618601838282	7.213877497840314	7.213877497840314	7.609907483612845	7.439063635366678	0.0	7.422497063042438
2.0	1.0	1.0	1.0	0.0	0.0	0.0	7.414885904988858	0.0	1.4350162058003424	0.413216195545627	0.0	0.36882277903225297	0.23935011198888584	7.242085429928475	0.5649837941996576	0.6191786025241215	0.3804165920500946	1.9715308434391265	0.028469156560873454	0.2965294076566549	1.4132712896630535	1.803268227041187	0.19673177295881294	0.0	0.0	0.7068523229603179	1.2931476770396821	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0076034975871503456	4.0	0.06869425791283561	80.0	74.14885904988859	0.11859438742142761	0.14542909692500405	0.08750673421210324	0.04564999104601135	2.061760639318543	1.4826470382832746	0.01238357205048243	1.4132712896630535	0.5833675610272032	0.5133752547688426	5.7298153505648255	5.7298153505648255	7.306074810343531	7.118600542411301	0.0	7.175081029001712
3.0	1.0	1.0	1.0	0.0	0.0	0.0	7.507869955214904	0.0	1.376385262425633	0.36350574571184824	0.0	0.33811926840705475	0.18604771936050007	9.280886348376455	0.623614737574367	0.6566217329946266	0.4219564579686128	1.9797582174430142	0.020241782556985832	0.29271293428062173	1.392654468116996	1.8574269086715427	0.1425730913284573	0.0	0.0	0.8814568455012923	1.1185431544987077	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.005031316154667898	4.0	0.05121466780713848	80.0	75.07869955214903	0.10006479024096553	0.13387888002093737	0.09144471903176916	0.05063477495623354	1.8786168339993448	1.4635646714031085	0.013132434659892531	1.392654468116996	0.417329879122118	0.37597631600823744	4.853452263533325	4.853452263533325	6.9753999575831624	6.821483148392926	0.0	6.881926312128165
4.0	1.0	1.0	1.0	0.0	0.0	0.0	7.555358553942053	0.0	1.3266669791801617	0.31634276515327187	0.0	0.30273833891442714	0.1456940127019358	11.45101584847273	0.6733330208198383	0.6778086288031174	0.4614753395334619	1.9843053035095377	0.01569469649046229	0.2938741339683288	1.379012254423673	1.890260161710411	0.10973983828958911	0.0	0.0	1.002306240386943	0.9976937596130571	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0035202169615675353	4.0	0.03865748714318266	80.0	75.55358553942054	0.0839363001262781	0.12014505829671313	0.09347064052736055	0.05537704074401543	1.7972021824925302	1.469370669841644	0.013556172576062349	1.379012254423673	0.3224969993917745	0.2966705952605707	4.417328514885566	4.417328514885566	6.717801530133612	6.6336245380527465	0.0	6.633334895900809
5.0	1.0	1.0	1.0	0.0	0.0	0.0	7.568256609403299	0.0	1.3055859392193099	0.2730508940673033	0.0	0.26698470174065986	0.11468615631787704	13.654349390914687	0.6944140607806901	0.6829674705697771	0.4981550450504022	1.9867252054407158	0.013274794559284153	0.3048991850699953	1.3935711500390102	1.9112428808217303	0.08875711917826967	0.0	0.0	1.0456988132549419	0.954301186745058	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0025939237176575165	4.0	0.02994652662234562	80.0	75.68256609403299	0.07129828159710651	0.10608504728304814	0.09517637634011583	0.05977860540604826	1.8125868300507917	1.5244959253499766	0.013659349411395544	1.3935711500390102	0.2706197330661487	0.25371356595802874	4.320130913756089	4.320130913756089	6.626801622954675	6.624957310943706	0.0	6.52792969609655
6.0	1.0	1.0	1.0	0.0	0.0	0.0	7.549884343648025	0.0	1.3229526505313338	0.23346958920875177	0.0	0.23388410464561693	0.09021987867376365	15.79020195195704	0.6770473494686662	0.6723548609418996	0.5327405668175047	1.987741330299887	0.012258669700113023	0.3306291541529865	1.457946293938472	1.9251833002252385	0.07481669977476146	0.0	0.0	1.004959762353422	0.9950402376465779	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0019838922407002814	4.0	0.0238713255244142	80.0	75.49884343648026	0.06177384237243597	0.09298022026085531	0.09802572777217591	0.06392886801810056	1.9356687022712127	1.6531457707649324	0.013447097218837991	1.457946293938472	0.24736582163047316	0.23600186189634725	4.535983673964209	4.535983673964209	6.736893555132872	6.820806822091025	0.0	6.614763252656669
7.0	1.0	1.0	1.0	0.0	0.0	0.0	7.495795062618991	0.0	1.3748421143182081	0.19711573689120201	0.0	0.20471559776868653	0.0704475289692492	17.736208220971406	0.6251578856817919	0.6458163112770757	0.5671373159326121	1.9875926428034898	0.012407357196510205	0.37819466149454606	1.598115377293372	1.9345406878558347	0.06545931214416534	0.0	0.0	0.8783602659757199	1.12163973402428	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0015450676589741958	4.0	0.01937084593531516	80.0	74.95795062618991	0.05420060329457836	0.08137824319843197	0.10320889779587779	0.06805647791191345	2.2005947070927303	1.8909733074727302	0.012916326225541515	1.598115377293372	0.24756362398028436	0.24002537325409892	5.117923327651032	5.117923327651032	7.012019246193063	7.179741676952099	0.0	6.874210571591041
8.0	1.0	1.0	1.0	0.0	0.0	0.0	7.391181439171606	0.0	1.4431817074458442	0.16385943384183968	0.0	0.1792645075523163	0.054333586445255634	19.318121662332338	0.5568182925541558	0.6023457501953956	0.6040543933722111	1.9861244573138832	0.013875542686116793	0.46021184150421274	1.8545750960544338	1.9405192526237662	0.05948074737623377	0.0	0.0	0.6805863779849659	1.319413622015034	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	0.0012008526437715331	4.0	0.015682647611544084	80.0	73.91181439171606	0.04729578750259511	0.07120832455559695	0.11170954275266058	0.07248652720466534	2.6804942174128987	2.301059207521064	0.012046915003907912	1.8545750960544338	0.2737374428406341	0.2692575772301253	6.226706061568486	6.226706061568486	7.346736401831056	7.564879819449255	0.0	7.215908537229221
9.0	1.0	1.0	1.0	0.0	0.0	0.0	7.2060637026086685	0.0	1.5030087720416776	0.13407286914463587	0.0	0.15650844757627916	0.041361699263825984	20.260229804501574	0.4969912279583224	0.5398826243722	0.6466596859750383	1.982689458304615	0.01731054169538493	0.5986020542161063	2.2979878067476194	1.9435410111484765	0.05645898885152345	0.0	0.0	0.4672845223925337	1.5327154776074663	0.0	0.0	1.6	0.2	0.2	0.2	0.1	0.12	10.0	10.0	10.0	80.0	10.0	5.0	4.0	10.0	5.0	10.0	0.02	1.0	4.0	4.0	1.0	0.1	0.1	2.0	2.0	2.0	2.0	0.5	9.144680695161974E-4	4.0	0.012433399364016051	80.0	72.06063702608668	0.040302539683436736	0.062061529829021835	0.12406436878822208	0.07759916231700459	3.5071555278890494	2.9930102710805317	0.010797652487444001	2.2979878067476194	0.33796466705486183	0.33643747710176286	8.178666778470554	8.178666778470554	7.617461473268612	7.81395361511804	0.0	7.515043860208388
