time	comp1	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	L	kf_0	kr_0	kf_1	kr_1	kf_2	kr_2	kf_3	kr_3	kf_4	kr_4	kf_5	kr_5	kf_6	kr_6	kf_7	kr_7	kf_8	kr_8	kf_9	kr_9	kf_10	kr_10	kf_11	kr_11	kf_12	kr_12	kf_13	kr_13	kf_14	kr_14	kf_15	kr_15	kf_16	kr_16	React0	React1	React2	React3	React4	React5	React6	React7	React8	React9	React10	React11	React12	React13	React14	React15	React16
0.0	1.0E-16	0.0	0.0	0.0	0.0	0.0	1.0E-22	0.0	0.0	0.0	0.0	0.0	0.0	1.0E-21	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	3.0000000000000004E-19	0.0	0.0	0.0	0.0	5.400000000000001E-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0E-16	1.9622107834929273E-25	1.291623953234943E-24	3.129010192823266E-25	-1.6221453994109456E-27	6.769968882514756E-24	-3.912429568892304E-23	4.389277777643217E-24	7.270418025553383E-29	1.1799656363412758E-22	3.745481004949156E-26	2.9255664349524316E-27	8.128908408824044E-24	7.301661095375659E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	-1.3986145537485296E-19	4.27526550736559E-21	1.9639646430195172E-22	-6.256771592775755E-24	2.0223704257509346E-22	-3.6079493583802265E-24	2.274716189334338E-23	1.2419525730689376E-24	4.706775463056136E-22	-4.289788283511772E-26	3.963659554125382E-24	6.700095163283756E-23	9.439145134936936E-27	5.9081271848129406E-24	1.4619107673131496E-28	6.453625188968776E-26	5.894561048373207E-24
2.0	1.0E-16	7.729574048498994E-26	4.872665531622582E-25	-1.1898384521913784E-26	-1.926253618766282E-29	-2.954497896425198E-25	-3.843933809587869E-25	8.860325586769442E-24	9.55451286755444E-29	8.779115905864485E-23	5.885934273655344E-26	2.9532293206444656E-28	3.4164636681542064E-24	7.99470734170828E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.4416645416835737E-21	-1.5910370381140222E-21	-7.265235315824619E-23	5.660254042550629E-26	-7.330510749947653E-23	4.629651090135648E-28	-5.806899063483799E-24	-1.2407600887038986E-24	-1.1799624897887982E-22	-1.4839797288179875E-27	-1.0840267352623178E-24	-2.7815654744182082E-24	-6.2807684401625854E-27	-2.981217685483712E-25	1.4651492448811674E-29	2.4292696446829046E-26	4.378925562228119E-24
3.0	1.0E-16	7.319668669390058E-26	5.218948162706291E-25	4.5264032306297373E-26	1.587878400372017E-28	9.580182286548915E-25	3.1637045448682398E-24	1.2907789831954818E-23	1.406953666320679E-28	7.909236250006574E-23	8.522703803272582E-26	8.614607546085878E-28	3.151381377549445E-24	8.079401350928882E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	4.105802885358148E-24	-1.0114921481085425E-23	-1.0066363467594219E-23	-6.208032334115334E-27	4.000723605437192E-25	-6.508218172928821E-27	5.189212058810989E-25	4.468902845352566E-28	-2.492474575707111E-25	-9.374277350324531E-29	-9.605939030891613E-27	-1.037186074064352E-24	1.1214844006588322E-28	2.519827695227709E-26	4.2904203290470914E-29	2.5992468367892184E-26	3.939128777204941E-24
4.0	1.0E-16	7.151326619794288E-26	4.978229570450099E-25	4.444315604644962E-26	1.5623804319539358E-28	9.43593396339255E-25	3.1148591581208083E-24	1.674771232027404E-23	1.8249212504489954E-28	7.540230420761209E-23	1.1056808355002624E-25	8.216671374984303E-28	3.066023057866727E-24	8.078284667037985E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	6.852239501178338E-26	-8.198493322310985E-25	-8.181545684224378E-25	-5.348251615314875E-27	8.7279146678453E-25	-5.346921125014062E-27	8.92893956831197E-25	6.483298728534455E-30	1.4900458535281015E-26	4.854356705123957E-30	1.5984702263707658E-26	2.4459474916874726E-25	-5.3335184878054656E-30	-1.6304612995476697E-27	4.086436632486764E-29	2.4758466151990468E-26	3.750017955596276E-24
5.0	1.0E-16	6.840505169965437E-26	4.758621106714013E-25	4.2529755087159755E-26	1.4957440268953094E-28	9.030072481448881E-25	2.982040690433861E-24	2.0410821109549858E-23	2.225809187154336E-28	7.204875549075781E-23	1.3480444101494202E-25	7.857170079497686E-28	2.9326162306691736E-24	8.075226006804096E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.3777586276172113E-25	-6.826850116400403E-25	-6.798104787905375E-25	-5.102951987853671E-27	8.399991854628573E-25	-5.10157621264901E-27	8.5941332001774E-25	4.28228967601194E-30	1.4069835895757197E-26	8.034123251624806E-30	1.6215565911883003E-26	2.9283266586964976E-25	-3.970310028228235E-31	-1.1968891659516762E-28	3.9018753295029907E-29	2.3631340204352134E-26	3.577944789206431E-24
6.0	1.0E-16	6.537595085900745E-26	4.549405800160156E-25	4.066162584171552E-26	1.430570673889992E-28	8.63341654368855E-25	2.852108050174776E-24	2.390614050191925E-23	2.6089103555317404E-28	6.885557619979073E-23	1.5794806434228114E-25	7.514509256084452E-28	2.8027519740169023E-24	8.072234188229403E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.3199839269848694E-25	-6.508109662983215E-25	-6.478560416083766E-25	-4.8794021988270785E-27	8.029708292611607E-25	-4.877980706811797E-27	8.215602616506191E-25	4.03567787406115E-30	1.342594440342383E-26	7.797765787698762E-30	1.5536663730186005E-26	2.8202275850755123E-25	-1.9639065337828852E-31	-5.927309106893103E-29	3.725947703775845E-29	2.255749132359004E-26	3.4140914413872335E-24
7.0	1.0E-16	6.248317817251588E-26	4.349659441159838E-25	3.887626480064412E-26	1.3682391960150928E-28	8.254327613844305E-25	2.7278402497814884E-24	2.724139893817128E-23	2.9750004242883214E-28	6.580906647667551E-23	1.800479641192246E-25	7.187124381257727E-28	2.678735186736855E-24	8.069373095067484E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.2612469322788919E-25	-6.221132848370454E-25	-6.192855403219934E-25	-4.665951199336591E-27	7.675187560426575E-25	-4.664596814296182E-27	7.852934262110438E-25	3.866926803739042E-30	1.2841194617989565E-26	7.446697559342176E-30	1.4853113530973932E-26	2.6935988862993383E-25	-2.0502990256177385E-31	-6.188256821237198E-29	3.557862185537404E-29	2.1532239648856124E-26	3.2577636451079698E-24
8.0	1.0E-16	5.972290995894718E-26	4.15894107547852E-25	3.717151155004446E-26	1.308681172364276E-28	7.892355226657002E-25	2.6091016129649015E-24	3.0423936789421766E-23	3.3248138453813442E-28	6.290223702561359E-23	2.011506165383521E-25	6.874321177942968E-28	2.5603991224772472E-24	8.066639565474358E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.2050912009009974E-25	-5.947853012091466E-25	-5.920869656581419E-25	-4.462080084833042E-27	7.336810303045235E-25	-4.4607951523711025E-27	7.506762994191898E-25	3.705801783130174E-30	1.2283244063927763E-26	7.105789006953469E-30	1.4198757135120156E-26	2.571704587979398E-25	-2.1876370568733917E-31	-6.601719941281518E-29	3.397262822826908E-29	2.055332463754658E-26	3.1086031271333733E-24
9.0	1.0E-16	5.708915474819413E-26	3.976846456479475E-25	3.554382435730497E-26	1.2517783521792684E-28	7.546747452176662E-25	2.4956564289659874E-24	3.346075576059174E-23	3.6590548179314255E-28	6.012865950761388E-23	2.21300465114187E-25	6.575465367635665E-28	2.4474868382472943E-24	8.064028137979415E-22	3.0E8	8000.0	1.5E8	16000.0	30000.0	700.0	3.0E8	8.64	1.5E8	17.28	0.54	10800.0	130.0	2740.0	3.0E8	4.0	1.5E8	8.0	19.7	3.74	19.85	1.74	20.0	0.81	3.0E8	4.0	1.5E8	8.0	0.05	0.0012	0.05	0.0012	0.05	0.0012	1.1513803195435072E-25	-5.687189024501077E-25	-5.6614432728214825E-25	-4.267366812501133E-27	7.013873973925552E-25	-4.2661487119767605E-27	7.176381392809931E-25	3.549755904930521E-30	1.1749821202161798E-26	6.77930629742021E-30	1.357363006507511E-26	2.4552256377863484E-25	-2.3015050326966568E-31	-6.944042352272723E-29	3.243824026002656E-29	1.961867172426035E-26	2.9662800684679836E-24
