time	extracellular	cytoplasm	Glci	ATP	G6P	FDP	PEP	Gly	EtOH	Carbo	Glco	VappGly	VratioVmax	parameter_4	parameter_5	parameter_6	parameter_7	Vin	Vhk	Vpol	Vpfk	Vgapd	Vpk	Vgol	Vatpase
0.0	1.0	1.0	0.0345	1.19	1.011	9.144	0.0095	0.0	0.0	0.0	1.0	0.05126024903774349	0.2332339156369834	14.31	8.25	2.0	68.5	15.959299999999999	15.976523221133363	0.014157081657647912	15.582294270866102	15.165059586542261	29.90407369595793	1.7646880698486802	29.869
1.0	1.0	1.0	0.034511961028887914	1.1272863581419097	1.010777775921175	9.142244201045171	0.009521171143900595	0.0	0.0	0.0	1.0	0.051167699783687785	0.23299456072369135	14.31	8.25	2.0	68.5	15.960122229091652	15.960127409572857	0.014130308999477589	15.945601338441755	15.053929239858128	30.107854683103184	1.7767135176366124	28.294887589361934
2.0	1.0	1.0	0.03450957348888309	1.1277254643785857	1.010958368516729	9.143753830610759	0.00952432791708817	0.0	0.0	0.0	1.0	0.051242899712092005	0.23298474239124736	14.31	8.25	2.0	68.5	15.959454036488102	15.959454853800445	0.01415206267974081	15.945240458274624	15.056227283495854	30.112462498674223	1.7769854323345544	28.3059091559025
3.0	1.0	1.0	0.034509198228948386	1.127794450332433	1.0109867593982567	9.143990962164139	0.009524816581966335	0.0	0.0	0.0	1.0	0.0512547306490619	0.23298319882083382	14.31	8.25	2.0	68.5	15.959348990226449	15.959349119227117	0.014155485237535383	15.945183823493506	15.056588267121208	30.113173644598852	1.7770273982132463	28.307640703344074
4.0	1.0	1.0	0.03450913928120276	1.1278052854770244	1.0109912193861148	9.144028212765392	0.00952489558260514	0.0	0.0	0.0	1.0	0.05125658941488242	0.23298295633562263	14.31	8.25	2.0	68.5	15.959332488271375	15.95933250899015	0.014156022960885715	15.945174933990563	15.05664497010872	30.11328911852641	1.7770342125176921	28.307912665473314
5.0	1.0	1.0	0.034509130020328745	1.127806983090198	1.010991920358038	9.144034063895576	0.00952491113218444	0.0	0.0	0.0	1.0	0.05125688156064786	0.23298291821703646	14.31	8.25	2.0	68.5	15.959329894675259	15.959329897866997	0.014156107475967704	15.945173566469833	15.056653869173877	30.113312557430188	1.7770355956855606	28.307955275563973
6.0	1.0	1.0	0.034509128551270696	1.1278072514868982	1.0109920311309228	9.144034982143818	0.009524910468531832	0.0	0.0	0.0	1.0	0.05125692772786455	0.23298291216574432	14.31	8.25	2.0	68.5	15.959329484815584	15.959329483353486	0.014156120831720667	15.945173349653789	15.056655269211536	30.113311001507917	1.777035503868054	28.307962012321145
7.0	1.0	1.0	0.03450912833482224	1.127807293193197	1.0109920478413053	9.144035127359475	0.009524912395196998	0.0	0.0	0.0	1.0	0.05125693469231433	0.23298291128503748	14.31	8.25	2.0	68.5	15.95932942298717	15.959329423025068	0.014156122846472254	15.945173310160735	15.056655489328316	30.11331418023749	1.7770356914500611	28.307963059149248
8.0	1.0	1.0	0.03450912829103089	1.127807300937594	1.0109920507469263	9.144035149714549	0.009524910627190044	0.0	0.0	0.0	1.0	0.05125693590330119	0.23298291110336347	14.31	8.25	2.0	68.5	15.959329412236372	15.959329410580398	0.014156123196799668	15.945173300549934	15.056655525526748	30.113311187928485	1.7770355148690358	28.30796325353361
9.0	1.0	1.0	0.03450912830226242	1.1278072954950105	1.0109920505947725	9.144035154331975	0.009524918806007419	0.0	0.0	0.0	1.0	0.05125693583988744	0.23298291113255895	14.31	8.25	2.0	68.5	15.959329412799342	15.959329412580288	0.014156123178454653	15.945173329116859	15.056655520701762	30.11332498149829	1.7770363288500446	28.307963116924764
