time	cell	M	MpY	MpT	Mpp	MEK	MKP3	MpY_MEK	MpT_MEK	M_MEK_Y	M_MEK_T	Mpp_MKP3	MpY_MKP3	MpT_MKP3_Y	MpT_MKP3_T	M_MKP3_T	M_MKP3_Y	k1	k_1	k2	k3	k_3	k4	k5	k_5	k6	k7	k_7	k8	h1	h_1	h2	h3	h_3	h4	h_4	h5	h6	h_6	h7	h_7	h8	h9	h_9	reaction_0000001	reaction_0000002	reaction_0000003	reaction_0000004	reaction_0000005	reaction_0000006	reaction_0000007	reaction_0000008	reaction_0000009	reaction_0000010	reaction_0000011	reaction_0000012	reaction_0000013	reaction_0000014	reaction_0000015	reaction_0000017	reaction_0000019
0.0	1.0	800.0	0.0	0.0	0.0	180.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	720.0	0.0	0.0	0.0	7200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-88.0	0.0	-144.0
1.0	1.0	536.8680308991094	10.020007197726715	1.0051099452794845	0.0026025073864080644	6.200984857249921	21.694765692202566	0.6141318001742775	0.009947383621144052	9.109928797718316	164.06500716120627	7.420865578560248E-4	1.149017329206363	0.12150262449677693	0.10238801153966041	29.711044036396615	47.22054021960022	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	7.535623852016483	9.838723101535782	0.9392160223916868	0.004298922601219943	2.390519336141722	1.3125200572896503	0.021215974131602852	0.0044763226295148235	0.0017986489003597	6.827196332275429E-5	-0.09655362308063267	0.05119400576983021	0.11566823603774919	0.5400381447269906	-10.256798964659271	1.0247997546822798	-14.35413141763859
2.0	1.0	516.3846848793208	17.451148604889674	2.1462394722080176	0.016573813209341447	6.364196082240408	9.634450687338289	1.6579003736560876	0.030744282719261218	8.076032905219119	163.8711263561349	0.003346933529212236	1.207865403492828	0.17592243010681946	0.13005497596065207	35.02681058539997	53.82154898417226	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.355834036970489	8.722115537636649	1.1186629158897632	0.011605302615592613	0.44754306576118097	1.3109690108490792	0.037551161483618714	0.013834927223667548	0.0038386478437827886	3.079178846875257E-4	-0.030855953475251552	0.06502748798032604	0.07672340762141894	0.5676967396416291	-2.460285350038795	0.4734569032193914	-1.4201321501156512
3.0	1.0	506.16198180215883	24.375716433464387	3.2920897000714064	0.04608290331120819	6.441544835561729	7.43432600339468	2.7801217199224357	0.055601560574447775	7.8849964415584655	162.83773544235257	0.008217987507454533	1.186048153602148	0.2079026280607325	0.14685220840012472	36.64426692050315	54.37238609853176	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.417329057618465	8.515796156883143	1.1453100377050567	0.01946085203945705	0.18551954941673898	1.3027018835388207	0.050429156454056864	0.0250207022585015	0.00719880218047517	7.56054850685817E-4	-0.03684205256675399	0.07342610420006236	0.09789247222736178	0.5574426321930096	-0.9878635464024614	0.626122071724645	0.8387823239596148
4.0	1.0	497.9821166151996	30.980218953476058	4.378280617314478	0.09077008428666726	6.501094899753861	6.930291370473473	3.898596590094291	0.08089203100160106	7.811304065552187	161.70811241356773	0.016533502310156087	1.3269079141844442	0.2530834375636058	0.17803763020657482	37.4725559732031	53.82259017205871	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.375840926926344	8.436208390796361	1.1365369956982363	0.027290176130660038	0.163337511217577	1.2936648993085418	0.061426057952970625	0.036401413950720475	0.011774338622150708	0.00152108221253436	-0.05034416623325216	0.08901881510328741	0.12538997359028314	0.6236467196666887	-0.573637468275809	0.8201115265020944	1.3230725263170422
5.0	1.0	490.40471943843346	37.35504440955261	5.409289830230257	0.14963107242964696	6.5560843076373425	6.762600442959202	4.997887212886174	0.105544288155598	7.754789520227821	160.58569467106273	0.028745046727409098	1.552099010880378	0.30920616937550455	0.2169200007755848	38.038111269498664	53.092318059783324	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.320883907280216	8.375172681846047	1.1246832987279243	0.03498521049020322	0.1710396040176363	1.2846855573685019	0.07177451270157627	0.0474949296700191	0.01679023532378449	0.002644544298921637	-0.056602488644593885	0.1084600003877924	0.14888865724451364	0.7294865351137776	-0.37677472101711196	0.9740733878276333	1.4633844171431267
6.0	1.0	483.12824196318655	43.54113252847724	6.39605689585049	0.2219551607829927	6.609423617244513	6.677962931003357	6.078991145307788	0.12948341852491693	7.701355422966285	159.48074639592616	0.04475306384187666	1.804043513034523	0.3698399944227308	0.25764685652444075	38.46277324205628	52.38298039911687	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.26464063998025	8.317463856803588	1.1155535960744807	0.04255293801715452	0.17921423353919863	1.2758459711674093	0.08188782899845237	0.05826753833621262	0.02194631128054053	0.004117281873452653	-0.057286314128048965	0.12882342826222037	0.16947945202633902	0.8479004511262257	-0.24114524100923873	1.1036171769562322	1.5262547725245978
7.0	1.0	476.0738681445636	49.5551648964733	7.34525974212466	0.3072234626938291	6.661871503523671	6.619644742282317	7.144643304672699	0.1528223910450121	7.648932489139876	158.39173031158842	0.06432407735495575	2.059194489315606	0.4311683907608398	0.29779919157890355	38.78622393751834	51.7416451711891	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.208782189682896	8.260847088271067	1.1086102172331023	0.05001250313270889	0.18541647663928984	1.2671338424927074	0.09184349176518741	0.06877007597025545	0.027192880723758042	0.005917815116655929	-0.055061709565694894	0.14889959578945178	0.18843090874763113	0.9678214099783348	-0.1309686073947045	1.2211813782831213	1.5712385432043767
8.0	1.0	469.2148834791891	55.405366777584554	8.260550171304352	0.40499249912126817	6.71365843869457	6.572134488455221	8.196555657158232	0.17565256279375552	7.597194683260991	157.31693865806216	0.08723494994280308	2.309351778632742	0.4914476832527773	0.3365869179337365	39.02722424708142	51.17601993470137	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.153547626894746	8.20497025792187	1.1027620482242266	0.05737588960010762	0.19048444349522242	1.2585355092644972	0.1016399990354312	0.07904365325718998	0.03253998275402201	0.008025615394737883	-0.05144678349166287	0.16829345896686826	0.20630754881070368	1.0853953359573887	-0.03577636478208257	1.3319634398120033	1.613904818080055
9.0	1.0	462.5389646665193	61.09734688021158	9.144130483627407	0.5148453060910206	6.7648600537014785	6.530427282698303	9.235545192701336	0.19802597596324992	7.546085694849715	156.25548308275393	0.11329538583153578	2.551955578012032	0.5499916227223098	0.37381140635290266	39.19777128558686	50.68274743879613	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.098971131915164	8.149772550437692	1.0973298397258144	0.06464881634890936	0.1950851848948787	1.2500438646620315	0.11126783920937525	0.08911168918346246	0.03800180666543243	0.010423175496501291	-0.04715916914602669	0.18690570317645133	0.22333938551543386	1.199419121665655	0.048373548974279146	1.4379622316581258	1.6585459079267837
10.0	1.0	456.0383490333489	66.63586017913218	9.997556023687935	0.63637474317339	6.815504430613402	6.492635548679396	10.261934575117209	0.219969879851111	7.495596151006634	155.20699496338136	0.14234251211135676	2.7864195101415894	0.6065895596755426	0.40947247020968985	39.307057949228586	50.25548244995392	0.005	1.0	1.08	0.025	1.0	0.007	0.05	1.0	0.008	0.005	1.0	0.45	0.045	1.0	0.092	1.0	0.01	0.01	1.0	0.5	0.086	0.0011	0.01	1.0	0.47	0.14	0.0018	8.045060790825419	8.095243843087164	1.0919904320980542	0.07183354202582047	0.19957445493915316	1.241655959707051	0.12072205702264316	0.09898644593299995	0.04358620548006051	0.013095511114244823	-0.04251531671755859	0.20473623510484493	0.23963240618341136	1.3096171697665469	0.12342710748917662	1.5400040360170446	1.7061641093025797
