time	uVol	M	Mp	Mpp	MAPKK	MKP3	k1cat	Km1	k2cat	Km2	k3cat	Km3	k4cat	Km4	Km5	v1	v2	v3	v4
0.0	1.0	500.0	0.0	0.0	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45454545454545453	0.0	0.0	0.0
1.0	1.0	499.555111925208	0.41616030798419457	0.028727766807937573	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4544742413069787	0.05679077314541985	0.001476486118348594	0.018672836633336895
2.0	1.0	499.1273751873994	0.7658308025958097	0.10679401000482985	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4544098487215797	0.10458284091006714	0.00547586955090851	0.03428160682466237
3.0	1.0	498.71403725394856	1.062087757649444	0.2238749884020451	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45435098364332926	0.14514147828904192	0.011453853071978633	0.04743824069719131
4.0	1.0	498.3128934455939	1.3153904243447847	0.3717161300614262	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45429661049250536	0.1798801774289364	0.01897787978494445	0.05862908282310668
5.0	1.0	497.9221747798559	1.534108161521	0.5437170586232987	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45424589953079875	0.2099311028221671	0.027703928615127146	0.06824117894061558
6.0	1.0	497.54045916420296	1.724940572445524	0.7346002633517352	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45419818559872627	0.23620135724836164	0.03735825779554432	0.0765829007841141
7.0	1.0	497.1666007445855	1.893253379644181	0.940145875770575	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45415293509547655	0.25941804355635795	0.04772296805143122	0.08390021652652559
8.0	1.0	496.7996753386293	2.0433408845645915	1.1569837768063458	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4541097202001875	0.28016351562551434	0.05862478576496347	0.09038928772434669
9.0	1.0	496.4389341365251	2.1786465141424336	1.382419349332624	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4540681971185957	0.29890506973108827	0.06992575995050238	0.09620691811655142
10.0	1.0	496.0837691226767	2.301930253913193	1.6143006234102617	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45402808960996555	0.31601749361239534	0.08151620248234437	0.10147845015876625
11.0	1.0	495.73368486741623	2.415405121947361	1.8509100106365879	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4539891755369831	0.3318014732629976	0.09330897164491107	0.10630415061108776
12.0	1.0	495.38827603671234	2.520846308246765	2.0908776550410497	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4539512761030487	0.346498328839177	0.10523491887072847	0.11076428732248941
13.0	1.0	495.04720945024866	2.6196784777951936	2.3331120719562803	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4539142472378474	0.3603018141161036	0.1172392587137386	0.11492316953726847
14.0	1.0	494.7102097608026	2.713045621544456	2.576744617653006	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.453877972700957	0.3733675661799649	0.12927867278508515	0.11883236597312476
15.0	1.0	494.37704801896496	2.801866954187415	2.821085026847689	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45384235855988814	0.3858206743076732	0.14131899793888777	0.12253326972254026
16.0	1.0	494.0475325382145	2.8868816527628915	3.065585809022717	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45380732876797725	0.3977617430590879	0.15333338001972732	0.12605914368394647
17.0	1.0	493.7215015948915	2.968684668469954	3.309813736638697	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45377282162260535	0.40927174961018087	0.16530079890652738	0.12943675247892247
18.0	1.0	493.39881759240905	3.0477553960607806	3.5534270115302835	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4537387869281639	0.42041593543240996	0.17720488987402983	0.1326876649531401
19.0	1.0	493.07936239433116	3.1244806275685657	3.7961569781004036	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4537051837232924	0.4312469245175496	0.18903300156226652	0.13582929409502287
20.0	1.0	492.7630335908111	3.1991729315004154	4.037793477688551	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4536719784599703	0.4418072220311662	0.20077544295822203	0.13887572754149613
21.0	1.0	492.4497415105326	3.2720853703848034	4.278173119082746	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45363914354448215	0.45213121662102995	0.2124248814205122	0.14183839100518997
