time	uVol	M	Mp	Mpp	MAPKK	MKP3	k1cat	Km1	k2cat	Km2	k3cat	Km3	k4cat	Km4	Km5	v1	v2	v3	v4
22.0	1.0	492.13940682824256	3.3434232871082825	4.517169884649214	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4536066561682161	0.4622467850708292	0.22397586143845552	0.14472657835365912
23.0	1.0	491.8319586482164	3.413353744576101	4.75468760720752	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4535744973706209	0.47217657834784726	0.23542441991965263	0.14754787523109014
24.0	1.0	491.52733296810834	3.482013086532538	4.990653945359152	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45354265128812954	0.48193905236651285	0.2467677786662279	0.15030849766983922
25.0	1.0	491.2254714468861	3.5495129940150787	5.225015559098914	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4535111045520647	0.4915492941956712	0.2580040985826381	0.15301356280429304
26.0	1.0	490.9263204158991	3.6159453372123034	5.45773424688866	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45347984580589745	0.5010196843507285	0.2691322832579052	0.15566730534511955
27.0	1.0	490.6298300843882	3.6813860627116384	5.688783852900301	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45344886531813255	0.5103604277324895	0.2801518220412749	0.15827325071773035
28.0	1.0	490.3359539005278	3.7458983082742843	5.918147791198044	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4534181546718133	0.519579979302482	0.2910626647089139	0.16083435357185089
29.0	1.0	490.0446480369107	3.8095348989743405	6.145817064115115	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45338770651541915	0.528685385399719	0.3018651214007985	0.1633531086160971
30.0	1.0	489.75587097562277	3.872340347879442	6.371788676497882	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45335751436296057	0.5376825574499567	0.31255978277141194	0.1658316393322845
31.0	1.0	489.4695831730461	3.9343524599051776	6.596064367048855	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4533275724334987	0.5465764914903891	0.3231474563090379	0.16827176900715177
32.0	1.0	489.18574678850854	3.9956036178245387	6.818649593667053	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45329787552226225	0.5553714442661299	0.33362911558717795	0.17067507762720394
33.0	1.0	488.9043254640856	4.056121813680034	7.039552722234505	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4532684188970897	0.5640710745181778	0.3440058598585473	0.17304294746999452
34.0	1.0	488.62528414540037	4.115931476248434	7.258784378351345	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45323919821517084	0.5726785563705009	0.35427888191965307	0.17537659965613345
35.0	1.0	488.3485889353031	4.175054135120921	7.476356929576092	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.453210209456063	0.5811966703519743	0.3644494425880294	0.1776771234717209
36.0	1.0	488.0742069739361	4.233508953884162	7.692284072179869	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45318144886775463	0.5896278764895756	0.3745188504655277	0.17994549990770786
37.0	1.0	487.80210633998786	4.291313158419824	7.906580501592452	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45315291292319165	0.5979743730282926	0.38448844592616704	0.18218262057247772
38.0	1.0	487.53225596898045	4.3484823811604905	8.119261649859142	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.453124598285195	0.6062381436272487	0.3943595884792036	0.18438930290203112
39.0	1.0	487.2646255852628	4.405030937992109	8.330343476745181	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45309650177810984	0.614420995315816	0.4041336468278467	0.1865663024068211
40.0	1.0	486.9991856450464	4.460972051171347	8.539842303782384	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4530686203648557	0.6225245890401235	0.4138119910799134	0.1887143225461609
41.0	1.0	486.7359072883519	4.516318028966061	8.747774682682147	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45304095112831094	0.6305504642670382	0.42339598667544326	0.19083402270272984
42.0	1.0	486.4747622981585	4.571080410596527	8.954157291245062	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.453013491256179	0.63850005882152	0.43288698968330724	0.19292602463506528
43.0	1.0	486.21572306538707	4.625270083348866	9.159006851264229	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4529862380286485	0.646374724899906	0.44228634318848925	0.19499091771027718
44.0	1.0	485.95876255862026	4.678897377365463	9.362340064014385	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45295918880830066	0.6541757420146609	0.45159537454744486	0.19702926315874264
45.0	1.0	485.703854297681	4.731972142522694	9.5641735597964	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4529323410318234	0.6619043274762447	0.4608153933335433	0.19904159754418344
46.0	1.0	485.450972330361	4.784503810929572	9.764523858709486	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4529056922031777	0.669561644897629	0.46994768983029656	0.20102843560387343
47.0	1.0	485.20009121173456	4.836501447878816	9.963407340386672	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45287923988793544	0.6771488111107193	0.47899353395863725	0.20299027258280852
48.0	1.0	484.9511859856005	4.887973793519332	10.160840220880242	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45285298170855953	0.6846669018067689	0.4879541745473691	0.204927586160955
49.0	1.0	484.7042321676862	4.938929297068667	10.356838535245242	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45282691534044683	0.6921169561510379	0.49683083887419793	0.20684083805292458
50.0	1.0	484.45920573031833	4.989376145023046	10.551418124658753	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45280103850858483	0.6994999805723613	0.5056247324193927	0.20873047534361597
51.0	1.0	484.21608308832197	5.039322284533558	10.7445946271446	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45277534898470734	0.706816951888578	0.5143370387858256	0.2105969316107181
52.0	1.0	483.97484108595575	5.088775442885468	10.936383471158972	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45274984458485384	0.714068819896909	0.5229689197485172	0.21244062787485682
53.0	1.0	483.7354569847268	5.137743143832059	11.126799871441307	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4527245231672574	0.7212565095328503	0.5315215154042936	0.21426197341007358
54.0	1.0	483.49790845196026	5.186232721385826	11.31585882665405	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4526993826304996	0.7283809226806823	0.5399959443981647	0.21606136644085505
55.0	1.0	483.2621735500191	5.23425133155069	11.50357511843036	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4526744209118847	0.7354429397022924	0.5483933042078167	0.21783919474674807
56.0	1.0	483.02823072609124	5.281805962383494	11.689963311525393	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4526496359859937	0.7424434207378507	0.5567146714714479	0.21959583619145215
57.0	1.0	482.7960588024755	5.328903442696588	11.875037754828018	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45262502586338554	0.7493832068213416	0.5649611023472354	0.22133165918996353
58.0	1.0	482.5656369673093	5.375550449651972	12.058812583038893	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45260058858942115	0.7562631208454952	0.573133632895166	0.22304702312468525
59.0	1.0	482.3369447656916	5.4217535154484136	12.241301718860129	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4525763222431897	0.7630839684038844	0.5812332794739228	0.22474227871929536
60.0	1.0	482.1099620911635	5.467519033263501	12.422518875573182	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4525522249365196	0.7698465385325163	0.5892610391470743	0.22641776837745675
61.0	1.0	481.88466917751214	5.512853262581114	12.602477559906848	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4525282948130617	0.7765516043688889	0.5972178900940567	0.22807382649209063
62.0	1.0	481.6610465908734	5.5577623340093805	12.781191075117334	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45250453004743396	0.7831999237429812	0.6051047920224413	0.22971077972983922
63.0	1.0	481.43907522210765	5.602252253673971	12.958672524218512	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4524809288444175	0.7897922397118484	0.6129226865787575	0.23132894729446757
64.0	1.0	481.21873627943154	5.646328907255237	13.134934813313368	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4524574894381982	0.7963292810472262	0.6206724977557774	0.2329286411722479
65.0	1.0	481.00001128128747	5.689998063724663	13.309990654988	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4524342100916477	0.8028117626837642	0.6283551322946742	0.2345101663618098
66.0	1.0	480.7828820494369	5.73326537882558	13.483852571737678	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4524110890956385	0.8092403861340335	0.6359714800808508	0.2360738210904791
67.0	1.0	480.56733070226437	5.7761363983346765	13.65653289940114	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4523881247683894	0.8156158398753023	0.6435224145325608	0.2376198970187696
68.0	1.0	480.3533396482815	5.818616561134092	13.828043790584555	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45236531545483843	0.8219387997121382	0.6510087929816908	0.23914867943439522
69.0	1.0	480.1408915798211	5.860711202118377	13.998397218060703	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45234265952604036	0.8282099291181367	0.6584314570462645	0.24066044743693255
70.0	1.0	479.9299694669115	5.902425554956289	14.167604978132369	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4523201553785863	0.8344298795594701	0.6657912329943925	0.24215547411407684
71.0	1.0	479.7205565513248	5.943764754723828	14.33567869395154	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4522978014340435	0.8405992908024736	0.6730889320995026	0.24363402671027706
72.0	1.0	479.51263634079	5.98473384042208	14.502629818788122	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4522755961384146	0.8467187912070845	0.6803253509867907	0.24509636678841207
73.0	1.0	479.3061926033654	6.025337757391148	14.668469639243614	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45225353796161366	0.8527889980076304	0.6875012719708948	0.2465427503850689
74.0	1.0	479.1012093619641	6.06558135962961	14.833209278406459	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4522316253969591	0.8588105175822272	0.6946174633848615	0.24797342815990298
75.0	1.0	478.8976708890259	6.105469412027401	14.996859698946881	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4522098569606813	0.8647839457118126	0.7016746799005067	0.24938864553949042
76.0	1.0	478.69556170133154	6.145006592518865	15.159431706149837	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45218823119144524	0.8707098678297018	0.7086736628403149	0.25078864285603114
77.0	1.0	478.49486655495326	6.184197494161676	15.320935950885353	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45216674664988643	0.8765888592623978	0.7156151404810358	0.2521736554812143
78.0	1.0	478.29557044033766	6.223046627146555	15.481382932516057	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45214540191816016	0.8824214854622866	0.7224998283491607	0.2535439139555202
79.0	1.0	478.0976585775161	6.261558420742048	15.64078300174207	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4521241955995028	0.8882083022327609	0.729328429508471	0.2548996441132057
80.0	1.0	477.90111641143835	6.29973722517808	15.79914636338377	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.452103126317805	0.8939498559462338	0.7361016348398547	0.2562410672031892
81.0	1.0	477.7059296074255	6.3375873134715865	15.956483079103151	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45208219271719685	0.8996466837554578	0.7428201233136007	0.25756840000603504
82.0	1.0	477.5120840467384	6.375112883197111	16.112803070064693	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4520613934616429	0.9052993137984995	0.7494845622543727	0.25888185494721655
83.0	1.0	477.31956582225837	6.412318058204995	16.268116119536746	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45204072723454874	0.9109082653976909	0.756095607599067	0.26018164020682066
84.0	1.0	477.1283612342759	6.449206890289522	16.42243187543462	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4520201927383768	0.9164740492528444	0.7626539041477669	0.26146795982584853
85.0	1.0	476.9384567863844	6.485783360809156	16.575759852806513	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4519997886942728	0.921997167628985	0.7691600858079837	0.26274101380924997
86.0	1.0	476.74983918147564	6.522051382260824	16.72810943626359	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4519795138417006	0.9274781145388309	0.7756147758323941	0.2640009982258232
87.0	1.0	476.5624953178346	6.558014799810087	16.8794898823554	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45195936693808714	0.93291737592024	0.7820185870502586	0.2652481053051025
88.0	1.0	476.3764122853292	6.593677392778856	17.02991032189201	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45193934675847564	0.9383154298088169	0.7883721220927185	0.26648252353134866
89.0	1.0	476.19157736169376	6.629042876092224	17.179379762214072	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45191945209518725	0.9436727465058558	0.7946759736121487	0.2677044377347483
90.0	1.0	476.0079780089021	6.66411490168589	17.32790708941208	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45189968175749123	0.948989788741804	0.8009307244957515	0.2689140291799276
91.0	1.0	475.8256018696283	6.698897059875552	17.4755010704962	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45188003457128345	0.9542670118353876	0.8071369480735654	0.27011147565187443
92.0	1.0	475.6444367637927	6.7333928806895695	17.622170355517778	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4518605093787714	0.9595048638485587	0.8132952083210532	0.27129695153936234
93.0	1.0	475.4644706851901	6.767605835166148	17.76792347964383	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4518411050381686	0.9647037857374055	0.8194060600564395	0.27247062791596416
94.0	1.0	475.28569179819823	6.801539336616201	17.912768865185722	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4518218204233943	0.9698642114991524	0.8254700491329536	0.27363267261873736
95.0	1.0	475.10808843456397	6.835196741853023	18.05671482358315	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45180265442378226	0.9749865683153843	0.8314877126261296	0.2747832503246636
96.0	1.0	474.93164909026564	6.868581352389837	18.199769557344663	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45178360594379435	0.9800712766916085	0.8374595790163185	0.2759225226249156
97.0	1.0	474.7563624224482	6.901696415606231	18.34194116194574	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45176467390274294	0.9851187505932781	0.8433861683665468	0.2770506480970268
98.0	1.0	474.5822172464301	6.934545125884477	18.483237627685618	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4517458572345179	0.9901293975783798	0.8492679924958716	0.2781677823750331
99.0	1.0	474.4092025327797	6.967130625716661	18.623666841503844	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.45172715488732107	0.9951036189266944	0.8551055551483582	0.27927407821765404
100.0	1.0	474.2373074044591	6.999456006783526	18.763236588757632	50.0	100.0	0.01	50.0	15.0	500.0	0.084	22.0	0.06	18.0	78.0	0.4517085658234069	1.0000418097658366	0.8608993521578125	0.2803696855745778
