time	Extracellular	PM	Cytosol	NM	Nucleus	PIP2_PHGFP_PM	PH_GFP_Cyt	PI_PM	stim_PM	IP3_PHGFP_Cyt	PIP2_PM	PIP_PM	DAG_PM	hv_Cytosol	IP3X_Cytosol	PLC_PM	PLC_act_PM	IP3_Cyt	KMOLE	PIP_basal_PIPSyn	kBasalSynPIP_PIPSyn	kStimSynPIP_PIPSyn	tauPIPsyn_PIPSyn	PIPsyndecay_PIPSyn	Ratebasal_PIPsyn_PIPSyn	Ratestim_PIPsyn_PIPSyn	tau0_PLCact	stimdecay_PLCact	signal_PLCact	kf_PIP2PH_PIP2_PH	KdPIP2PH_PIP2_PH	kr_PIP2PH_PIP2_PH	kStimSynPIP2_PIP2Syn	tauPIP2syn_PIP2Syn	PIP2syndecay_PIP2Syn	PIP2_basal_PIP2Syn	kBasalSynPIP2_PIP2Syn	Rate_PIP2Synbasal_PIP2Syn	Rate_PIP2SynStim_PIP2Syn	kf_IP3PH_IP3_PHGFP	KdIP3PH_IP3_PHGFP	kr_IP3PH_IP3_PHGFP	PIPSyn	PIP2_hyd	PLCact	PIP2_PH_hyd	PIP2_PH	IP3deg	PIP2Syn	IP3_PHGFP
0.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	142857.0	1.0	0.0	4000.0	2857.0	2000.0	0.0	0.0	100.0	0.0	96.32	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	0.0	0.05	1.0	0.0	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.0	10.0	2.0	20.0	0.0	0.0	0.0	0.0	0.0	-1.2030376694838212E-14	0.0	0.0
1.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	141201.60067352033	1.0	0.0	5425.2522625189895	2889.1656043041285	2197.9814596564006	0.0	0.0	99.97096033261911	0.029039667380914527	203.4660859439028	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	0.007348079445635523	0.05	1.0	0.38674102345450123	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.35580174157814115	10.0	2.0	20.0	576.4225442222292	210.06336154815736	0.00912637167738505	0.0	0.0	8.571686875512214	571.0945298439743	0.0
2.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140546.7692092922	1.0	0.0	5613.411208997546	2893.183213169494	2660.636368540537	0.0	0.0	99.96218217711963	0.03781782288035325	442.7020997173819	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	0.002703207360143758	0.05	1.0	0.1422740715865136	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.1308921458595925	10.0	2.0	20.0	211.07058942834175	283.0493211419677	0.0018495728019281984	0.0	0.0	27.710567977390536	210.38608840929788	0.0
3.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140306.50278294116	1.0	0.0	5344.99057925014	2893.731596492524	3168.7750413158346	0.0	0.0	99.96153293689532	0.03846706310478322	687.3100652754733	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	9.944544130202151E-4	0.05	1.0	0.05233970594843238	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.04815252947255779	10.0	2.0	20.0	77.51578937107783	274.1414532086712	-6.837376058014446E-4	0.0	0.0	47.27920522203785	77.41138665877173	0.0
4.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140218.1460457432	1.0	0.0	4968.342999189212	2893.8212903645976	3633.689664702648	0.0	0.0	99.96362950707747	0.03637049292261948	889.8822424643139	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	3.6583933373235145E-4	0.05	1.0	0.01925470177538692	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.017714325633355968	10.0	2.0	20.0	28.498507292535745	240.9347785188956	-0.0014859246416611886	0.0	0.0	63.4849793971451	28.47894036792274	0.0
5.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140185.61524689672	1.0	0.0	4599.545656738415	2893.8397437585136	4034.9993526061085	0.0	0.0	99.96651450550989	0.033485494490199885	1042.9067729817073	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	1.3458476965199024E-4	0.05	1.0	0.0070834089290521185	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.006516736214727949	10.0	2.0	20.0	10.481582631404242	205.35741432819913	-0.0016636097768294193	0.0	0.0	75.72694183853656	10.476883476539813	0.0
6.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140173.62603526705	1.0	0.0	4271.076375961165	2893.8445960531703	4375.452992718458	0.0	0.0	99.96948870588142	0.030511294118709387	1151.7002863016355	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	4.951096984976147E-5	0.05	1.0	0.0026058405184084983	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0	0.0023973732769358184	10.0	2.0	20.0	3.8556289846468896	173.75475668057723	-0.0016227095220744383	0.0	0.0	84.43042290413082	3.854236501213085	0.0
7.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140169.2021850349	1.0	0.0	3987.39405325148	2893.8364936691255	4663.5672680442885	0.0	0.0	99.97231387241249	0.027686127587636725	1224.2170605191009	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	1.8214067920186377E-5	0.05	1.0	9.586351536940199E-4	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	8.802729630060097E-5	8.819443413984983E-4	10.0	2.0	20.0	1.418361871620426	147.194000667351	-0.0015114968175148759	0.0	0.0	90.23176484152806	1.5594107349988253	0.0
8.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140167.56715848314	1.0	0.0	3747.236313535421	2891.030019137253	4908.166508843889	0.0	0.0	99.97491959087489	0.0250804091252368	1267.9551759824733	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	6.700581127936859E-6	0.05	1.0	3.5266216462825575E-4	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.0018191396862086153	3.2444919145799533E-4	10.0	2.0	20.0	0.5217800862505719	125.30962644322665	-0.001383562348193418	0.0	0.0	93.73081407859785	3.442877663346333	0.0
9.0	0.277777777777778	0.5555555555556	1.0	0.111111111111111	0.111111111111111	0.0	0.0	140166.9597622042	1.0	0.0	3546.474472877748	2883.5239595331013	5117.041805384637	0.0	0.0	99.9772955470985	0.022704452901598837	1289.2822345478066	0.00166112956810631	2857.0	0.0055	0.019	0.05	1.0	0.0	2.465006040869327E-6	0.05	1.0	1.2973716004575404E-4	0.12	2.0	0.24	0.92	0.05	1.0	4000.0	0.048	0.003348205994533861	1.1935818724209373E-4	10.0	2.0	20.0	0.19195133474674939	107.36101684824243	-0.0012577555027574428	0.0	0.0	95.43697876382453	5.554891332983645	0.0
