time	ext	cell	FH2f	FH2b	DHFRf	DHFRtot	FH4	CH2FH4	CH3FH4	CHOFH4	FFH2	HCHO	FGAR	AICAR	MTX1	MTX2	MTX3	MTX4	MTX5	MTX1b	MTX2b	MTX3b	MTX4b	MTX5b	EMTX	dUMP	GAR	serine	formate	ATP	glutamine	glycine	NADP	NADPH	homocysteine	Keq	SHMT	SHMTr	HCHOtoCH2FH4	CH2FH4toHCHO	MTHFR	MTR	HCOOHtoCHOFH4	GARFT	ATIC7	MTHFD	TYMS	DHFReductase	FFH2syn	ATIC12	AICARsyn	FPGS12	FPGS23	FPGS34	FPGS45	GGH21	GGH32	GGH43	GGH54	RFC	MTX1export	MTX2export	MTX3export	MTX4export	MTX5export	MTX1on	MTX2on	MTX3on	MTX4on	MTX5on	MTX1off	MTX2off	MTX3off	MTX4off	MTX5off	DHFRfsyn	DHFRdeg	FH2bdeg	MTX1deg	MTX2deg	MTX3deg	MTX4deg	MTX5deg
0.0	1.0	1.0	0.0012	0.0024	0.64	0.6424	0.46	0.26	1.63	1.0	3.32E-4	0.0074	16.49	3.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1444.090159015902	136.7130299973472	0.07897280000000001	0.078	0.9909274184247315	0.9996925317231007	1.6793065478303695	649.9777358540591	649.8913690718412	1288.7230963424574	5.062997609335893	5.0625599999999995	0.078	0.0793783978802867	650.0245013976557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019271999999999997	7.199999999999999E-5	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	0.0012088432685220742	0.002417416694543717	0.6399285684071819	0.6423459851017257	0.45911680592038534	0.26204023300843704	1.6290712278196202	0.9998387624130701	3.2863591221874686E-4	0.007380406725443883	16.48591371464772	3.6950411421277014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1441.9071003366	137.78573614252167	0.07861247528255572	0.07861206990253111	0.9986409591192315	0.9991302361903052	1.676088724162862	649.8915477897846	649.8076314692703	1298.02341812817	5.099226840030505	5.099298775470517	0.07857481245393483	0.07857468862103587	649.8862198118287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.01927037955305177	7.252250083631152E-5	0.0	0.0	0.0	0.0	0.0
2.0	1.0	1.0	0.0012091790084013993	0.0024178260806538942	0.639859227156222	0.6422770532368759	0.45921734132103065	0.26208892271370027	1.6287910434043569	1.0000418244646692	3.287269147103063E-4	0.007380136397643159	16.489247183589374	3.6950489856401187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.1556914874454	137.8113360184841	0.07862680947060442	0.07862667681411008	0.9988247204610624	0.9989606058412002	1.6764550154432685	650.0010907474953	649.9204303082338	1298.2452261025373	5.100090164997902	5.1001623345313245	0.07859663554609095	0.07859657952315349	649.9990265080755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019268311597106277	7.253478241961683E-5	0.0	0.0	0.0	0.0	0.0
3.0	1.0	1.0	0.0012093878112263876	0.0024179892461186434	0.639791927432552	0.6422099166786707	0.4592573276465231	0.26210833696308605	1.6287227699132074	1.0001229693306266	3.2878359870287593E-4	0.007380033003964832	16.49057447951321	3.695051242261554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.2545581524196	137.8215435636503	0.07863255425998152	0.07863250108892582	0.998897806614313	0.9989192713223021	1.6766007017720503	650.0448436638388	649.965353493195	1298.3336666754333	5.100434212308552	5.100506515762667	0.07861020772971519	0.07861016659305128	650.0439412440902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.01926629750036012	7.25396773835593E-5	0.0	0.0	0.0	0.0	0.0
4.0	1.0	1.0	0.0012095529142924011	0.002418072466945931	0.6397266132630235	0.6421446857299694	0.45927778043076783	0.2621182483888581	1.6287230896660878	1.0001646162094917	3.2882860033243055E-4	0.007379979374794874	16.49124881516294	3.6950508415023218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.3051264890546	137.82675475277702	0.07863548468763074	0.07863547451665744	0.9989349738368842	0.9989194649089834	1.6766752195035959	650.0672841505882	649.9881591861422	1298.3788172386048	5.100609712307024	5.100682061775747	0.07862093942900607	0.07862091302137365	650.0667598836466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.01926434057189908	7.254217400837792E-5	0.0	0.0	0.0	0.0	0.0
5.0	1.0	1.0	0.0012097014719527107	0.0024181298366529793	0.6396632273910324	0.6420813572276854	0.4592918928043724	0.26212508655809624	1.6287456065749075	1.0001935026652478	3.2886914202197943E-4	0.007379943835185846	16.491711937988157	3.6950495323889774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.3400179652929	137.8303500975653	0.07863752225017721	0.07863752596742887	0.9989605306930817	0.9989330972267259	1.6767266365575004	650.0828400740531	650.003812504456	1298.4099677122083	5.100730709672793	5.100803077435795	0.0786305956769262	0.07863057693079312	650.0824312034647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019262440716830562	7.254389509958938E-5	0.0	0.0	0.0	0.0	0.0
6.0	1.0	1.0	0.0012098420132522353	0.002418178201608551	0.6396017133134607	0.6420198915150692	0.45930451706800485	0.26213085365816174	1.6287752763398229	1.000217805334698	3.289093710833424E-4	0.007379905327544462	16.492101145446547	3.695047759494028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.3712298473517	137.83338229995164	0.07863927337742939	0.07863925609744853	0.9989820467539536	0.9989510600607556	1.6767726318228315	650.0959224373329	650.0168758274136	1298.436238954981	5.100832712582935	5.100905098473078	0.0786397308613953	0.07864015775909744	650.095601251661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019260596745452076	7.254534604825653E-5	0.0	0.0	0.0	0.0	0.0
7.0	1.0	1.0	0.0012099781840996695	0.0024182246468206024	0.6395420158408822	0.6419602404877028	0.4593156602594477	0.2621364242843238	1.6288073929278803	1.000241348079096	3.289460512164441E-4	0.007379882490327735	16.492474848486097	3.695046085913443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.3987796640367	137.83631120107884	0.07864093788942289	0.07864092728529715	0.9990028287512882	0.9989705042545677	1.6768132309428367	650.108596855145	650.02953748593	1298.4616150993168	5.100931245180778	5.101003070003379	0.07864858196647852	0.07864889210630599	650.1082465766765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019258807214631083	7.254673940461807E-5	0.0	0.0	0.0	0.0	0.0
8.0	1.0	1.0	0.0012101105523135399	0.0024182701089638784	0.6394840813419643	0.6419023514509282	0.45932693624377036	0.2621418294607196	1.6288401297686712	1.000264308900573	3.289822346764499E-4	0.007379853781696999	16.492840554074384	3.695044533892406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.4266575011266	137.83915311269223	0.07864256255739413	0.07864254883821588	0.9990229928987107	0.9989903239549044	1.6768543138766177	650.120957717495	650.0418983421231	1298.4862374794395	5.101026848960424	5.101098967848405	0.0786571859003801	0.0786575100546037	650.1206212062136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019257070543527845	7.254810326891635E-5	0.0	0.0	0.0	0.0	0.0
9.0	1.0	1.0	0.001210239589833276	0.002418315338318003	0.6394278577255672	0.6418461730638853	0.4593380308963795	0.2621472287994859	1.628873150384761	1.0002871788289576	3.290173981816807E-4	0.007379827436602724	16.493204353384733	3.6950429354393184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.76	689.6	123.3	500.0	2980.0	7170.0	1600.0	6.73	294.0	10.0	0.32	1442.4540867440976	137.84199195501097	0.07864418135155277	0.07864416863984576	0.9990431431475983	0.9990103154495069	1.6768947361423088	650.1332703271231	650.054202777216	1298.5108331857505	5.101122357170293	5.101194374647996	0.07866557333916295	0.07866588339483081	650.1329312546346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.019255385191916555	7.254946014954008E-5	0.0	0.0	0.0	0.0	0.0
