time	extracellular	cytosol	intravesicular	EC	Z	A	Y	GP	v0	v1	beta	Vm2	K2	Vm3	m	Ka	Ky	Kz	Kf	K	V4	Vm5	n	K5	Kd	epsilon	Vpm1	gamma	Ka5	K1	Ka6	Vpm2	alpha	G	Ka1	Kp2	Ka2	p	vin	R2	R3	Rkf	Rkz	R4	R5	R6	R7	R8
10.0	1.0	1.0	1.0	1000.0	0.13679340964380843	0.44001685305678906	0.9704836254394084	0.5303938975643758	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9103132150350066	1.281318701623571	0.9704836254394084	1.3679340964380842	1.0	0.06566234782343121	0.04400168530567891	1.2999395118297403	2.7765177751957846
11.0	1.0	1.0	1.0	1000.0	0.25714616054854433	0.2686603804849055	0.5955020839293034	0.8503840702738116	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.211813837433641	2.8760871403063866	0.5955020839293034	2.5714616054854433	1.0	0.29461853560870055	0.02686603804849055	1.4665611298283885	2.9527719578623355
12.0	1.0	1.0	1.0	1000.0	0.6489753576080843	0.23887179266326297	0.48628135957706126	0.9911433959466838	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.86084343275395	7.197471250178544	0.48628135957706126	6.489753576080844	1.0	1.4151546289266461	0.0238871792663263	2.91305341945477	2.9975649568829676
13.0	1.0	1.0	1.0	1000.0	0.38513740388195056	0.5728689096747496	1.3426096859323084	0.23308213003186673	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.6210466158788925	7.179288497728159	1.3426096859323084	3.8513740388195057	1.0	3.4261985153636836	0.05728689096747496	4.573917509227185	2.3092533635219996
14.0	1.0	1.0	1.0	1000.0	0.20202289147449284	0.7202388771885003	1.458874089844322	0.1487815217054993	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.819205589900558	2.7387721155244855	1.458874089844322	2.0202289147449286	1.0	0.6260011460991093	0.07202388771885003	1.6604518575650995	1.973534924387813
15.0	1.0	1.0	1.0	1000.0	0.15488272015881302	0.6018028136082741	1.2542435865367971	0.2866671911141248	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.234705184341237	1.6870692972537087	1.2542435865367971	1.5488272015881301	1.0	0.17535456071869493	0.06018028136082742	1.4251935527196842	2.4465528816935476
16.0	1.0	1.0	1.0	1000.0	0.13715883161327688	0.43170169784769147	0.9549105469573678	0.5442481494636993	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9175737577647936	1.2818101476774213	0.9549105469573678	1.3715883161327689	1.0	0.06426318237724696	0.04317016978476915	1.2937428859341569	2.7877750129748815
17.0	1.0	1.0	1.0	1000.0	0.26969715814121625	0.2624966029573521	0.579534236358041	0.8640182365345256	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.274806662300089	3.012565570978851	0.579534236358041	2.6969715814121624	1.0	0.33121407204797465	0.02624966029573521	1.5218027684470385	2.957682824355801
18.0	1.0	1.0	1.0	1000.0	0.6634378398785454	0.243270058413907	0.50506073305481	0.9918449119269888	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.866711027423482	7.568555215224455	0.50506073305481	6.634378398785454	1.0	1.4805667286431197	0.024327005841390702	2.933361367775354	2.997759272956096
19.0	1.0	1.0	1.0	1000.0	0.36681339242104344	0.5952541567906319	1.368007864935624	0.21381191328721416	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.584924642492341	6.7652016214053	1.368007864935624	3.6681339242104345	1.0	3.2513177035293777	0.05952541567906319	4.125322764818196	2.2484146839958563
