time	extracellular	cytosol	intravesicular1	intravesicular2	EC	Z	Y	X	beta	vin	v2i	v3i	v4	v5	v6	v2s	v3s
0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.5	1.0	0.027	0.0	0.0	0.0	0.0	0.25	0.0	0.1625
1.0	1.0	1.0	1.0	1.0	-0.02418115891436294	0.0031514096321703967	0.32301021243338596	0.1980195368488073	1.0	0.027	0.8813646618934442	0.48310706284335303	0.16150510621669298	0.0031514096321703967	0.09900976842440365	0.02091752798810922	0.13465859886434836
2.0	1.0	1.0	1.0	1.0	-0.04825515887238046	0.0026691511170842622	0.48179393827246764	0.06379206948282928	1.0	0.027	0.6875011530832439	0.35617314785070403	0.24089696913623382	0.0026691511170842622	0.03189603474141464	0.015064755671410319	0.04888140068548217
3.0	1.0	1.0	1.0	1.0	-0.07268813915266202	0.0025271754283667904	0.5403261239786697	0.029834839745625445	1.0	0.027	0.6307946267689851	0.32094625518097447	0.2701630619893349	0.0025271754283667904	0.014917419872812723	0.013518809580396375	0.013813430639352926
4.0	1.0	1.0	1.0	1.0	-0.09714621765826027	0.0025668263151036094	0.5732120612926795	0.02136733005047621	1.0	0.027	0.6465830538250759	0.331487132400835	0.28660603064633977	0.0025668263151036094	0.010683665025238105	0.013942378469600983	0.007379012934077941
5.0	1.0	1.0	1.0	1.0	-0.12154433205066985	0.0026395623387365395	0.5997264327888928	0.01917833692304129	1.0	0.027	0.6756468064734888	0.35065452582242596	0.2998632163944464	0.0026395623387365395	0.009589168461520645	0.014735870328033059	0.005995447732592571
6.0	1.0	1.0	1.0	1.0	-0.14586359355524586	0.002723186247978451	0.6241465770627534	0.018993830244515047	1.0	0.027	0.7091864010550454	0.37321647696764093	0.3120732885313767	0.002723186247978451	0.009496915122257523	0.01567444267409233	0.005884640835596806
7.0	1.0	1.0	1.0	1.0	-0.17009574367935992	0.002813554872405567	0.6477423032065743	0.01953988560038246	1.0	0.027	0.7455284452572692	0.39829821405054994	0.32387115160328717	0.002813554872405567	0.00976994280019123	0.016720224578732575	0.006215238257094199
8.0	1.0	1.0	1.0	1.0	-0.19423436138312572	0.0029103494186106544	0.6709366288838371	0.02038738308068027	1.0	0.027	0.7845028285301462	0.4259839718546493	0.33546831444191855	0.0029103494186106544	0.010193691540340135	0.017876517076815257	0.006744091997933801
9.0	1.0	1.0	1.0	1.0	-0.21827247598116223	0.003014866705502241	0.6938625004289182	0.021395108846744768	1.0	0.027	0.826567446621698	0.4568314124992268	0.3469312502144591	0.003014866705502241	0.010697554423372384	0.01916684422455183	0.007397371356567683
10.0	1.0	1.0	1.0	1.0	-0.24220117973815763	0.0031297509795284737	0.7165398918003825	0.02253153695824999	1.0	0.027	0.8726903274718592	0.49187348546918647	0.35826994590019123	0.0031297509795284737	0.011265768479124996	0.020634938452309716	0.00816510752277346
11.0	1.0	1.0	1.0	1.0	-0.26600791559337034	0.0032599323097575253	0.7389300623284017	0.023817920955214865	1.0	0.027	0.9246932142283427	0.5330054454803488	0.3694650311642009	0.0032599323097575253	0.011908960477607432	0.022361128846057468	0.009072576520267783
12.0	1.0	1.0	1.0	1.0	-0.28967286911584667	0.003415933077344547	0.7609300706875609	0.025326865350943212	1.0	0.027	0.986475006962433	0.5842649320913508	0.38046503534378046	0.003415933077344547	0.012663432675471606	0.024516658079838643	0.010187057894550815
13.0	1.0	1.0	1.0	1.0	-0.31315777067754375	0.0036298258390385445	0.7822692898975032	0.02725865494100484	1.0	0.027	1.069909374453435	0.6579813574660609	0.3911346449487516	0.0036298258390385445	0.01362932747050242	0.027624748748976646	0.011688763932707187
14.0	1.0	1.0	1.0	1.0	-0.2754725781080852	0.5691702660450055	0.024419398535174608	0.18188291352790462	1.0	0.027	3.0997607875491817	3.087427573436729	0.012209699267587304	0.5691702660450055	0.09094145676395231	1.4967554222932518	0.12977192880889143
15.0	1.0	1.0	1.0	1.0	-0.17547399128184	0.07243881194309859	0.02546813988086903	0.5775670394578706	1.0	0.027	3.085300760129595	3.0462502091023556	0.012734069940434516	0.07243881194309859	0.2887835197289353	1.3229512190297168	0.16408125655132638
16.0	1.0	1.0	1.0	1.0	-0.17651552329197545	0.003568870927518536	0.1640902010941127	0.5088564512703428	1.0	0.027	1.0463039135846968	0.5540823068310963	0.08204510054705635	0.003568870927518536	0.2544282256351714	0.026721134551258817	0.16271595105204992
17.0	1.0	1.0	1.0	1.0	-0.1630819504504931	0.0681839053707955	0.0255967493081041	0.5693012957715917	1.0	0.027	3.0834190726015067	3.039913792087896	0.01279837465405205	0.0681839053707955	0.28465064788579586	1.303155122353633	0.16394169427728125
18.0	1.0	1.0	1.0	1.0	-0.1631360303163589	0.0033943371547850987	0.14994971503407045	0.5097919781274993	1.0	0.027	0.9779637325271141	0.4893348993456956	0.07497485751703523	0.0033943371547850987	0.25489598906374966	0.024212631748377535	0.1627381400038931
19.0	1.0	1.0	1.0	1.0	-0.16157674520243198	0.1990473401574951	0.026308924948548515	0.4362204800963851	1.0	0.027	3.0980451430018126	3.476631597299094	0.013154462474274257	0.1990473401574951	0.21811024004819254	1.4738759844707334	0.1605621634474949
20.0	1.0	1.0	1.0	1.0	-0.14472252133880942	0.0027271739690903907	0.0772966978440272	0.5646986495256862	1.0	0.027	0.7107883498210779	0.22162998646436233	0.0386483489220136	0.0027271739690903907	0.2823493247628431	0.015719900850164843	0.16386141892627173
21.0	1.0	1.0	1.0	1.0	-0.1450774407476279	0.0035162954404411822	0.17710598627832716	0.4644551590288562	1.0	0.027	1.0258294613542807	0.5488200580580376	0.08855299313916358	0.0035162954404411822	0.2322275795144281	0.025953160416801027	0.16151280116340047
22.0	1.0	1.0	1.0	1.0	-0.14437439511902753	0.00421177239811666	0.2539975819536213	0.3861650407672874	1.0	0.027	1.286669048802048	0.8295508127827452	0.12699879097681066	0.00421177239811666	0.1930825203836437	0.036956868941495226	0.15837931448885104
23.0	1.0	1.0	1.0	1.0	-0.12527134454261302	0.1381191660922455	0.024709427785639393	0.4624427506647241	1.0	0.027	3.0959428128300965	3.078491484350706	0.012354713892819696	0.1381191660922455	0.23122137533236206	1.4467431722427415	0.16145041275782293
24.0	1.0	1.0	1.0	1.0	-0.1120727272065396	0.0317280774691345	0.02925539598035102	0.5510892537570513	1.0	0.027	3.0248791450757615	2.843930165341686	0.01462769799017551	0.0317280774691345	0.27554462687852566	0.8836022486064709	0.16361267638609162
25.0	1.0	1.0	1.0	1.0	-0.10442566890822498	0.0026716893907501767	0.059738615462068365	0.5420153640554042	1.0	0.027	0.6885188005254039	0.16636998212530663	0.029869307731034182	0.0026716893907501767	0.2710076820277021	0.015093133017502822	0.1634367754401232
26.0	1.0	1.0	1.0	1.0	-0.09438004163202734	0.013862986679185745	0.041022740593494485	0.539494314359344	1.0	0.027	2.7431570876888354	2.023990729376243	0.020511370296747242	0.013862986679185745	0.269747157179672	0.3222978054106231	0.1633863913013413
27.0	1.0	1.0	1.0	1.0	-0.08989526413760059	0.15869253734027183	0.02463614760753432	0.40656657918978834	1.0	0.027	3.096925618380248	3.081034426333013	0.01231807380376716	0.15869253734027183	0.20328328959489417	1.4593064806869567	0.15935918500969898
28.0	1.0	1.0	1.0	1.0	-0.1020328622414927	0.0038637574786919704	0.34105783265740147	0.25711127210539186	1.0	0.027	1.1590364404989193	0.7218160886440569	0.17052891632870074	0.0038637574786919704	0.12855563605269593	0.03122364791539509	0.14679418941748995
29.0	1.0	1.0	1.0	1.0	-0.125423536356226	0.0031784928891213484	0.5338957987979287	0.08834924466916796	1.0	0.027	0.8921999850322345	0.5037037599797509	0.26694789939896435	0.0031784928891213484	0.04417462233458398	0.021273483036299605	0.07408598188974809
30.0	1.0	1.0	1.0	1.0	-0.14947078058960847	0.0028410419680971453	0.6093371356593279	0.03729260296217781	1.0	0.027	0.7565939135873092	0.40546471244164184	0.30466856782966395	0.0028410419680971453	0.018646301481088905	0.017044787275854487	0.020633848041198537
31.0	1.0	1.0	1.0	1.0	-0.17363246231381463	0.002855800419606905	0.6454795015828741	0.025297160311327106	1.0	0.027	0.7625363659761756	0.4101205007517177	0.3227397507914371	0.002855800419606905	0.012648580155663553	0.01722029517108384	0.010164612188657213
32.0	1.0	1.0	1.0	1.0	-0.1977396710990722	0.002934673279583364	0.6724170274462605	0.02238797037322114	1.0	0.027	0.7942969310211927	0.4330269320452183	0.33620851372313026	0.002934673279583364	0.01119398518661057	0.018172943979380313	0.008066336666199568
33.0	1.0	1.0	1.0	1.0	-0.2217564289071065	0.0030343762815130586	0.6965491462204118	0.022172906405174952	1.0	0.027	0.8344109550727704	0.46268322450804344	0.3482745731102059	0.0030343762815130586	0.011086453202587476	0.019412488170782644	0.00791933407471789
34.0	1.0	1.0	1.0	1.0	-0.24566604813949441	0.003148893644677917	0.719603681344262	0.022913473150545455	1.0	0.027	0.8803574120562023	0.4978221942103103	0.359801840672131	0.003148893644677917	0.011456736575272727	0.02088460635476265	0.008430344495531827
35.0	1.0	1.0	1.0	1.0	-0.2694527990686622	0.003281135450770136	0.7420837123591489	0.024087951258733722	1.0	0.027	0.9331285197179163	0.5398453021246086	0.37104185617957447	0.003281135450770136	0.012043975629366861	0.022648549499891042	0.009268113594589504
36.0	1.0	1.0	1.0	1.0	-0.2930943628899694	0.0034422335990746756	0.7640570714300615	0.025595057860826668	1.0	0.027	0.996820576615702	0.5931157823067699	0.38202853571503076	0.0034422335990746756	0.012797528930413334	0.024889348562386098	0.010390611837316013
37.0	1.0	1.0	1.0	1.0	-0.31654693208386603	0.0036720196332097957	0.785261472711304	0.02761343973934553	1.0	0.027	1.0861618493909864	0.6729853514524853	0.392630736355652	0.0036720196332097957	0.013806719869672765	0.0282585429238596	0.011973316847410253
38.0	1.0	1.0	1.0	1.0	-0.2145105778994626	0.332032475546909	0.024455830390365807	0.3580222719621848	1.0	0.027	3.099297183249872	3.0865777156299075	0.012227915195182903	0.332032475546909	0.1790111359810924	1.49050567150214	0.1567695712439555
39.0	1.0	1.0	1.0	1.0	-0.17562909949065308	0.0027772841935695958	0.07613715641528285	0.5967146588817976	1.0	0.027	0.7309335269964895	0.22683673098050866	0.038068578207641424	0.0027772841935695958	0.2983573294408988	0.01629656225284582	0.16438337623981863
40.0	1.0	1.0	1.0	1.0	-0.17987333646978138	0.004338859423096151	0.22062549842141932	0.45490897862526414	1.0	0.027	1.3316312559415402	0.8612404574413448	0.11031274921070966	0.004338859423096151	0.22745448931263207	0.03916170188132309	0.16120990584180458
41.0	1.0	1.0	1.0	1.0	-0.1635860422758196	0.0027763534386569615	0.07851010251788287	0.5822995863192777	1.0	0.027	0.7305591283275905	0.2325232085700803	0.03925505125894144	0.0027763534386569615	0.29114979315963885	0.016285759679161606	0.1641586031333094
42.0	1.0	1.0	1.0	1.0	-0.16652791653412413	0.0039093123801146445	0.20736392867836703	0.45525467547564297	1.0	0.027	1.176098295264773	0.6967717387456047	0.10368196433918352	0.0039093123801146445	0.22762733773782148	0.031948487064137665	0.16122118779258887
43.0	1.0	1.0	1.0	1.0	-0.14849475703013518	0.04468657646719538	0.02702777844360374	0.576780402119335	1.0	0.027	3.0616695292325877	2.9663322698121686	0.01351388922180187	0.04468657646719538	0.2883902010596675	1.1097368218804646	0.1640682224212732
44.0	1.0	1.0	1.0	1.0	-0.14820511169899636	0.0032631508174979437	0.14001407824505166	0.5049278826364458	1.0	0.027	0.925974337585679	0.44274795010295204	0.07000703912252583	0.0032631508174979437	0.2524639413182229	0.022404644777964142	0.1626214901682803
45.0	1.0	1.0	1.0	1.0	-0.14845473680236734	0.0039666207319968404	0.23099777068376587	0.41349034538660245	1.0	0.027	1.1974162190466802	0.7293715643225559	0.11549888534188293	0.0039666207319968404	0.20674517269330123	0.03287136957998434	0.15966165571551114
46.0	1.0	1.0	1.0	1.0	-0.13277172840514523	0.14663181721866278	0.02467565091716875	0.46146426026930987	1.0	0.027	3.09639968425719	3.0797312743917535	0.012337825458584376	0.14663181721866278	0.23073213013465493	1.4525573856445768	0.16141980003241738
47.0	1.0	1.0	1.0	1.0	-0.11953727686889559	0.014399158410654533	0.04062982014824298	0.564508298309998	1.0	0.027	2.76643103489134	2.106441044153641	0.02031491007412149	0.014399158410654533	0.282254149154999	0.3419178895227138	0.16385805835702905
48.0	1.0	1.0	1.0	1.0	-0.11481376794636465	0.0028482758910899214	0.09853711731895079	0.5134283747363222	1.0	0.027	0.7595065572745248	0.2871745188464618	0.049268558659475395	0.0028482758910899214	0.2567141873681611	0.01713070484480906	0.16282329573290874
