time	compartment	EI	PyrPI	EIP	HPr	EIPHPr	HPrP	EIIA	HPrPIIA	EIIAP	EIICB	EIIAPIICB	EIICBP	EIICBPGlc	PEP	Pyr	GlcP	Glc	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10
0.0	1.0	3.0	0.0	2.0	25.0	0.0	25.0	20.0	0.0	20.0	5.0	0.0	5.0	0.0	2800.0	900.0	50.0	500.0	1.6464E7	-529200.0	700000.0	-252000.0	1.098E7	-1692000.0	88000.0	-96000.0	650000.0	-1.35
1.0	1.0	0.2692741979754585	3.048754381655698	1.1900634086327802	1.2761269274602611	0.49190801152845554	29.78197400686293	0.6414812008437565	18.449991053491893	15.435683744657096	1.412812375507826	5.4728440023063865	0.119535965178315	2.994807657067314	2800.0	900.0	50.0	500.0	14374.69529458112	14374.695294581761	14374.695294581714	14374.695294581732	14374.695294580655	14374.695294581776	14374.695294581721	14374.695294581721	14374.695294581763	14374.695294581721
2.0	1.0	0.26927419797545854	3.0487543816556975	1.1900634086327802	1.2761269274602614	0.4919080115284554	29.78197400686293	0.6414812008437578	18.449991053491885	15.435683744657098	1.4128123755078255	5.4728440023063865	0.11953596517831466	2.9948076570673137	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581703	14374.695294581717	14374.695294581721	14374.695294581703	14374.695294581732	14374.695294581717	14374.695294581721	14374.695294581721	14374.69529458172
3.0	1.0	0.2692741979754586	3.0487543816556975	1.19006340863278	1.2761269274602618	0.49190801152845537	29.781974006862924	0.6414812008437581	18.449991053491885	15.435683744657094	1.4128123755078261	5.4728440023063865	0.11953596517831466	2.994807657067314	2800.0	900.0	50.0	500.0	14374.695294582052	14374.695294581761	14374.695294581717	14374.695294581714	14374.69529458182	14374.695294581717	14374.695294581725	14374.695294581721	14374.695294581721	14374.695294581721
4.0	1.0	0.2692741979754586	3.0487543816556975	1.1900634086327802	1.2761269274602616	0.4919080115284554	29.78197400686293	0.6414812008437578	18.449991053491885	15.435683744657094	1.4128123755078261	5.4728440023063865	0.11953596517831465	2.994807657067314	2800.0	900.0	50.0	500.0	14374.695294582052	14374.695294581703	14374.695294581721	14374.695294581717	14374.695294581703	14374.695294581732	14374.695294581725	14374.695294581721	14374.69529458172	14374.695294581721
5.0	1.0	0.26927419797545854	3.0487543816556975	1.1900634086327802	1.2761269274602616	0.4919080115284554	29.78197400686293	0.6414812008437579	18.44999105349189	15.435683744657096	1.4128123755078257	5.472844002306386	0.11953596517831463	2.9948076570673137	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581703	14374.695294581721	14374.695294581721	14374.695294581645	14374.695294581747	14374.695294581717	14374.69529458172	14374.695294581717	14374.69529458172
6.0	1.0	0.26927419797545854	3.0487543816556975	1.19006340863278	1.2761269274602618	0.49190801152845554	29.781974006862935	0.6414812008437578	18.449991053491885	15.435683744657096	1.4128123755078255	5.472844002306386	0.11953596517831465	2.9948076570673132	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581761	14374.695294581717	14374.695294581728	14374.695294581761	14374.695294581717	14374.695294581714	14374.69529458172	14374.695294581721	14374.695294581717
7.0	1.0	0.26927419797545854	3.0487543816556975	1.19006340863278	1.2761269274602616	0.4919080115284555	29.781974006862935	0.6414812008437578	18.449991053491885	15.435683744657096	1.4128123755078255	5.472844002306386	0.11953596517831463	2.9948076570673132	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581761	14374.695294581714	14374.695294581721	14374.695294581761	14374.695294581732	14374.695294581714	14374.69529458172	14374.695294581717	14374.695294581717
8.0	1.0	0.26927419797545854	3.0487543816556975	1.19006340863278	1.2761269274602616	0.4919080115284554	29.78197400686293	0.6414812008437578	18.449991053491885	15.435683744657096	1.4128123755078252	5.472844002306385	0.11953596517831462	2.9948076570673132	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581761	14374.695294581714	14374.695294581721	14374.695294581703	14374.695294581732	14374.695294581716	14374.695294581716	14374.695294581717	14374.695294581717
9.0	1.0	0.26927419797545854	3.0487543816556975	1.1900634086327802	1.2761269274602611	0.4919080115284554	29.781974006862935	0.6414812008437576	18.449991053491882	15.4356837446571	1.4128123755078248	5.472844002306385	0.11953596517831462	2.9948076570673132	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581703	14374.695294581714	14374.695294581721	14374.695294581703	14374.695294581717	14374.695294581712	14374.695294581716	14374.695294581717	14374.695294581717
10.0	1.0	0.2692741979754586	3.0487543816556975	1.1900634086327802	1.2761269274602611	0.4919080115284555	29.781974006862935	0.6414812008437577	18.449991053491882	15.435683744657101	1.4128123755078248	5.472844002306385	0.11953596517831461	2.994807657067313	2800.0	900.0	50.0	500.0	14374.695294582052	14374.695294581703	14374.695294581714	14374.695294581714	14374.695294581761	14374.695294581703	14374.695294581716	14374.695294581716	14374.695294581716	14374.695294581716
11.0	1.0	0.26927419797545854	3.0487543816556975	1.19006340863278	1.2761269274602614	0.4919080115284554	29.781974006862935	0.6414812008437577	18.449991053491885	15.435683744657103	1.4128123755078248	5.472844002306385	0.11953596517831461	2.994807657067313	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581761	14374.69529458171	14374.695294581721	14374.695294581703	14374.695294581717	14374.69529458172	14374.695294581716	14374.695294581716	14374.695294581716
12.0	1.0	0.2692741979754586	3.048754381655698	1.1900634086327802	1.2761269274602611	0.4919080115284555	29.781974006862935	0.6414812008437577	18.449991053491885	15.435683744657103	1.4128123755078246	5.472844002306385	0.11953596517831461	2.9948076570673132	2800.0	900.0	50.0	500.0	14374.69529458182	14374.695294581761	14374.695294581714	14374.695294581714	14374.695294581703	14374.695294581717	14374.695294581716	14374.695294581716	14374.695294581714	14374.695294581717
13.0	1.0	0.2692741979754586	3.048754381655698	1.1900634086327802	1.2761269274602614	0.4919080115284554	29.781974006862935	0.6414812008437578	18.449991053491885	15.435683744657103	1.4128123755078246	5.472844002306384	0.11953596517831462	2.994807657067313	2800.0	900.0	50.0	500.0	14374.69529458182	14374.695294581761	14374.695294581717	14374.695294581714	14374.695294581761	14374.695294581717	14374.695294581717	14374.695294581714	14374.695294581717	14374.695294581716
14.0	1.0	0.2692741979754586	3.0487543816556983	1.1900634086327804	1.2761269274602611	0.4919080115284555	29.781974006862935	0.6414812008437576	18.449991053491882	15.435683744657105	1.4128123755078243	5.472844002306384	0.11953596517831461	2.9948076570673123	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581703	14374.695294581717	14374.695294581714	14374.695294581703	14374.695294581688	14374.695294581717	14374.695294581714	14374.695294581716	14374.695294581712
15.0	1.0	0.26927419797545865	3.0487543816556983	1.1900634086327804	1.2761269274602611	0.4919080115284554	29.781974006862924	0.641481200843758	18.449991053491885	15.435683744657105	1.4128123755078246	5.472844002306384	0.11953596517831461	2.994807657067313	2800.0	900.0	50.0	500.0	14374.69529458182	14374.695294581703	14374.695294581717	14374.695294581714	14374.695294581761	14374.695294581703	14374.695294581721	14374.695294581714	14374.695294581716	14374.695294581716
16.0	1.0	0.26927419797545865	3.0487543816556983	1.1900634086327804	1.2761269274602611	0.4919080115284554	29.781974006862924	0.641481200843758	18.449991053491885	15.435683744657103	1.4128123755078246	5.472844002306384	0.11953596517831462	2.994807657067313	2800.0	900.0	50.0	500.0	14374.69529458182	14374.695294581703	14374.695294581717	14374.695294581714	14374.695294581761	14374.695294581717	14374.695294581717	14374.695294581714	14374.695294581717	14374.695294581716
17.0	1.0	0.2692741979754586	3.0487543816556983	1.1900634086327804	1.2761269274602611	0.49190801152845537	29.78197400686292	0.641481200843758	18.449991053491885	15.435683744657103	1.4128123755078248	5.472844002306385	0.11953596517831462	2.994807657067313	2800.0	900.0	50.0	500.0	14374.695294581586	14374.695294581703	14374.695294581717	14374.695294581717	14374.695294581703	14374.695294581717	14374.69529458172	14374.695294581716	14374.695294581717	14374.695294581716
