time	cell	EmptySet	C2	CP	M	pM	Y	YP	YT	CT	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9
0.0	1.0	0.0	0.0	0.75	0.0	0.25	0.0	0.0	0.25	1.0	0.0	0.0	750.0	0.0	0.0	0.015	0.0	0.0	0.0045
1.0	1.0	0.0	7.36087450612091E-4	0.7360843938118226	0.00304486079288961	0.2601346579446739	1.0187925284043502E-4	0.0014035353171194043	0.26468493330752335	0.999999999999998	0.00304486079288961	736.0874506120911	736.0843938118226	0.014998345613810603	0.0	0.015	0.0	8.421211902716426E-4	0.0051165396569952315
2.0	1.0	0.0	7.250131049291908E-4	0.7250084502026083	0.00464438404025071	0.26962215265223155	1.0343688612152047E-4	0.003770601130165336	0.27814057470876913	1.0000000000000198	0.00464438404025071	725.0131049291908	725.0084502026083	0.014998523300149447	0.0	0.015	0.0	0.0022623606780992015	0.0059000484283202835
3.0	1.0	0.0	7.152315846901159E-4	0.7152258606793501	0.005714737067671111	0.27834417066830325	1.0485247002468292E-4	0.006024030506049222	0.29018779071204825	1.0000000000000147	0.005714737067671111	715.2315846901158	715.2258606793501	0.01499863962355192	0.0	0.015	0.0	0.0036144183036295333	0.006646435588687438
4.0	1.0	0.0	7.06397105721189E-4	0.7063905234913596	0.006573814131513503	0.2863292652713989	1.0616460668425844E-4	0.007966115205469223	0.3009753592150659	0.9999999999999931	0.006573814131513503	706.397105721189	706.3905234913595	0.01499873441838952	0.0	0.015	0.0	0.004779669123281534	0.007381197892055526
5.0	1.0	0.0	6.983780255216375E-4	0.6983706534748648	0.007364420777565059	0.2935665477220382	1.0738442770616458E-4	0.009643364094049266	0.3106817170213587	0.9999999999999898	0.007364420777565059	698.3780255216375	698.3706534748649	0.014998826590035708	0.0	0.015	0.0	0.0057860184564295595	0.00815006636589339
6.0	1.0	0.0	6.911502067217237E-4	0.6911420301447386	0.00816975546758429	0.299997064180924	1.0850829097420088E-4	0.01116011198892218	0.3194354399284047	0.9999999999999686	0.00816975546758429	691.1502067217236	691.1420301447387	0.014998928102289042	0.0	0.015	0.0	0.006696067193353308	0.00900413672169008
7.0	1.0	0.0	6.847624258450925E-4	0.6847533621156022	0.009057795121980393	0.3055040803365238	1.0952154836626835E-4	0.012627975252870242	0.3272993722597407	0.9999999999999516	0.009057795121980393	684.7624258450925	684.7533621156023	0.014999049693581758	0.0	0.015	0.0	0.007576785151722144	0.010010714153308708
8.0	1.0	0.0	6.79335500416483E-4	0.6793253860269295	0.010109505906213227	0.3098857725664065	1.1039779433533196E-4	0.014162927562331272	0.3342686038292863	0.9999999999999656	0.010109505906213227	679.335500416483	679.3253860269294	0.01499920485067419	0.0	0.015	0.0	0.008497756537398763	0.01127872025441159
9.0	1.0	0.0	6.750920886945242E-4	0.6750806289067053	0.01145624975286489	0.31278802925167315	1.1109351247250747E-4	0.015907127007374715	0.34026249952438525	0.9999999999999378	0.01145624975286489	675.0920886945243	675.0806289067053	0.01499941565347905	0.0	0.015	0.0	0.009544276204424829	0.013019557277511359
10.0	1.0	0.0	6.724438109072134E-4	0.6724304408734141	0.013368406464983648	0.3135287088506306	1.1153366867660662E-4	0.018085893630414625	0.3450945426147055	0.9999999999999356	0.013368406464983648	672.4438109072134	672.4304408734141	0.014999726800087975	0.0	0.015	0.0	0.010851536178248775	0.015729287746490767
11.0	1.0	0.0	6.722474705986695E-4	0.67223091541829	0.016556739658454334	0.3105400974526103	1.1157068497561345E-4	0.02117386792201398	0.34838227571805425	0.9999999999999534	0.016556739658454334	672.2474705986695	672.23091541829	0.015000252739000458	0.0	0.015	0.0	0.012704320753208388	0.02091258162274308
12.0	1.0	0.0	6.76794239103937E-4	0.6767705175466118	0.02373028939460027	0.2988223988196356	1.1083087717342089E-4	0.02658156367346172	0.34924508276487104	0.9999999999999516	0.02373028939460027	676.794239103937	676.7705175466118	0.015001414020960203	0.0	0.015	0.0	0.015948938204077032	0.03566827650917616
13.0	1.0	0.0	6.971109705420674E-4	0.6970522834053612	0.05873091394782474	0.2435196916762062	1.0764362107655868E-4	0.042340589528553296	0.3446988387736608	0.9999999999999342	0.05873091394782474	697.1109705420674	697.0522834053612	0.01500664637308734	0.0	0.015	0.0	0.025404353717131976	0.1555792872671758
