time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
0.0	1.0	0.01	0.01	0.01	0.99	0.99	0.0588235294117647	0.01	3.0	1.0	0.5	0.025	1.0E-4	8.333333333333334E-4	0.058527933786579944	1.0	0.009949748743718593	0.33333333333333337
1.0	1.0	0.03475821406079969	7.403528033558798E-4	7.321189518119317E-6	0.9992596471966431	0.9999926788104766	0.19499399811097337	7.403528033558798E-4	3.0	1.0	0.5	0.025	3.475821406079969E-4	1.161795891333915E-6	0.19402316353320612	0.19346009610848153	7.36669429242985E-4	7.310485228553965E-4
2.0	1.0	0.059285987600631744	0.0013334168825032769	1.3240831335748431E-5	0.9986665831174982	0.9999867591686588	0.3180089734858473	0.0013334168825032769	3.0	1.0	0.5	0.025	5.928598760063174E-4	2.4752033308436178E-6	0.3164247373518809	0.31580509555283964	0.0013267828802622607	0.0013205860022707594
3.0	1.0	0.08356829480990828	0.001988311991241894	1.979360043901764E-5	0.9980116880087552	0.9999802063995543	0.4296067600989007	0.001988311991241894	3.0	1.0	0.5	0.025	8.356829480990828E-4	3.992818072059028E-6	0.4274651760813117	0.42677945555387636	0.0019784196969530083	0.001971555208692898
4.0	1.0	0.10760738044393027	0.0027151523407714304	2.70859234413389E-5	0.9972848476592263	0.9999729140765552	0.5313005597396306	0.0027151523407714304	3.0	1.0	0.5	0.025	0.0010760738044393028	5.710181609965729E-6	0.5286501128083992	0.5278869854110901	0.0027016437560984483	0.0026939984569427228
5.0	1.0	0.131405456741281	0.0035263688218799072	3.5249329036751066E-5	0.9964736311781193	0.9999647506709567	0.6243474236957277	0.0035263688218799072	3.0	1.0	0.5	0.025	0.0013140545674128101	7.648261630710205E-6	0.6212302800972425	0.6203758415007917	0.0035088240830245115	0.003500256564603356
6.0	1.0	0.15496468586417414	0.004437406621599051	4.444828062681301E-5	0.995562593378398	0.9999555517193655	0.7098001886607542	0.004437406621599051	3.0	1.0	0.5	0.025	0.0015496468586417415	9.841862960111638E-6	0.7062531832392139	0.705290150067814	0.004415328995309974	0.004405663231548679
7.0	1.0	0.17828716755125354	0.005467675314401504	5.489069910307566E-5	0.9945323246855938	0.9999451093008873	0.7885472823917826	0.005467675314401504	3.0	1.0	0.5	0.025	0.0017828716755125353	1.2338553458667357E-5	0.7846027011965732	0.7835085370214488	0.00544047146384391	0.00542946448998544
8.0	1.0	0.2013749259604028	0.00664192020353363	6.684401210605262E-5	0.9933580797964616	0.9999331559878855	0.8613435632218699	0.00664192020353363	3.0	1.0	0.5	0.025	0.002013749259604028	1.5201256341877132E-5	0.8570297624891834	0.8557763780477079	0.006608873626435653	0.00659621767971782
9.0	1.0	0.22422989299841	0.007992128491926284	8.065710024775893E-5	0.9920078715080677	0.999919342899745	0.9288344564323401	0.007992128491926284	3.0	1.0	0.5	0.025	0.0022422989299841	1.8513021416091313E-5	0.9241763464866914	0.9227273841495075	0.007952363467258411	0.007937664228887408
