time	cell	D	DR	DRG_GDP	G_GDP	DRG	GDP	DRG_GTP	GTP	G_GTP	R	Reaction_1	Reaction_2	Reaction_3	Reaction_4	Reaction_5	Reaction_6
0.0	1.0	3.1E-5	0.0	0.0	1.0E-6	0.0	0.0	0.0	1.0E-5	0.0	1.0E-10	1.55E-8	0.0	0.0	0.0	0.0	0.0
1.0	1.0	3.099990263072166E-5	3.3638816633048675E-12	3.6776202133619646E-12	9.998890074007965E-7	4.755606945238346E-11	1.2440566303688235E-10	4.2771707006934586E-11	9.999923150406418E-6	1.698720253069836E-11	2.6307216640136445E-12	3.741217605317165E-10	3.359830677122282E-10	1.8387509442374657E-11	2.5341313914722082E-11	4.2771707006934586E-11	3.397440506139672E-11
2.0	1.0	3.099990010152525E-5	6.151433886578542E-13	8.323536090499898E-12	9.998798615274166E-7	4.804365399009619E-11	1.6785340917591533E-10	4.291614128123839E-11	9.999880190244815E-6	2.0855141221693334E-11	1.0152524950637144E-13	9.584929075821158E-12	6.067459501802211E-11	4.161687402338834E-11	4.176614854458436E-11	4.291614128123839E-11	4.171028244338667E-11
3.0	1.0	3.0999900030479574E-5	4.459368161780953E-13	8.569541679443578E-12	9.998791027607708E-7	4.8050991988605046E-11	2.1074923009141062E-10	4.290304993867343E-11	9.999837301761898E-6	2.1373655622465828E-11	3.047957709856772E-14	2.6495105335351723E-13	4.3731336196870514E-11	4.2846695726261215E-11	4.2842763744535915E-11	4.290304993867343E-11	4.2747311244931656E-11
4.0	1.0	3.099990002830994E-5	4.3800655169313486E-13	8.580209004603185E-12	9.998790252886667E-7	4.805133009275884E-11	2.536508226096276E-10	4.2902144401852535E-11	9.999794400507483E-6	2.144102783407159E-11	2.8309949091020637E-14	7.962441209569502E-15	4.293733549723785E-11	4.289982619707537E-11	4.28991658906438E-11	4.2902144401852535E-11	4.288205566814318E-11
5.0	1.0	3.0999900028238406E-5	4.376679592072334E-13	8.580663011207279E-12	9.998790161842289E-7	4.8051430029081147E-11	2.9655283109155066E-10	4.2902000596937907E-11	9.999751498598937E-6	2.1449722133626558E-11	2.8238403565128153E-14	2.5884530778403125E-16	4.290343454562804E-11	4.290189007727508E-11	4.290176438404557E-11	4.2902000596937907E-11	4.2899444267253116E-11
6.0	1.0	3.099990002823584E-5	4.3765315979637205E-13	8.580700284241245E-12	9.998790150852345E-7	4.805151792699369E-11	3.3945475699967376E-10	4.2901892791955845E-11	9.999708596760927E-6	2.1450803761938612E-11	2.8235837011586587E-14	9.024900007636373E-18	4.2901951008189596E-11	4.290187028957209E-11	4.2901780952281336E-11	4.2901892791955845E-11	4.2901607523877223E-11
7.0	1.0	3.099990002823568E-5	4.376515695288852E-13	8.580720964205675E-12	9.998790149893671E-7	4.8051605218493905E-11	3.8235657771146207E-10	4.2901786569056484E-11	9.999665695027507E-6	2.1450897880562344E-11	2.8235678713794495E-14	3.9149620548647163E-19	4.290178992848866E-11	4.2901767536295895E-11	4.2901680173784406E-11	4.2901786569056484E-11	4.290179576112469E-11
8.0	1.0	3.099990002823561E-5	4.3765050623217835E-13	8.580740990939043E-12	9.99879015022215E-7	4.8051692481315886E-11	4.2525829230832657E-10	4.290168041341202E-11	9.999622793400173E-6	2.14508638986379E-11	2.8235608099559125E-14	7.929207868311916E-20	4.2901681610446525E-11	4.2901661516626506E-11	4.290157425044906E-11	4.290168041341202E-11	4.29017277972758E-11
9.0	1.0	3.099990002823554E-5	4.376494637089704E-13	8.580760992122742E-12	9.998790150717045E-7	4.805177974294035E-11	4.681599007538836E-10	4.2901574260461907E-11	9.999579891878989E-6	2.145081329922243E-11	2.8235540764759216E-14	6.766382081668019E-20	4.290157537278623E-11	4.290155536897016E-11	4.290146810711717E-11	4.2901574260461907E-11	4.290162659844486E-11
10.0	1.0	3.099990002823547E-5	4.3764842199792064E-13	8.580780992331284E-12	9.998790151233506E-7	4.805186700460954E-11	5.11061403046587E-10	4.290146810750541E-11	9.999536990463958E-6	2.145076054409557E-11	2.8235473554533348E-14	6.722289396830464E-20	4.2901469216523815E-11	4.290144921619938E-11	4.2901361954440623E-11	4.290146810750541E-11	4.290152108819114E-11
11.0	1.0	3.0999900028235404E-5	4.376473803173393E-13	8.580800992524051E-12	9.998790151752765E-7	4.8051954266377414E-11	5.53962799186258E-10	4.290136195443085E-11	9.99949408915508E-6	2.1450707509271275E-11	2.823540634900933E-14	6.720606843609872E-20	4.2901363063321684E-11	4.290134306311108E-11	4.290125580125867E-11	4.290136195443085E-11	4.290141501854255E-11
12.0	1.0	3.0999900028235336E-5	4.376463386367749E-13	8.580820992738438E-12	9.99879015227239E-7	4.80520415282462E-11	5.968640891727714E-10	4.290125580123357E-11	9.999451187952353E-6	2.1450654438110476E-11	2.8235339143591256E-14	6.720549571045975E-20	4.2901256910120684E-11	4.290123690989223E-11	4.2901149647939814E-11	4.290125580123357E-11	4.290130887622095E-11
13.0	1.0	3.099990002823527E-5	4.3764529695505145E-13	8.58084099297594E-12	9.998790152792062E-7	4.805212879021605E-11	6.397652730060044E-10	4.2901149647913474E-11	9.999408286855781E-6	2.145060136218256E-11	2.8235271938102437E-14	6.720554660145447E-20	4.290115075680167E-11	4.2901130756550305E-11	4.2901043494496884E-11	4.2901149647913474E-11	4.290120272436512E-11
14.0	1.0	3.09999000282352E-5	4.376442552721237E-13	8.580860993236582E-12	9.99879015331174E-7	4.8052216052286886E-11	6.82666350685834E-10	4.290104349447047E-11	9.999365385865363E-6	2.145054828558278E-11	2.8235204732536095E-14	6.720562495743046E-20	4.290104460335995E-11	4.2901024603085434E-11	4.2900937340931117E-11	4.290104349447047E-11	4.290109657116556E-11
15.0	1.0	3.099990002823513E-5	4.3764321358799073E-13	8.580880993520388E-12	9.99879015383142E-7	4.805230331445876E-11	7.255673222121372E-10	4.290093734090463E-11	9.9993224849811E-6	2.1450495208842373E-11	2.823513752689199E-14	6.720570250561289E-20	4.290093844979538E-11	4.290091844949774E-11	4.290083118724251E-11	4.290093734090463E-11	4.2900990417684745E-11
16.0	1.0	3.0999900028235065E-5	4.3764217190265146E-13	8.580900993827327E-12	9.9987901543511E-7	4.8052390576731605E-11	7.684681875847913E-10	4.2900831187215856E-11	9.999279584202991E-6	2.145044213203025E-11	2.8235070321170066E-14	6.720578005379532E-20	4.2900832296107896E-11	4.2900812295787074E-11	4.290072503343066E-11	4.2900831187215856E-11	4.29008842640605E-11
17.0	1.0	3.0999900028235E-5	4.3764113021610636E-13	8.580920994157414E-12	9.99879015487078E-7	4.8052477839105436E-11	8.11368946803673E-10	4.2900725033404184E-11	9.999236683531036E-6	2.1450389055155333E-11	2.8235003115370344E-14	6.720585840977131E-20	4.290072614229751E-11	4.2900706141953514E-11	4.290061887949597E-11	4.2900725033404184E-11	4.2900778110310666E-11
18.0	1.0	3.099990002823493E-5	4.3764008852835553E-13	8.580940994510664E-12	9.99879015539046E-7	4.8052565101580286E-11	8.5426959986866E-10	4.2900618879469636E-11	9.999193782965233E-6	2.1450335978218797E-11	2.8234935909492828E-14	6.720593515016017E-20	4.290061998836424E-11	4.2900599987997124E-11	4.290051272543886E-11	4.2900618879469636E-11	4.2900671956437595E-11
19.0	1.0	3.099990002823486E-5	4.3763904683939937E-13	8.580960994887067E-12	9.99879015591014E-7	4.805265236415618E-11	8.971701467796292E-10	4.290051272541224E-11	9.999150882505585E-6	2.1450282901220828E-11	2.823486870353756E-14	6.720601431392973E-20	4.2900513834308125E-11	4.290049383391787E-11	4.290040657125891E-11	4.290051272541224E-11	4.2900565802441655E-11
20.0	1.0	3.0999900028234794E-5	4.3763800514923763E-13	8.580980995286617E-12	9.99879015642982E-7	4.8052739626833076E-11	9.400705875364578E-10	4.290040657123196E-11	9.99910798215209E-6	2.1450229824161407E-11	2.82348014975045E-14	6.720609105431859E-20	4.290040768012914E-11	4.290038767971571E-11	4.290030041695571E-11	4.290040657123196E-11	4.2900459648322814E-11
21.0	1.0	3.0999900028234726E-5	4.376369634578701E-13	8.581000995709326E-12	9.998790156949503E-7	4.8052826889611004E-11	9.829709221390228E-10	4.290030041692882E-11	9.99906508190475E-6	2.1450176747040552E-11	2.8234734291393653E-14	6.720616941029458E-20	4.290030152582727E-11	4.290028152539072E-11	4.290019426253009E-11	4.290030041692882E-11	4.2900353494081105E-11
22.0	1.0	3.099990002823466E-5	4.3763592176529695E-13	8.581020996155175E-12	9.998790157469185E-7	4.80529141524899E-11	1.0258711505872013E-9	4.29001942625028E-11	9.999022181763564E-6	2.1450123669858257E-11	2.823466708520502E-14	6.720624695847701E-20	4.2900195371402536E-11	4.2900175370942806E-11	4.290008810797998E-11	4.29001942625028E-11	4.2900247339716514E-11
23.0	1.0	3.099990002823459E-5	4.3763488007151816E-13	8.581040996624185E-12	9.99879015798887E-7	4.805300141546982E-11	1.0687712728808706E-9	4.29000881079539E-11	9.998979281728535E-6	2.1450070592614527E-11	2.823459987893861E-14	6.7206325314453E-20	4.2900089216854925E-11	4.2900069216372066E-11	4.2899981953309097E-11	4.29000881079539E-11	4.2900141185229054E-11
24.0	1.0	3.099990002823452E-5	4.3763383837653364E-13	8.581060997116338E-12	9.998790158508551E-7	4.805308867855074E-11	1.1116712890199073E-9	4.289998195328213E-11	9.998936381799657E-6	2.1450017515309363E-11	2.8234532672594405E-14	6.720640286263543E-20	4.2899983062184425E-11	4.2899963061678425E-11	4.289987579851414E-11	4.289998195328213E-11	4.2900035030618726E-11
25.0	1.0	3.0999900028234455E-5	4.3763279668034363E-13	8.581080997631641E-12	9.998790159028234E-7	4.8053175941732664E-11	1.1545711990041892E-9	4.289987579848748E-11	9.998893481976937E-6	2.1449964437942758E-11	2.8234465466172424E-14	6.720647960302429E-20	4.289987690739108E-11	4.28998569068619E-11	4.289976964359676E-11	4.289987579848748E-11	4.2899928875885517E-11
26.0	1.0	3.099990002823439E-5	4.3763175498294775E-13	8.581100998170092E-12	9.998790159547918E-7	4.805326320501557E-11	1.197471002833593E-9	4.289976964356995E-11	9.99885058226037E-6	2.1449911360514716E-11	2.8234398259672648E-14	6.720655876679385E-20	4.289977075247483E-11	4.2899750751922505E-11	4.289966348855654E-11	4.289976964356995E-11	4.289982272102943E-11
27.0	1.0	3.099990002823432E-5	4.3763071328434633E-13	8.581120998731698E-12	9.998790160067604E-7	4.80533504683995E-11	1.2403707005079962E-9	4.289966348852957E-11	9.998807682649958E-6	2.144985828302524E-11	2.8234331053095094E-14	6.720663550718271E-20	4.289966459743572E-11	4.2899644596860265E-11	4.2899557333393076E-11	4.289966348852957E-11	4.289971656605048E-11
28.0	1.0	3.099990002823425E-5	4.3762967158453953E-13	8.581140999316455E-12	9.99879016058729E-7	4.805343773188444E-11	1.2832702920272754E-9	4.2899557333366335E-11	9.998764783145702E-6	2.1449805205474335E-11	2.8234263846439777E-14	6.720671386315871E-20	4.289955844227377E-11	4.289953844167516E-11	4.2899451178106773E-11	4.2899557333366335E-11	4.289961041094867E-11
29.0	1.0	3.0999900028234184E-5	4.3762862988352746E-13	8.581160999924377E-12	9.99879016110698E-7	4.805352499547042E-11	1.3261697773913083E-9	4.2899451178080265E-11	9.998721883747601E-6	2.1449752127862005E-11	2.8234196639706703E-14	6.72067922191347E-20	4.2899452286988984E-11	4.2899432286367276E-11	4.2899345022697634E-11	4.2899451178080265E-11	4.289950425572401E-11
30.0	1.0	3.0999900028234116E-5	4.3762758818130925E-13	8.581181000555417E-12	9.998790161626666E-7	4.805361225915734E-11	1.369069156599972E-9	4.289934502267127E-11	9.998678984455655E-6	2.144969905018824E-11	2.82341294328958E-14	6.720686895952356E-20	4.289934613158127E-11	4.289932613093636E-11	4.289923886716607E-11	4.289934502267127E-11	4.289939810037648E-11
31.0	1.0	3.099990002823405E-5	4.3762654647788555E-13	8.581201001209617E-12	9.998790162146355E-7	4.8053699522945264E-11	1.4119684296531432E-9	4.2899238867139415E-11	9.998636085269864E-6	2.1449645972453028E-11	2.8234062226007132E-14	6.720694650770599E-20	4.28992399760507E-11	4.2899219975382644E-11	4.289913271151126E-11	4.2899238867139415E-11	4.2899291944906056E-11
32.0	1.0	3.099990002823398E-5	4.3762550477325643E-13	8.581221001886973E-12	9.998790162666043E-7	4.8053786786834206E-11	1.4548675965506993E-9	4.2899132711484713E-11	9.99859318619023E-6	2.1449592894656392E-11	2.8233995019040698E-14	6.720702486368198E-20	4.289913382039728E-11	4.289911381970609E-11	4.289902655573361E-11	4.2899132711484713E-11	4.2899185789312785E-11
33.0	1.0	3.099990002823391E-5	4.3762446306742203E-13	8.581241002587474E-12	9.998790163185732E-7	4.805387405082414E-11	1.4977666572925174E-9	4.289902655570716E-11	9.998550287216754E-6	2.1449539816798323E-11	2.8233927811996495E-14	6.720710160407084E-20	4.289902766462102E-11	4.2899007663906666E-11	4.289892039983313E-11	4.289902655570716E-11	4.2899079633596645E-11
34.0	1.0	3.0999900028233845E-5	4.37623421360382E-13	8.58126100331113E-12	9.998790163705422E-7	4.805396131491509E-11	1.5406656118784748E-9	4.2898920399806755E-11	9.998507388349433E-6	2.1449486738878838E-11	2.823386060487452E-14	6.720717996004683E-20	4.28989215087219E-11	4.2898901507984404E-11	4.289881424381022E-11	4.2898920399806755E-11	4.2898973477757676E-11
35.0	1.0	3.099990002823378E-5	4.3762237965213643E-13	8.581281004057927E-12	9.998790164225111E-7	4.8054048579107016E-11	1.5835644603084483E-9	4.2898814243783473E-11	9.998464489588266E-6	2.1449433660897916E-11	2.8233793397674762E-14	6.720725750822926E-20	4.2898815352699896E-11	4.289879535193926E-11	4.2898708087664064E-11	4.2898814243783473E-11	4.289886732179583E-11
36.0	1.0	3.099990002823371E-5	4.37621337942685E-13	8.58130100482786E-12	9.9987901647448E-7	4.8054135843399906E-11	1.6264632025823154E-9	4.2898708087637303E-11	9.998421590933257E-6	2.1449380582855556E-11	2.8233726190397207E-14	6.720733586420525E-20	4.2898709196555006E-11	4.2898689195771176E-11	4.289860193139507E-11	4.2898708087637303E-11	4.289876116571111E-11
37.0	1.0	3.099990002823364E-5	4.376202962320285E-13	8.581321005620965E-12	9.99879016526449E-7	4.805422310779384E-11	1.6693618386999527E-9	4.289860193136831E-11	9.998378692384401E-6	2.1449327504751762E-11	2.8233658983041905E-14	6.720741341238768E-20	4.28986030402873E-11	4.289858303948037E-11	4.289849577500324E-11	4.289860193136831E-11	4.2898655009503524E-11
38.0	1.0	3.0999900028233574E-5	4.3761925452016635E-13	8.581341006437198E-12	9.998790165784183E-7	4.8054310372288744E-11	1.712260368661238E-9	4.2898495774976455E-11	9.998335793941704E-6	2.1449274426586547E-11	2.8233591775608815E-14	6.720749096057011E-20	4.289849688389673E-11	4.289847688306661E-11	4.289838961848816E-11	4.2898495774976455E-11	4.2898548853173093E-11
