time	default	srci	srco	srca	srcc	Cbp_P_CSK	CSK_cytoplasm	PTP	PTP_pY789	Cbp	Cbp_P	k1	k2	k3	k4	kPTP	kCbp	p1	p2	p3	src_background	PTP_background	kCSKon	kCSKoff	rho_srca	rho_srco	rho_srcc	Kser	acsk0	ptp_activity	src_activity	v1	v2	v3	v4	CSK_translocation	PTP_phosphorylation	Cbp_phosphorylation
0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.035100000000000006	1.0E-4
1.0	1.0	0.9868745776699783	0.013124981578322972	4.407513632883374E-7	3.352769841222571E-13	4.8236282625753565E-6	0.9999951763717373	0.967956907105625	0.03204309289437522	0.9998998935248005	9.528284693724298E-5	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.03204309289437522	1.0044075169856533E-4	0.025297947703869058	1.296245447592165E-6	2.1174260834881825E-12	1.6763849206112854E-13	9.4800024501952E-6	0.0291692501339021	1.004306969289464E-4
2.0	1.0	0.9513946345682097	0.04860202393722388	3.3414761803366144E-6	1.8385978537208312E-11	1.8675831070874892E-5	0.9999813241689292	0.9413270911403518	0.05867290885964849	0.9997983146604245	1.8300950850508383E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.05867290885964849	1.0334149456631515E-4	0.04465596486367456	4.85553198360371E-6	6.154183759691165E-11	9.192989268604156E-12	1.8113850754333115E-5	0.024242790009439255	1.0332065210189129E-4
3.0	1.0	0.8995252830397557	0.1004638460434378	1.0870734243584113E-5	1.8256283276366544E-10	4.090932587804339E-5	0.9999590906741218	0.9191928442852264	0.0808071557147738	0.9996917133681118	2.673773060106267E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.0808071557147738	1.1087091680641688E-4	0.05814635378455885	1.059498200455546E-5	4.3291250310049703E-10	9.128141638183272E-11	2.6327543519747832E-5	0.020152587946134656	1.1083673678490027E-4
4.0	1.0	0.8368483268352862	0.16312619841590126	2.54738316863019E-5	9.171258440941318E-10	7.138628443654066E-5	0.9999286137155632	0.9007898746458183	0.09921012535418161	0.9995742982758063	3.543154397577346E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.09921012535418161	1.25474748812146E-4	0.06640741695301354	1.9194527186600407E-5	1.7456916584803989E-9	4.585629220470659E-10	3.471515180513176E-5	0.01675915319273011	1.254213339952339E-4
5.0	1.0	0.7681509942402874	0.23179822377968842	5.0778740483054994E-5	3.2395406716942947E-9	1.1066392466869558E-4	0.999889336075331	0.8854808177741882	0.1145191822258116	0.9994373349596855	4.520011156464632E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.1145191822258116	1.5078198002372667E-4	0.07034876724789878	3.2412058123331554E-5	5.32258307278029E-9	1.6197703358471473E-9	4.408847029621815E-5	0.013947465839201867	1.506971402748579E-4
6.0	1.0	0.697265620282125	0.30264140748305246	9.296287971763578E-5	9.355104667113569E-9	1.602771098949073E-4	0.9998397228901048	0.8727324173723404	0.12726758262765933	0.9992673385675997	5.723843225057498E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.12726758262765933	1.929722348223029E-4	0.07094294146401928	5.375324476589006E-5	1.3947340443680738E-8	4.6775523335567845E-9	5.562648714112985E-5	0.011623910338865229	1.9283085150832453E-4
7.0	1.0	0.6270764221024575	0.37276041350814537	1.631403524536711E-4	2.4036943254552966E-8	2.2324150395982417E-4	0.9997767584960402	0.8620951495433643	0.13790485045663545	0.9990424606136629	7.342978823777225E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.13790485045663545	2.6316438939692565E-4	0.0690982885766089	8.994024898953303E-5	3.3767848786330324E-8	1.2018471627276483E-8	7.118098062181237E-5	0.009714475409154068	2.6291239912899675E-4
8.0	1.0	0.5596201398038887	0.4400978663688329	2.8193579018552235E-4	5.803709253902769E-8	3.0498940327462325E-4	0.9996950105967255	0.8531837481942274	0.14681625180577235	0.998725544565922	9.694660308035346E-4	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.14681625180577235	3.819938272780614E-4	0.06559483990317713	1.540178788418632E-4	7.917079769661401E-8	2.9018546269513844E-8	9.386714136098427E-5	0.008164904341276265	3.815069931691026E-4
9.0	1.0	0.4962278591127314	0.5032833430681872	4.886608570514199E-4	1.3696202944228318E-7	4.1514454078442657E-4	0.9995848554592156	0.8456560400585116	0.15434395994148797	0.9982506286423964	0.0013342268168191115	1.0	0.8	1.0	10.0	1.0	1.0	0.05	0.15	0.035	1.0E-4	0.0	0.1	0.01	1.0	0.0	1.0	1.0	0.0	0.15434395994148797	5.887978190808622E-4	0.06106288291465411	2.71899091925703E-4	1.859534775113403E-7	6.848101472114159E-8	1.2921584657614983E-4	0.006944287842903723	5.877677930407428E-4
