time	compartment	Phser	Thr	Cystathionine	Hser	Phi	Cys	AdoMet	CGS	TS	v1	vCys	vThr
0.0	1.0	0.0	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.0	0.0
1.0	1.0	0.9963049827262547	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.0013918993792109491	0.005988060057050412
2.0	1.0	1.9852601612599512	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.002767764235831712	0.011931945820409982
3.0	1.0	2.9669254405317154	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.004127840847359353	0.01783201733477237
4.0	1.0	3.9413601234708544	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.005472370497929578	0.023688631026641926
5.0	1.0	4.908622919527139	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.006801589605789579	0.02950213975555185
6.0	1.0	5.868771953016401	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.00811572984684902	0.03527289286422352
7.0	1.0	6.821864771294834	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.009415018274450123	0.04100123622769619
8.0	1.0	7.767958352766746	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.010699677435492124	0.046687512301455736
9.0	1.0	8.707109114730295	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.011969925483039708	0.05233206016858967
10.0	1.0	9.639372921065663	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.013225976285539894	0.057935215585995056
11.0	1.0	10.564805089769894	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.01446803953276668	0.063497311029665
12.0	1.0	11.483460400342567	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.015696320838608113	0.06901867573907838
13.0	1.0	12.395393101026224	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.01691102184080564	0.07449963576071696
14.0	1.0	13.300656915905499	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.018112340297751484	0.07994051399073288
15.0	1.0	14.199305051868572	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.019300470182445368	0.08534163021678895
16.0	1.0	15.091390205434648	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.020475601773708035	0.0907033011590936
17.0	1.0	15.976964569450903	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.0216379217447452	0.09602584051065134
18.0	1.0	16.85607983966228	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.022787613249151864	0.10130955897674902
19.0	1.0	17.728787221157415	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.02392485600444343	0.10655476431369747
20.0	1.0	18.595137434693868	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.025049826373196808	0.11176176136684791
21.0	1.0	19.4551807229057	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.026162697441881353	0.11693085210790123
22.0	1.0	20.30896685639637	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.02726363909745659	0.12206233567152779
23.0	1.0	21.156545139719874	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.028352818101810576	0.12715650839131565
24.0	1.0	21.997964417252835	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.0294303981641102	0.13221366383506367
25.0	1.0	22.8332730789603	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.03049654001113169	0.13723409283943513
26.0	1.0	23.662519066057857	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.03155140145563739	0.14221808354398888
27.0	1.0	24.485749876572605	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.032595137462862224	0.14716592142460203
28.0	1.0	25.303012570805414	0.0	0.0	0.0	10000.0	15.0	20.0	0.7	5.0	1.0	0.03362790021517081	0.15207788932629976
