time	compartment	E1	E2	KKK	P_KKK	KK	P_KK	PP_KK	K	P_K	PP_K	KPase	KKPase	E1_KKK	E2_P_KKK	P_KKK_KK	P_KKK_P_KK	PP_KK_K	PP_KK_P_K	KKPase_PP_KK	KKPase_P_KK	KPase_PP_K	KPase_P_K	K_PP_norm	KK_PP_norm	KKK_P_norm	rel_K_PP_max	K_PP_norm_max	r1a	r1b	r2a	r2b	r3a	r3b	r4a	r4b	r5a	r5b	r6a	r6b	r7a	r7b	r8a	r8b	r9a	r9b	r10a	r10b
10.0	4.0E-12	2.973821866946866E-5	2.999275378969107E-4	0.0026407637066566164	7.249949101468263E-5	1.0470364787722544	0.13839521340327496	0.002884439115006109	1.1466027717236857	0.030116685517435893	7.842230458057041E-4	0.1088051197673444	2.0397332984906354E-4	2.6178133053132515E-7	7.246210308947676E-8	2.529818405714765E-4	3.3420718323604356E-5	0.01101254272093393	2.888967594839859E-4	1.959251666118904E-6	9.40674184848173E-5	2.8376706650548323E-4	0.010911113166150253	8.899917602593218E-4	0.01182319820590846	0.11964734708329207	9.888258975448245E-4	0.900049	1.5705763593300915E-16	1.570687983187951E-16	4.3501113501565786E-17	4.347726185368605E-17	1.5184934279629012E-13	1.5178910434288591E-13	5.6475278961260607E-14	5.6440451090890374E-14	2.008189912826066E-14	2.0052430994162614E-14	1.1778436044673857E-15	1.1755509996713426E-15	6.62169790397652E-12	6.607525632560358E-12	6.560730399190084E-12	6.546667899690152E-12	1.7414092719292882E-13	1.7333805569039155E-13	1.7104968978951503E-13	1.7026023990328995E-13
11.0	4.0E-12	2.9740945738568215E-5	2.999216598447371E-4	0.0026130175840396942	7.837994686340205E-5	1.0227312896327134	0.15742802017566107	0.003974245591199106	1.1253123888503387	0.04234196903032389	0.0015803543377285833	0.10468796775960533	1.9507601547105564E-4	2.5905426143177804E-7	7.834015526296068E-8	2.6716103244557273E-4	4.110404223463601E-5	0.014893508069034053	5.597474721811894E-4	2.5820231454953402E-6	1.023419613834488E-4	5.503216379346991E-4	0.014761710602460069	0.0017755633130527332	0.016191735962966563	0.12889617013058208	0.001972740720841569	0.900049	1.554218998643298E-16	1.5543255685906684E-16	4.702728188947895E-17	4.700409315777641E-17	1.6034987708045928E-13	1.6029661946734363E-13	6.143654676739038E-14	6.140517683006928E-14	2.4694374083933994E-14	2.4662425340781605E-14	1.5519060904409215E-15	1.549213887297204E-15	8.952966359020335E-12	8.936104841420432E-12	8.873752393422976E-12	8.857026361476042E-12	3.3726105165710153E-13	3.3584848330871366E-13	3.3158335306671E-13	3.3019298276081947E-13
12.0	4.0E-12	2.9743548511817584E-5	2.9991593577704346E-4	0.002586540892569087	8.410664040773994E-5	0.9976059937159738	0.17618693905298405	0.005311570501239172	1.0982628220302029	0.05797957487128388	0.0030374020478052487	0.09973321634229297	1.8693261451366042E-4	2.5645148818241293E-7	8.406422295672706E-8	2.796453979653458E-4	4.9366553346692226E-5	0.019428857882374174	0.001024559510628315	3.3070927355289205E-6	1.0976029275081048E-4	0.001007816990175694	0.01925896666753142	0.0033710158649841136	0.021473579155814358	0.13772182938881705	0.0037453692687666046	0.900049	1.538607251542666E-16	1.5387089290944776E-16	5.046115327776624E-17	5.043853377403624E-17	1.6783391554909443E-13	1.6778723877920748E-13	6.588416499084671E-14	6.585617565048629E-14	2.965403410186355E-14	2.9619932008015335E-14	1.987367402563737E-15	1.9842556413173524E-15	1.1676686902988746E-11	1.1657314729424505E-11	1.1574577935768861E-11	1.1555380000518853E-11	6.171146918658086E-13	6.14735706376989E-13	6.070293081037219E-13	6.046901941054164E-13
13.0	4.0E-12	2.9746030829869632E-5	2.9991034278794784E-4	0.002561293915124214	8.970247024629767E-5	0.9717806950606813	0.19448707463415374	0.006924926007910776	1.064157938285782	0.07777194023723095	0.005641680371902783	0.09390971043748159	1.7950723356318992E-4	2.5396917013036456E-7	8.965721205256472E-8	2.905366733342192E-4	5.812331491309191E-5	0.024546159212791827	0.0017919923297759796	4.140612952696658E-6	1.1635215348411313E-4	0.0017628592913718102	0.024327430271146776	0.006170449719395483	0.027722681802859448	0.1461375584047012	0.006855681989975527	0.900049	1.523718089763507E-16	1.5238150207821873E-16	5.3816467170432464E-17	5.379432723153883E-17	1.7436251153789743E-13	1.7432200400053153E-13	6.983605483503047E-14	6.981129209046787E-14	3.490989515478346E-14	3.487398894785515E-14	2.487929469621398E-15	2.4843677716179945E-15	1.474916440576459E-11	1.4727695527675096E-11	1.4617703388669858E-11	1.4596458162688064E-11	1.079064328672345E-12	1.0751953978655877E-12	1.0615187056017693E-12	1.057715574823086E-12
14.0	4.0E-12	2.9748396153691303E-5	2.999048588697673E-4	0.0025372408520085705	9.518944010779324E-5	0.9453656559006852	0.21216728996027473	0.008848589739666771	1.0212030756396386	0.10264081300534064	0.010241341985872792	0.08720922387992373	1.7275181261034348E-4	2.516038463086921E-7	9.514113023324541E-8	2.999338217709439E-4	6.728914113615552E-5	0.030101682219893334	0.0030223110291809963	5.091983990730758E-6	1.2215620339892558E-4	0.0029721149127819564	0.029818661207294525	0.011011214082212265	0.03498139581060993	0.15415528519521354	0.012234016239351707	0.900049	1.5095307622630556E-16	1.5096230778521524E-16	5.710642426573233E-17	5.708467813994724E-17	1.7999501686672542E-13	1.7996029306256633E-13	7.33154136296918E-14	7.329372203935534E-14	4.0410857480332185E-14	4.037348468169331E-14	3.0592492718524334E-15	3.0551903944384547E-15	1.8083818896948222E-11	1.8061009331936E-11	1.7913705838023848E-11	1.7891196724376714E-11	1.819519161811854E-12	1.8133866175085979E-12	1.7892889966381982E-12	1.7832689476691738E-12
15.0	4.0E-12	2.9750647583798033E-5	2.998994630671207E-4	0.0025143496193706	1.0058850479526366E-4	0.9184626210902755	0.22908948622226588	0.01112959778123706	0.966815632104165	0.13368824068712695	0.018352384625413363	0.07965645024816902	1.6660991173215767E-4	2.493524162019682E-7	1.0053693287983957E-7	3.0793152240756827E-4	7.6780464077486E-5	0.0358484908187477	0.004951702012719127	6.1771377180782925E-6	1.272129505497638E-4	0.004865173332978856	0.0354783764188523	0.019347964965326796	0.043279973125351694	0.16178569945779736	0.021496568481634663	0.900049	1.4960266799222484E-16	1.4961144972118092E-16	6.034359458739252E-17	6.032215972790374E-17	1.8478821361869747E-13	1.8475891344454097E-13	7.634654598316999E-14	7.632777032985827E-14	4.6106797087159923E-14	4.60682784464916E-14	3.710922584938322E-15	3.706282630846976E-15	2.153198196447866E-11	2.150909449124862E-11	2.130949692092611E-11	2.128702585131138E-11	2.9805641800842603E-12	2.971021207631476E-12	2.9284392516106927E-12	2.9191039997873134E-12
16.0	4.0E-12	2.9752787881710712E-5	2.9989413566066704E-4	0.002492591625668803	1.0591938108125995E-4	0.8911653509661154	0.2451391431680655	0.013843626661066106	0.8971987060040766	0.17206017396020923	0.032759163457972515	0.07132980302207738	1.610163118638188E-4	2.4721211828928945E-7	1.0586433933347098E-7	3.1461874353113826E-4	8.651717326117568E-5	0.04138414366539589	0.00792761593442657	7.4256782070011945E-6	1.315580099291797E-4	0.00777712566210299	0.04089307131581978	0.033780240933396155	0.05263567661591306	0.16903832710910405	0.037531557652301324	0.900049	1.4831892868343575E-16	1.4832727097357366E-16	6.353980135622644E-17	6.351860360008259E-17	1.88795483542896E-13	1.8877124611868295E-13	7.895079694800644E-14	7.893480595750782E-14	5.194964133590208E-14	5.1910303956705406E-14	4.4607919069372705E-15	4.455406924200717E-15	2.4851449507610646E-11	2.4830486199237533E-11	2.4556230476612495E-11	2.453584278949187E-11	4.771177685516957E-12	4.756569560655942E-12	4.680543309239064E-12	4.666275397261794E-12
17.0	4.0E-12	2.9754819494617277E-5	2.9988885849186446E-4	0.0024719415156776695	1.1120023119545757E-4	0.863559200723752	0.2602281927180718	0.017133087470231755	0.8068720339866366	0.21834547119081585	0.05866944319655809	0.062405855661225904	1.5589013038939633E-4	2.4518050538273126E-7	1.1114150813600482E-7	3.200770571985016E-4	9.642487391485044E-5	0.0460675155857127	0.012451391701506444	8.89753852495694E-6	1.3521233108564645E-4	0.012186552669009032	0.045407591669765206	0.059046663221305744	0.06305074357997995	0.17592161568437736	0.06560383181505201	0.900049	1.4710039117132002E-16	1.4710830322963875E-16	6.670593670734586E-17	6.668490488160288E-17	1.9206569676668213E-13	1.9204623431910098E-13	8.11406289238808E-14	8.112739865138787E-14	5.789481642639242E-14	5.785492434891026E-14	5.344993843855278E-15	5.338523114974163E-15	2.7656327190879798E-11	2.764050935142762E-11	2.725958883580653E-11	2.7244555001859124E-11	7.492893205660996E-12	7.470835020903867E-12	7.333335613990167E-12	7.311931601405419E-12
18.0	4.0E-12	2.9756744586570028E-5	2.9988361561126344E-4	0.0024523768494224074	1.1644699859851864E-4	0.8357189564675013	0.27430316597531584	0.021300632894346985	0.688937389833583	0.27060369083970265	0.10561221555844542	0.05325083935988242	1.5111497749750182E-4	2.4325541342998167E-7	1.1638438873699873E-7	3.243774132643064E-4	1.0643909891260036E-4	0.04891104057905381	0.019186502549101234	1.0722557395208675E-5	1.3816246510728927E-4	0.01872041613099006	0.04802874450912768	0.10361052640786257	0.07450741548324777	0.1824430415182613	0.11511653966379894	0.900049	1.4594575809513048E-16	1.45953248057989E-16	6.985155462501473E-17	6.983063324219924E-17	1.9464140865152248E-13	1.9462644795858383E-13	8.290778795103986E-14	8.289747906437356E-14	6.390366218802709E-14	6.386345934756022E-14	6.441844204921962E-15	6.433534437125205E-15	2.9352585364706795E-11	2.934662434743228E-11	2.882224797890856E-11	2.881724670547661E-11	1.1544217984266752E-11	1.151190152946074E-11	1.126350682198217E-11	1.1232249678594035E-11
19.0	4.0E-12	2.9758565084356713E-5	2.998783948237762E-4	0.0024338776311637928	1.2167187179166531E-4	0.8077029853466557	0.2873651449426771	0.027018221581790913	0.5393121133926276	0.3194947381423612	0.18844488539921025	0.04456779349384292	1.4649588772574186E-4	2.4143491564328404E-7	1.2160517622433036E-7	3.2757360564822813E-4	1.1651385130444872E-4	0.04857880657171457	0.028737249987932662	1.3183744414464925E-5	1.403203678597931E-4	0.027959825303934968	0.04747238120222223	0.18033725891928715	0.08695621823821066	0.18860926715667245	0.20036382343548756	0.900049	1.4485387419142025E-16	1.4486094938597042E-16	7.298395669775735E-17	7.296310573459822E-17	1.9655477292643765E-13	1.9654416338893688E-13	8.419902732338001E-14	8.419222071587586E-14	6.994870950876571E-14	6.990831078266923E-14	7.921986772902072E-15	7.910246648678954E-15	2.91377327825151E-11	2.9147283943028737E-11	2.847327332625935E-11	2.848342872133334E-11	1.728636852462672E-11	1.7242349992759597E-11	1.681839576741061E-11	1.6775895182360982E-11
