time	compartment	G3P	Gly	DHAP	Gpd_p	Gpp_p
64.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
65.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
66.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
67.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
68.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
69.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
70.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
71.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
72.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
73.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
74.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
75.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
76.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
77.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
78.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
79.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
80.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
81.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
82.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
83.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
84.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
85.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
86.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
87.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
88.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
89.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
90.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
91.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
92.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
93.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
94.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
95.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
96.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
97.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
98.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
99.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
100.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
