time	compartment	G3P	Gly	DHAP	Gpd_p	Gpp_p
0.0	1.0	0.0	15.1	0.59	3.6136407093378256	0.0
1.0	1.0	0.45611760193111395	15.1	0.59	3.057974379585959	3.0552975587162505
2.0	1.0	0.45650208827234323	15.1	0.59	3.0575780314670795	3.05757587619511
3.0	1.0	0.4565024090847157	15.1	0.59	3.0575777008002163	3.057577777020365
4.0	1.0	0.4565023977393398	15.1	0.59	3.05757771249409	3.057577709798596
5.0	1.0	0.4565023981405645	15.1	0.59	3.0575777120805414	3.057577712175867
6.0	1.0	0.45650239812637533	15.1	0.59	3.0575777120951657	3.057577712091796
7.0	1.0	0.45650239812687693	15.1	0.59	3.0575777120946492	3.0575777120947683
8.0	1.0	0.45650239812685905	15.1	0.59	3.057577712094667	3.0575777120946617
9.0	1.0	0.45650239812686005	15.1	0.59	3.057577712094666	3.0575777120946674
10.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
11.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
12.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
13.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
14.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
15.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
16.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
17.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
18.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
19.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
20.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
21.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
22.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
23.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
24.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
25.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
26.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
27.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
28.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
29.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
30.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
31.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
32.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
33.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
34.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
35.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
36.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
37.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
38.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
39.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
40.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
41.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
42.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
43.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
44.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
45.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
46.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
47.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
48.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
49.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
50.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
51.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
52.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
53.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
54.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
55.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
56.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
57.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
58.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
59.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
60.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
61.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
62.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
63.0	1.0	0.45650239812685983	15.1	0.59	3.0575777120946666	3.057577712094667
