time	Cytosol	Endoplasmic_Reticulum	CaER	Ca_Cyt	n	n0	kbN	kappa	p1	p11	p12	K1	p2	K2	p3	k31	K3	Jch	Jleak	Jpump
0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.5	5.0	0.33333333333333337	0.2	0.8	5.0	0.0	0.7	0.95	0.5	0.7	0.0	0.5	0.0
1.0	1.0	1.0	-0.06416397674545166	0.06416397674545163	2.5738773611494663	1.0	0.5	5.0	0.47186892403114766	0.2	0.8	5.0	0.08396624114463473	0.7	0.9445733615183266	0.5	0.7	0.2993999816201907	0.5	0.7817059262025872
2.0	1.0	1.0	-0.08068756402890558	0.08068756402890553	3.5284822353142307	1.0	0.5	5.0	0.530983369650811	0.2	0.8	5.0	0.1033544887182525	0.7	0.932047512898179	0.5	0.7	0.4092025213932275	0.5	0.8931169608993956
3.0	1.0	1.0	-0.09677825337480764	0.0967782533748076	4.10747935940628	1.0	0.5	5.0	0.5608005418240376	0.2	0.8	5.0	0.12146196631860474	0.7	0.9173420398538672	0.5	0.7	0.4998848972487547	0.5	0.9836275270771112
4.0	1.0	1.0	-0.11346973725988292	0.11346973725988291	4.458658867053549	1.0	0.5	5.0	0.5771070659993013	0.2	0.8	5.0	0.13948857844681223	0.7	0.9012983361177861	0.5	0.7	0.580435005426648	0.5	1.0630990482903182
5.0	1.0	1.0	-0.13198597696891248	0.13198597696891246	4.671660005504405	1.0	0.5	5.0	0.5864205319745017	0.2	0.8	5.0	0.15863966535801863	0.7	0.8841407426434297	0.5	0.7	0.6580097725671515	0.5	1.1378789243506677
6.0	1.0	1.0	-0.15511595160064778	0.15511595160064776	4.800851726528544	1.0	0.5	5.0	0.5918722054356802	0.2	0.8	5.0	0.18139756521942335	0.7	0.86538429321616	0.5	0.7	0.7432901793496104	0.5	1.216042749404102
7.0	1.0	1.0	-0.1905982709090261	0.19059827090902612	4.879210466310726	1.0	0.5	5.0	0.5951093446545681	0.2	0.8	5.0	0.21401149893821833	0.7	0.843103918884235	0.5	0.7	0.8590233590686375	0.5	1.3117646592514949
8.0	1.0	1.0	-0.2632412252629767	0.2632412252629767	4.926737444445063	1.0	0.5	5.0	0.5970478697169156	0.2	0.8	5.0	0.2732869175020085	0.7	0.8113437201018451	0.5	0.7	1.059065598737526	0.5	1.4494017030825577
9.0	1.0	1.0	-0.44343692699477755	0.4434369269947775	4.955564013847031	1.0	0.5	5.0	0.598214627073216	0.2	0.8	5.0	0.38781057050539247	0.7	0.7532115513513448	0.5	0.7	1.3979242188778889	0.5	1.6319720098779336
