time	uVol	M	Mp	Mpp	MAPKK1	MAPKK2	MKP3	k1cat	Km1	k2cat	Km2	k3cat	Km3	k4cat	Km4	Km5	v1	v2	v3	v4
0.0	1.0	500.0	0.0	0.0	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9090909090909091	0.0	0.0	0.0
1.0	1.0	499.1108682859218	0.8767907608867319	0.012340953191420947	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9089437072041979	0.02625767784792316	0.002782912881916865	0.03922982171523556
2.0	1.0	498.2595674881371	1.6955816481179173	0.04485086374493717	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9088023210810966	0.050695532614053615	0.010058513050020307	0.0754485926922884
3.0	1.0	497.44329030764015	2.4646727742030645	0.09203691815679595	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9086663388057928	0.07357749433194388	0.02052646847565874	0.10906386896121799
4.0	1.0	496.6596026333615	3.190630242685816	0.14976712395274333	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9085354034592265	0.09511197300554844	0.03321725119973876	0.14040841660365305
5.0	1.0	495.9063687426968	3.8786957499351113	0.21493550736817563	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.908409201901862	0.11546516401618306	0.04741072435944507	0.16975540130695085
6.0	1.0	495.1817027134711	4.533089896891864	0.28520738963719583	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9082874576473483	0.13477084023819713	0.06257355224302981	0.1973303252521041
7.0	1.0	494.48392472547675	5.15724633235126	0.358828942172239	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9081699243458666	0.15313785073246944	0.07831215332803565	0.22332073073095973
8.0	1.0	493.8115270244324	5.753988975362391	0.43448400020549666	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9080563807214892	0.17065576646324865	0.0943373207889366	0.2478838533992596
9.0	1.0	493.16314672184745	6.325666750941755	0.5111865272110889	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9079466265306013	0.1873991533413605	0.11043773194570446	0.271152649328724
10.0	1.0	492.53754395786757	6.874256242694198	0.5881997994385905	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9078404793237997	0.20343081616487046	0.12646014908790532	0.2932405312871907
11.0	1.0	491.9335842760942	7.401440121269272	0.6649756026368142	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.9077377718400879	0.2188042702293175	0.14229463273361023	0.31424509016107305
12.0	1.0	491.3502243094783	7.908667270043466	0.741108420478597	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.907638349898575	0.23356563235724254	0.15786349916259756	0.3342510231497618
13.0	1.0	490.7865000745764	8.39719906228011	0.8163008631437241	100.0	1.0	100.0	0.01	50.0	15.0	500.0	0.084	5.0	0.06	18.0	78.0	0.907542070682044	0.2477550745097072	0.17311307107118348	0.35333244396048014
