time	cell	PX	PY	PZ	X	Y	Z	beta	alpha0	alpha	eff	n	KM	tau_mRNA	tau_prot	t_ave	kd_mRNA	kd_prot	k_tl	a_tr	ps_a	ps_0	a0_tr	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
0.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	0.0	6.931471805599453	0.0	0.0	138.62943611198907	0.0	0.0	0.0	0.0	30.0	30.0	30.0
1.0	1.0	81.4405874027121	188.3824271042431	42.64089706168765	19.90352266807112	30.61550557866981	7.4908218806580065	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	6.898035310292228	10.610525686636128	2.5961210333274223	137.96070620584456	212.21051373272257	51.92242066654844	5.645031354133568	13.057674821434553	2.955641757485565	14.058246816044326	5.8546700865168315	1.3229270673328368
2.0	1.0	218.53889071283135	358.0246008134008	84.58712037299438	21.233549216752923	23.608451831885866	5.86608704776953	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	7.358987386436562	8.182065912328481	2.0330308490403315	147.17974772873123	163.64131824656963	40.66061698080663	15.147961594029708	24.816374262490864	5.863132399822576	5.5071107289657615	1.0014897036211161	0.39948222657330834
3.0	1.0	337.62211137968615	469.62108497446616	113.05185569200435	18.544124219303672	17.234508193767493	4.403505376243954	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	6.426903709281868	5.973025381423606	1.526138668062029	128.53807418563738	119.46050762847213	30.52277336124058	23.402181459752526	32.55165309815537	7.836157502998262	3.3644639962139697	0.44485027610950356	0.24586001822747208
4.0	1.0	428.9378112760968	536.656432401264	131.03158070906107	15.559826971674449	12.481742465202537	3.29571345106415	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	5.392625097708368	4.32584229911524	1.1422072432693013	107.85250195416737	86.5168459823048	22.84414486538603	29.73170345215804	37.198189304829505	9.08241707327986	2.584813632085809	0.2883792674157909	0.19558003820596914
5.0	1.0	495.49661035784027	572.0099158210903	141.43791926925826	13.018026080284715	9.03742822877858	2.485596453689547	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	4.511704037002593	3.1321339481453667	0.861442086942354	90.23408074005187	62.64267896290733	17.22884173884708	34.345207844654674	39.64870604037204	9.803729496575151	2.249518589786486	0.2240458211091708	0.17584148134868632
6.0	1.0	542.4663811760493	585.3888061287748	146.5281890491843	11.033756107425946	6.564033633238405	1.9026009507677375	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.8240084684241857	2.274920702989927	0.6593912423776642	76.48016936848371	45.49841405979855	13.187824847553285	37.60090426607351	40.576060049951266	10.156560111199674	2.1084975977267004	0.19207130332123404	0.16928195779974706
7.0	1.0	574.779451042359	583.8225680877682	147.9734239398407	9.561653733339625	4.79520093867065	1.4883283752225178	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.313816663377418	1.661890005428982	0.5158153085164263	66.27633326754837	33.23780010857964	10.316306170328525	39.840675593380425	40.46749670173032	10.25673616017021	2.0708463625198195	0.17444617064971005	0.17002677556188606
8.0	1.0	596.5731296767448	572.3259560751014	146.98975346408886	8.5190580528918	3.5331435682790597	1.1983253610917952	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.9524805351942245	1.2244942514330674	0.41530792271712813	59.04961070388449	24.489885028661348	8.306158454342562	41.351298283325825	39.67061228147316	10.188553318483464	2.096363249783759	0.1641316564837594	0.17568124026041193
9.0	1.0	611.1440144250674	554.444400745057	144.45524446143833	7.823432813788582	2.633982142164363	0.9998084671001889	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.7113951985888574	0.9128686477432366	0.3465072100352284	54.22790397177715	18.25737295486473	6.930144200704568	42.3612750514822	38.431157315368466	10.012874541554362	2.1643001751189463	0.15783893015933076	0.18518015034516283
10.0	1.0	621.0495040225927	532.6652647108311	141.0015201354019	7.403081244593362	1.9939695434426636	0.8689934960647282	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.5657124460730496	0.6910571835798418	0.3011701958610981	51.314248921460994	13.821143671596836	6.0234039172219624	43.04787127014125	36.92154264165295	9.773480613652017	2.262253762690468	0.15381020437006165	0.19805669267147402
11.0	1.0	628.2379661998875	508.7189362123426	137.08252993539662	7.198702850825961	1.5386144558499195	0.7888180497171436	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.4948802923694275	0.533243136020573	0.2733835035681164	49.897605847388554	10.664862720411461	5.4676700713623285	43.54613749921662	35.261709633303994	9.501836912874447	2.3815542153237503	0.1510044513569492	0.21415103243690925
12.0	1.0	634.1681600080744	483.7964801353753	133.0251744258578	7.161849355692133	1.2145492519876673	0.7471674045798945	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.4821078442465314	0.42093069483322104	0.2589484899454229	49.64215688493063	8.418613896664422	5.178969798908458	43.957187211048506	33.53421661706609	9.220602459677828	2.515113645953664	0.14876089966296469	0.23348042316535253
13.0	1.0	639.9067848455525	458.7060306101526	129.06621829895101	7.252548592675609	0.9835888934471402	0.7355440156632088	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.5135418044435487	0.34088593416148083	0.2549201303173467	50.27083608887098	6.817718683229617	5.0984026063469345	44.35495837368742	31.79507918232712	8.94618853194523	2.65634281014648	0.14664863074951523	0.25617670626327893
14.0	1.0	646.203446226527	433.9847980269538	125.37906578440302	7.43697171800012	0.8184427284628318	0.7480893890190847	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.5774579891179177	0.2836506348419004	0.25926802540269533	51.54915978235836	5.673012696838008	5.185360508053907	44.79140968200374	30.081533915826032	8.690614594969885	2.7986055886424945	0.144395072595709	0.282454943058128
15.0	1.0	653.5461469157746	409.9791810302582	122.09314232222854	7.685476111572018	0.6996391448900269	0.7808736296576847	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.6635830489984778	0.24247645034494658	0.2706301773854175	53.27166097996956	4.849529006898932	5.4126035477083505	45.30036691004849	28.417591341939886	8.462851736635685	2.9349959808438655	0.14184855612054603	0.3125976679976378
16.0	1.0	662.2015903992611	386.90204745860945	119.30792784233782	7.971140712148523	0.613326338877163	0.8313838585642314	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.762586855236172	0.21256271127792956	0.28813568876342266	55.25173710472344	4.251254225558592	5.762713775268453	45.90031653475596	26.818006334880526	8.269795380236586	3.058346863927901	0.13895434526261036	0.34694750192231183
17.0	1.0	672.2447444278861	364.87369066157896	117.1031439542489	8.268824269650144	0.5496991453432469	0.8981584902631775	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.8657561145268233	0.19051120637544158	0.3112780126109493	57.315122290536465	3.810224127508832	6.225560252218986	46.59645492464302	25.291116994257507	8.116971406659303	3.16142700954546	0.13573456632883835	0.3859044003553441
18.0	1.0	683.5818731433566	343.9510973994095	115.54618806674338	8.554738010103577	0.5018698854363453	0.9805275452885581	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.9648462660661457	0.17393484804907272	0.3398249517390641	59.29692532132292	3.4786969609814546	6.796499034781282	47.38228480512038	23.84087334128998	8.009051448291236	3.2372939285931914	0.13226832621465018	0.42992541463656775
19.0	1.0	695.9708133970464	324.1488174346302	114.69760369042459	8.806496827016332	0.46505301487176437	1.0784294170461857	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.0520992231282373	0.1611750930346329	0.3737551549292345	61.04198446256475	3.2235018606926578	7.4751030985846905	48.24102070581745	22.468283888665436	7.950232061499977	3.279762397717124	0.12867166661977936	0.4795256026542126
20.0	1.0	709.0416770760972	305.45377024926074	114.61515197833349	9.00358259844845	0.4359720628633378	1.1922821827662093	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.1204039465265643	0.1510964030883129	0.41321351670812767	62.40807893053129	3.0219280617662583	8.264270334162553	49.1470239364792	21.172441963968037	7.944516944323149	3.283931871340533	0.12507869791848653	0.5352790993851658
21.0	1.0	722.3203797993115	287.8356562177935	115.35688376616223	9.128115733878264	0.4124255573233661	1.3228931614731747	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.1635638423812975	0.14293580612477766	0.45847983252858177	63.27127684762595	2.858716122495553	9.169596650571636	50.06743347188816	19.951247357198522	7.995929874069667	3.246698360476244	0.12162567978908939	0.5978195449485271
22.0	1.0	735.2564122673291	271.25417578905206	116.98349355752677	9.165791281778509	0.3929684524891666	1.4713947107427974	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.17662119228285	0.13619248744593532	0.5099465476210931	63.53242384565701	2.7238497489187066	10.198930952421863	50.964090915171994	18.80190671632932	8.10867787314522	3.16716505127219	0.11843936526783692	0.6678391543245192
23.0	1.0	747.2551212749072	255.6639349924117	119.56015916777058	9.106811259112806	0.3766790133681677	1.6391976407595386	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.1561802740728035	0.13054699804612369	0.5681026115364941	63.123605481456075	2.610939960922474	11.362052230729882	51.79577804706819	17.72127357108513	8.287278723443848	3.0468676459488546	0.11563006746665179	0.7460857456895941
24.0	1.0	757.7135386332766	241.01768746056848	123.15798523257997	8.94663277424443	0.36299017813478557	1.8279546303620315	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.100666641486364	0.12580280927253945	0.6335207991134696	62.01333282972728	2.5160561854507892	12.670415982269391	52.52070029757548	16.706073052837112	8.536661022740619	2.889751699582022	0.11328906971281764	0.8333570289373633
25.0	1.0	766.0576715096248	227.26840369534563	127.85511184739731	8.68635452921192	0.35156981909242996	2.0395275466090546	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	3.0104610756336765	0.12184481443694392	0.7068463843032042	60.20922151267354	2.4368962887388785	14.136927686064086	53.09907151532131	15.753045325178826	8.86224102971999	2.70187764150137	0.11148943821900273	0.930491360712577
26.0	1.0	771.7783128176031	214.37053147806404	133.73753229058838	8.332624130226773	0.3422378127378302	2.275954630723228	0.2	0.21640425613334452	216.18785187721116	20.0	2.0	40.0	2.0	10.0	2.8853900817779268	0.34657359027997264	0.06931471805599453	6.931471805599453	29.97	0.5	5.0E-4	0.03	2.887867461266227	0.11861058749011477	0.7887857676840784	57.75734922532454	2.3722117498022954	15.77571535368157	53.495596154683305	14.859032948915708	9.269979344226597	2.4908780910925037	0.11028909376323173	1.0383540644124352
