time	compartment	AcCoA	AcP	OAc	HOAc	LacI	Acs	Pta	HOAc_E	S0	kTCA	k1	KM1	k2	KM2	kAck_f	kAck_r	C	H	Keq	k3	alpha0	alpha1	alpha2	alpha3	Kg1	Kg2	Kg3	n	kd	V_gly	V_TCA	V_out	V_Pta	V_Ack	V_Acs	V_Ace	R_LacI	R_Acs	R_Pta	R_dLacI	R_dAcs	R_dPta
0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1.0	1.0	1.9336167995005256E-4	0.35286942169278906	0.13843849412886727	5.118308427812092E-7	4.5911717650617455E-5	9.182343530123481E-4	1.9404799869877458	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	0.0019336167995005257	5.118308427812092E-9	0.4986788705218805	0.2144309275639218	4.2650489486725595E-4	1.3587933991496122E-6	1.2436197717563384E-4	0.0024872395435126767	1.9957930960379378	2.7547030590370474E-6	5.5094061180740885E-5	0.11642879921926474
2.0	1.0	1.0145537313268286E-4	0.6182995416014033	0.37173254936384154	2.9472235491379098E-6	2.804551851223448E-4	0.005609103702446886	3.7214363772708805	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	0.0010145537313268286	2.94722354913791E-8	0.5025631594463362	0.2465669922375618	0.0035360484185687035	3.5699643161815194E-6	3.8083839956262316E-4	0.007616767991252462	1.8541607784175773	1.6827311107340688E-5	3.3654622214681316E-4	0.22328618263625283
3.0	1.0	7.616220329682086E-5	0.8726904906690579	0.6164995356465813	7.58187394456888E-6	8.07623706420748E-4	0.016152474128414966	5.0321866557223425	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	7.616220329682086E-4	7.58187394456888E-8	0.5103687173674243	0.2561909550224766	0.011118491839049118	5.785901659237369E-6	7.558323587258571E-4	0.01511664717451714	1.2104661372433054	4.845742238524488E-5	9.69148447704898E-4	0.30193119934334056
4.0	1.0	7.104742032670057E-5	1.1279483110329496	0.8605141201982492	1.4322055272219594E-5	0.0017291733113628642	0.03458346622725731	5.538866586286447	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	7.104742032670057E-4	1.4322055272219593E-7	0.5240756729089444	0.2674341908347003	0.02478636004460765	7.889038438371513E-6	0.0012562840994098622	0.025125681988197243	0.5012480649842961	1.0375039868177184E-4	0.0020750079736354386	0.33233199517718676
5.0	1.0	7.415966986486839E-5	1.386377333768793	1.101351424449301	2.3023589013340912E-5	0.0031458140640493056	0.06291628128098611	5.522584075993545	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	7.415966986486839E-4	2.3023589013340911E-7	0.5453965753360083	0.285025909319492	0.046143324658981154	9.862334793825965E-6	0.0018857963123261867	0.037715926246523736	0.1835511360577776	1.8874884384295832E-4	0.0037749768768591666	0.3313550445596127
6.0	1.0	8.136568637859489E-5	1.6489646198737784	1.3379712611392365	3.3535961048310726E-5	0.005155342068432905	0.10310684136865808	5.315888192659598	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	8.136568637859489E-4	3.353596104831073E-7	0.5759268439607766	0.3109933587345419	0.07674923376079838	1.170291455897683E-5	0.002647107239768982	0.05294214479537964	0.07252275370266413	3.093205241059743E-4	0.006186410482119485	0.31895329155957586
7.0	1.0	9.17318386272598E-5	1.9164938612757823	1.5695561796871222	4.570870424754975E-5	0.00785243724529692	0.15704874490593834	5.053837264979471	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	9.173183862725981E-4	4.5708704247549755E-7	0.6171867846105589	0.34693768158866	0.11811370282869589	1.3410126584493737E-5	0.003542822660727783	0.07085645321455565	0.03191789660315887	4.711462347178152E-4	0.0094229246943563	0.30323023589876824
8.0	1.0	1.0537919376594588E-4	2.1896961290835	1.7953433923792148	5.939249156778876E-5	0.011328730149447798	0.22657460298895565	4.78135662038348	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	0.0010537919376594589	5.939249156778877E-7	0.6706295010823101	0.39435273670428517	0.17169626063234378	1.4983809345402709E-5	0.004575389761507932	0.09150779523015863	0.015463105298388704	6.797238089668679E-4	0.01359447617933734	0.2868813972230088
9.0	1.0	1.2281575405073003E-4	2.4692703180827658	2.0145984850778387	7.443943462147067E-5	0.015672730967398688	0.31345461934797375	4.513879628330163	0.0	0.5	10.0	80.0	0.06	0.8	0.1	1.0	1.0	100.0	1.0E-7	5.0E-4	0.01	0.0	0.1	2.0	2.0	10.0	10.0	0.001	2.0	0.06	0.5	0.0012281575405073003	7.443943462147067E-7	0.7376574410825028	0.4546718330049271	0.23890500470337125	1.642401311970485E-5	0.005746890956858231	0.11493781913716461	0.008109165719425182	9.403638580439212E-4	0.018807277160878426	0.2708327776998098
