time	compartment_0000004	EmptySet	M	P	TC	TL	Md	Pd
0.0	1.0E-15	0.0	1.0E-15	1.0E-15	5.0E-16	1.0E-15	2.1E-16	2.1E-16
1.0	1.0E-15	0.0	1.268032061385147E-15	1.712590374311294E-15	2.5426104709476577E-16	1.0E-15	2.6628673289088086E-16	3.5964397860537176E-16
2.0	1.0E-15	0.0	1.2574697422487689E-15	2.290199914789888E-15	1.6012770120879683E-16	1.0E-15	2.6406864587224145E-16	4.809419821058765E-16
3.0	1.0E-15	0.0	1.162750732617015E-15	2.7583970632208396E-15	1.161608240135172E-16	1.0E-15	2.441776538495731E-16	5.792633832763762E-16
4.0	1.0E-15	0.0	1.0401342321615763E-15	2.980877648136175E-15	1.011569159362976E-16	1.0E-15	2.1842818875393103E-16	6.259843061085968E-16
5.0	1.0E-15	0.0	9.337702319519544E-16	3.945482069207647E-15	6.036158244773344E-17	2.0388754831038246E-15	1.960917487099104E-16	8.285512345336058E-16
6.0	1.0E-15	0.0	8.124550911665129E-16	5.072682873246222E-15	3.7408193467368954E-17	1.988349072515417E-15	1.706155691449677E-16	1.0652634033817065E-15
7.0	1.0E-15	0.0	6.930435075089501E-16	5.753248375591275E-15	2.932562768575787E-17	1.5720265097660235E-15	1.455391365768795E-16	1.2081821588741677E-15
8.0	1.0E-15	0.0	5.889274229083811E-16	5.896247650831853E-15	2.795972072086464E-17	1.1252996127373138E-15	1.2367475881076004E-16	1.238212006674689E-15
9.0	1.0E-15	0.0	5.034658179842524E-16	5.67441883397158E-15	3.0121362793096084E-17	8.141793333088903E-16	1.0572782177669298E-16	1.1916279551340318E-15
10.0	1.0E-15	0.0	4.3654370926591716E-16	5.2220328783376725E-15	3.537365337263604E-17	5.362880174995472E-16	9.16741789458426E-17	1.0966269044509112E-15
11.0	1.0E-15	0.0	3.875397530285157E-16	4.632545319186632E-15	4.452265366147215E-17	3.328752442484257E-16	8.13833481359883E-17	9.728345170291929E-16
12.0	1.0E-15	0.0	3.5672538971544734E-16	4.0015550252473745E-15	5.878050685205778E-17	2.042609427555694E-16	7.491233184024394E-17	8.403265553019488E-16
13.0	1.0E-15	0.0	3.45484401656127E-16	3.3954958818865313E-15	7.981233066541535E-17	1.2761742296067844E-16	7.255172434778667E-17	7.130541351961715E-16
14.0	1.0E-15	0.0	3.564738209446383E-16	2.8484293519858983E-15	1.0972672831992019E-16	8.319231370122629E-17	7.485950239837403E-17	5.981701639170386E-16
15.0	1.0E-15	0.0	3.9371506327848824E-16	2.3729029879822202E-15	1.5081435399313973E-16	5.820345620922957E-17	8.268016328848253E-17	4.983096274762662E-16
