time	cell	H	HR	R	HRRH	E	GQ	IP3	CHO	alpha	beta	reaction_0	reaction_1	reaction_2	reaction_3	reaction_4
0.0	1.0	1.0	0.0	0.01	0.0	0.0	0.1	0.0	0.0	2.0	4.0	0.025	0.0	0.0	0.0	0.0
1.0	1.0	0.993497189295795	0.0014270238962368648	0.0034971892957950555	8.564567217469893E-4	0.0016814366822370617	0.09831856331776292	3224.309772059017	0.3114476828948731	2.0	4.0	0.0015509998583349976	8.087093923426596E-4	5.3504125660786E-4	32243.097720590173	33628.73364474123
2.0	1.0	0.9928858264353331	0.0014007883520429565	0.002885826435333106	9.644890713350279E-4	0.0018922035349769513	0.09810779646502298	3770.1978740700415	0.2668050841892608	2.0	4.0	1.5929865277182313E-4	8.307466137291546E-5	5.48830177135029E-5	37701.97874070042	37844.07069953903
3.0	1.0	0.9928229810123238	0.001398085080133748	0.0028229810123238425	9.756129246189153E-4	0.0019138540291523004	0.09808614597084764	3826.2477565083545	0.2653810990523958	2.0	4.0	1.637565932262157E-5	8.540105136895307E-6	5.641110405962824E-6	38262.47756508354	38277.08058304601
4.0	1.0	0.9928165179760633	0.0013978070066098592	0.002816517976063366	9.767571010871536E-4	0.0019160804075762448	0.0980839195924237	3832.01110374329	0.26537534882836206	2.0	4.0	1.678891481254885E-6	8.755638832690787E-7	5.783421960225965E-7	38320.1110374329	38321.608151524895
5.0	1.0	0.9928158530823153	0.0013977783986901097	0.00281585308231559	9.768748118950809E-4	0.0019163094476020806	0.09808369055239786	3832.604007245805	0.2653788181635475	2.0	4.0	1.669567335016789E-7	8.707013631446825E-8	5.7512979823037824E-8	38326.04007245805	38326.18895204161
6.0	1.0	0.00409238265729206	5.858933477881595E-4	0.006908235739590961	4.1860735485850975E-4	8.343281014519086E-4	0.09916567189854815	1845.3807307747136	0.2360444994416819	2.0	4.0	-0.002858788878607829	-0.0012348592368365057	-8.197018655093646E-4	18453.807307747134	16686.562029038174
7.0	1.0	0.006073630927248517	2.7528313604262646E-4	0.008889484009547413	1.389024576335798E-4	2.787139695713675E-4	0.09972128603042868	632.2549755215005	0.16752100610471585	2.0	4.0	-0.0012414370676939615	-5.050602756942409E-4	-3.3666708224265596E-4	6322.549755215005	5574.279391427349
8.0	1.0	0.006841175171682069	1.1507962419613578E-4	0.00965702825398097	3.78275607574154E-5	7.61185001540027E-5	0.09992388149984606	176.11286967321684	0.07814355157528542	2.0	4.0	-4.1023456617226173E-4	-1.5602950402426744E-4	-1.041932365917226E-4	1761.1286967321685	1522.370003080054
9.0	1.0	0.007070821625977034	5.6523841355147045E-5	0.00988667470827593	9.424517496777486E-6	1.897620768765397E-5	0.09998102379231237	44.05765443678507	0.024293925879452106	2.0	4.0	-1.0785192343504114E-4	-3.913522588003285E-5	-2.6149905225297115E-5	440.57654436785083	379.5241537530793
