time	cytoplasm	nucleus	R	JAK	RJ	IFNRJ	IFNRJ2	IFNRJ2_star	STAT1c	IFNRJ2_star_STAT1c	STAT1c_star	IFNRJ2_star_STAT1c_star	STAT1c_star_STAT1c_star	SHP2	IFNRJ2_star_SHP2	PPX	STAT1c_star_PPX	STAT1c_STAT1c_star	STAT1n_star_STAT1n_star	STAT1n_star	PPN	STAT1n_star_PPN	STAT1n	STAT1n_STAT1n_star	mRNAn	mRNAc	SOCS1	IFNRJ2_star_SOCS1	IFNRJ2_star_SHP2_SOCS1_STAT1c	STAT1c_star_STAT1c_star_PPX	STAT1n_star_STAT1n_star_PPN	IFNRJ2_star_SOCS1_STAT1c	IFN	IFNRJ2_star_SHP2_STAT1c	IFNRJ2_star_SHP2_SOCS1	IFNR	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46
0.0	1.0	1.0	10.0	10.0	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	100.0	0.0	50.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1.0	1.0	1.0	4.186389290592443	5.102282008606531	4.018269324436685	0.8645860181186797	0.00742385257092302	3.3477167569466855E-6	999.9999956888765	4.0061657681032815E-6	2.436685209453817E-7	3.2569368974659224E-16	8.333513097037325E-17	99.99999988203432	5.8246875189321335E-8	49.99999999844291	1.5571002509244407E-9	6.230499898184172E-12	2.6957812240516768E-20	3.260247127403467E-22	60.0	1.096080546493594E-24	5.789771575489111E-28	2.7199296177021417E-26	4.088778322833713E-26	2.31547290422481E-30	1.229394870863252E-33	2.7260264963142233E-42	8.842406475576212E-44	2.688719337658339E-19	9.70092103049958E-23	4.70054772958779E-42	10.0	5.971872791773288E-8	5.436142606556679E-44	0.9158927180140789	1.9351004096194537	0.7863621445249634	0.028415588794867958	3.7119262854615096E-5	2.3576801325631497E-5	1.6024663072413127E-6	3.9158191086730476E-15	1.1791534488971612E-15	3.231223002618886E-7	1.74740625567964E-10	1.1872005996704784E-8	4.671300752773322E-12	4.112982161635736E-18	8.066158012975017E-22	4.748760399934249E-11	4.166756548518663E-19	-2.695781224051677E-21	1.9342266655122084E-23	5.48040273246797E-27	1.5980668923700068E-21	4.85046051524979E-25	-5.4398592354042836E-27	2.8948857877445555E-29	6.739453060129192E-25	4.0887783228337127E-29	2.31547290422481E-32	1.1577364521124049E-33	6.14697435431626E-37	8.204071355223288E-41	1.804777369282566E-41	4.523699594531233E-43	2.6527219426728635E-46	4.421203237788106E-47	2.617303640967314E-43	3.641521548450541E-43	3.8867283075419146E-7	1.7915618375319864E-10	2.3502738647938952E-45	2.71807130327834E-47	1.6308427819670039E-46	1.3630132481571116E-45	9.80331381697235E-41	1.4267320494247164E-42	1.4595155494552015E-42	0.818960003758207	0.424084992787763
2.0	1.0	1.0	2.4235890019810777	3.579846016387895	4.33895716089434	1.9140130230996537	0.08340027472383066	5.7268480514148546E-5	999.9998501062273	1.2800567084895388E-4	1.7465984570728494E-5	8.614350245548125E-13	9.403454344150498E-13	99.99999364906691	2.1704361521739732E-6	49.99999976030219	2.396978204194891E-7	9.59477853173904E-10	6.644440006982193E-16	1.7569300336423992E-17	60.0	1.2725185231262262E-19	1.4494625088942615E-22	3.1305267813663982E-21	2.211795901580464E-21	2.7316691781186497E-25	3.1457740524255014E-28	2.215606252701013E-35	3.1897635572912875E-36	6.6060727405974525E-15	5.177649429613677E-18	7.918031883254331E-35	10.0	4.180496847698839E-6	9.327678181909851E-37	1.1562570144068065	0.6506596853656306	0.829511171716875	0.1298577791590369	4.170013736191533E-4	3.557432387605165E-4	5.1202268339581555E-5	4.570534472968513E-12	6.007177797057012E-12	5.292760457271772E-6	6.51130845652192E-9	8.253596602659686E-7	7.190934612584673E-10	4.569605694723426E-14	1.981821822179236E-17	3.3013008199024536E-9	4.701727172075249E-15	-6.644440006982193E-17	1.028707649722915E-18	6.362592615631131E-22	3.883111015597042E-17	2.5888247148068385E-20	-6.261053562732797E-22	7.247312544471307E-24	1.6611100017455482E-20	2.2117959015804637E-24	2.7316691781186496E-27	1.3658345890593248E-28	1.5728870262127508E-31	3.5809179379378682E-34	1.1390421858159999E-34	7.280078668927166E-36	9.569290671873863E-39	1.5948817786456437E-39	2.0290525483511455E-36	4.9103305811661525E-36	1.196446690240017E-5	1.2541490543096516E-8	3.9590159416271655E-38	4.663839090954925E-40	2.7983034545729554E-39	1.1078031263505066E-38	7.974358039566627E-34	1.3562126678091164E-35	2.598282066374609E-35	0.4615926601080795	0.31822155553949405
3.0	1.0	1.0	1.6245125760123509	2.880812147486324	3.9760211150300857	2.6171485380065875	0.26199216298572575	2.3777870426591464E-4	999.9990688879732	7.269932855642757E-4	1.626621563236953E-4	5.2277972450195477E-11	1.3132773236649303E-10	99.99994783528926	1.4245744317546742E-5	49.99999649080377	3.5091947790289812E-6	1.4052472237711979E-8	1.4826534903706917E-13	6.274249626018883E-15	60.0	7.163937882011639E-17	1.2897772925956712E-19	1.745791826647088E-18	7.93079785251644E-19	1.5647316819634623E-22	2.8660594129430504E-25	1.2448995489053495E-31	4.0302951036509157E-32	1.468838664804394E-12	1.8295547714214168E-15	6.368948325328513E-31	10.0	3.791896634962998E-5	8.146459236661277E-33	1.2562995714739635	0.26919050052056387	0.7428612522458855	0.2215802262024556	0.0013099608149286287	0.0013206332344870065	2.9079731422571026E-4	1.6724899759364188E-10	5.160467687608364E-10	2.092870915942479E-5	4.273723295264022E-8	7.431268289565543E-6	1.0527584337086944E-8	6.27261842450899E-12	4.406515994413182E-15	2.9721906525858647E-8	6.566386618324652E-13	-1.4826534903706918E-14	3.6212710179710966E-16	3.5819689410058195E-19	8.530009987939867E-15	9.147773857107084E-18	-3.4915836532941766E-19	6.4488864629783566E-21	3.706633725926728E-18	7.93079785251644E-22	1.5647316819634623E-24	7.823658409817312E-26	1.4330297064715253E-28	1.3505267916283996E-30	4.864028457852447E-31	5.562885982254859E-32	1.2090885310952747E-34	2.0151475518254578E-35	1.081969714773875E-32	3.292925238195352E-32	6.511549736310712E-5	1.1375689904888994E-7	3.1844741626642564E-34	4.0732296183306386E-36	2.443937770998383E-35	6.224497744526747E-35	4.10352241522249E-30	8.08436532677035E-32	2.1332572576720466E-31	0.2997765237729909	0.2310588797380764
4.0	1.0	1.0	1.1874828582881314	2.494379914583444	3.4726745422876806	3.014634926891436	0.5062344826515678	5.78544208665951E-4	999.9969968564122	0.002138553990878931	6.880885028938599E-4	7.38123787647461E-10	3.3221832890416548E-9	99.99979627347045	4.786866876374731E-5	49.999979528238114	2.0471709952770686E-5	8.201252255762849E-8	5.265347789551738E-12	3.1354094402318027E-13	59.99999999999991	4.957744207722162E-15	1.2391429624924619E-17	1.1960035979273722E-16	3.980132805689994E-17	1.1028178068570361E-20	2.822516937206446E-23	4.0536973375463394E-29	2.217757165799978E-29	5.195749752528943E-11	9.039325161908193E-14	2.540990746781037E-28	10.0	1.5585786071907408E-4	3.628016473568459E-30	1.3068970562953037	0.12256961194822127	0.6342422099197075	0.26227405316703584	0.002531172413257839	0.002917496577013819	8.554215963515725E-4	1.6213861981706052E-9	9.137097427390105E-9	4.828056924904181E-5	1.4360600629124195E-7	3.031006906775487E-5	6.141512985831205E-8	1.557175969360796E-10	1.558724925758683E-13	1.2121478278153122E-7	1.6610916445208274E-11	-5.265347789551719E-13	1.7820907799846356E-14	2.4788721038610808E-17	2.978422170492874E-13	4.519662580954096E-16	-2.3920071958547446E-17	6.19571481246231E-19	1.3163369473879172E-16	3.980132805689994E-20	1.1028178068570362E-22	5.514089034285181E-24	1.411258468603223E-26	3.2253646823892305E-28	1.2101555335441093E-28	2.0974341369487765E-29	6.653271497399934E-32	1.1088785828999891E-32	3.328085784375744E-30	1.1281987298512574E-29	1.8268339126389547E-4	4.6757358215722225E-7	1.2704953733905184E-31	1.8140082367842294E-33	1.0884049420705377E-32	2.0268486687731697E-32	1.181811064609434E-27	2.665922402208354E-29	8.576453316946998E-29	0.21135863053172022	0.17525803042055166
5.0	1.0	1.0	0.9190014939815074	2.25218349531233	2.9771806195291024	3.222990122181146	0.7677174021875847	0.001073025565904934	999.9930770910979	0.004495091605115601	0.001929756461963536	4.87436360966949E-9	3.429139947072825E-8	99.99946264274419	1.1348805808388813E-4	49.99992647204018	7.352726299024052E-5	2.9468606559460995E-7	7.0922433275295E-11	5.53249037787162E-12	59.9999999999983	1.1278704285078433E-13	3.6468333647878705E-16	2.69181783050506E-15	7.05404780598188E-16	2.557314444854785E-19	8.524354997882324E-22	2.927113316342499E-27	2.3186704392648085E-27	6.968470359630914E-10	1.5757918692832986E-12	2.0757026730925654E-26	10.0	4.238691976569145E-4	3.33069944596788E-28	1.333182001330815	0.05811696871479735	0.5309763214621975	0.2619631326695725	0.0038385870109379234	0.004988071815481052	0.0017980366420462406	7.916208293450887E-9	7.105006010272765E-8	8.460436837564226E-5	3.404641742516644E-7	8.178222860907308E-5	2.2058178897072158E-7	1.5751980449671516E-9	2.090541107889274E-12	3.270114073681473E-7	1.7145699735364123E-10	-7.092243327528888E-12	3.0939201410213097E-13	5.639352142539217E-16	3.9401876226609205E-12	7.878959346416493E-15	-5.383635661010121E-16	1.8234166823939355E-17	1.7730608318820607E-15	7.05404780598188E-19	2.5573144448547853E-21	1.2786572224273925E-22	4.262177498941162E-25	1.8000990359520216E-26	6.811123032888789E-27	1.6119574313006809E-27	6.956011317794426E-30	1.1593352196324043E-30	2.260957698093132E-28	8.096047588593815E-28	3.647329055100877E-4	1.2716075929707434E-6	1.0378513365462827E-29	1.6653497229839402E-31	9.99209833790364E-31	1.4635566581712494E-30	7.455981050691954E-26	1.9015179957950237E-27	6.994555983063698E-27	0.1571366587696852	0.1391075438554149
6.0	1.0	1.0	0.739966802513627	2.085234486814187	2.5337761456011743	3.328976495551089	1.0154357994388303	0.0016973289981913823	999.9869188114844	0.00775623657403176	0.004227455977142158	2.0377245298860517E-8	2.0565379029374603E-7	99.99888294937143	2.1808127934235886E-4	49.9998034872137	1.9650761188345895E-4	7.879144398627239E-7	5.290740285846343E-10	5.16010098155238E-11	59.999999999984176	1.2945103569186918E-12	5.1722606113080805E-15	3.0548959330463436E-14	6.608961209115061E-15	2.9938571752246956E-18	1.2417830851899842E-20	8.381602198506246E-26	8.754062463202184E-26	5.174437953850432E-9	1.451098495475415E-11	6.432728448490071E-25	10.0	8.989693491331969E-4	1.1561284987927973E-26	1.3452676843005522	0.027611622289845067	0.44017569920921307	0.2401962204294983	0.005077178997194152	0.007373465101660864	0.0031024946296127043	2.5688295443474088E-8	3.3686230174412453E-7	1.2611474794824217E-4	6.542438380270766E-7	1.7207044573126307E-4	5.895228356503768E-7	9.24776151031787E-9	1.5523313861551296E-11	6.878972474261712E-7	1.0282689514687302E-9	-5.290740285841018E-11	2.837158517546873E-12	6.472551784593459E-15	2.8842244724118856E-11	7.255492477377075E-14	-6.1097918660926874E-15	2.5861303056540405E-16	1.3226850714598362E-14	6.608961209115061E-18	2.993857175224696E-20	1.4969285876123479E-21	6.208915425949921E-24	4.1316128579279773E-25	1.5590112869582027E-25	4.6818440990160663E-26	2.6262187389606552E-28	4.377031231601092E-29	6.0692515741806096E-27	2.245657031501904E-26	5.958211234675963E-4	2.696908047399591E-6	3.2163642242450356E-28	5.780642493963986E-30	3.468385496378392E-29	4.190801099253123E-29	1.8619853919880098E-24	5.300580027799384E-26	2.1451092390836843E-25	0.12108800681671436	0.11407103215246273
7.0	1.0	1.0	0.6130365760871804	1.9616415490481722	2.1526026088070114	3.38244381811872	1.235449876862016	0.0024243689507994163	999.9782700848024	0.011797252199624608	0.00787639560669459	6.308855841019105E-8	8.613252454784971E-7	99.9980155490879	3.649628526214767E-4	49.999568499764294	4.314743056701401E-4	1.73079946879728E-6	2.6643410304294273E-9	3.143303698226399E-10	59.999999999903366	9.387962994799121E-12	4.4869819007675664E-14	2.1896168168651672E-13	4.0442794873277716E-14	2.215745403920708E-17	1.107219249520359E-19	1.2866785501997674E-24	1.6668063012034422E-24	2.5930034633737305E-8	8.722730493661679E-11	1.0419203393408564E-23	10.0	0.0016194880594278867	2.0778989151465256E-25	1.3486049729609841	0.012625671433533853	0.36287164539902794	0.21054707193677868	0.0061772493843100795	0.009956728396041975	0.004718900879849844	6.393216556032096E-8	1.154619630515307E-6	1.694395135144706E-4	1.0948885578644301E-6	3.075215205341407E-4	1.2944229170104203E-6	3.787988368513095E-8	7.779010390121192E-11	1.2290849968977427E-6	4.306626227392486E-9	-2.6643410304096666E-10	1.6982229590368196E-11	4.6939814973995606E-14	1.424150008381848E-10	4.3613652468308396E-13	-4.3792336337303346E-14	2.2434909503837835E-15	6.660852576029201E-14	4.0442794873277717E-17	2.215745403920708E-19	1.107872701960354E-20	5.536096247601796E-23	5.239948085509204E-24	1.9578420115450296E-24	7.085384027024905E-25	5.000418903610327E-27	8.334031506017212E-28	8.71073233666237E-26	3.288379691006945E-25	8.558041970089954E-4	4.858464178283661E-6	5.209601696704282E-27	1.0389494575732628E-28	6.233696745439577E-28	6.4333927509988365E-28	2.5082369114400675E-23	7.8740880241325655E-25	3.419576077413511E-24	0.0956352157582164	0.09542576391538934
8.0	1.0	1.0	0.5187743254920545	1.8653559995727254	1.831564455484153	3.4093108403583243	1.424024087988731	0.0032297005317141465	999.966976055468	0.01647185119568105	0.013110712924890133	1.5839983124297808E-7	2.8032177810529228E-6	99.99684144582352	5.544857545690824E-4	49.99917519323228	8.247083700614612E-4	3.30970977365827E-6	1.0163101534938058E-8	1.415673966073651E-9	59.999999999563386	4.9143641955705176E-11	2.745255659060731E-13	1.1322963483447212E-12	1.8298498136373372E-13	1.1843281605959116E-16	6.968219390134354E-19	1.2694456374205157E-23	1.9519195394445468E-23	9.839765604365386E-8	3.874586810673645E-10	1.0671142815057819E-22	10.0	0.0026040684218717287	2.3375091634615898E-24	1.3465816740806629	0.005191657273882114	0.2981266742896641	0.18013119864964522	0.007120120439943655	0.012659270037558616	0.006588740478272421	1.3251846690185696E-7	3.157494089872332E-6	2.1206270107349494E-4	1.6634572637072472E-6	4.905831584274645E-4	2.474125110184384E-6	1.2047904573091816E-7	2.9519296813096156E-10	1.9601140367550915E-6	1.4016088905264614E-8	-1.016310153453723E-9	7.511170957265993E-11	2.4571820977852587E-13	5.322943558783733E-10	1.9372934053368224E-12	-2.2645926966894418E-13	1.3726278295303655E-14	2.540775383669959E-13	1.829849813637337E-16	1.1843281605959117E-18	5.921640802979558E-20	3.484109695067177E-22	4.3741078101414984E-23	1.618315470499339E-23	6.766966682341662E-24	5.85575861833364E-26	9.759597697222735E-27	8.019037085999989E-25	3.0840994419526876E-24	0.0011263194079593707	7.812205265615187E-6	5.335571407528909E-26	1.168754581730795E-27	7.012527490384769E-27	6.347228187102579E-27	2.1888780297124704E-22	7.493805856736958E-24	3.433952060160175E-23	0.07682323161679765	0.08071987844818865
9.0	1.0	1.0	0.4462922251278714	1.7876878432576453	1.5643048624296196	3.4225507798077013	1.5823516591127467	0.004093194684349624	999.9529462156203	0.02164315208877422	0.020104870262054753	3.4140022657854177E-7	7.583945357991997E-6	99.9953600900335	7.849234163947432E-4	49.998576537447924	0.0014231583924101904	5.714122480888241E-6	3.158644153019726E-8	5.095540663249445E-9	59.999999998423405	2.0168271980666808E-10	1.2924416276894152E-12	4.588710076060964E-12	6.616632850941387E-13	4.964562921108854E-16	3.3762807442471337E-18	9.006191477415413E-23	1.5935283045899694E-22	3.0415965783426336E-7	1.3748904927382155E-9	7.780530117742592E-22	10.0	0.003854986550024608	1.8529888292667147E-23	1.3413956181297657	0.0015678754186690125	0.2444099568897699	0.15208382179194285	0.007911758295563733	0.015429495001376806	0.008657260835509687	2.407656271416359E-7	7.325721629281872E-6	2.5231579310120306E-4	2.3547702491842295E-6	7.205832160907671E-4	4.269475177230571E-6	3.183545408705331E-7	9.124789735027901E-10	2.8779603541872436E-6	3.791972678995999E-8	-3.1586441525004357E-9	2.6539589582559945E-10	1.0084135990333405E-12	1.6202083932143937E-9	6.874452463691078E-12	-9.177420152121914E-13	6.462208138447077E-14	7.89661038192575E-13	6.616632850941387E-16	4.9645629211088544E-18	2.4822814605544275E-19	1.6881403721235668E-21	2.673892964270718E-22	9.801900674247673E-23	4.5931124989702735E-23	4.780584913769909E-25	7.967641522949848E-26	5.2997959397060214E-24	2.0749866763193182E-23	0.0013932174765954172	1.1564959650073824E-5	3.890265058871296E-25	9.264944146333574E-27	5.558966487800145E-26	4.5030957387077064E-26	1.3836618516653844E-21	5.114944750037822E-23	2.4437505411769574E-22	0.062430532662978974	0.0686721249625806
