time	cell	I	E	A	T	M	P	J	W2	W3	U	W	n	k	U1	U2	U3	U6_plus_3U7	U6_plus_U7_minus_U8
0.0	1.0	10.0	2.1	1.11	1.0000000000000002	0.009999999999999934	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	2.0000000000000004	2.040280562892004	0.04	-1.3322676295501878E-16
1.0	1.0	14.772668021596992	2.0402979924632003	1.117044756823457	0.9463035534669505	0.02305031782720705	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	2.795885648604964	2.7920505277646614	0.04	0.011879371503935105
2.0	1.0	17.749377464048543	2.010634371091665	1.13070834951089	0.9153206927068606	0.03539467112608585	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	3.2492744951016905	3.271692884571371	0.04	0.014918638988453968
3.0	1.0	19.64031399105	2.0017535538582547	1.1462759659192945	0.9003623787162304	0.04488479077727022	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	3.5366799647430875	3.5755889218519656	0.04	0.016071456210305462
4.0	1.0	20.822475329092846	2.0065222814655925	1.1626479274074883	0.8956211198806564	0.05174676582255248	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	3.729809734585895	3.7799552518821415	0.04	0.016613929659954563
5.0	1.0	21.519701706029867	2.020788131633002	1.1794137530347006	0.8978273717410689	0.056452993142767416	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	3.8641954446753184	3.9223092195707863	0.04	0.016887033606634808
6.0	1.0	21.876283268818963	2.0418545016950005	1.1963757541108802	0.9049417458573455	0.05946299827322532	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	3.959352394830974	4.023220223709481	0.04	0.017016486964055565
7.0	1.0	21.990994434563248	2.067847910866949	1.2134220306216503	0.915595429747571	0.06116954950227212	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.026970799978076	4.095012561115905	0.04	0.017058701827812897
8.0	1.0	21.934361548677085	2.097404766096969	1.230481706901064	0.9288179620819749	0.061894902886070025	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.074605798642296	4.145646913144524	0.04	0.017042724152296542
9.0	1.0	21.758075408930708	2.1295058570630805	1.2475093035160565	0.9438954671069127	0.061898913559888746	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.107469750292017	4.180616798245288	0.04	0.01698521983128057
10.0	1.0	21.500498200998063	2.163372621095205	1.264472022267275	0.9602883083599588	0.061387709532028656	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.129335409266553	4.203897628871715	0.04	0.01689665159305804
11.0	1.0	21.19021907467649	2.1983925266384237	1.2813379162008325	0.9775768432761999	0.06052223283860858	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.143013494270672	4.218455666511773	0.04	0.016784147357066875
12.0	1.0	20.848424453525453	2.2340945654235065	1.298083681805827	0.9954376354017067	0.05942675178402679	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.1506612679737	4.226587055242595	0.04	0.016652929418178187
13.0	1.0	20.49057798203158	2.2701254270123385	1.3146929341205364	1.0136265137310558	0.058194020839253735	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.153958624852201	4.230060337455801	0.04	0.016506946922824426
14.0	1.0	20.12771936581128	2.306216395007447	1.3311512334921085	1.0319572524998395	0.05689209098450106	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.154189195166084	4.230242434769844	0.04	0.016349333598663654
15.0	1.0	19.76750581849455	2.342171650425634	1.3474479028205386	1.0502928212947296	0.05556907368963415	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.152333891213324	4.228174407936938	0.04	0.01618258553473409
16.0	1.0	19.415037367376755	2.3778523130809917	1.3635754480701148	1.06853471524457	0.05425785023369293	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.149128284962522	4.224639369482297	0.04	0.016008705470492567
17.0	1.0	19.073520238096915	2.413160689685136	1.379527360238119	1.0866131222083162	0.052979792761299015	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.145107475484399	4.220210059992529	0.04	0.01582929305716406
18.0	1.0	18.744795246666204	2.4480313493459978	1.3952985678022862	1.1044806353754841	0.05174785383177268	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.140652672804249	4.2152949459373295	0.04	0.01564560943829412
19.0	1.0	18.42974231546391	2.4824233359785643	1.4108856007836217	1.1221067938027165	0.050569058607773686	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.136027812043092	4.210178103219726	0.04	0.015458637631016178
20.0	1.0	18.128588302735885	2.5163128320109673	1.4262859535135712	1.139473230328875	0.049446351831479086	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.131408214924144	4.205049210055472	0.04	0.015269133498450937
21.0	1.0	17.841139140086316	2.54968680438526	1.4414972163808308	1.1565695618893697	0.0483799738849402	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.126903695771383	4.200027314232389	0.04	0.015077672830681755
22.0	1.0	17.566944884645768	2.582539564806907	1.456517234254912	1.1733908423837258	0.04736851183173078	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.122578451260596	4.1951827770296894	0.04	0.014884695534354071
23.0	1.0	17.30540796490435	2.61487199100741	1.4713450943309674	1.189936520598453	0.0464096239220105	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.118467388259007	4.190555193624305	0.04	0.014690538218453125
24.0	1.0	17.055869031039958	2.6466871554499294	1.4859800498062752	1.206207740266166	0.04550063462251167	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.114584248441278	4.186166964362521	0.04	0.01449548480585311
25.0	1.0	16.817636233022068	2.6779903254015847	1.5004198780456812	1.2222082687444775	0.04463782138857386	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.1109308129472595	4.181996175163991	0.04	0.014299653352264203
26.0	1.0	16.590041702526044	2.7087846985825514	1.5146633573745085	1.2379398771817973	0.043818535973754104	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.107494837533197	4.178047600740913	0.04	0.014103265204222117
27.0	1.0	16.372446533510523	2.739076691543286	1.5287103608758839	1.2534063177520098	0.04303998708460736	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.1042655844318165	4.174315243000117	0.04	0.013906481715593416
28.0	1.0	16.16424551640189	2.768873502461055	1.5425609640145488	1.2686119497075474	0.04229941126104131	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.101231004022817	4.170786310789375	0.04	0.013709426654273039
29.0	1.0	15.964872954279206	2.7981820330999105	1.5562152242838347	1.283561025458355	0.04159421664227958	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.098377740101395	4.167446110938701	0.04	0.013512208684789494
30.0	1.0	15.773805074267177	2.827008538933246	1.5696731088299574	1.2982574501719195	0.040922020068630584	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.095691991045398	4.1642799380402415	0.04	0.013314930604921291
31.0	1.0	15.590568453244993	2.855355079024628	1.5829327359447833	1.3127030174954097	0.04028067441556504	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.093157250608689	4.1612721923872025	0.04	0.013117708826758312
32.0	1.0	15.41471684642557	2.883230399141623	1.595995885932396	1.3269027026592086	0.03966818944998174	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.090765888849705	4.158412698637356	0.04	0.012920631626082358
33.0	1.0	15.245838270655385	2.9106397478425836	1.6088627768734747	1.3408597302021736	0.03908275923306522	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0885061180593905	4.155690276714892	0.04	0.012723797185973178
34.0	1.0	15.083545747231675	2.9375914489121953	1.6215352516538974	1.35457885303111	0.03852265577281244	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.086370419585472	4.153094124014023	0.04	0.012527276290464328
35.0	1.0	14.927493608662004	2.9640866243270776	1.634011989905764	1.3680610882972293	0.03798645387591567	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.084344630363216	4.15061580983706	0.04	0.012331192592160511
36.0	1.0	14.777361818743058	2.9901302029772046	1.646293513375608	1.3813094134693793	0.037472723867782776	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.082421797294555	4.148245541946042	0.04	0.01213563070990431
37.0	1.0	14.6328521898967	3.015726829008515	1.6583804684119134	1.3943265579058952	0.03698019730929351	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.080594885256882	4.145976286849817	0.04	0.011940684249302311
38.0	1.0	14.493686803656306	3.040881131917	1.670273621287259	1.407115212615274	0.036507701985532735	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.078857437661207	4.143801642049857	0.04	0.011746444253970175
39.0	1.0	14.359606307527478	3.0655977409047144	1.681973855306057	1.4196780390996597	0.03605415350100253	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.077203544982743	4.141715812158861	0.04	0.011552999314493965
40.0	1.0	14.23035992536668	3.0898843026199376	1.693483299529906	1.4320193813083293	0.035618378218297796	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.075630243223687	4.139708069600294	0.04	0.011360382221255213
41.0	1.0	14.105727832258857	3.113741253611926	1.7048015364032356	1.444139429062071	0.03519971185338037	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.074127547636655	4.137782627926018	0.04	0.011168756936872951
42.0	1.0	13.985500189132079	3.137173796627088	1.715929760647686	1.4560412135406207	0.03479717756121873	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.072692933471291	4.135930644213216	0.04	0.010978175430311113
43.0	1.0	13.869478639425072	3.160186334941528	1.726868931416411	1.4677273034332565	0.03440989990814022	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.0713224966937025	4.134144802361355	0.04	0.010788697723755982
44.0	1.0	13.757477747980051	3.1827823976965233	1.737619496881855	1.479199910103753	0.034037009289085006	0.121	100.0	0.2	13.48	0.02	0.01	1.2	-1.0	12.1	4.070011969613295	4.13241507061609	0.04	0.0106003680542132
