time	cell	L	R	G	Gbg	Gd	Ga	RL	reaction_0	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5	reaction_6
0.0	1.0	6.02E17	10000.0	7000.0	3000.0	3000.0	0.0	0.0	19986.4	4.0	4.0	9000000.0	0.0	0.0	0.0
1.0	1.0	6.0199999999999232E17	1385.9322563092119	9472.450344675077	527.5496553249213	0.10997700609868843	527.4396781184598	8593.720536351044	2684.0424393862972	4.0	0.5543729025236848	58.018331661029855	814.0359105659974	34.37488214540418	58.01836459303058
2.0	1.0	6.0199999999999142E17	230.5137459316909	8723.82077270885	1276.179227291142	0.10999051526826514	1276.0692365755226	9715.542465160035	363.5585685173078	4.0	0.09220549837267636	140.36761078440918	847.5665117569807	38.862169860640144	140.36761602330748
3.0	1.0	6.0199999999999142E17	75.40594443887642	8078.594605793524	1921.4053942064747	0.1099937018913472	1921.2954003042278	9835.399429351528	52.355342499798525	4.0	0.03016237777555057	211.34249214277344	794.5620477578397	39.34159771740611	211.34249403346504
4.0	1.0	6.0199999999999142E17	54.45164258496334	7552.414634617586	2447.5853653824165	0.10999505617922957	2447.4753701258733	9821.003224830743	10.619198687702138	4.0	0.021780657033985337	269.22228976869906	741.7228848183822	39.284012899322974	269.22229071384606
5.0	1.0	6.0199999999999142E17	51.48941654093674	7126.9261667001965	2873.073833299804	0.10999578844327101	2872.963837310996	9788.723277399005	5.021574701386285	4.0	0.020595766616374696	316.0260215495429	697.6350806428228	39.154893109596024	316.0260221042096
6.0	1.0	6.0199999999999142E17	50.94069018493414	6783.479966842881	3216.5200331571227	0.10999623818091656	3216.410036718578	9754.165574968649	4.270445281528836	4.0	0.020376276073973656	353.8051036808405	661.6718677106832	39.016662299874596	353.80510403904356
7.0	1.0	6.0199999999999142E17	50.71621038295331	6506.529296166558	3493.4707038334386	0.10999653644101803	3493.360707096629	9719.422565153793	4.169221068246415	4.0	0.020286484153181322	384.26967757984374	632.3970766199548	38.87769026061517	384.2696777806292
8.0	1.0	6.0199999999999142E17	50.53582065059377	6283.44479232073	3716.555207679266	0.10999674434094349	3716.4452107345583	9684.774352969951	4.155169055401785	4.0	0.02021432826023751	408.80897300809835	608.5374497297041	38.739097411879804	408.8089731808014
9.0	1.0	6.0199999999999142E17	50.36192864608455	6104.006912471331	3895.9930875286673	0.10999689433411519	3895.883090433967	9650.258045981136	4.152784609397628	4.0	0.02014477145843382	428.547139975334	589.0524181980094	38.601032183924545	428.54713994773635
10.0	1.0	6.0199999999999142E17	50.189489905265646	5959.949786917237	4040.050213082758	0.10999700505243315	4039.94021587734	9615.878147636658	4.151940627892117	4.0	0.02007579596210626	444.39342370054777	573.1015091702923	38.463512590546635	444.3934237465074
11.0	1.0	6.0199999999999142E17	50.01783437320859	5844.579622900592	4155.420377099405	0.10999708819819312	4155.310379810841	9581.634781303326	4.151296678634935	4.0	0.020007133749283437	457.0841417203722	560.00627396881	38.32653912521331	457.0841417791926
12.0	1.0	6.0199999999999142E17	49.84687360079556	5752.4769857013625	4247.523014298635	0.1099971513367813	4247.413016946932	9547.527489875269	4.150680554739935	4.0	0.019938749440318225	467.2154318102684	549.2193215585859	38.19010995950107	467.2154318641625
13.0	1.0	6.0199999999999142E17	49.6765938642183	5679.2526427225985	4320.747357277403	0.10999719961442835	4320.637359877422	9513.555743555884	4.150070125221006	4.0	0.01987063754568732	475.2701095419563	540.2988659827852	38.054222974223535	475.2701095865164
14.0	1.0	6.0199999999999142E17	49.50699104862654	5621.350473647278	4378.649526352725	0.10999723664722678	4378.5395289157095	9479.71900508247	4.1494625386008295	4.0	0.019802796419450618	481.63934814548816	532.8882291926345	37.91887602032988	481.63934818072806
15.0	1.0	6.0199999999999142E17	49.33806228292947	5575.8883246933465	4424.111675306656	0.10999726504453511	4424.001677841243	9446.016738097873	4.148857420174025	4.0	0.01973522491317179	486.6401845353285	526.6993444481786	37.78406695239149	486.6401845625367
16.0	1.0	6.0199999999999142E17	49.169804865124604	5540.5294568341005	4459.470543165901	0.10999728673076294	4459.360545678802	9412.448408218517	4.148254713446065	4.0	0.019667921946049844	490.5296600040108	521.4994766666595	37.64979363287407	490.5296600246682
17.0	1.0	6.0199999999999142E17	49.00221612420443	5513.378669664522	4486.621330335481	0.10999730315087257	4486.51133283196	9379.013483164255	4.1476544028359825	4.0	0.019600886449681772	493.516246596083	517.1005288057376	37.51605393265702	493.5162466115156
18.0	1.0	6.0199999999999142E17	48.8352934023778	5492.898334534685	4507.101665465317	0.10999731540601174	4506.991667949542	9345.711432767674	4.147056478050246	4.0	0.01953411736095112	495.76908346314923	513.3504276409133	37.382845731070695	495.7690834744496
19.0	1.0	6.0199999999999142E17	48.6690340527506	5477.840497002206	4522.159502997796	0.10999732434564786	4522.049505473082	9312.541728967983	4.146460929508237	4.0	0.01946761362110024	497.4254455940023	510.1261821296376	37.25016691587193	497.425445602039
20.0	1.0	6.0199999999999142E17	48.503435438991005	5467.19195391152	4532.808046088483	0.10999733063175374	4532.698048557482	9279.503845802927	4.1458677477543375	4.0	0.019401374175596404	498.5967853358685	507.3282876206477	37.118015383211706	498.596785341323
21.0	1.0	6.0199999999999142E17	48.33849493524922	5460.129810126814	4539.870189873188	0.10999733478452788	4539.760192338035	9246.597259400489	4.145276923380237	4.0	0.01933539797409969	499.3736211537792	504.8762133828951	36.98638903760195	499.3736211571839
22.0	1.0	6.0199999999999142E17	48.17420992611239	5455.985502723585	4544.0144972764165	0.10999733721560262	4543.904499738832	9213.821447970582	4.144688447018069	4.0	0.019269683970444956	499.829494969501	502.70476244811135	36.85528579188233	499.8294949712715
23.0	1.0	6.0199999999999142E17	48.010577806560875	5454.215669223214	4545.784330776788	0.10999733825258085	4545.6743332381675	9181.175891796784	4.144102309335622	4.0	0.01920423112262435	500.0241766557362	500.76113410932436	36.724703567187134	500.02417665619845
24.0	1.0	6.0199999999999142E17	47.84759598192846	5454.3785496512055	4545.621450348795	0.10999733815743784	4545.51145281027	9148.660073228086	4.143518501039267	4.0	0.019139038392771382	500.0062598097195	499.002552614657	36.594640292912345	500.00625980912974
