time	compartment	Glu	Fru	Formic_acid	Triose	Acetic_acid	Cn	Amadori	AMP	C5	lys_R	Melanoidin	_J1	_J2	_J3	_J4	_J5	_J6	_J7	_J8	_J9	_J10	_J11
0.0	1.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.6	0.0	0.0752	0.0	0.0	0.0	0.43200000000000005	0.0	0.0	0.0	0.0
1.0	1.0	157.91649193307882	1.5772461254307681	0.07558017391731968	0.011267191589482955	0.021839649826732203	1.653311734741408E-5	0.3733220960680779	0.028657914208713962	0.07558017391731968	14.596783211489736	0.0012367782334704437	1.5791649193307882	0.008028182778442609	0.07422075120854704	0.001734970737973845	0.011229992413067068	4.946297107783017E-5	0.41491310368790146	0.041565682176219795	0.05360531977441531	0.0034534079646112606	0.003586251384078465
2.0	1.0	155.87863011963955	3.1098743190147116	0.15190223386706178	0.04457701534178951	0.07962547590284108	1.311806789048105E-4	0.6484055781641382	0.10037930332093559	0.15190223386706178	14.2422550657556	0.00896005275932445	1.5587863011963956	0.015829260283784882	0.07326295615623059	0.003420861750916183	0.022142305151384746	1.9569309735045594E-4	0.3996113777036064	0.07219347707279515	0.0931045569685886	0.006643743491077578	0.012561466017581879
3.0	1.0	153.88413373976294	4.599158831205633	0.22893870993518384	0.09920809768040656	0.16388218549756745	4.3911871947810617E-4	0.8487548639491197	0.1983009996551566	0.22893870993518384	13.925497955881797	0.027446180513927578	1.5388413373976295	0.023409718450836673	0.07232554285768858	0.0050590747143261965	0.03274601087818411	4.355235488169848E-4	0.3857243741704278	0.09450036655209498	0.12187271091445409	0.009606836535409462	0.024815387096846296
4.0	1.0	151.93107367989396	6.046305614106642	0.30666250936880546	0.1744598281402576	0.26742409825215835	0.0010324024734597891	0.992301363848755	0.31034376801341623	0.30666250936880546	13.638179614454957	0.05917525368287091	1.5193107367989396	0.030775695575802807	0.07140760462955016	0.006650936175517307	0.04304969597243929	7.658786455357308E-4	0.37297138893540915	0.11048283385092038	0.14248455283504272	0.012369090295361063	0.038836419129198906
5.0	1.0	150.0177908982032	7.452464159415756	0.38504699344388826	0.2696513842345847	0.3848115802538027	0.002000055718063052	1.092726344539403	0.42798492598682114	0.38504699344388826	13.37393929557496	0.10534943389881703	1.500177908982032	0.0379330425714262	0.07050836172215551	0.008197710575357332	0.05306154481504018	0.0011837695767898267	0.361139189171189	0.12166415120101713	0.15690457581241288	0.014950320490571156	0.0535580336379908
6.0	1.0	148.14283498365305	8.8187361077274	0.4640660324147699	0.3841209156812868	0.5119370432330013	0.003428154373049894	1.160467733878707	0.545334565779658	0.4640660324147699	13.127920547682397	0.1662771526592384	1.4814283498365304	0.04488736678833247	0.06962713244231693	0.00970060971850014	0.06278940108701908	0.001686290819840849	0.3500653261272879	0.12920647749005523	0.16663156190764353	0.01736575004298348	0.0682431675616664
7.0	1.0	146.3049177390488	10.146181528716735	0.5436940428542196	0.5172248180743144	0.645708034130441	0.005399909847476825	1.2034901756274494	0.6584386866695101	0.5436940428542196	12.896413798863707	0.24165733883933196	1.463049177390488	0.05164406398116818	0.06876331133735293	0.01116079968158841	0.07224081248446315	0.00227061695134624	0.3396255767948679	0.13399659615436021	0.17280915431834545	0.01962740332090778	0.0823970172498225
8.0	1.0	144.50287819879827	11.435823568936092	0.6239060123167112	0.6683370999897265	0.78380625622602	0.007995747233465855	1.2278702465790987	0.7647577433730809	0.6239060123167112	12.676584712655288	0.3307872973925309	1.4450287819879828	0.05820834196588471	0.06791635275343519	0.012579405925829701	0.08142306381082497	0.002933999868954899	0.3297245358077236	0.13671107325411685	0.17630988870629277	0.02174507793458974	0.09570178400570735
9.0	1.0	142.73565615607484	12.688651922545262	0.7046775140589954	0.8368488083939964	0.924503471257087	0.01129338111815673	1.238243258792274	0.8627758994795506	0.7046775140589954	12.466266777574099	0.43271406415407565	1.4273565615607484	0.06458523828575538	0.06708575839335518	0.013957517114799789	0.09034320168852225	0.003673766268849644	0.32028853829646886	0.1378660044339318	0.17779934952998264	0.023727017987134155	0.10796777606087096
