time	cell	M	MpY	MpT	Mpp	MEK	MKP3	Km1	kcat1	Km2	kcat2	Km3	kcat3	Km4	kcat4	Km5	kcat5	Km6	kcat6	Km7	kcat7	Km8	v1	v2	v3	v4	v5	v6	v7
0.0	1.0	800.0	0.0	0.0	0.0	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.831345826235093	0.0	1.3410562180579215	0.0	0.0	0.0	0.0
1.0	1.0	789.9323814871948	8.737557045190005	1.3226790526460528	0.007382414969200042	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.782591467999433	0.006453880778628917	1.333652778473988	0.008374108823734235	1.3372195000568458E-4	0.020916107406884186	0.13166868705730256
2.0	1.0	780.0710588314593	17.290317511743865	2.6093745219545657	0.02924913484230114	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.734190866583768	0.012861441038900323	1.3263030575182757	0.01663704880230518	5.278658299510892E-4	0.04111204527582101	0.25959823002441107
3.0	1.0	770.4112434744828	25.662357525969572	3.8612112426126175	0.06518775693490012	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.686148607612438	0.01922203413284929	1.319007751526333	0.02479017344190354	0.0011722517058655464	0.06061785129154886	0.383919012909122
4.0	1.0	760.9482981649525	33.857631143301475	5.079274122794249	0.11479656895168251	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.638469164966878	0.025535029065324222	1.3117675398653406	0.032834820725142	0.0020571446797618942	0.07946204189927827	0.5047551181936598
5.0	1.0	751.6777294120926	41.87997638165532	6.264610169947826	0.1776840363041253	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.591156893309083	0.031799811458173635	1.3045830837987866	0.04077231572049434	0.003173226107782074	0.09767171170817004	0.6222247314219491
6.0	1.0	742.5951805946503	49.73312076405154	7.418230183029527	0.2534684582684842	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.544216021771327	0.038015784381669485	1.2974550255282382	0.04860397166759296	0.004511569476690254	0.11527262196830937	0.7364405130462175
7.0	1.0	733.6964254667047	57.42068652311912	8.541110415803319	0.34177759437279426	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.497650647886143	0.04418236914735405	1.2903839872715994	0.056331091434004596	0.006063617202973493	0.13228928345138552	0.8475099421311637
8.0	1.0	724.9773620803954	64.94619546848374	9.634194135889162	0.44224831523149016	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.451464731957	0.0502990060437355	1.2833705704082854	0.06395496882199085	0.007821159201144881	0.14874503302892347	0.9555356340600936
9.0	1.0	716.4340070942161	72.31307354236829	10.698393087479245	0.5545262759361608	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.405662091858236	0.05636515501620407	1.276415354689584	0.07147688973518886	0.009776313065677448	0.16466210450566393	1.0606156345240638
10.0	1.0	708.0624904382189	79.5246550865574	11.734588864953862	0.6782656102695682	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.360246398253427	0.062380296292465096	1.2695188975125575	0.07889813321444687	0.011921505726418547	0.1800616942097584	1.16284369184739
11.0	1.0	699.8590503099227	86.58418684191479	12.743634204008721	0.8131286441534058	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.315221170222012	0.06834393095472503	1.2626817332559348	0.08621997235142352	0.014249456451039508	0.19496402179179068	1.2623095095006218
12.0	1.0	691.8200284769117	93.49483169987225	13.726354196345659	0.95878562687003	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.270589771284211	0.07425558145982167	1.2559043726764914	0.09344367508799369	0.01675316108027578	0.20938838664047008	1.3590989804721807
13.0	1.0	683.9418658641018	100.25967222370848	14.683547433473198	1.1149144787160634	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.226355405814846	0.08011479210845737	1.2491873023644766	0.10057050490899751	0.019425877392591512	0.22335322028350885	1.4532944050095284
14.0	1.0	676.2210984054543	106.88171395598728	15.615987084705502	1.2812005538526254	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.182521115836629	0.08592112946467269	1.242530984256673	0.10760172143540876	0.022261111504618143	0.23687613510709526	1.544974693097647
15.0	1.0	668.65435314154	113.36388852721211	16.52442191403338	1.4573364172141803	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.139089778183838	0.09167418272668551	1.2359358552056936	0.11453858092458312	0.025252605222407482	0.24997396969602076	1.6342155529147426
16.0	1.0	661.2383445458474	119.70905657956148	17.409577240164314	1.6430216344265602	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.096064102027317	0.09737356405021612	1.229402326604148	0.1213823366838677	0.028394324266325082	0.26266283106845106	1.721089666390573
17.0	1.0	653.9698710640607	125.92001051848709	18.272155843686374	1.837962573765585	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.053446626751699	0.10301890882542178	1.2229307840622952	0.1281342394035091	0.03168044729939566	0.27495813405419356	1.805666852890226
18.0	1.0	646.845811851769	131.99947710397018	19.112838824999137	2.0418722192615832	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	8.01123972017589	0.10860987590857074	1.2165215871378203	0.1347955374144801	0.03510535569518823	0.286874638042738	1.8880142219540013
19.0	1.0	639.8631236971739	137.95011989233225	19.93228641637105	2.2544699941227746	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.969445577107657	0.11414614780959823	1.2101750691163475	0.14136747687655427	0.038663623986976856	0.2984264813070714	1.9681963159412637
20.0	1.0	633.0188381163863	143.77454153867765	20.73113875122373	2.47548159371249	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.928066218223184	0.11962743083670224	1.2038915368412983	0.147851301901691	0.042350010945001626	0.3096272130910208	2.0462752433515927
21.0	1.0	626.3100586098273	149.47528596929385	21.51001659350697	2.7046388273721518	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.887103489262358	0.12505345519915476	1.1976712705916914	0.15424825461754307	0.04615945123324653	0.32048982363143114	2.1223108035293414
22.0	1.0	619.7339580691021	155.054840432652	22.269522029811935	2.9416794684342764	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.846559060530346	0.13042397506952302	1.1915145240064597	0.16055957517566802	0.05008704760129962	0.3310267722716516	2.196360603397113
23.0	1.0	613.2877763244911	160.51563743701917	23.01023912667215	3.1863471118179985	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.806434426696037	0.135738768606518	1.1854215240538426	0.1667865017088091	0.05412806357061482	0.341250013809407	2.2684801668088435
24.0	1.0	606.9688178239161	165.86005658212042	23.7327345553199	3.4383910386440117	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.766730906877678	0.14099763793970566	1.1793924710443877	0.1729302702414072	0.0582779165778948	0.3511710232100052	2.338723037063624
25.0	1.0	600.774449434897	171.0904262917571	24.437558185999436	3.697566087346891	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.727449645005975	0.14620040911734103	1.1734275386860926	0.17899211455731362	0.06253217154139862	0.36080081880486214	2.4071408730764863
26.0	1.0	594.7020983616125	176.20902545380227	25.125243653785002	3.963632530800653	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.6885916104547665	0.15134693201860216	1.167526874180168	0.18497326602849234	0.06688653481877942	0.37014998408537414	2.473783539661659
27.0	1.0	588.7492501697337	181.21808497354687	25.79630889771119	4.236355959008509	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.650157598929256	0.1564370802315245	1.1616905983559238	0.19087495340832863	0.07133684852760318	0.3792286881931379	2.5386991923468343
28.0	1.0	582.9134469122109	186.1197892459556	26.451256674893393	4.515507166940296	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.612148233601728	0.16147075089795127	1.1559188058432253	0.19669840259299382	0.0758790852020196	0.38804670519931556	2.6019343571033646
29.0	1.0	577.1922853496599	190.91627755201236	27.09057505119684	4.800862047131186	180.0	100.0	410.0	1.08	40.0	0.007	20.0	0.008	300.0	0.45	22.0	0.084	18.0	0.06	34.0	0.108	40.0	7.574563966484483	0.16644786452683408	1.150211565280977	0.20244483635416063	0.08050934276116756	0.3966134322584796	2.663534005346758
