time	cell	BCK2	BUB2	BUD	C2	C2P	C5	C5P	CDC14	CDC14T	CDC15	CDC15i	CDC20	CDC20i	CDC6	CDC6P	CDC6T	CDH1	CDH1i	CKIT	CLB2	CLB2T	CLB5	CLB5T	CLN2	CLN3	ESP1	F2	F2P	F5	F5P	IE	IEP	LTE1	MAD2	MASS	MCM1	NET1	NET1P	NET1T	ORI	PDS1	PE	PPX	RENT	RENTP	SBF	SIC1	SIC1P	SIC1T	SPN	SWI5	SWI5P	TEM1GDP	TEM1GTP	b0	bub2h	bub2l	C0	CDC15T	Dn3	ebudb5	ebudn2	ebudn3	ec1b2	ec1b5	ec1k2	ec1n2	ec1n3	ef6b2	ef6b5	ef6k2	ef6n2	ef6n3	eicdhb2	eicdhb5	eicdhn2	eicdhn3	eorib2	eorib5	esbfb5	esbfn2	esbfn3	ESP1T	IET	J20ppx	Jacdh	Jaiep	Jamcm	Jasbf	Jatem	Jd2c1	Jd2f6	Jicdh	Jiiep	Jimcm	Jisbf	Jitem	Jn3	Jpds	Jspn	ka15_p	ka15_p_p	ka15p	ka20_p	ka20_p_p	kacdh_p	kacdh_p_p	kaiep	kamcm	kasb2	kasb5	kasbf	kasesp	kasf2	kasf5	kasrent	kasrentp	kaswi	kd14	kd1c1	kd1f6	kd1pds_p	kd20	kd2c1	kd2f6	kd2pds_p_p	kd3c1	kd3f6	kd3pds_p_p	kdb2_p	kdb2_p_p	kdb2p	kdb5_p	kdb5_p_p	kdbud	kdcdh	kdib2	kdib5	kdiesp	kdif2	kdif5	kdirent	kdirentp	kdn2	kdnet	kdori	kdppx_p	kdppx_p_p	kdspn	kdswi	KEZ	KEZ2	ki15	kicdh_p	kicdh_p_p	kiiep	kimcm	kisbf_p	kisbf_p_p	kiswi	kkpnet_p	kkpnet_p_p	kppc1	kppf6	kppnet_p	kppnet_p_p	ks14	ks1pds_p_p	ks20_p	ks20_p_p	ks2pds_p_p	ksb2_p	ksb2_p_p	ksb5_p	ksb5_p_p	ksbud	ksc1_p	ksc1_p_p	kscdh	ksf6_p	ksf6_p_p	ksf6_p_p_p	ksn2_p	ksn2_p_p	ksnet	ksori	kspds_p	ksppx	ksspn	ksswi_p	ksswi_p_p	lte1h	lte1l	mad2h	mad2l	mdt	TEM1T	D	mu	Vdb5	Vdb2	Vasbf	Visbf	Vkpc1	Vkpf6	Vacdh	Vicdh	Vppnet	Vkpnet	Vdppx	Vdpds	Vaiep	Vd2c1	Vd2f6	Vppc1	Vppf6	F	Growth	Synthesis_of_CLN2	Degradation_of_CLN2	Synthesis_of_CLB2	Degradation_of_CLB2	Synthesis_of_CLB5	Degradation_of_CLB5	Synthesis_of_SIC1	Phosphorylation_of_SIC1	Dephosphorylation_of_SIC1	Fast_Degradation_of_SIC1P	Assoc_of_CLB2_and_SIC1	Dissoc_of_CLB2SIC1_complex	Assoc_of_CLB5_and_SIC1	Dissoc_of_CLB5SIC1	Phosphorylation_of_C2	Dephosphorylation_of_C2P	Phosphorylation_of_C5	Dephosphorylation_of_C5P	Degradation_of_CLB2_in_C2	Degradation_of_CLB5_in_C5	Degradation_of_SIC1_in_C2P	Degradation_of_SIC1P_in_C5P_	Degradation_of_CLB2_in_C2P	Degradation_of_CLB5_in_C5P	CDC6_synthesis	Phosphorylation_of_CDC6	Dephosphorylation_of_CDC6	Degradation_of_CDC6P	CLB2CDC6_complex_formation	CLB2CDC6_dissociation	CLB5CDC6_complex_formation	CLB5CDC6_dissociation	F2_phosphorylation	F2P_dephosphorylation	F5_phosphorylation	F5P_dephosphorylation	CLB2_degradation_in_F2	CLB5_degradation_in_F5	CDC6_degradation_in_F2P	CDC6_degradation_in_F5P	CLB2_degradation_in_F2P	CLB5_degradation_in_F5P	Synthesis_of_SWI5	Degradation_of_SWI5	Degradation_of_SWI5P	Activation_of_SWI5	Inactivation_of_SWI5	Activation_of_IEP	Inactivation_1	Synthesis_of_inactive_CDC20	Degradation_of_inactiveCDC20	Degradation_of_active_CDC20	Activation_of_CDC20	Inactivation_2	CDH1_synthesis	CDH1_degradation	CDH1i_degradation	CDH1i_activation	Inactivation_3	CDC14_synthesis	CDC14_degradation	Assoc_with_NET1_to_form_RENT	Dissoc_from_RENT	Assoc_with_NET1P_to_form_RENTP	Dissoc_from_RENP	Net1_synthesis	Net1_degradation	Net1P_degradation	NET1_phosphorylation	dephosphorylation_1	RENT_phosphorylation	dephosphorylation_2	Degradation_of_NET1_in_RENT	Degradation_of_NET1P_in_RENTP	Degradation_of_CDC14_in_RENT	Degradation_of_CDC14_in_RENTP	TEM1_activation	inactivation_1	CDC15_activation	inactivation_2	PPX_synthesis	degradation_1	PDS1_synthesis	degradation_2	Degradation_of_PDS1_in_PE	Assoc_with_ESP1_to_form_PE	Disso_from_PE	DNA_synthesis	Negative_regulation_of_DNA_synthesis	Budding	Negative_regulation_of_Cell_budding	Spindle_formation	Spindle_disassembly
0.0	1.0	0.065125026	0.2	0.008473	0.238404	0.024034	0.070081	0.006878	0.468344	2.117884	0.656533	0.34346699999999997	0.444296	1.472044	0.10758	0.015486	0.3866693	0.930499	0.0695	0.7553539	0.1469227	0.6728125	0.0518014	0.1289119	0.0652511	0.06694509131879892	0.301313	0.236058	0.0273938	7.24E-5	7.91E-5	0.8985	0.1015	0.1	0.01	1.206019	0.4690076182110798	0.018645	0.970271	2.638456	9.09E-4	0.025612	0.6986870000000001	0.123179	1.04954	0.6	0.004913738759040801	0.0228776	0.00641	0.36868460000000003	0.03	0.95	0.02	0.09999999999999998	0.9	0.054	1.0	0.2	0.4	1.0	1.0	1.0	0.25	0.05	0.45	0.1	0.03	0.06	0.3	0.55	0.1	0.03	0.06	0.3	1.2	8.0	0.4	0.25	0.45	0.9	2.0	2.0	10.0	1.0	1.0	0.15	0.03	0.1	0.1	0.01	0.1	0.05	0.05	0.03	0.1	0.1	0.01	0.1	6.0	0.04	0.14	0.002	1.0	0.001	0.05	0.2	0.01	0.8	0.1	1.0	50.0	50.0	0.38	50.0	15.0	0.01	200.0	1.0	2.0	0.1	0.01	0.01	0.01	0.3	1.0	1.0	0.2	1.0	1.0	0.04	0.003	0.4	0.15	0.01	0.16	0.06	0.01	0.05	0.06	0.5	0.5	0.01	1.0	2.0	0.12	0.03	0.06	0.17	2.0	0.06	0.08	0.3	0.2	0.5	0.001	0.08	0.15	0.15	0.6	8.0	0.05	0.01	0.6	4.0	4.0	0.05	3.0	0.2	0.03	0.006	0.6	0.055	0.001	0.04	8.0E-4	0.005	0.2	0.012	0.12	0.01	0.024	0.12	0.004	0.0	0.15	0.084	2.0	0.0	0.1	0.1	0.005	0.08	1.0	0.1	8.0	0.01	90.0	1.0	101.21846007568689	0.007701635339554948	0.08108736	0.441844	0.5908263458114359	1.7753815999999998	0.24226958712032795	0.2663495285233921	0.3846752	0.05168441222637597	0.419537	0.4871349532762	0.8946186673169543	0.13607916	0.01469227	0.09724769917563966	0.11193996917563967	1.873376	1.873376	0.4586134093959288	0.009288318550574718	8.88909345665944E-4	0.007830132	0.023831302948292332	0.06491691345879999	9.944455115221981E-4	0.004200438770303999	0.126	0.005542546706304015	0.012008340159999999	0.00641	0.168061938076	0.0119202	0.059254585432000004	0.00420486	0.057758038647834666	0.045024718783999995	0.016978494934979705	0.012885080128	0.105337376976	0.00568268327616	0.024034	0.006878	0.010619278696	5.577188620800001E-4	0.13801965495503615	0.02865388227854652	0.029011100736	0.015486	0.23708916098999996	0.118029	5.572794612E-5	7.24E-7	0.06287393700417489	0.0513188874688	1.9283705865093587E-5	1.481840416E-4	0.104300810952	5.870724864E-6	0.0273938	7.91E-5	0.0121037861672	6.4140101759999996E-6	0.042520609456886384	0.076	0.0016	0.01873376	0.00697882825	0.01322083584877316	0.07555831265508685	0.28740457092664784	0.4416132	0.1332888	0.10348469319999999	0.00444296	0.01	0.009304989999999999	6.950000000000001E-4	0.26869272763819096	0.05007011344335665	0.2	0.0468344	1.7464547759999998	1.04954	0.45442060122399996	1.2	0.084	5.593499999999999E-4	0.02910813	0.009082631203834748	0.407064584527	0.5112676188615028	0.2517222	0.0314862	0.018	0.10495399999999999	0.06	0.049999999999999996	0.18000000000000002	0.30934985410864796	0.3282665	0.1	0.11019823282143511	0.025942831164380613	0.0034852594459200002	0.09507674006292001	0.3858614278	0.34934350000000003	0.22547294999999998	5.4539999999999996E-5	0.014292285913187989	5.0838E-4	0.05120637021748367	0.0018
1.0	1.0	0.06562853162128263	0.2	0.016634845920717452	0.23103559430076634	0.0069499839708540775	0.11145855210264051	0.00325272837069193	0.505482285605522	2.106665854187738	0.632066180918489	0.367933819081511	0.3956827000678155	1.0700658386876372	0.3083219364724499	0.00928283561936589	0.49496174227154904	0.9992412857791371	7.577241710301497E-4	0.9629695315339856	0.013153503466788813	0.42834260451726514	0.005456262034704798	0.1203209899089146	0.060694103634789595	0.06737548849227838	0.37839867724605286	0.17106676983253244	0.006136752946323463	1.4597744955257124E-4	7.469951324788482E-6	0.955095964506677	0.04490403549332305	0.1	0.01	1.2153431781719004	0.008654904501985496	0.01735119196591839	1.0246955861803058	2.64323034672844	0.09587641896968108	0.016682279890773047	0.6216013227539472	0.11354531520377842	1.16380121257481	0.43738235600740555	0.035428137396144414	0.11129278172762304	0.00401814878986069	0.4680077892624365	0.05404450262898135	0.8987423160479492	0.007961310521074001	0.21773364209427903	0.782266357905721	0.054	1.0	0.2	0.4	1.0	1.0	1.0	0.25	0.05	0.45	0.1	0.03	0.06	0.3	0.55	0.1	0.03	0.06	0.3	1.2	8.0	0.4	0.25	0.45	0.9	2.0	2.0	10.0	1.0	1.0	0.15	0.03	0.1	0.1	0.01	0.1	0.05	0.05	0.03	0.1	0.1	0.01	0.1	6.0	0.04	0.14	0.002	1.0	0.001	0.05	0.2	0.01	0.8	0.1	1.0	50.0	50.0	0.38	50.0	15.0	0.01	200.0	1.0	2.0	0.1	0.01	0.01	0.01	0.3	1.0	1.0	0.2	1.0	1.0	0.04	0.003	0.4	0.15	0.01	0.16	0.06	0.01	0.05	0.06	0.5	0.5	0.01	1.0	2.0	0.12	0.03	0.06	0.17	2.0	0.06	0.08	0.3	0.2	0.5	0.001	0.08	0.15	0.15	0.6	8.0	0.05	0.01	0.6	4.0	4.0	0.05	3.0	0.2	0.03	0.006	0.6	0.055	0.001	0.04	8.0E-4	0.005	0.2	0.012	0.12	0.01	0.024	0.12	0.004	0.0	0.15	0.084	2.0	0.0	0.1	0.1	0.005	0.08	1.0	0.1	8.0	0.01	90.0	1.0	101.21846007568689	0.007701635339554948	0.07330923201085048	0.4620489193218272	0.5556895543403475	0.7052280277343105	0.0723308223297332	0.07166157955335799	0.41438582848441763	0.009044465121181632	0.39063594561133524	0.4730598244611901	0.9401633753890607	0.12910619144472857	0.0013153503466788814	0.032287851477934816	0.033603201824613696	2.021929142422088	2.021929142422088	0.4586134093959288	0.009360129970695734	0.0064586017649611365	0.007283292436174751	0.0016360903439405939	0.006077562062125676	0.001187561268036225	3.9999437941416895E-4	0.11984907792575389	0.00804989842172248	0.008124412136807375	0.00401814878986069	0.07319449951414299	0.011551779715038318	0.030362128983855857	0.00668751312615843	0.01671099452321305	0.01405237513003624	0.008061888729265401	0.00657678628508513	0.10674974667154519	0.008170940855685939	0.006949983970854076	0.00325272837069193	0.003211232583037147	2.3845501879533036E-4	0.1319907904753385	0.022094836978565853	0.018769235863109687	0.00928283561936589	0.060832704904161115	0.08553338491626622	1.682285276441292E-5	1.4597744955257124E-6	0.012258914935290004	0.012408079622016024	1.0460974614107886E-5	1.5103712276064321E-5	0.07904121613299736	1.0701494717601665E-5	0.0061367529463234646	7.469951324788485E-6	0.0028354800669937955	5.476163947786789E-7	0.0056923923601588395	0.07189938528383594	6.369048416859201E-4	0.00804860287721555	5.910805084943251E-4	0.0011906839285589052	0.0464832142256578	0.011192942701191293	0.32101975160629115	0.11870481002034464	0.0631133468145063	0.003956827000678155	0.01	0.00999241285779137	7.577241710301459E-6	0.010208497762351814	0.0087808399077507	0.2	0.0505482285605522	1.7541440345825194	1.16380121257481	0.517965466952311	0.8747647120148111	0.084	5.205357589775516E-4	0.03074086758540917	0.008208151825589765	0.4002829292713052	0.5505475973283598	0.17085727023266653	0.0349140363772443	0.013121470680222166	0.11638012125748101	0.043738235600740555	0.06852709730676627	0.1773311088870316	0.2881684557720135	0.3160330904592445	0.1	0.10675114680159915	0.0015388638694935344	0.0021537856213126906	0.08025257937776761	0.3156276322058474	0.3108006613769736	0.02165942478257856	0.0057525851381808645	0.004799712473603223	9.98090755243047E-4	0.008588444383605714	0.0032426701577388806
2.0	1.0	0.06613593003042632	0.2	0.01966811098956207	0.17735756971269445	0.0033675711229709665	0.11053057610397918	0.002195507305821475	0.4757837116741752	2.0965152560957945	0.6025547786025042	0.39744522139749583	0.3330165995254714	0.759989476844499	0.5133392111576259	0.00907170487261517	0.6111959501471794	0.9996064970285841	3.925227727427596E-4	1.1838376126047154	0.0028418409317349114	0.2722075492985406	7.881281385250811E-4	0.11365867813412381	0.06384108051286809	0.06780808937568857	0.4462827736534246	0.08675777299972477	0.0018827945314154916	1.4157075618184635E-4	2.8958296162188345E-6	0.9859980057886678	0.01400199421133222	0.1	0.01	1.2247394450078948	0.0017522273282906855	0.018739604504135518	1.00839244126091	2.6478635901866645	0.0988710678638347	0.012588177613932664	0.5537172263465754	0.11038804160828626	1.2047649607491235	0.41596658367249567	0.0781827130205403	0.2741439997754349	0.005046438436634957	0.572641662457536	0.05496565213521885	0.8391916045339028	0.0029071638330801525	0.32079502664643167	0.6792049733535683	0.054	1.0	0.2	0.4	1.0	1.0	1.0	0.25	0.05	0.45	0.1	0.03	0.06	0.3	0.55	0.1	0.03	0.06	0.3	1.2	8.0	0.4	0.25	0.45	0.9	2.0	2.0	10.0	1.0	1.0	0.15	0.03	0.1	0.1	0.01	0.1	0.05	0.05	0.03	0.1	0.1	0.01	0.1	6.0	0.04	0.14	0.002	1.0	0.001	0.05	0.2	0.01	0.8	0.1	1.0	50.0	50.0	0.38	50.0	15.0	0.01	200.0	1.0	2.0	0.1	0.01	0.01	0.01	0.3	1.0	1.0	0.2	1.0	1.0	0.04	0.003	0.4	0.15	0.01	0.16	0.06	0.01	0.05	0.06	0.5	0.5	0.01	1.0	2.0	0.12	0.03	0.06	0.17	2.0	0.06	0.08	0.3	0.2	0.5	0.001	0.08	0.15	0.15	0.6	8.0	0.05	0.01	0.6	4.0	4.0	0.05	3.0	0.2	0.03	0.006	0.6	0.055	0.001	0.04	8.0E-4	0.005	0.2	0.012	0.12	0.01	0.024	0.12	0.004	0.0	0.15	0.084	2.0	0.0	0.1	0.1	0.005	0.08	1.0	0.1	8.0	0.01	90.0	1.0	101.21846007568689	0.007701635339554948	0.06328265592407542	0.45279508874025437	0.5581054723182954	0.6227347274538793	0.05419012160048181	0.05204320196533306	0.3906269693393402	0.005176295102028154	0.3811641248248588	0.4550309575295705	0.9047911586843068	0.11658757978623764	2.8418409317349115E-4	0.02751461077752466	0.027798794870698154	1.9031348466967009	1.9031348466967009	0.4586134093959288	0.009432496591419716	0.014363017883098206	0.0076609296615441705	0.0013105803220310307	0.0012867716168705966	0.0014585588187762562	4.9874841814364734E-5	0.11270299254406833	0.014855896683873276	0.009604052840469607	0.005046438436634957	0.03895368198756787	0.008867878485634723	0.010803030011541682	0.006631834566238751	0.009611028269496842	0.006408941952855587	0.0059896653596459406	0.00417834645988604	0.08030663651681534	0.006994668416677947	0.0033675711229709665	0.002195507305821475	0.0015248196654647568	1.3893753341309424E-4	0.1250157233961505	0.02671581624300108	0.017264677662022183	0.00907170487261517	0.021882425731983787	0.043378886499862386	4.045770769215931E-6	1.4157075618184634E-6	0.004515152302287196	0.0035832118819068086	7.367795456356754E-6	5.5111542527223975E-6	0.039283493524317224	8.958973452366956E-6	0.0018827945314154918	2.8958296162188345E-6	8.525201169319432E-4	1.8325578921792388E-7	0.005140178186263255	0.06713532836271223	2.3257310664641224E-4	0.002766362397895595	1.1924245256663711E-4	2.580160807408061E-4	0.01842335431261303	0.007051336396974412	0.2279968430533497	0.09990497985764142	0.04012774749331497	0.003330165995254714	0.01	0.00999606497028584	3.925227727427596E-6	0.005044990251703991	0.0050254716044016295	0.2	0.047578371167417526	1.7831997172567378	1.2047649607491235	0.4797766985272985	0.8319331673449913	0.084	5.621881351240655E-4	0.0302517732378273	0.008527100181242237	0.38436302235321756	0.5482053536877491	0.1585515388219132	0.0361429488224737	0.01247899751017487	0.12047649607491236	0.04159665836724957	0.07623546057638561	0.17433281269506876	0.27039086587219036	0.3012773893012521	0.1	0.0998781240716528	0.002441853893672197	0.0014676251619277051	0.06455655130569557	0.2808943410393909	0.2768586131732877	0.003976287487906566	0.005932264071830082	0.004027760547105306	0.0011800866593737241	0.0019895017546665804	0.0032979391281131305
3.0	1.0	0.0666472513240112	0.2	0.022616165101934593	0.12845087728230717	0.0021716491694026303	0.10629142288501604	0.0018615062433496269	0.4496222367973262	2.0873306151266924	0.5704540630604987	0.42954593693950127	0.27259180257152127	0.5428525005870558	0.6678844490085099	0.010492474708762535	0.7217717890329381	0.999592782126233	4.06247428232941E-4	1.3928821825321955	0.0010339823282035326	0.17491544093044348	4.7635682093390516E-4	0.1087652191144351	0.07394061726481245	0.0682428980090097	0.5001954601506371	0.04246557425820783	7.933578923223345E-4	1.3367538943324404E-4	2.257775702269903E-6	0.9964512992092721	0.0035487007907279034	0.1	0.01	1.2342083578520593	6.305712989966692E-4	0.020264920507890798	0.9943866017692852	2.652359900606542	0.09568104015130072	0.010174192414609333	0.4998045398493629	0.11297712737211651	1.2389258885059773	0.39878248982338876	0.12353148498851159	0.4253462992180293	0.00698863870115271	0.6711103934992574	0.052955050299595956	0.7811379633683115	0.0011042819212328588	0.4148358724024842	0.5851641275975158	0.054	1.0	0.2	0.4	1.0	1.0	1.0	0.25	0.05	0.45	0.1	0.03	0.06	0.3	0.55	0.1	0.03	0.06	0.3	1.2	8.0	0.4	0.25	0.45	0.9	2.0	2.0	10.0	1.0	1.0	0.15	0.03	0.1	0.1	0.01	0.1	0.05	0.05	0.03	0.1	0.1	0.01	0.1	6.0	0.04	0.14	0.002	1.0	0.001	0.05	0.2	0.01	0.8	0.1	1.0	50.0	50.0	0.38	50.0	15.0	0.01	200.0	1.0	2.0	0.1	0.01	0.01	0.01	0.3	1.0	1.0	0.2	1.0	1.0	0.04	0.003	0.4	0.15	0.01	0.16	0.06	0.01	0.05	0.06	0.5	0.5	0.01	1.0	2.0	0.12	0.03	0.06	0.17	2.0	0.06	0.08	0.3	0.2	0.5	0.001	0.08	0.15	0.15	0.6	8.0	0.05	0.01	0.6	4.0	4.0	0.05	3.0	0.2	0.03	0.006	0.6	0.055	0.001	0.04	8.0E-4	0.005	0.2	0.012	0.12	0.01	0.024	0.12	0.004	0.0	0.15	0.084	2.0	0.0	0.1	0.1	0.005	0.08	1.0	0.1	8.0	0.01	90.0	1.0	101.21846007568689	0.007701635339554948	0.05361468841144341	0.4437258832362214	0.5691394677706467	0.6082718586256283	0.04802698165953589	0.04566475262772606	0.369697789437861	0.005135088381559431	0.38893138211634953	0.4347775870184805	0.843799468985134	0.10450207179935357	1.0339823282035326E-4	0.027421651708096968	0.027525049940917323	1.7984889471893049	1.7984889471893049	0.4586134093959288	0.0095054227052075	0.02286953868460458	0.008872874071777493	0.0012653386125497919	4.588047218327571E-4	0.0017496846424351336	2.553972252703707E-5	0.10573655560419738	0.020428098911495756	0.012568989459922568	0.00698863870115271	0.02199002783791072	0.0064225438641153584	0.0101308305445751	0.006377485373100962	0.006169107927388662	0.003905687028343465	0.005104856217464639	0.0033478984037881884	0.056996978974559236	0.0056987815187891	0.0021716491694026303	0.0018615062433496269	9.636169457723887E-4	9.980407721314679E-5	0.11823068154415142	0.030498778147878724	0.01887059979237274	0.010492474708762535	0.010358710763351289	0.021232787129103915	3.1815131288088666E-6	1.3367538943324404E-6	0.001939179943695392	0.0014268454005071211	6.104253590884035E-6	4.060584645764992E-6	0.018843074444856618	7.166964352741734E-6	7.933578923223345E-4	2.257775702269903E-6	3.520334314931549E-4	1.2104994078012868E-7	0.005050445703919734	0.062491037069464926	8.834255369862871E-5	9.930194149591336E-4	4.0384142500586626E-5	9.396797058299526E-5	0.005140625759129273	0.006378342779398001	0.16285575017611673	0.08177754077145638	0.02752790924896917	0.002725918025715213	0.01	0.00999592782126233	4.0624742823294104E-6	0.004939405184313552	0.004985463545292956	0.2	0.04496222367973263	1.8223117774555737	1.2389258885059773	0.4470983281287981	0.7975649796467775	0.084	6.079476152367239E-4	0.029831598053078553	0.008810733239542082	0.3867481553841081	0.5386572082993558	0.15509902493080968	0.03716777665517932	0.011963474694701662	0.12389258885059773	0.03987824898233888	0.08057633405897893	0.17080991372077708	0.25190438898420925	0.28522703153024936	0.1	0.09533004008405777	0.0037406259711001643	0.001063224186211943	0.052230609908981	0.2544542428243318	0.24990226992468145	0.0017880263730642087	0.0057408624090780425	0.0044747312075175015	0.0013569699061160756	7.331441055087898E-4	0.0031773030179757574
4.0	1.0	0.06716252583130547	0.2	0.026086667192357287	0.09033928640388977	0.001486691191326493	0.10330008599738229	0.001738959381849724	0.4167606103592176	2.079020008306692	0.5358541462657802	0.4641458537342198	0.2197682347282223	0.38972792863894573	0.7914286031884251	0.01207947362950016	0.825061818293279	0.9995168586258847	4.8218058467693216E-4	1.587048625975343	4.61119804149244E-4	0.11371183005245608	3.797669206113881E-4	0.10554782112210666	0.09594848444448946	0.0686799183419429	0.5419023477929371	0.021050035963645977	3.7469668944458974E-4	1.269657573052483E-4	2.0430649580111195E-6	0.9991559316917147	8.440683082853039E-4	0.1	0.01	1.2437504783575086	2.802425906336877E-4	0.022557555646867525	0.9719063713766205	2.6567233249709625	0.09144482158127817	0.008746214676019489	0.4580976522070629	0.11913271980070281	1.2845960408795654	0.37766335706790893	0.26239583759862517	0.5561817498382652	0.008940034869350631	0.7619868076820641	0.05035214298092063	0.7264943435010847	4.440840512072563E-4	0.501530939366579	0.498469060633421	0.054	1.0	0.2	0.4	1.0	1.0	1.0	0.25	0.05	0.45	0.1	0.03	0.06	0.3	0.55	0.1	0.03	0.06	0.3	1.2	8.0	0.4	0.25	0.45	0.9	2.0	2.0	10.0	1.0	1.0	0.15	0.03	0.1	0.1	0.01	0.1	0.05	0.05	0.03	0.1	0.1	0.01	0.1	6.0	0.04	0.14	0.002	1.0	0.001	0.05	0.2	0.01	0.8	0.1	1.0	50.0	50.0	0.38	50.0	15.0	0.01	200.0	1.0	2.0	0.1	0.01	0.01	0.01	0.3	1.0	1.0	0.2	1.0	1.0	0.04	0.003	0.4	0.15	0.01	0.16	0.06	0.01	0.05	0.06	0.5	0.5	0.01	1.0	2.0	0.12	0.03	0.06	0.17	2.0	0.06	0.08	0.3	0.2	0.5	0.001	0.08	0.15	0.15	0.6	8.0	0.05	0.01	0.6	4.0	4.0	0.05	3.0	0.2	0.03	0.006	0.6	0.055	0.001	0.04	8.0E-4	0.005	0.2	0.012	0.12	0.01	0.024	0.12	0.004	0.0	0.15	0.084	2.0	0.0	0.1	0.1	0.005	0.08	1.0	0.1	8.0	0.01	90.0	1.0	101.21846007568689	0.007701635339554948	0.04516291755651557	0.4357719786595872	0.5894107588958205	0.6036889584331939	0.04524840635012685	0.042760374557819746	0.3434084882873741	0.0057312681994521365	0.4073981594021084	0.4123188152323262	0.7768462746259203	0.09393432129067986	4.61119804149244E-5	0.028621240948119697	0.02866735292853462	1.6670424414368703	1.6670424414368703	0.4586134093959288	0.00957891263770656	0.04895324227984638	0.011513818133338734	0.0012576925526037806	2.009430894532374E-4	0.0026267751253475527	1.7151382126263912E-5	0.09917932122013015	0.02516633782120642	0.014903417555133027	0.008940034869350631	0.012823320977840235	0.004516964320194489	0.010560971521816568	0.006198005159842937	0.004087708740583694	0.002478377313251606	0.0046741642672126025	0.0028989190934783147	0.039367329586918194	0.004665333267480744	0.001486691191326493	0.001738959381849724	6.478583621001248E-4	7.853647919660836E-5	0.11222890457052466	0.03384178350810915	0.02013699521059424	0.01207947362950016	0.005474151037505346	0.010525017981822989	3.005584035166404E-6	1.269657573052483E-6	9.001074222610781E-4	6.246352839700217E-4	5.429103338389657E-6	3.405875995616974E-6	0.009173015822733478	5.734144029677494E-6	3.7469668944458974E-4	2.0430649580111195E-6	1.6328231775646575E-4	9.227077426126213E-8	0.005022419407250695	0.058119547480086776	3.552672409658051E-5	3.701534804638604E-4	1.675004646953769E-5	4.1916763059007185E-5	0.0012555051414203339	0.006168145554380213	0.11691837859168372	0.06593047041846668	0.019552187830630847	0.002197682347282223	0.01	0.009995168586258847	4.8218058467693215E-6	0.005432187018426931	0.005564259719170373	0.2	0.04167606103592176	1.8802201319201048	1.2845960408795654	0.40505229254693276	0.7553267141358179	0.084	6.767266694060257E-4	0.029157191141298614	0.009300904618853688	0.3959528668100172	0.5296631176275993	0.15385935654308733	0.03853788122638696	0.011329900712037268	0.12845960408795654	0.037766335706790895	0.08337575119489257	0.1665813969082513	0.2320213524291446	0.2679270731328901	0.1	0.09254780956322958	0.007887288470443609	8.215697394544741E-4	0.04303109204492436	0.2369797133618002	0.22904882610353144	0.0010985882808348182	0.00548668929487669	0.00556017678976618	0.001565200031541437	3.282899956886307E-4	0.0030211285788552377
