time	unit_compartment	V	V_neg	E	I	i_Na	i_K	i_L	m	h	n	E_R	Cm	g_Na	g_K	g_L	E_Na	E_K	E_L	V_Na	V_K	V_L	alpha_m	beta_m	alpha_h	beta_h	alpha_n	beta_n
0.0	1.0	0.0	-0.0	-75.0	0.0	1.2200220801069976	-4.399904427244643	3.1839	0.052932	0.59612	0.31768	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22356372458463003	4.0	0.07	0.04742587317756678	0.05819767068693265	0.125
1.0	1.0	-0.0032729260120037203	0.0032729260120037203	-75.003272926012	0.0	1.221122737334554	-4.401330032704089	3.1829181221963987	0.05294861588543534	0.5961132241566657	0.3176840702337859	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22361417530914696	3.9992727492281688	0.06998854569621077	0.04744066135439796	0.05820875679395611	0.12499488615771463
2.0	1.0	-0.005460953586490954	0.005460953586490954	-75.00546095358649	0.0	1.2221129089146887	-4.402704016273715	3.1822617139240523	0.0529637483014753	0.5960967166371437	0.31769438374535713	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22364790831159365	3.998786638826449	0.06998088927163604	0.0474505500400046	0.058216169017609905	0.12499146755124509
3.0	1.0	-0.0066442827744365865	0.0066442827744365865	-75.00664428277443	0.0	1.2226685314012788	-4.403850519482389	3.1819067151676688	0.05297258156919821	0.5960755741320964	0.31770723584898536	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22366615363672435	3.9985237651924845	0.06997674887267993	0.0474558988554807	0.0582201779979236	0.12498961873927111
4.0	1.0	-0.006977702143277064	0.006977702143277064	-75.00697770214327	0.0	1.2228461284073595	-4.404669770139211	3.1818066893570163	0.05297583856527737	0.5960539337037578	0.317719804917121	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22367129474286623	3.9984497000301142	0.06997558230223176	0.04745740606168647	0.05822130762175998	0.12498909781585925
5.0	1.0	-0.006693809539716586	0.006693809539716586	-75.00669380953971	0.0	1.2227433933388177	-4.405145186825353	3.1818918571380848	0.05297488121727104	0.596034698953207	0.3177302559353583	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22366691730019894	3.998512763321621	0.06997657558679367	0.04745612273596259	0.0582203457933967	0.1249895413601512
6.0	1.0	-0.006040096897842803	0.006040096897842803	-75.00604009689785	0.0	1.222467910179136	-4.4053175314598425	3.1820879709306467	0.052971252276533556	0.5960195043030947	0.3177376885181923	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.2236568377515496	3.9986579814220233	0.06997886285277864	0.04745316777819556	0.0582181310607196	0.12499056270486521
7.0	1.0	-0.005238728190640995	0.005238728190640995	-75.00523872819065	0.0	1.222118045369448	-4.405260470764194	3.1823283815428076	0.052966390014285145	0.5960088828366465	0.3177419618476974	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22364448204266246	3.9988360075725167	0.069981666852497	0.04744954561364277	0.058215416167644744	0.12499181475520675
8.0	1.0	-0.004460501737856631	0.004460501737856631	-75.00446050173785	0.0	1.2217709270836994	-4.405058223637175	3.1825618494786427	0.0529614431537973	0.5960025436258172	0.31774346434055484	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.22363248371427943	3.9990089001967255	0.06998438998469472	0.04744602830288727	0.05821277976915448	0.1249930306603286
9.0	1.0	-0.003815877843835794	0.003815877843835794	-75.00381587784383	0.0	1.221477658685349	-4.404789176614895	3.182755236646849	0.052957190996837475	0.5959996846574512	0.31774287821857855	-75.0	1.0	120.0	36.0	0.3	-190.0	-63.0	-85.613	-115.0	12.0	-10.613	0.2236225456303748	3.9991521170217084	0.06998664570154639	0.047443115016459814	0.05821059604540988	0.12499403783306326
