time	compartment	cLm	cLc	cLn	cTm	cTc	cTn	cXm	cXc	cXn	cYm	cYc	cYn	cPn	q1	n1	a	g1	m1	k1	p1	r1	r2	m2	k2	m3	k3	n2	b	g2	g3	c	m4	k4	p2	r3	r4	m5	m6	k5	m7	m8	k6	n3	d	g4	m9	k7	p3	r5	r6	m10	k8	m11	k9	q2	n4	n5	g5	g6	f	e	m12	k10	p4	r7	r8	m13	k11	m14	k12	p5	k13	q3	m15	Lmax	Lmin	CP	dayLength	one11	two11	three11	one12	three12	four12	one13	three13	one14	two14	one15	three15	four15	one16	three16	one17	two17	one18	three18	four18	one19	three19	one20	two20	one21	three21	four21	one22	three22	one23	two23	three23
0.0	1.0	0.539	0.015	0.0855	0.456	8.7	0.4	0.08	1.34	0.4	0.037	0.004	0.013	0.835	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	2.046919	0.35917872445653787	0.34964078947368427	0.4471005	0.01442385	0.19412435101937445	0.2525445	0.23156563876651987	0.5866568062641624	0.5754715785304021	1.971744	0.86036	2.412730878780995	2.7544199999999996	2.012896800697124	0.0958334488112062	0.1218733147548392	0.17176	1.32068	0.14575978434504794	1.387168	0.07639040380101764	0.9638930656247419	0.08996152322752221	0.0091945	0.0026025999999999996	2.9445841075527375E-4	0.0088492	0.004368102879753793	0.0	0.49238329238329237	0.835
1.0	1.0	1.3033786951809545	0.03762500371648393	0.2051848966889742	0.5184498663445	6.72436677564847	0.27453730809886284	0.05708227669051648	1.2810730322702426	0.3852983532061464	0.11711374280968406	0.016657486746708767	0.029863941195478055	0.1437151442019955	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	0.3523033044967718	0.3199392679112013	0.6383692027257406	1.0811526276526018	0.03461469207142994	0.4800518557331044	0.6334658500718384	0.5108279422957287	0.7606920300288577	0.6410678945304293	2.2417772220736176	0.590502295989844	2.25388999415186	2.1289345211703057	1.637250710456586	0.06670509599281983	0.08726132583378907	0.12255564805453886	1.2721395727807336	0.14357336089044012	1.326166803006155	0.07364457111573934	0.13915611760645957	0.2724012175463473	0.02910276508820649	0.0059787610273347065	0.001217810169798578	0.036851357929743804	0.009942375255693501	0.0	0.12834429513318757	0.1437151442019955
2.0	1.0	1.131510215313879	0.033219348920397004	0.22462163168194413	0.6328347768491072	5.611128752256876	0.20724164351198424	0.040255716305017536	1.1942999366782325	0.3616595716465665	0.03976766290270625	0.010277942527015122	0.04033418945048914	0.020439872625877792	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	0.05010630375507682	0.2625776332343897	0.5864951910570582	0.9385877236028626	0.037893669264743975	0.4250095571211981	0.5592909242284801	0.5519767735409699	0.8554842139757407	0.7545893559764366	2.7363775750955392	0.4457560510299269	2.131301680464926	1.776483362964527	1.3721482041976403	0.0489436946711188	0.06169558741657245	0.08642902290687264	1.1940914077054685	0.14010119250263364	1.2363392944493061	0.06921985817644216	0.06519487504850181	0.0965396131878386	0.009882264231322503	0.008074904727987926	7.540196558777443E-4	0.022737892252515556	0.013352031475125894	0.0	0.020097546549572857	0.020439872625877792
3.0	1.0	0.8472530460238427	0.02493970198038247	0.17595145241164376	0.7228583422491606	5.1722629545276035	0.1821483305895445	0.031196703792285622	1.0940954618862926	0.33281403467957166	0.027787058507656108	0.006990767302478662	0.03770536905251949	0.0027864197816497432	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	0.0068306294527361805	0.2019462094190774	0.48601120384217855	0.7027964016767775	0.0296830100218443	0.3207416940782556	0.41989230445231346	0.44686499956910253	0.9204388722208704	0.8383929417277063	3.1256394718853704	0.3917828442650513	2.0735007208886147	1.6375384514034392	1.257696662716087	0.04206965226764047	0.04787754565556525	0.06697932304203723	1.0988520983015417	0.1356649500984424	1.13260762214469	0.06380429831072991	0.0677087988308945	0.06791528885307378	0.006905084039152543	0.007548614884314402	5.137827909455347E-4	0.015465674503273543	0.012499590916743651	0.0	0.002779964657887223	0.0027864197816497432
4.0	1.0	0.5936647327237196	0.01746520729945508	0.12213723848734945	0.8015550050801132	5.160073082318483	0.17918763812230798	0.027774792015806682	0.9926279734391965	0.3026574228254962	0.032155160358032175	0.0063872050216131765	0.033355228174867094	3.7746893952445666E-4	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	9.253273583502531E-4	0.149087963191506	0.376368309829853	0.4924448957943254	0.02060455213281585	0.22567588916776907	0.2940494696558156	0.32212773472226536	0.9850428029703728	0.9079898651416359	3.4659238419664096	0.38541469083727226	2.0718036479334465	1.6336791378620317	1.2435424564212343	0.04125376556257383	0.04264808795326407	0.05963247845793694	0.9992840129429407	0.1306256681744261	1.0275684781042562	0.058123409488082596	0.08592303720243773	0.07839673154033361	0.007990557348970995	0.006677716680608392	4.6957893497632283E-4	0.01413041366931483	0.011083631924208746	0.0	3.7735024119497907E-4	3.7746893952445666E-4
5.0	1.0	0.39741877885003823	0.01167902930535309	0.08024755456796306	0.8810581582598612	5.432345920343686	0.1900142624749332	0.0278789934874831	0.897401970282391	0.2737898492154948	0.04144004940578514	0.0068571819324024464	0.03086884126423942	5.109075799242886E-5	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	1.252438841426401E-4	0.10790702849867799	0.27428195855163734	0.32965887705610675	0.013537762455615368	0.1514640792515533	0.19663164109371625	0.2181814725176082	1.059119964556104	0.9750801111280649	3.80969547631564	0.4087016771573338	2.1085039023856385	1.7198807183808111	1.29461518660378	0.04423332218044831	0.042807411662219574	0.05985619901762621	0.9039719451547992	0.12530029632677533	0.9289905196363311	0.05266688611131898	0.11120393541391338	0.10050452511720329	0.010297852277337607	0.006179942021100731	5.040017387871065E-4	0.015170143589053931	0.010271308620379428	0.0	5.108858286374281E-5	5.109075799242886E-5
6.0	1.0	0.2589220740913284	0.007599094192494875	0.05131450443059476	0.9740491613906868	5.935357615419169	0.212309631854626	0.03042268012658428	0.8128556076383889	0.24775266862784845	0.05293559416121484	0.007903710600902534	0.03078791900893379	6.914389049177533E-6	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	1.6949933315153803E-5	0.07800340563140547	0.19061920038929564	0.2147758604587569	0.008656756897441335	0.09880761755424733	0.12794062955310148	0.14255676776535178	1.1536284076422199	1.0497366359586897	4.21178857385333	0.4566567871561151	2.1702505059741015	1.8791342210417088	1.394130974240199	0.05031991939579418	0.04669513721631065	0.06531749423177644	0.8180049860085672	0.11999631720365168	0.8414681250272601	0.04772979471867038	0.13957669309110907	0.12755703668966586	0.013154495149061888	0.006163741385588545	5.805898803535131E-4	0.017485378962376674	0.010244833705130395	0.0	6.9143492087604905E-6	6.914389049177533E-6
7.0	1.0	0.167854502561821	0.00491789585958126	0.03262557299347582	1.0914035694757158	6.683748556451022	0.24793804656823568	0.03515953603897083	0.7420300351159067	0.22554039114796476	0.06483068185286966	0.009285249950269603	0.032885571312811376	9.357475735046096E-7	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	2.2938916016892E-6	0.05740970779328107	0.12924475619453674	0.13923530987503052	0.005503934163999371	0.06405444788149882	0.08279917006066798	0.09193099282534097	1.2699574033433487	1.138545329200149	4.7192290344129955	0.5332899443636181	2.2499259785780836	2.1160747929723933	1.539014442919867	0.05983168108153764	0.05392686988550909	0.07548752387567037	0.7446667094532352	0.1150618337291799	0.7681494923519866	0.04350624798459466	0.16667915769720038	0.15518504738286978	0.01611042444043811	0.006583691376824837	6.815613434499622E-4	0.020541758464981442	0.010930359342967488	0.0	9.357468438189108E-7	9.357475735046096E-7
8.0	1.0	0.11094326460742551	0.0032427087175220643	0.021077303193997577	1.2358999979699028	7.726007006972371	0.301999482987054	0.04238480594177155	0.6876874042278188	0.20798016669104946	0.07535108881221274	0.010765321209109446	0.03662707427206688	1.2663732454837512E-7	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	3.104387373978868E-7	0.0440278502890713	0.08794584073720328	0.09202743799185946	0.003555741048827391	0.0422806586077098	0.05459521678081673	0.059919324906990964	1.39688946937721	1.2403773094155939	5.344031591221859	0.6495706879568545	2.3419124884079405	2.4460538184074525	1.7308997659498853	0.07356206497062871	0.06493766094273896	0.0910001783569835	0.686688116363838	0.1109249260243831	0.711894000856638	0.040159596627185865	0.188678218475358	0.1793168296091292	0.018724745569834864	0.0073327402692677885	7.895655820792538E-4	0.023816120110912827	0.012149231921837693	0.0	1.2663731118419988E-7	1.2663732454837512E-7
9.0	1.0	0.07676916409634721	0.0022363230475355134	0.014165784079936829	1.4005486450884292	9.105459244793208	0.3818396801535594	0.052513595335924215	0.6527791606902152	0.19592904664655997	0.08317645681543678	0.01212188962226766	0.04130030249182532	1.7138085161753854E-8	2.4514	5.1694	3.3064	0.876738488	1.5283	1.817	0.8295	16.8363	0.1687	20.44	1.5644	3.6888	1.2765	3.0087	1.0258	0.036805783	0.26593318	1.0258	3.8231	2.5734	4.324	0.3166	2.1509	0.0013	3.1741	2.7454	0.0492	4.0424	0.4033	0.2431	1.4422	0.538811228	10.1132	6.5585	2.147	1.0352	3.3017	0.2179	0.6632	3.3442	17.1111	2.40178	0.0857	0.1649	1.17803247	0.064455137	1.0237	3.6064	4.297	1.7303	0.2485	2.2123	0.2002	0.1347	1.8258	0.6114	1.8066	0.5	1.2	1.0	1.2	1.0	0.0	24.0	12.0	4.20123019655234E-8	0.03619748095527167	0.06195386201909789	0.06368002161792001	0.002389767774285343	0.029177443685658073	0.037651405725222166	0.04048665809431158	1.5181668475180057	1.3473846803871887	6.055972341362367	0.821298968042291	2.4387799729877258	2.8827883969015295	1.9659542907713665	0.09197203257939947	0.08033268797479809	0.11274668918622928	0.646898933312947	0.10808725803818536	0.6757569871465108	0.03785894829375025	0.20326562923164007	0.19708512541903186	0.02066934951863604	0.008268320558863429	8.884047474155895E-4	0.026817256411342742	0.013664700909162662	0.0	1.713808491699222E-8	1.7138085161753854E-8
