time	cell	Mb	Bc	Bcp	Bn	Cc	Mc	Ccp	Mp	Pc	Pcp	PCc	PCcp	PCn	Bnp	PCnp	In	Mr	Rc	Rn	parameter_0000096	parameter_0000097	vmP	kdmp	vsC	vmC	kdmc	vsB	vmB	kdmb	ksP	V1P	V2P	k4	k3	kdn	ksC	V1C	V2C	kdnC	KmB	Kp	Kdp	VdPC	vdCC	Kd	V1PC	V2PC	k2	k1	V3PC	V4PC	k7	k8	vdPCC	vdPCN	ksB	V1B	V2B	k5	k6	vdBC	V3B	V4B	vdBN	vdIN	vsR	KAR	vmR	kmR	kdmr	ksR	k9	k10	vdRC	vdRN	KAP	KAC	KmP	KmC	h	m	n	reaction_0	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5	reaction_6	reaction_7	reaction_8	reaction_9	reaction_10	reaction_11	reaction_12	reaction_13	reaction_14	reaction_15	reaction_16	reaction_17	reaction_18	reaction_19	reaction_20	reaction_21	reaction_22	reaction_23	reaction_24	reaction_25	reaction_26	reaction_27	reaction_28	reaction_29	reaction_30	reaction_31	reaction_32	reaction_33	reaction_34	reaction_35	reaction_36	reaction_37	reaction_38	reaction_39	reaction_40	reaction_41	reaction_42	reaction_43	reaction_44	reaction_45	reaction_46	reaction_47	reaction_48	reaction_49	reaction_50	reaction_51	reaction_52	reaction_53	reaction_54	reaction_55	reaction_56
0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.072866890149358	0.10823691237301294	0.010521242848157876	0.024171813372744995	1.6445241174395714E-4	3.596869658309581E-4	1.4773021523946919E-5	4.012437060114577E-4	3.854875957261714E-5	1.5930402119568422E-5	3.225656512843131E-10	3.8675273856903016E-11	1.6101291029482116E-11	0.0020320922693784376	1.8330926612257623E-12	1.7661896931912352E-14	2.8860934442647747E-4	2.3641197645406832E-5	2.042457615916004E-6	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7999999999924912	0.3433174048477946	0.021457337802987163	0.13599592298508406	0.07692080454931235	0.001150998290659066	7.193739316619162E-6	1.9613383639197746E-4	6.893737240079802E-5	0.004861081858294456	4.8149244721374925E-4	1.8053497070617548E-4	3.678468308728446E-4	4.9425229246501495E-9	7.69540320908672E-10	1.8048461130894641E-10	2.5161200461565767E-10	3.6661853224515247E-14	2.1042485696315752E-4	4.064184538756875E-5	0.0035647933627492683	3.8412622733736165E-11	8.024874120229155E-6	3.8566502243851237E-13	0.9469470503561469	0.0017968190981309058	0.0029385236303785056	7.709751914523429E-7	3.2890482348791427E-6	3.1860804239136846E-7	2.9546043047893837E-7	7.735054771380604E-13	6.451313025686262E-12	8.554432419001287E-12	0.002164738247460259	0.1016475660568833	0.03284941238204751	0.020184202156564624	3.5323793863824703E-16	9.419678363686034E-14	4.834362674548999E-4	0.01903931330669657	0.007966482796465413	2.954167884931889E-5	9.556718847999129E-5	3.66618532238432E-12	3.220258205896423E-13	7.735054768389049E-11	0.002592576991090377	5.772186888529549E-6	0.001153605024731123	4.906358855250117E-4	1.8095975069959063E-5	3.4671024331467393E-4	4.7282395290813664E-7	5.446516561511907E-6	4.0849152318320077E-8
2.0	1.0	1.8270160821352421	0.2621632870858788	0.02539427476003631	0.0932305588123564	0.00711924519694678	0.007548092223364367	9.084192816482856E-4	0.007796838370172875	0.0010713931361387456	5.242997219849415E-4	7.500346070364857E-7	1.4961385400614637E-7	7.544014910669501E-8	0.008285655544875968	1.4463114162234143E-8	5.742465956524623E-10	0.006359173365579869	6.192115634475038E-4	9.072982774864912E-5	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7999999851825772	0.5846451462832775	0.03654032164270484	0.2894174635536311	0.1724384061437605	0.024153895114765976	1.5096184446728735E-4	0.008432466638885522	0.004226491891930799	0.070725200813302	0.00935620604420745	0.00593169689239074	0.010213152887703515	5.801994507983415E-6	1.7893456409705875E-6	6.981976371618851E-7	5.698516259865106E-7	2.8926228324468287E-10	5.078854952007261E-4	1.6571311089751936E-4	0.051865147263088135	1.7997648536641667E-7	1.559367674034575E-4	6.9184779389741734E-9	1.0665037068338417	0.03704147985179375	0.05572846201152711	2.1427862722774913E-5	1.423849039389356E-4	1.0485994439698831E-5	1.816838563296571E-5	2.9922770801229275E-9	1.5000692140729714E-8	6.749452950315571E-8	0.005243265741717577	0.23412466103249774	0.11874013262360532	0.08062965690276683	1.1484931913049245E-11	3.0626485042840808E-9	0.0018646111762471282	0.04050308486353569	0.030606659776620956	0.001800482631905612	0.0031293909438910063	2.8926224140835462E-8	1.5088029821339002E-9	2.9922726032685633E-7	0.03772010710042773	1.2718346731159738E-4	0.025038630974313383	0.010810594721485777	4.590773196585434E-4	0.009063063085687018	1.2384231268950075E-5	2.4187305699373737E-4	1.8145965549729822E-6
3.0	1.0	2.487788551031776	0.4232852629121271	0.03896573720370166	0.1846522623465554	0.04539023370947314	0.03294997148583196	0.006510565993738499	0.03346040990531204	0.005190743100160456	0.0026860333190868836	3.182086683118462E-5	7.830979015347476E-6	4.5271423329813995E-6	0.016127439997034546	1.0848799174400947E-6	8.89851320380652E-8	0.02824985052003425	0.0029178505914467926	5.293010776341972E-4	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7999994957128058	0.7960923363301683	0.04975577102063552	0.4146123824642073	0.2647673053910795	0.10543990875466228	6.589994297166392E-4	0.0518059600565196	0.029737286092186784	0.25955415709870827	0.040152491886374445	0.030171571462195783	0.04927965777135728	1.7575888722122073E-4	7.591219165318253E-5	3.654361483068527E-5	2.364583653175514E-5	2.1697598348801895E-8	7.793147440740332E-4	3.225487999406909E-4	0.1903397152057194	1.0800290958947265E-5	6.692081981062407E-4	8.181500473422652E-7	1.1199314143640435	0.15221145007933198	0.22075454718174578	1.0381486200320912E-4	9.078046741894628E-4	5.3720666381737674E-5	1.3021131987476999E-4	1.5661958030694951E-7	6.364173366236924E-7	5.062754639784322E-6	0.008465705258242542	0.3448643882872903	0.21711894854648484	0.15304688511556444	1.779702640761304E-9	4.7458723009899E-7	0.003693045246931108	0.056079632271635545	0.055550832765955675	0.012225202134633743	0.01569463674231312	2.1697362958468544E-6	9.0542846659628E-8	1.5660731642086413E-5	0.13842888378597776	5.64997010400685E-4	0.10554530439921375	0.04802474588405823	0.0021225600421037553	0.04238291859426127	5.835701182893585E-5	0.001408983618532332	1.0586021552683944E-5
4.0	1.0	3.0951293899250323	0.5912482365986148	0.05125050465786928	0.29167142946815094	0.14885666122089888	0.08506811885564391	0.022059504062867673	0.08791039304130348	0.014251942820088048	0.007647942614156877	3.4096497385741514E-4	9.30092063509202E-5	5.8382663958590234E-5	0.024534974075096125	1.567190576089202E-5	2.084748618200867E-6	0.07288008000840604	0.007811138000085481	0.0015717869900207918	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7999955530851706	0.9904414047760104	0.06190258779850065	0.5182334919966932	0.3563300174916315	0.27221798033806055	0.0017013623771128784	0.15467546706293017	0.09589316663043164	0.5734275365843758	0.10549247164956417	0.08452195281131977	0.1341028086598527	0.001560811309744609	8.131597199554073E-4	4.339084380394575E-4	2.4941891350249604E-4	3.134381152178404E-7	0.0010250100931573857	4.906994815019225E-4	0.4205135268285423	1.3927461459005465E-4	0.0017582078608260696	1.6611605329320537E-5	1.1512215308826796	0.3507471035463378	0.4985761355207483	2.8503885640176097E-4	0.0029771332244179776	1.5295885228313753E-4	4.411900812573535E-4	1.860184127018404E-6	6.819299477148303E-6	7.313173983837982E-5	0.011824964731972296	0.43772610127170464	0.31467133511814227	0.2268012020431933	4.169497236401735E-8	1.1118582032242866E-5	0.005833428589363019	0.06776903624063751	0.07880508831294648	0.036145491876660024	0.04262752689051999	3.1338900118890906E-5	1.1676532791718046E-6	1.8584555922216946E-4	0.3058280195116671	0.001457601600168121	0.24659133032496694	0.12389613601429027	0.005620195604060067	0.11165615196278757	1.5622276000170962E-4	0.004169586301712775	3.143573980041584E-5
5.0	1.0	3.665185356241697	0.7673218122720977	0.06245446043982451	0.41434309313560147	0.3610149762520976	0.1716712034104911	0.052376222561780934	0.1853012205836184	0.030254299506493963	0.016889620322455265	0.0019450109716406276	5.613475771355679E-4	3.666787929689231E-4	0.033231636892223686	1.048808721317406E-4	2.0155984874009874E-5	0.14525089008326114	0.01614543749352726	0.0034481882461688527	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.799978598250541	1.1728593139973431	0.07330370712483394	0.6057843137927321	0.4481202125634376	0.5493478509135715	0.0034334240682098224	0.31690799225203614	0.20809210977235326	0.9687037388672984	0.22236146470034207	0.18121360061561695	0.2802799229886543	0.007959799785632361	0.004631231149641401	0.0026147294531546723	0.001409337260124933	2.0976174426348122E-6	0.0012490892087964904	6.646327378444737E-4	0.7103827418360189	8.744616864510237E-4	0.003706024411672368	1.4789962829117048E-4	1.1720845534874345	0.6005941960565112	0.8400199051502683	6.050859901298792E-4	0.007220299525041952	3.377924064491053E-4	0.0010475244512356187	1.1226951542711357E-5	3.8900219432812554E-5	4.892730186784244E-4	0.015346436245441955	0.5169294401622629	0.40840859732646384	0.29917600743567796	4.0311969748019747E-7	1.074913640136955E-4	0.00828686186271203	0.07688857575315212	0.09977100835023461	0.06874592594726515	0.08669522721964384	2.0954197481281545E-4	7.333575859378462E-6	0.0011164281121133273	0.5166419940625592	0.0029050178016652227	0.4262284177064426	0.24692651314154393	0.011537074696354267	0.22470646906923786	3.2290874987054517E-4	0.009090680728326644	6.896376492337705E-5
6.0	1.0	4.20641102649186	0.9525371297125929	0.07272909126178961	0.5544214589466196	0.7476724411778334	0.2997727994164949	0.10068747156823821	0.3450218947565149	0.05529798659763842	0.03253091322938724	0.007877566486085017	0.002357236221049589	0.001554716859638507	0.04209715630510662	4.6251239599186516E-4	1.2027077883347778E-4	0.24847078317209587	0.02885639025916732	0.006422136131847467	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7999257641632778	1.3460515284773953	0.0841282205298372	0.6808918561545592	0.5402611201914265	0.9592729581327837	0.005995455988329897	0.5116160283677615	0.35180151663795456	1.3817391953938396	0.41402627370781786	0.3326160082555054	0.5001994520306104	0.029924797910906336	0.018647379320295393	0.010914674147427186	0.0056801664450126105	9.250247919837303E-6	0.0014545818252357924	8.419431261021324E-4	1.0132754099554824	0.00370334275716782	0.006900437895130299	8.379142338029922E-4	1.1871138513238537	0.8567717969788488	1.176778919653357	0.0011059597319527685	0.014953448823556668	6.506182645877448E-4	0.0020137494313647642	4.714472442099178E-5	1.5755132972170035E-4	0.00215506869467703	0.01905074259425186	0.5853776345890938	0.4974233326996435	0.369168426535192	2.405415576669556E-6	6.411871002054827E-4	0.011088429178932394	0.08421174537595501	0.11850245958396778	0.10034255828869937	0.14727543530805703	9.207661344736944E-4	3.1094337192770136E-5	0.004605900487502275	0.7369275708767145	0.004969415663441917	0.6130627059721329	0.42240033139256294	0.02051625775459487	0.3860898583733597	5.771278051833464E-4	0.01676676812691926	1.2844272263694934E-4
7.0	1.0	4.723882898669045	1.1476360996844004	0.08218236992730732	0.7135914170498685	1.4013175613932192	0.4730548501861221	0.1659362615279929	0.587610261919792	0.0902696955970939	0.056932941879792684	0.025477603227554227	0.007869183648802357	0.005128617318657018	0.05100810973851577	0.0015709007569471216	5.29960650826165E-4	0.38223548884889613	0.046884860460414846	0.010796691961953039	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7997902010527824	1.5116425275740943	0.0944776579733809	0.7460362220867347	0.6326723129275729	1.5137755205955907	0.009461097003722442	0.6985289770821342	0.49858915332614245	1.7574963102016727	0.7051323143037505	0.5423203623959315	0.7904889473936477	0.09100616647044057	0.059280247631940744	0.03578421515837919	0.018330635654580575	3.141801513894243E-5	0.0016436473985461464	0.0010201621947703156	1.288830627481227	0.01217321056288308	0.011752205238395841	0.0035537451697617256	1.1985144644630592	1.083677274309338	1.4564304083500554	0.001805393911941878	0.028026351227864385	0.0011386588375958536	0.003318725230559858	1.5738367297604716E-4	5.095520645510846E-4	0.00729268326024094	0.02295272199368801	0.6451033045527879	0.5809682311532751	0.43595667726749426	1.05992130165233E-5	0.0028214725729360755	0.01427182834099737	0.09021989335202847	0.13511356397173882	0.12479400934236731	0.21767109389971973	0.0030932102506527727	1.0257234637314035E-4	0.014590234917180124	0.9373313654408922	0.0076447097769779225	0.7818320580905933	0.6498003310431234	0.03318921158355067	0.5947027660763728	9.37697209208297E-4	0.027791008697801052	2.1593383923906078E-4
8.0	1.0	5.220891792555929	1.3529488448569622	0.09088951745437074	0.8920281286491625	2.4178534871011634	0.6892991061516356	0.24126349825287208	0.9253736269126869	0.13284756337654097	0.09123276662098112	0.06854076128356273	0.022010595892993763	0.013908000576170674	0.0597825434895931	0.004380237486064752	0.0018591718805031137	0.5419584547080274	0.07103814641106468	0.016897876726408283	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7994861778877111	1.6706853736178975	0.10441783585111859	0.802954412059156	0.7255478244259048	2.205757139685234	0.013785982123032711	0.8474148194284777	0.6240378274986117	2.0655128953687845	1.1104483522952242	0.7928564092174911	1.1198483883423163	0.22954845097686483	0.15308663292033173	0.09569509402240677	0.04926940879638192	8.760474972129504E-5	0.001817790349087415	0.0011956508697918622	1.5147094566037753	0.032727659126071076	0.018507472538253737	0.012034493351112377	1.2074879895947	1.2655827995431808	1.6613887670629393	0.0026569512675308194	0.04835706974202327	0.0018246553324196225	0.004825269965057442	4.4021191785987527E-4	0.0013708152256712547	0.020146946894906096	0.027058976897139243	0.6975591316411839	0.6579667399332134	0.4984889726145566	3.7183437610062275E-5	0.009854512587023747	0.01784056257298325	0.0952273531479763	0.149659761783644	0.14139425956074494	0.2862462377123968	0.008392848285384547	2.7816001152341347E-4	0.036079810498258015	1.1016068775300185	0.010839169094160548	0.9205645144950936	0.9213293730036466	0.05007136643828843	0.8424143103129829	0.0014207629282212936	0.04265822643172067	3.3795753452816566E-4
9.0	1.0	5.699630262200562	1.567958993055517	0.09889236074063865	1.0864114234098843	3.853244311480339	0.9400367253884016	0.31724663726645513	1.3549688015100476	0.17728123144690042	0.13358821870116072	0.15590352500949645	0.05277907099105997	0.03166937478668747	0.06815257773180625	0.010287625932836277	0.005353911989485532	0.7195368643817012	0.10187666570026181	0.0250594730357493	1.0	3.0	2.2	0.02	2.2	2.0	0.02	1.8	1.3	0.02	1.2	9.6	0.6	0.4	0.8	0.02	3.2	1.2	0.2	0.02	0.4	1.006	0.1	3.4	1.4	0.3	2.4	0.2	0.4	0.8	2.4	0.2	1.0	0.2	1.4	1.4	0.32	1.4	0.2	0.8	0.4	3.0	1.4	0.4	3.0	1.6	1.6	0.6	1.6	0.4	0.02	1.7	0.8	0.4	4.4	0.8	0.6	0.6	0.3	0.4	2.0	2.0	2.0	1.7988703504542534	1.8238816839041798	0.11399260524401124	0.8528273357113179	0.81980262508046	3.0081175212428852	0.018800734507768032	0.9515663089530408	0.7195588689474011	2.298833236848401	1.625962561812057	1.0475375575114318	1.4382885291007141	0.4841249072802002	0.32203057480158115	0.20945318320586107	0.11205507009292216	2.0575251865672555E-4	0.001977847214812773	0.001363051554636125	1.6858110403554942	0.07324731878463167	0.027099376030200954	0.033335188142609135	1.214748931058585	1.4030014365702366	1.8012009414329777	0.0035456246289380083	0.07706488622960678	0.0026717643740232144	0.006344932745329102	0.0010555814198211994	0.003118070500189929	0.046417179101716215	0.03135917986111034	0.7437522284735267	0.7269010175327707	0.5553614060102092	1.0707823978971064E-4	0.02805354327169	0.021728228468197688	0.09944309612735416	0.16212080397722053	0.15206671974391986	0.3431377304316853	0.01865599308321553	6.333874957337494E-4	0.06909201718362117	1.226044392985814	0.014390737287634023	1.0283350371374687	1.223212669448892	0.07147754334590974	1.1154101925775481	0.002037533314005236	0.061673570812669894	5.01189460714986E-4
