time	compartment	NADH	O2	H2O2	per3	coI	ArH	coII	Ar	NADrad	super	coIII	per2	NAD2	NAD	O2g	NADHres	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v131	v132	v14
0.0	1.0	0.0	0.0	0.0	1.4	0.0	500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07200000000000001	0.0	0.0
1.0	1.0	0.07999999410131793	0.0717844256931487	6.27690419328852E-10	1.3999999968334764	2.0472251262189948E-10	499.99999999322586	2.8930871313408435E-9	6.774192267116367E-9	8.655874776728085E-11	-1.864838214573257E-13	-9.653937535299308E-13	6.967939953862364E-11	0.0	0.0	12.0	0.0	1.7228260896055178E-8	1.581779853131033E-8	1.535418844643444E-8	7.522026541384282E-9	1.2427139994384747E-10	-4.43831494064576E-12	6.955243133065545E-25	-3.3425309763162307E-21	4.495450089023849E-19	2.1812804388018517E-10	5.001895678523549E-13	0.08	0.07200000000000001	4.307065541588922E-4	3.7935473898735206E-10
2.0	1.0	0.15999995108755313	0.14313939905456016	2.6166779860937496E-9	1.3999999801188052	8.66948807295734E-10	499.99999993535306	1.707243414278143E-8	6.464698482699865E-8	9.97805310190693E-10	1.0645630945387198E-10	9.161157893602852E-10	1.0256962084935558E-9	0.0	0.0	12.0	0.0	6.870689054229412E-8	6.594028431315416E-8	6.502116053877321E-8	4.438832876549258E-8	2.8565050494828957E-9	2.5336601290220166E-9	2.2665891645077105E-19	3.6564207974929237E-17	5.97369262226847E-17	2.5144693459729354E-9	1.468175388963084E-11	0.08	0.07200000000000001	8.58836394327361E-4	7.240460087194301E-9
3.0	1.0	0.23999982259386024	0.21406744733960786	5.9532092299033535E-9	1.3999999363822104	1.9820145301997347E-9	499.99999977411113	4.422885088410772E-8	2.2588891118840346E-7	4.734734626228358E-9	7.996958283486287E-10	1.0038129765101533E-8	7.368794353099179E-9	0.0	0.0	12.0	0.0	1.5412844815387923E-7	1.5002086577642428E-7	1.4865108969782283E-7	1.149950122467279E-7	2.027105110534314E-8	1.903275984982439E-8	1.279026835756399E-17	1.9011152232559907E-15	1.3450627188483476E-15	1.1931530715911431E-8	1.5774189971384584E-10	0.08	0.07200000000000001	0.0012844046840376471	3.7949309027795956E-8
4.0	1.0	0.31999953907525935	0.2845710657563086	1.0625062707285088E-8	1.3999998323858112	3.545803635728391E-9	499.999999477645	8.4365545119706E-8	5.22355029027871E-7	1.2934369384860994E-8	2.9584892700881097E-9	5.153445031283096E-8	2.8168389556267533E-8	0.0	0.0	12.0	0.0	2.731878296285222E-7	2.6775154816718144E-7	2.6593527240180407E-7	2.1935041708207804E-7	7.361494561471325E-8	7.041203619805577E-8	1.750531752245295E-16	2.6662624655676835E-14	1.003787468304176E-14	3.259460694747881E-8	8.015908636665924E-10	0.08	0.07200000000000001	0.0017074263945378516	1.1700735796579368E-7
5.0	1.0	0.3999990062094285	0.3546527113791459	1.662021111030084E-8	1.3999996091079088	5.554274490809868E-9	499.9999990396774	1.3737377019412943E-7	9.60322689251355E-7	2.6301566890166926E-8	7.579433909224732E-9	1.7303627764579315E-7	7.492776872110719E-8	0.0	0.0	12.0	0.0	4.255821963034129E-7	4.1882920303881774E-7	4.1657058601065577E-7	3.5717180181873615E-7	1.865584402223534E-7	1.803904766729555E-7	1.148956367686114E-15	1.8204500923705298E-13	4.1506345252675505E-14	6.627993005728658E-8	2.6573336334530227E-9	0.08	0.07200000000000001	0.0021279162682748755	2.688896849386355E-7
6.0	1.0	0.4799981081523093	0.42431480395487237	2.3926723875178255E-8	1.399999184644882	8.00342107286736E-9	499.999998476351	2.031381558556467E-7	1.523649075016945E-6	4.463358009707502E-8	1.5501240484198077E-8	4.4533357013529277E-7	1.5887997063607484E-7	0.0	0.0	12.0	0.0	6.110109094780703E-7	6.029530904965102E-7	6.002565786358913E-7	5.281592036152229E-7	3.7877377577388957E-7	3.6892930866064625E-7	4.805769130978828E-15	7.950732629019985E-13	1.1952938833692066E-13	1.124765563386367E-7	6.741512359280197E-9	0.08	0.07200000000000001	0.002545888823729234	5.119440714473047E-7
7.0	1.0	0.5599967155186008	0.4935597320742961	3.253275962594968E-8	1.3999984622609556	1.0889271340942586E-8	499.99999781824835	2.815437844229977E-7	2.1817517627096956E-6	6.706456771808236E-8	2.7233787007808002E-8	9.565791282426232E-7	2.887268600515517E-7	0.0	0.0	12.0	0.0	8.291754866215393E-7	8.198246420898273E-7	8.166953470070411E-7	7.320138363056491E-7	6.620074014923044E-7	6.48163418852051E-7	1.4833583095733036E-14	2.566102628949264E-12	2.6985937459279527E-13	1.6900252501951984E-7	1.4250395168969665E-8	0.08	0.07200000000000001	0.0029613583924457767	8.552416748360429E-7
8.0	1.0	0.6399946948168733	0.5623898617669179	4.242656593242558E-8	1.3999973401320962	1.4207888092878094E-8	499.9999971009495	3.7247669817765404E-7	2.8990506260015193E-6	9.240711572320332E-8	4.2922884333242795E-8	1.8038881089806218E-6	4.692952082205344E-7	0.0	0.0	12.0	0.0	1.0797795838488665E-6	1.0691474302140268E-6	1.0655916007874493E-6	9.68439409646791E-7	1.0393765007570379E-6	1.021562706254738E-6	3.68474799896988E-14	6.667683889531308E-12	5.123445021768893E-13	2.3286548919917423E-7	2.6392686727902325E-8	0.08	0.07200000000000001	0.0033743391706015074	1.2987639144525554E-6
9.0	1.0	0.7199919163794002	0.630807544532255	5.359648009873621E-8	1.3999957196714223	1.7955368984420407E-8	499.99999635709514	4.758239438145476E-7	3.6429050018637116E-6	1.1946949424005042E-7	6.242555603362555E-8	3.0853391480556387E-6	7.012101164493763E-7	0.0	0.0	12.0	0.0	1.3625289985630864E-6	1.3506271690983346E-6	1.3466526640200753E-6	1.2371422449042406E-6	1.5072451661615316E-6	1.4857236911681332E-6	7.793900092214646E-14	1.4744156303089407E-11	8.563776032384065E-13	3.0106220502128443E-7	4.4232863175860765E-8	0.08	0.07200000000000001	0.0037848452671935297	1.8360035074359693E-6
