time	cell	M	B	A	L	P	I1	I2	I3	L_e	mu	gamma_M	gamma_B	gamma_A	gamma_0	K	alpha_M	tau_B	alpha_A	K_L1	alpha_B	K_A	beta_A	tau_M	K_L	gamma_L	gamma_P	alpha_L	alpha_P	tau_P	beta_L1	K_Le	K_1	r_m1	r_m2	r_m3_i1	r_i1	r_b1	r_b2_i2	r_i2	r_a1	r_a2	r_a3_l1	r_l2	r_l3	r_l4	r_p1	r_p2_i3	r_i3
0.0	1.0	6.26E-4	0.0	0.038	0.372	0.0149	0.0	0.0	0.0	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	2.714336E-4	0.0	5.1287821029077E-6	0.0	0.0	9.932356762204022E-6	0.0206188	0.0	0.0	0.0084072	6.731631530705775	10.096941176470589	0.01002174	0.0	0.0058721579225159415
1.0	1.0	4.08853254427156E-4	1.8191448697920653E-6	0.025838280157794002	0.6185128329831799	0.00824541204258553	2.5236531227510224E-7	6.2517381521614006E-6	0.003977257385073657	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	1.7727877111961484E-4	2.5236531227510223E-6	2.4519110814781675E-6	4.262802173383746E-8	3.1258690760807003E-6	6.487022981403649E-6	0.014019850813619025	5.11467394980963E-4	0.012466310536753008	0.013978390025419866	5.565017690916437	5.587479219446194	0.005545864139843027	0.0014053913021461683	0.003835225043340016
2.0	1.0	2.679004404413271E-4	5.394811855212544E-6	0.033663278949555564	0.6123262519458345	0.005472061309395381	3.733140167520645E-7	7.8795807746732E-6	0.005393786835329065	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	1.1616163097535942E-4	3.733140167520645E-6	4.0589709877669895E-6	1.2641662620319553E-7	3.9397903873366E-6	4.250611423665896E-6	0.01826569515802885	0.0019683540816761076	0.03674310185892222	0.013838573293975857	3.6656168803302287	3.708126252013811	0.0036805084366993332	0.0019059317439325317	0.0025130250699409726
3.0	1.0	1.795400126037209E-4	9.113884189487425E-6	0.05566713421766644	0.6030219389205879	0.004214539257036797	9.87854561307983E-7	7.480941355959973E-6	0.005506484701579283	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	7.784854946497338E-5	9.87854561307983E-6	1.0786609862455764E-5	2.1356564821225882E-7	3.7404706779799865E-6	2.84865089180633E-6	0.03020498702650581	0.005438535549566524	0.06149141778093749	0.013628295819605285	2.7910513048489487	2.8559701318272883	0.0028346991042829494	0.0019457543115121141	0.0016841650278267596
4.0	1.0	1.298285685867716E-4	1.2343800497236035E-5	0.08253911262256626	0.5924094415576056	0.003509425454987999	2.1830586667118445E-6	6.408418768042282E-6	0.005056190576214849	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	5.629366733922416E-5	2.1830586667118442E-5	2.325225820733578E-5	2.89252277051732E-7	3.204209384021141E-6	2.059910001805255E-6	0.04478572250900445	0.01077725695990214	0.08237371988406411	0.013388453379201885	2.293278720828001	2.378151837733044	0.002360439561024928	0.0017866397795812186	0.0012178496127727078
5.0	1.0	1.0907856054549854E-4	1.49518254453297E-5	0.10780179775729729	0.581349538054319	0.0030081970500660023	3.7330387129684766E-6	5.342330412841084E-6	0.004474166648587747	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	4.729646385252817E-5	3.7330387129684765E-5	3.8931493485985945E-5	3.5036612566041084E-7	2.671165206420542E-6	1.7306823936830082E-6	0.0584932554631095	0.016840506110503396	0.09861308764006037	0.013138499560027609	1.9379672166897397	2.0384958833388436	0.002023313335874393	0.00158097761434196	0.0010232053250541278
6.0	1.0	1.0849288255356276E-4	1.70416053583613E-5	0.1286976286268256	0.5699755363430526	0.002613627176838198	5.30395079767768E-6	4.581823244631678E-6	0.003991397753084721	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	4.704251387522481E-5	5.30395079767768E-5	5.4527916060453786E-5	3.9933593836248035E-7	2.290911622315839E-6	1.7213898014087632E-6	0.06983133329291556	0.022684446549293816	0.11101088522566059	0.01288144712135299	1.6587205844357331	1.7711167692456493	0.001757925639141372	0.0014103878986165093	0.001017711405468842
7.0	1.0	1.2013546944422137E-4	1.8801847744949867E-5	0.14498882548770828	0.5584918965335677	0.002314987242488635	6.690698020342871E-6	4.203313834878124E-6	0.003703558443232249	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	5.2090739551014386E-5	6.69069802034287E-5	6.81700156135864E-5	4.405836982074102E-7	2.101656917439062E-6	1.9061155628033017E-6	0.0786709367096305	0.027976398943056	0.12091131230357828	0.012621916861658629	1.446569982406079	1.5687442960864162	0.001557060419297856	0.0013086778951350703	0.0011269240394122305
8.0	1.0	1.379419223769026E-4	2.042190321985993E-5	0.15765450756058016	0.547550994659506	0.002118415013117974	7.852919200526207E-6	4.165854120073742E-6	0.0036224122027040183	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	5.981161754262497E-5	7.852919200526207E-5	7.958647034542876E-5	4.785464581509777E-7	2.082927060036871E-6	2.1886395934690903E-6	0.08554333580237079	0.032842911068484276	0.12968512353125092	0.012374652479304834	1.3038282789764404	1.4355377030070036	0.0014248459378231493	0.001280004311909547	0.0012939564733747725
9.0	1.0	1.5813526592964056E-4	2.205315190897846E-5	0.16804397559121342	0.5381295304162174	0.0020233184662043725	8.849642977509276E-6	4.3843607899366176E-6	0.0037178707919726956	0.08	0.0226	0.411	8.33E-4	0.52	7.25E-7	7200.0	9.97E-4	2.0	17600.0	1.81	0.0166	1.95	21500.0	0.1	0.97	0.0	0.65	2880.0	10.0	0.83	2650.0	0.26	25200.0	7.25E-7	6.856745130709214E-5	8.849642977509275E-5	8.943389470366465E-5	5.167715086830922E-7	2.1921803949683088E-6	2.5090349487207617E-6	0.0911806611557924	0.037618121399696704	0.13849417833993038	0.012161727387406512	1.2287821499166882	1.3710958076867277	0.0013608840003690608	0.0013137352621811645	0.0014833790010509648
