time	compartment	R	O	I1	S	A	I2	open_probability	Phi1	k1	L1	l2	lminus2	c	L3	Phi2	k2	l4	Phi_minus2	kminus1	kminus2	kminus3	lminus4	L5	Phi3	k3	Phi4	k4	l6	Phi_minus4	kminus4	lminus6	Phi5	IP3	v1	v2	v3	v4	v5
0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	14.812112869924295	0.30571231933929804	0.0	0.0	0.0
1.0	1.0	6.96553351323459E-4	8.239856852363144E-5	0.009706006185278209	2.6146904726160825E-7	0.38293148138440325	0.6065832990414237	0.014108987810694206	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	0.008478321375437121	-0.007940100255057026	-1.2883809051817774E-7	0.00851660456231075	0.16279478782082446
2.0	1.0	3.4976322458602323E-4	6.586762055201158E-5	0.004288179607486374	2.062349194807424E-7	0.32794064908478904	0.6673553342276668	0.007589091926653042	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	0.0037105915027164102	-0.0034951439436807694	-2.021369385759698E-8	0.0037167695229517878	0.015197156890907282
3.0	1.0	2.040727330553084E-4	6.23709783853311E-5	0.0019043831378235286	1.9485224387122965E-7	0.32385886788497376	0.6739701104135182	0.007218224477905734	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	0.0016306512541947391	-0.0015372942872355164	-6.192277802562744E-9	0.0016325764754189925	0.0024742341874485207
4.0	1.0	1.404983314483297E-4	6.1114645857351E-5	8.559777375694543E-4	1.9080837945922875E-7	0.32356423287503666	0.6753779856017086	0.007191980940125867	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	7.17020917951268E-4	-6.760692287879714E-4	-2.5221016457440345E-9	7.178085496942488E-4	7.743191423564832E-4
5.0	1.0	1.1257731436623244E-4	6.0583127748250406E-5	3.9491641453160136E-4	1.8910172457515943E-7	0.32354651414020824	0.675885219901421	0.007190400489492163	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	3.1531494852046174E-4	-2.97313516326655E-4	-1.0941487350723744E-9	3.1565692334967893E-4	3.171329945869106E-4
6.0	1.0	1.0030131344527732E-4	6.035094683634898E-5	1.9215615871979265E-4	1.8835653785029062E-7	0.3235470588688231	0.6760999443556377	0.007190446618886242	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.3866362911577924E-4	-1.307478261584922E-4	-4.800502831458405E-10	1.3881368947207817E-4	1.3772085008356694E-4
7.0	1.0	9.49029512988939E-5	6.024895808832419E-5	1.029890630372052E-4	1.8802922838787905E-7	0.3235479197139144	0.6761937512844328	0.0071905221352629835	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	6.0978830714741514E-5	-5.749781159752307E-5	-2.1102423628215219E-10	6.104479699866466E-5	6.0434442502477204E-5
8.0	1.0	9.252895479964684E-5	6.02041156665508E-5	6.377647500272854E-5	1.878853187498833E-7	0.3235483445681784	0.6762349580010337	0.0071905594594490274	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	2.6815792835096965E-5	-2.528499762445087E-5	-9.279294070834527E-11	2.6844800073817787E-5	2.656673045520197E-5
9.0	1.0	9.148495301746547E-5	6.018439614092366E-5	4.6532112204009865E-5	1.878220343950536E-7	0.32354853485132345	0.6762530758652795	0.007190576179800999	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.179205309820579E-5	-1.1118897079752209E-5	-4.080457170594379E-11	1.1804808688863078E-5	1.1681810548114235E-5
10.0	1.0	9.102584595880532E-5	6.017572438862324E-5	3.894878208426813E-5	1.8779420481834393E-7	0.3235486187861982	0.676261043067165	0.007190583555506637	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	5.1852578205739165E-6	-4.889254462897192E-6	-1.794274667994651E-11	5.190866759700874E-6	5.136728044918826E-6
11.0	1.0	9.082394235024857E-5	6.0171910775952124E-5	3.561382624901153E-5	1.8778196609008996E-7	0.3235486557176733	0.6762645468209852	0.007190586800849827	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	2.279757201973211E-6	-2.1496159817365036E-6	-7.888728824231818E-12	2.282223234700842E-6	2.258416579858924E-6
12.0	1.0	9.073516120446513E-5	6.0170233852725224E-5	3.414737795776396E-5	1.8777658447186197E-7	0.3235486719586114	0.676266087491789	0.007190588228019585	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.002149154289561E-6	-9.449409070795952E-7	-3.467773887394E-12	1.0032331874965106E-6	9.927678269461282E-7
13.0	1.0	9.069612013436956E-5	6.0169496434042494E-5	3.350251456840626E-5	1.8777421793190704E-7	0.32354867910058754	0.6762667649940575	0.007190588855619729	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	4.40327328930009E-7	-4.151909961075391E-7	-1.5236809735333324E-12	4.4080363472559503E-7	4.3620531187116285E-7
14.0	1.0	9.067895613533882E-5	6.016917223561577E-5	3.321900710909627E-5	1.8777317750731797E-7	0.32354868224049044	0.6762670628508519	0.007190589131538275	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.9332822661266742E-7	-1.8229197623997168E-7	-6.689808254949883E-13	1.935373513811678E-7	1.9151843011488978E-7
15.0	1.0	9.067142018361354E-5	6.016902989444648E-5	3.309453154117477E-5	1.8777272070296502E-7	0.3235486836190832	0.6762671936265768	0.007190589252681929	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	8.488186117351637E-8	-8.003633246627062E-8	-2.9371984936610177E-13	8.497367858656402E-8	8.408725948871876E-8
16.0	1.0	9.066811148100269E-5	6.016896739874384E-5	3.3039879832725596E-5	1.8777252014040707E-7	0.32354868422436234	0.6762672510444051	0.007190589305870757	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	3.726786554922659E-8	-3.5140408518134216E-8	-1.2895937539136784E-13	3.7308178518769E-8	3.6918991197509854E-8
17.0	1.0	9.066665877623939E-5	6.0168939959648945E-5	3.301588468824633E-5	1.8777243208227146E-7	0.3235486844901136	0.6762672762540303	0.007190589329223613	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.63626690482567E-8	-1.5428596898052987E-8	-5.662035019304975E-14	1.6380368686452762E-8	1.6209493858276858E-8
18.0	1.0	9.066602095792278E-5	6.016892791235771E-5	3.300534948312799E-5	1.877723934198444E-7	0.3235486846067931	0.6762672873224601	0.007190589339476806	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	7.184123223613961E-9	-6.774013515539138E-9	-2.4859487806770577E-14	7.191894343949734E-9	7.116870759382721E-9
19.0	1.0	9.066574092015101E-5	6.0168922622925755E-5	3.30007239411988E-5	1.8777237644488522E-7	0.32354868465802195	0.6762672921821175	0.0071905893439785365	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	3.1542302996942495E-9	-2.9741692917270557E-9	-1.0914700539861252E-14	3.157642251838677E-9	3.1247026077707574E-9
20.0	1.0	9.066561796796924E-5	6.016892030057049E-5	3.299869307061788E-5	1.8777236899193252E-7	0.3235486846805143	0.6762672943157777	0.007190589345955049	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	1.38488281346133E-9	-1.3058260004142547E-9	-4.792160896891721E-15	1.3863808573377767E-9	1.371918467718558E-9
21.0	1.0	9.066556398511214E-5	6.0168919280927135E-5	3.299780140529965E-5	1.877723657196711E-7	0.32354868469038967	0.6762672952525735	0.0071905893468228455	0.30571231933929804	0.64	0.12	1.7	0.8	10.0	0.025	1.4812112869924294	37.4	1.7	22.31962905718702	0.04	1.4	29.8	2.5	54.7	0.0929984544049459	0.11	761.3292117465223	4.0	4707.0	0.14158102766798422	0.54	11.4	1.755731225296443	10.0	6.080407026400753E-10	-5.733303575445388E-10	-2.104026452847893E-15	6.086984249975558E-10	6.023485044082122E-10
