time	default	CYTOPLASM	compartment_0000004	EmptySet	M	P0	P1	P2	Pn	Pt	rM	rTL	rP01	rP10	rP12	rP21	rP2n	rPn2	rmRNAd	rVd
45.0	9.999999999986024E-16	9.99999999999996E-16	1.0000000000000056E-15	0.0	0.6994253467289069	0.7606724939745689	0.7282949869855506	0.8639790427856548	1.3370580139024613	3.6900045376482353	1.8112671221839384E-16	2.6578163175661313E-16	8.817242849455631E-16	4.2176747196554507E-16	1.334707189764383E-15	7.541771691399149E-16	1.6415601812927373E-15	1.7381754180732094E-15	3.790369084775911E-16	7.714250541039275E-16
46.0	9.999999999986306E-16	9.99999999999996E-16	1.000000000000005E-15	0.0	0.5480852732120758	0.5872859894019625	0.6065078319758557	0.7536387705756131	1.2145676488007895	3.162000240754221	2.3928416085348583E-16	2.0827240382030362E-16	7.263654554557636E-16	3.6764991179613105E-16	1.1634490879624399E-15	6.842208014253005E-16	1.4319136640936591E-15	1.5789379434410343E-15	3.399107273934198E-16	7.507631339429295E-16
47.0	9.999999999983378E-16	9.999999999999961E-16	1.0000000000000046E-15	0.0	0.5053334747104461	0.4628618636569772	0.4920723430515822	0.6201595751517054	1.0476161854546	2.622709967314865	3.447485114563975E-16	1.920267203896503E-16	6.013970923659623E-16	3.119790258855276E-16	9.872753983719226E-16	5.917192802234156E-16	1.1783031927882356E-15	1.3619010410909863E-15	3.2672418339237434E-16	7.183377652881052E-16
48.0	9.99999999997987E-16	9.999999999999971E-16	1.0000000000000048E-15	0.0	0.5868807767051278	0.39363519199308783	0.3981152504137477	0.48258269635425705	0.8556673392446434	2.130000478005736	4.947697874390286E-16	2.2301469514749963E-16	5.262425195750192E-16	2.6229852612179256E-16	8.30058626967698E-16	4.859684000284684E-16	9.169071230730856E-16	1.1123675410180418E-15	3.5097916260398265E-16	6.71645448947343E-16
49.0	9.999999999981482E-16	9.999999999999983E-16	1.0000000000000052E-15	0.0	0.7823489221566905	0.38004937653550536	0.33420834308419134	0.3631316347160183	0.6669172654430885	1.7443066197788033	6.344817253414318E-16	2.9729259041899186E-16	5.109801573461065E-16	2.2622195813733985E-16	7.158922725865186E-16	3.8416357068451646E-16	6.899501059604335E-16	8.669924450760195E-16	3.965588387180872E-16	6.126010895377673E-16
50.0	9.999999999980672E-16	9.999999999999975E-16	1.0000000000000034E-15	0.0	1.0421711894336643	0.41490656266497367	0.3042828876670024	0.27857952191980656	0.5100174988033301	1.5077864710551128	7.118362380127292E-16	3.96025051984027E-16	5.49793942777946E-16	2.0864059924544277E-16	6.602550609032998E-16	3.0565042742626115E-16	5.293010916476311E-16	6.630227484443315E-16	4.392581561458477E-16	5.529917886209973E-16
51.0	9.999999999980695E-16	9.999999999999953E-16	1.0000000000000042E-15	0.0	1.3150155320289172	0.4853316623200781	0.3052699927891836	0.23273534153634493	0.4025495234779066	1.4258865201235134	7.40553837773144E-16	4.997059021700239E-16	6.248909724887369E-16	2.0922780850642707E-16	6.621133180583136E-16	2.605944121619434E-16	4.4219714891905327E-16	5.233143805212809E-16	4.709381714564711E-16	5.109325567783717E-16
52.0	9.999999999980413E-16	9.99999999999996E-16	1.0000000000000044E-15	0.0	1.5779542958737933	0.5799488677910498	0.3299694669619381	0.2188477903290923	0.3458854697072167	1.4746515947892969	7.492756521298819E-16	5.996226324308671E-16	7.193306813558355E-16	2.237590514349761E-16	7.080982640347343E-16	2.465781917116458E-16	4.1581080162527366E-16	4.496511106193836E-16	4.935961750239847E-16	4.963745914698124E-16
53.0	9.999999999981127E-16	9.999999999999961E-16	1.0000000000000048E-15	0.0	1.8260939106696341	0.6917600465681779	0.3713356967235602	0.2280327927811309	0.33121111236317835	1.6223396484360473	7.509627151315771E-16	6.939156860531513E-16	8.223735068214569E-16	2.4741769022153715E-16	7.829673741187884E-16	2.558678596652175E-16	4.33262306284147E-16	4.305744460721339E-16	5.102807915410243E-16	5.061087767003054E-16
54.0	9.999999999981407E-16	9.99999999999996E-16	1.000000000000005E-15	0.0	2.0594411639202237	0.8169701782838615	0.4243927467955999	0.2538201551319792	0.3480884048948812	1.8432714851063219	7.490038095276169E-16	7.8258764228823E-16	9.28055465642529E-16	2.7658082248568055E-16	8.752557673597484E-16	2.8154437539528847E-16	4.822582947507585E-16	4.525149263633478E-16	5.230191556729469E-16	5.313319486774545E-16
