time	compartment_0000002	compartment_0000001	species_0000001	species_0000002	species_0000003	species_0000004	species_0000005	species_0000006	species_0000007	species_0000008	species_0000009	parameter_0000001	parameter_0000002	parameter_0000003	parameter_0000005	parameter_0000006	parameter_0000007	parameter_0000008	parameter_0000010	parameter_0000011	parameter_0000012	parameter_0000013	parameter_0000014	parameter_0000015	parameter_0000016	parameter_0000017	parameter_0000018	parameter_0000019	parameter_0000020	parameter_0000021	parameter_0000022	parameter_0000023	parameter_0000024	parameter_0000025	parameter_0000026	parameter_0000027	parameter_0000028	parameter_0000029	parameter_0000030	parameter_0000031	parameter_0000032	parameter_0000033	parameter_0000034	parameter_0000036	parameter_0000037	parameter_0000038	parameter_0000039	parameter_0000040	parameter_0000041	parameter_0000042	parameter_0000043	parameter_0000044	parameter_0000045	parameter_0000046	parameter_0000047	parameter_0000048	reaction_0000001	reaction_0000002	reaction_0000003	reaction_0000004	reaction_0000005	reaction_0000006	reaction_0000007	reaction_0000008	reaction_0000009	reaction_0000010	reaction_0000011	reaction_0000012	reaction_0000013	reaction_0000014	reaction_0000015	reaction_0000016	reaction_0000017	reaction_0000018	reaction_0000019	reaction_0000020	reaction_0000021	reaction_0000022
10.0	1.0	1.0	9.216298663569253	0.07491567583236275	6.293551358631025E-4	21.453297052875307	2.464670178122947	1.4767347004457594	8.599857391017991	0.010363657063923915	110.5953431596851	0.13040215604164404	0.12776860403983584	0.12165988629021243	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.04431163889712331	0.04408178329374121	0.04369557204575807	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.48938853857953163	3.5794051566296363	41.51212397848014	0.005232712111838922	0.0022012407603774395	76.34396538313062	6.393133984482774	1.6796269370241275	1.542716901823511	1.4531865273511113	0.3185654345582552	0.314403238310049	0.31440061308683653	5.503101900943598E-5	0.5872612721779279	0.04566524274630553	0.11391700735076787	0.013087398645832847	0.007841461259366982	0.04893854590355273	3.9780223866984614E-4	3.341875771433074E-6
11.0	1.0	1.0	10.304628085083783	0.07857329934933213	6.297659355028359E-4	20.079518366672836	2.5841502265234264	1.5560600218285534	6.167248966873637	0.014667478804639431	79.95660321802991	0.10761573176745154	0.10501201303666614	0.09878419727046221	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.031108393054188648	0.030946329053697187	0.030673772917876128	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.3498900145502641	2.569832166495481	29.284452448633264	0.009141647039140168	0.0031153724981054154	55.19404320140605	4.584732881973862	1.6783042762382214	1.5493138027107722	1.4639918702226136	0.3185690848536965	0.31459614440264283	0.3145936738222138	7.788431245263537E-5	0.4245695630877388	0.03274809201409901	0.10662224252703276	0.013721837702839393	0.008262678715909619	0.054717575131794885	4.172242195449536E-4	3.3440571175200584E-6
12.0	1.0	1.0	11.397225798653034	0.08203589336118404	6.301197975587515E-4	18.597313624952985	2.695426056337496	1.6310262118133652	4.431056040865316	0.02313276516695797	57.37982981414522	0.08984173471686381	0.08716912885799641	0.08042905835805203	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.021837058927405516	0.02172296410628868	0.021530963018263252	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.25193787880878576	1.8609088738251354	20.679976493893662	0.016602198113055175	0.004913399321461873	39.60929652070445	3.294047060779276	1.6766609788719395	1.5549763828136225	1.4733658264344545	0.31857204828140556	0.3147631050488712	0.31475996402273637	1.2283498303654683E-4	0.3046868963131111	0.02352890757699483	0.09875173534850035	0.014312712359152102	0.008660749184728969	0.060519268990847606	4.3561059374788724E-4	3.3459361250369705E-6
13.0	1.0	1.0	12.492788819452006	0.08532701185939723	6.304308417423494E-4	17.042512604450902	2.799033608637014	1.7020963378167437	3.198702353206775	0.039363947115070394	40.98940342045631	0.07649248984166508	0.0736734524092992	0.06583853173796865	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.015328123773590748	0.015247864341975953	0.015112736295399656	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.18317231931178463	1.363209656223843	14.632963917303945	0.030484857644599885	0.008360902367240951	28.294985181140994	2.3779153293739164	1.6746344548003589	1.55987716708774	1.4815877890805824	0.31857449932885823	0.3149093822763272	0.3149061237016804	2.0902255918102378E-4	0.21765373216262301	0.016985109495527975	0.09049574192963428	0.014862868461862543	0.009038131553806908	0.06633670863129014	4.5308643297339927E-4	3.3475877696518752E-6
14.0	1.0	1.0	13.590261411381404	0.08846571273178917	6.30705756106054E-4	15.44044442071419	2.8952800099335017	1.769637150862973	2.327181443278129	0.06958288684457034	29.210487772031478	0.06703124422476378	0.06410044060505415	0.05443721566614112	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.010759035101010181	0.010702600005248225	0.010607536520893399	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.13490161205573614	1.0138388599636425	10.386002773153546	0.05530295769873723	0.014779405165786741	20.16399970903333	1.7300266849329609	1.6721261970783194	1.5641404826729621	1.4888651882153747	0.3185765584672124	0.3150388591978791	0.3150352988558191	3.694851291446685E-4	0.15510769006948713	0.012357333463806863	0.08198875987399235	0.015373936852746893	0.009396773271082385	0.07216428809443524	4.6975293460580045E-4	3.3490475649231467E-6
15.0	1.0	1.0	14.688773713382597	0.09146768255925976	6.30950649927227E-4	13.80912376537957	2.9842423533896802	1.8339386998489224	1.7123575628863583	0.12360012940842514	20.804895363410115	0.06077261004917625	0.05796206038903249	0.04576294883437367	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.007551846468800982	0.007512171479240379	0.007445295027433915	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.10101926110953281	0.7686043883903982	7.4042098844036195	0.0970585710326532	0.026252667486349503	14.361619269362002	1.2729666122497187	1.6689847456862095	1.5678554829279308	1.4953552323824129	0.31857831144262555	0.3151544718848575	0.315150362506528	6.563166871587375E-4	0.1104739943797077	0.009092618658926563	0.07332644719416552	0.015846326896499202	0.009738214496197778	0.07799738841806159	4.856933943896693E-4	3.350347951113575E-6
16.0	1.0	1.0	15.787598190375753	0.09434602307130999	6.311729379300625E-4	12.161530200143673	3.0657328432294144	1.8952263248873404	1.2793408831880977	0.21477946854174773	14.835820496681595	0.056834785186729984	0.05453090684942445	0.03937542758050086	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.00530068505521986	0.005272796473232026	0.005225733970341414	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.07723709854572411	0.5964715820623314	5.311022429143301	0.16144542906255888	0.04561915911826722	10.241166888859306	0.9510620125620317	1.6649737609182884	1.5710835261811207	1.501178935708656	0.31857982088110937	0.3152584867439965	0.31525480019716334	0.0011404789779566804	0.07877820683737927	0.0067933000897287986	0.0645777253627629	0.01627904139754819	0.010063651785151777	0.08383214639089524	5.00977382508656E-4	3.3515283004086317E-6
17.0	1.0	1.0	16.8861177222894	0.09711181493673558	6.313718976358933E-4	10.507274635606857	3.139214133950729	1.9536663157304157	0.9747096518457391	0.3573293026427548	10.611538659162445	0.054322982738320036	0.052893675772525385	0.03479315779149862	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.0037205935232119047	0.0037009944208468842	0.0036678512805778715	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.060544560749393905	0.4756514631588751	3.841741688696877	0.24982543110147826	0.07589674388132113	7.325145136419836	0.7245991551821224	1.6597104439191408	1.5738612095870081	1.5064303429209527	0.3185811335477587	0.3153526846771162	0.3153482738377453	0.001897418597033028	0.05634727028015258	0.005175708251300874	0.055793628315072404	0.016669227051278372	0.010373968136528506	0.08966528510535669	5.156637373140659E-4	3.352584776446593E-6
18.0	1.0	1.0	17.98380136602639	0.09977453223109432	6.315559671896274E-4	8.853891857357773	3.2036247694068005	2.0093648538654914	0.7605596402531214	0.5601994704469239	7.629216175192804	0.05254441391622021	0.052198835910928894	0.031518603924623585	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.0026115338413912653	0.0025977674317792295	0.002574398029599777	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.048828290125495416	0.3908483236481417	2.810442659389704	0.35521996186999494	0.11898636752292663	5.2664479257355925	0.5654000365641704	1.652538637293162	1.5761987973902085	1.511182558163096	0.31858228504204655	0.3154384869376581	0.31543474879184696	0.0029746591880731657	0.04051113789027379	0.004038571689744075	0.047014165762569775	0.01701124752555011	0.010669727374025759	0.09549398525360013	5.298027661471108E-4	3.3535621857769214E-6
19.0	1.0	1.0	19.080185018032264	0.10234235475435673	6.317223893385268E-4	7.208000787990657	3.2570161254606336	2.062357370583981	0.6100923159902565	0.820506514086577	5.527312402175024	0.0510722614457023	0.051843917304397656	0.029118613959484736	0.2	0.24	0.1	0.54	0.54	0.083	0.134	0.248	0.2124	0.2124	0.2124	1.062	1.062	1.062	0.0018330904545749305	0.0018234307145060219	0.0018069223989723284	2.8249	2.8249	2.8249	5.0	10.62	76.464	344.09	1.062	0.02124	0.19116	0.001062	0.38232	0.2124	0.7434	0.6903	2.8249	1.6992	0.25	0.3186	0.001	1.6992	0.25	5.31	0.01	0.00531	0.040604834188053954	0.33132542851861746	2.0865801220931752	0.46316734910663465	0.17427558359198897	3.8155037512214194	0.45354262770715664	1.6422410357848125	1.5780713867278828	1.5154913719981278	0.31858330292381215	0.31551704334822533	0.31551293050610596	0.004356889589799724	0.029350028855549375	0.0032395901979082615	0.038274484184230385	0.01729475562619596	0.010951117637800937	0.10131578244575132	5.434379037456342E-4	3.3544458873875774E-6
