time	compartment	z	e	w	ez	v1	v2	v3
0.0	1.0	2.4E-5	0.0	0.0	0.0	9.6E-8	0.0	0.0
1.0	1.0	2.3903055087960037E-5	9.466896646755576E-8	9.58069392537576E-8	1.137972786201863E-9	9.561222035184015E-8	2.2626385463091246E-9	6.145053045490061E-13
2.0	1.0	2.3804279840798403E-5	1.8672709371811678E-7	1.9122362645985478E-7	4.496532741738049E-9	9.521711936319361E-8	4.443959720849276E-9	2.428127680538547E-12
3.0	1.0	2.370376167117365E-5	2.762498570723534E-7	2.8624409294935084E-7	9.994235876997493E-9	9.48150466846946E-8	6.54606198420468E-9	5.396887373578646E-12
4.0	1.0	2.3601585556420612E-5	3.6331089926410415E-7	3.8086267142174616E-7	1.7551772157642087E-8	9.440634222568245E-8	8.571027400408758E-9	9.477956965126727E-12
5.0	1.0	2.3497834066302707E-5	4.479820411135825E-7	4.7507398740543623E-7	2.7091946291853644E-8	9.399133626521083E-8	1.052091835804927E-8	1.4629650997600967E-11
6.0	1.0	2.3392587393753475E-5	5.303332954015652E-7	5.688729508240444E-7	3.853965542247918E-8	9.357034957501391E-8	1.2397774632859671E-8	2.0811413928138758E-11
7.0	1.0	2.3285923388265368E-5	6.10432883622009E-7	6.622547476783193E-7	5.1821864056310594E-8	9.314369355306147E-8	1.4203610770248185E-8	2.798380659040772E-11
8.0	1.0	2.3177917591606503E-5	6.88347255310768E-7	7.552148318521319E-7	6.686757654136413E-8	9.271167036642601E-8	1.5940413766927816E-8	3.6108491332336626E-11
9.0	1.0	2.3068643275567565E-5	7.641411096676341E-7	8.477489170500357E-7	8.360780738240176E-8	9.227457310227027E-8	1.7610141031568702E-8	4.514821598649695E-11
10.0	1.0	2.2958171481462046E-5	8.378774192077595E-7	9.398529688728595E-7	1.019755496651001E-7	9.183268592584818E-8	1.9214718605186932E-8	5.5066796819154055E-11
11.0	1.0	2.284657106112288E-5	9.096174551966171E-7	1.0315231970368703E-6	1.2190574184025316E-7	9.138628424449153E-8	2.0756039622800817E-8	6.58291005937367E-11
12.0	1.0	2.2733908719157604E-5	9.794208146399796E-7	1.1227560477411894E-6	1.4333523310120999E-7	9.093563487663042E-8	2.223596299871702E-8	7.740102587465339E-11
13.0	1.0	2.2620249056242247E-5	1.047345448616943E-6	1.2135481961873506E-6	1.6620274757040787E-7	9.048099622496899E-8	2.365631231864723E-8	8.974948368802025E-11
14.0	1.0	2.250565461325148E-5	1.1134476917597838E-6	1.3038965392541537E-6	1.904488474943702E-7	9.002261845300591E-8	2.5018874922693973E-8	1.0284237764695992E-10
15.0	1.0	2.2390185916038814E-5	1.1777822926994096E-6	1.3937981883302991E-6	2.1601589563088963E-7	8.956074366415526E-8	2.6325401164075743E-8	1.166485836406804E-10
