time	compartment	Enz	Ts	Tt	To	Tomax	Tex	e_val	f_val	Ts_norm	To_norm	Tt_norm	Enz_norm	Enzyme_synthesis	Enzyme_dilution	tryptophan_synthesis	tryptophan_consumption	tryptophan_dilution
0.0	1.0	0.0	0.0	13.461538461538463	13.461538461538463	100.0	0.14	0.9	380.0	0.0	0.16416510318949346	0.16416510318949346	0.0	0.015249807675337682	0.0	0.0	0.0	0.0
1.0	1.0	0.015170835747592273	0.0030043235834026237	13.464528458228092	13.461524134644689	100.0	0.14	0.9	380.0	3.66380924805198E-5	0.1641649284712767	0.1642015665637572	0.015170835747592273	0.01524376839201018	1.5170835747592274E-4	0.37306940769377334	0.3699827090343131	3.0043235834026238E-5
2.0	1.0	0.030184604083117322	0.006092893940158069	13.467602299970343	13.461509406030185	100.0	0.14	0.9	380.0	7.4303584636074E-5	0.16416474885402665	0.1642390524386627	0.030184604083117322	0.015237563455647595	3.018460408311732E-4	0.7422735648323243	0.7390955873916769	6.092893940158069E-5
3.0	1.0	0.04504274913295103	0.009243339085848968	13.47073772146944	13.461494382383592	100.0	0.14	0.9	380.0	1.1272364738840205E-4	0.16416456563882428	0.16427728928621269	0.04504274913295103	0.015231238074042072	4.504274913295103E-4	1.1076479444382785	1.1043767421978226	9.243339085848969E-5
4.0	1.0	0.05974669799982024	0.012457321306083948	13.473936377085996	13.461479055779913	100.0	0.14	0.9	380.0	1.519185525132189E-4	0.16416437872902334	0.16431629728153654	0.05974669799982024	0.015224789139345208	5.974669799982024E-4	1.4692275991384074	1.4658616174653825	1.2457321306083948E-4
5.0	1.0	0.07429786045277391	0.015736521730541082	13.477199939934934	13.461463418204392	100.0	0.14	0.9	380.0	1.9190880159196443E-4	0.16416418802688282	0.1643560968284748	0.07429786045277391	0.015218213518610505	7.429786045277391E-4	1.82704715355618	1.8235810984053373	1.5736521730541083E-4
6.0	1.0	0.08869762899731524	0.01908276950246467	13.480530230439031	13.461447460936567	100.0	0.14	0.9	380.0	2.3271670124956915E-4	0.1641639934260557	0.16439671012730525	0.08869762899731524	0.015211507795535073	8.869762899731525E-4	2.1811408057128125	2.1775753458158182	1.9082769502464672E-4
7.0	1.0	0.10294737894009655	0.022497841638039497	13.483929017142714	13.461431175504675	100.0	0.14	0.9	380.0	2.743639224151158E-4	0.16416379482322774	0.16443815874564285	0.10294737894009655	0.015204668672519031	0.0010294737894009655	2.5315423289742887	2.5278718966900233	2.2497841638039498E-4
8.0	1.0	0.11704846845023094	0.025983688993228244	13.487398241601328	13.4614145526081	100.0	0.14	0.9	380.0	3.1687425601497856E-4	0.16416359210497683	0.1644804663609918	0.11704846845023094	0.015197692518685493	0.0011704846845023095	2.8782850729450735	2.874509340584185	2.5983688993228243E-4
9.0	1.0	0.13100223861461768	0.029542236243274126	13.490939819314484	13.461397583071209	100.0	0.14	0.9	380.0	3.6027117369846496E-4	0.16416338515940498	0.16452365633310345	0.13100223861461768	0.015190575771411481	0.0013100223861461768	3.2214019653064656	3.217516384649641	2.9542236243274125E-4
