time	cell	EmptySet	u	z	v	kappa	k6	k4	k4prime	alpha	Reaction1	Reaction2	Reaction3
21.0	1.0	1.0	0.00570952487724546	0.25554942515182494	0.2612589500290704	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00570952487724546	0.0060993926998853054
22.0	1.0	1.0	0.006114520413313226	0.2642349077993772	0.2703494282126904	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.006114520413313226	0.006534456546953945
23.0	1.0	1.0	0.00655312661055085	0.2724655913730706	0.27901871798362143	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00655312661055085	0.00701049179581472
24.0	1.0	1.0	0.007033994112707204	0.28019512067080726	0.2872291147835145	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.007033994112707204	0.0075388943801729886
25.0	1.0	1.0	0.0075692026228940945	0.28736346446985017	0.29493266709274424	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0075692026228940945	0.00813603817618032
26.0	1.0	1.0	0.008176387685924756	0.2938904175466094	0.30206680523253415	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.008176387685924756	0.008826586305829304
27.0	1.0	1.0	0.008882510868149262	0.2996645707188697	0.308547081587019	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.008882510868149262	0.009649744530137847
28.0	1.0	1.0	0.009731487303041833	0.304523013387066	0.31425450069010785	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.009731487303041833	0.010672414666341378
29.0	1.0	1.0	0.01080074035132242	0.30821067538359376	0.3190114157349162	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.01080074035132242	0.012019624139223011
30.0	1.0	1.0	0.012242230760515428	0.3102885601665587	0.32253079092707415	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.012242230760515428	0.013955848111032941
31.0	1.0	1.0	0.014403256131700135	0.3098895824671455	0.3242928385988456	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.014403256131700135	0.01714981063354415
32.0	1.0	1.0	0.018290128380761786	0.30488345156323154	0.3231735799439933	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.018290128380761786	0.023846515053195932
33.0	1.0	1.0	0.02841191359103549	0.2874161413124222	0.3158280549034577	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.02841191359103549	0.046935811810317744
34.0	1.0	1.0	0.10506590436011923	0.174945614067308	0.2800115184274272	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.10506590436011924	0.35076455080066155
35.0	1.0	1.0	0.12806788247016648	0.004964132931008863	0.13303201540117535	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.12806788247016648	0.014744710147797687
36.0	1.0	1.0	0.05237522475969125	0.010985905349673808	0.06336113010936506	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.05237522475969125	0.005622251841023968
37.0	1.0	1.0	0.02142618580004718	0.022299979651756126	0.04372616545180331	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.02142618580004718	0.0022441508441451282
38.0	1.0	1.0	0.008813386434890203	0.035741014820357075	0.04455440125524728	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.008813386434890203	0.001143056286415299
39.0	1.0	1.0	0.0038971283928660224	0.049697467227301506	0.05359459562016753	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0038971283928660224	0.001030415842544022
40.0	1.0	1.0	0.0021399895247265306	0.0635941916591842	0.06573418118391074	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0021399895247265306	0.0011971174094738946
41.0	1.0	1.0	0.0016273629693765244	0.07728419052961796	0.0789115534989945	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0016273629693765244	0.001427956481821565
42.0	1.0	1.0	0.0015916191269768607	0.0907336506869878	0.09232526981396466	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0015916191269768607	0.0016745789196799653
43.0	1.0	1.0	0.0017368975380285582	0.10393292611830732	0.10566982365633587	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0017368975380285582	0.0019272309876828039
44.0	1.0	1.0	0.0019515923634770129	0.11687743457418465	0.11882902693766166	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0019515923634770129	0.00218392128594726
45.0	1.0	1.0	0.0021942447739347446	0.12956333171925513	0.13175757649318987	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0021942447739347446	0.002444425750325493
46.0	1.0	1.0	0.0024497156873725828	0.14198664369701608	0.14443635938438867	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0024497156873725828	0.0027091334526932126
47.0	1.0	1.0	0.002712806512460724	0.1541428339408148	0.15685564045327552	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.002712806512460724	0.002978760547339995
48.0	1.0	1.0	0.002982146058865035	0.16602652912105792	0.16900867517992296	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.002982146058865035	0.0032542486614141716
49.0	1.0	1.0	0.003257895162862041	0.17763131865926662	0.18088921382212866	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003257895162862041	0.0035367281144820938
50.0	1.0	1.0	0.0035408980621350053	0.1889495663117188	0.1924904643738538	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0035408980621350053	0.003827519741337691
51.0	1.0	1.0	0.003832381526900094	0.1999722059548948	0.2038045874817949	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003832381526900094	0.004128163562479654
52.0	1.0	1.0	0.0041338568689370326	0.21068851134576838	0.2148223682147054	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0041338568689370326	0.004440466655479116
53.0	1.0	1.0	0.00444715716554503	0.2210857710083347	0.22553292817387974	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00444715716554503	0.004766586502819572
54.0	1.0	1.0	0.0047744735567209	0.23114890706472663	0.23592338062144752	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0047744735567209	0.005109132277952181
55.0	1.0	1.0	0.005118474831749438	0.24085994405458774	0.24597841888633717	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.005118474831749438	0.005471321795873342
56.0	1.0	1.0	0.005482475704860546	0.2501972879169941	0.2556797636218546	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.005482475704860546	0.00585720787405028
57.0	1.0	1.0	0.00587066178596179	0.2591347462885217	0.2650054080744835	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00587066178596179	0.006272004257051026
58.0	1.0	1.0	0.0062884496257068915	0.2676401307934744	0.2739285804191813	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0062884496257068915	0.006722592236328044
59.0	1.0	1.0	0.0067430401769523925	0.275673217944566	0.2824162581215184	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0067430401769523925	0.007218323017814614
60.0	1.0	1.0	0.007244300305926741	0.283182677498962	0.29042697780488874	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.007244300305926741	0.007772339275818917
61.0	1.0	1.0	0.007806241434411226	0.29010125106382045	0.2979074924982317	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.007806241434411226	0.008403865673376745
62.0	1.0	1.0	0.00844968678756763	0.29633775045506455	0.3047874372426322	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00844968678756763	0.009142463285957289
63.0	1.0	1.0	0.009207246748569943	0.3017630503215906	0.31097029707016055	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.009207246748569943	0.010036400867301124
64.0	1.0	1.0	0.010133626947637905	0.30618349372340253	0.31631712067104045	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.010133626947637905	0.011170881597626761
65.0	1.0	1.0	0.01132917734748783	0.309285186659032	0.3206143640065198	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.01132917734748783	0.012712563466766271
66.0	1.0	1.0	0.013001974008329108	0.3105005503179875	0.3235025243263166	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.013001974008329108	0.015037305379731797
67.0	1.0	1.0	0.01566853913792626	0.30862047540394993	0.3242890145418762	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.01566853913792626	0.019193280615342652
68.0	1.0	1.0	0.021052395859059242	0.30025879819027856	0.32131119404933783	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.021052395859059242	0.02935828646485806
69.0	1.0	1.0	0.03971636134322429	0.26866402057104544	0.30838038191426975	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.03971636134322429	0.08111775043371679
70.0	1.0	1.0	0.19343402151126687	0.028034388530002508	0.22146841004126938	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.19343402151126687	0.18931649829466088
71.0	1.0	1.0	0.08903798515745771	0.006405693535148069	0.09544367869260578	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.08903798515745771	0.009256209889576499
72.0	1.0	1.0	0.03642563632367791	0.015172273931202587	0.051597910254880495	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.03642563632367791	0.0038966777670665156
73.0	1.0	1.0	0.014890286603646427	0.027632304209918336	0.04252259081356476	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.014890286603646425	0.0016001788429370863
74.0	1.0	1.0	0.006226796842215304	0.04140420175946228	0.047630998601677584	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.006226796842215304	0.0010342413442458193
75.0	1.0	1.0	0.002947479861893178	0.05537022038056661	0.05831770024245979	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.002947479861893178	0.0010832505197447128
76.0	1.0	1.0	0.0018407433021710407	0.06919056577907604	0.07103130908124708	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0018407433021710407	0.0012876295421139577
77.0	1.0	1.0	0.0015783289938503771	0.08278465958024138	0.08436298857409176	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0015783289938503771	0.0015272446822097174
78.0	1.0	1.0	0.001637617869378665	0.09613303018934452	0.09777064805872318	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.001637617869378665	0.0017768001307925615
79.0	1.0	1.0	0.0018191087226506182	0.10922916015008152	0.11104826887273214	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0018191087226506182	0.0020311870329367872
80.0	1.0	1.0	0.0020481206690682882	0.12206893356952075	0.12411705423858904	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0020481206690682882	0.0022894106236071286
81.0	1.0	1.0	0.002297037060397154	0.13464852725669346	0.13694556431709062	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.002297037060397154	0.0025515556959330625
82.0	1.0	1.0	0.0025559364113201923	0.14696377779542713	0.1495197142067473	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0025559364113201923	0.0028181635838494504
83.0	1.0	1.0	0.0028216177201265246	0.15900983361666113	0.16183145133678764	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0028216177201265246	0.0030900499875131248
84.0	1.0	1.0	0.00309349723306623	0.1707809207244337	0.17387441795749994	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00309349723306623	0.0033682353374507984
85.0	1.0	1.0	0.0033720731428652025	0.1822701520779708	0.18564222522083598	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0033720731428652025	0.0036539256130261946
86.0	1.0	1.0	0.003658358864299011	0.19346934134691354	0.19712770021121256	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003658358864299011	0.003948524711206277
87.0	1.0	1.0	0.003953707358873739	0.20436877560135452	0.20832248296022826	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003953707358873739	0.00425367535872866
88.0	1.0	1.0	0.00425975273804717	0.2149569642108968	0.21921671694894396	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00425975273804717	0.004571315386949265
89.0	1.0	1.0	0.00457846664381336	0.2252202851764593	0.22979875182027268	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00457846664381336	0.0049037717692853285
90.0	1.0	1.0	0.004912214373536291	0.23514255771724318	0.24005477209077947	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.004912214373536291	0.005253877877433403
91.0	1.0	1.0	0.0052639079744636955	0.24470443185824342	0.2499683398327071	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0052639079744636955	0.005625160474304458
92.0	1.0	1.0	0.0056371814452945545	0.25388258160839955	0.2595197630536941	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0056371814452945545	0.00602209652064075
93.0	1.0	1.0	0.0060366690569118595	0.26264857403761843	0.2686852430945303	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0060366690569118595	0.006450503784782854
94.0	1.0	1.0	0.006468431467696753	0.27096724587034543	0.2774356773380422	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.006468431467696753	0.0069181484879128775
95.0	1.0	1.0	0.006940624569646301	0.2787943019296439	0.28573492649929016	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.006940624569646301	0.007435725195128708
96.0	1.0	1.0	0.007464567169128191	0.28607265608052623	0.2935372232496544	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.007464567169128191	0.008018489918170016
97.0	1.0	1.0	0.00805663646138355	0.29272652541303557	0.3007831618744191	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00805663646138355	0.008689203550109253
98.0	1.0	1.0	0.008741631315348447	0.29865149080451375	0.3073931221198622	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.008741631315348447	0.009483648598551074
99.0	1.0	1.0	0.009559440849233563	0.30369647522657334	0.3132559160758069	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.009559440849233563	0.010462016697876067
100.0	1.0	1.0	0.010579219455726825	0.30762832391536343	0.31820754337109025	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.010579219455726825	0.011734660585659184
