time	cell	EmptySet	u	z	v	kappa	k6	k4	k4prime	alpha	Reaction1	Reaction2	Reaction3
0.0	1.0	1.0	0.0	0.0	0.0	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0	0.0
1.0	1.0	1.0	9.870972875941576E-5	0.014865776341107723	0.014964486069867139	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	9.870972875941576E-5	2.676100464802781E-4
2.0	1.0	1.0	3.0256202181611877E-4	0.029466154283524944	0.029768716305341062	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	3.0256202181611877E-4	5.308763168539102E-4
3.0	1.0	1.0	5.427086518481016E-4	0.0438049913789426	0.0443477000307907	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	5.427086518481016E-4	7.908122050986811E-4
4.0	1.0	1.0	7.945060350206316E-4	0.05788506839519088	0.05867957443021151	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	7.945060350206316E-4	0.001048508316146336
5.0	1.0	1.0	0.001049543951178714	0.07170812054579921	0.07275766449697793	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.001049543951178714	0.0013049642875225444
6.0	1.0	1.0	0.001305332944423022	0.08527492206539511	0.08658025500981813	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.001305332944423022	0.0015611024956979174
7.0	1.0	1.0	0.0015615205752265808	0.09858535066701114	0.10014687124223773	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0015615205752265808	0.001817805656182894
8.0	1.0	1.0	0.0018185338307121995	0.11163840462619196	0.11345693845690416	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0018185338307121995	0.0020759464720753237
9.0	1.0	1.0	0.002077082155347183	0.12443220772615268	0.12650928988149987	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.002077082155347183	0.002336409890692321
10.0	1.0	1.0	0.0023380008832830372	0.13696398002212315	0.1393019809054062	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0023380008832830372	0.0026001138783451343
11.0	1.0	1.0	0.00260219061804879	0.1492300041616991	0.15183219477974788	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.00260219061804879	0.002868029256837572
12.0	1.0	1.0	0.0028706285568099892	0.16122555023363103	0.16409617879044103	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0028706285568099892	0.0031412043918066204
13.0	1.0	1.0	0.003144372435035478	0.1729447915535183	0.1760891639885538	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003144372435035478	0.0034207916041622045
14.0	1.0	1.0	0.003424591248421223	0.18438068050370698	0.18780527175212822	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.003424591248421223	0.0037080814401062637
15.0	1.0	1.0	0.0037125854495807698	0.19552480211636672	0.1992373875659475	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0037125854495807698	0.0040045419724073095
16.0	1.0	1.0	0.004009853232866242	0.20636715230349567	0.2103770055363619	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.004009853232866242	0.004311877818864313
17.0	1.0	1.0	0.004318129223218999	0.21689587853472866	0.22121400775794767	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.004318129223218999	0.004632098482283428
18.0	1.0	1.0	0.004639467546171851	0.22709692322977854	0.23173639077595037	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.004639467546171851	0.0049676177125581745
19.0	1.0	1.0	0.0049763286166937554	0.23695357001543083	0.24192989863212458	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.0049763286166937554	0.00532138299072232
20.0	1.0	1.0	0.005331748668657523	0.24644579723778873	0.25177754590644624	0.015	1.0	180.0	0.018	9.999999999999999E-5	0.015	0.005331748668657523	0.00569707711835062
