time	cell	agonist	DR	DRG_GDP	DRG	GDP	DRG_GTP	GTP	Recptor	G_GDP	G_GTP	Forming	reaction_1	reaction_2	reaction_3	reaction_4	reaction_5
0.0	1.0	1.0E-8	0.0	0.0	0.0	0.0	0.0	1.0E-5	1.0E-9	1.0E-9	0.0	5.000000000000001E-11	0.0	0.0	0.0	0.0	0.0
1.0	1.0	9.961300227937223E-9	3.674176328491047E-11	1.8903323936905065E-12	1.9215821773698415E-15	6.848932469641802E-14	6.575480199877521E-14	9.999999933432257E-6	9.61300227937223E-10	9.980411870804037E-10	8.041417298887157E-16	2.9508119255880584E-11	3.477946065060873E-12	1.8903323935588987E-13	1.8558273625795273E-13	3.2877400999387608E-15	8.041417298887157E-17
2.0	1.0	9.937777287064763E-9	5.594009711286742E-11	5.847345592195215E-12	6.226998968532531E-15	4.468667976710382E-13	4.290432312062435E-13	9.999999559360202E-6	9.377772870647626E-10	9.937062427221322E-10	1.1141455498318999E-14	1.8627060562153337E-11	4.974067812734346E-12	5.847345589412576E-13	5.79795546293993E-13	2.1452161560312176E-14	1.1141455498319E-15
3.0	1.0	9.922386242358025E-9	6.608109869310202E-11	1.0327830385041283E-11	1.1466875932488173E-14	1.2552837661336758E-12	1.1933616878986011E-12	9.999998756183111E-6	9.223862423580256E-10	9.884199703075652E-10	4.737074356298218E-14	1.272081346001693E-11	5.4988047223085904E-12	1.03278303706471E-12	1.0273512818320177E-12	5.966808439493006E-14	4.7370743562982184E-15
4.0	1.0	9.911470772007245E-9	7.152705032497862E-11	1.46332534585041E-11	1.6930800389907163E-14	2.5064743004545426E-12	2.3519934088817584E-12	9.9999975104565E-6	9.114707720072458E-10	9.828716123622623E-10	1.262099699625198E-13	9.40655441895417E-12	5.566865382192432E-12	1.4633253416067485E-12	1.4578802766029E-12	1.1759967044408792E-13	1.2620996996251981E-14
5.0	1.0	9.903117780579413E-9	7.452315959409925E-11	1.848379739478224E-11	2.2284383488054813E-14	4.166660394620346E-12	3.8529780482157004E-12	9.999995855623988E-6	9.031177805794148E-10	9.773797358679339E-10	2.612043055809008E-13	7.45682895701747E-12	5.435362864534237E-12	1.848379730193078E-12	1.8431396204352676E-12	1.9264890241078504E-13	2.612043055809008E-14
6.0	1.0	9.896313525169914E-9	7.622804634672153E-11	2.180057092947571E-11	2.7381597731633583E-14	6.185344645586959E-12	5.630475956154426E-12	9.99999384203695E-6	8.963135251699168E-10	9.720798485894655E-10	4.617229271735851E-13	6.236975136298092E-12	5.229917682151611E-12	2.180057076011109E-12	2.1751104913992453E-12	2.8152379780772133E-13	4.617229271735851E-14
7.0	1.0	9.89051037082545E-9	7.724211500610058E-11	2.459618409711499E-11	3.2169097353586386E-14	8.509320207419484E-12	7.619160973976015E-12	9.999991522848887E-6	8.90510370825455E-10	9.670193972618085E-10	7.330885697476451E-13	5.416952786833609E-12	5.009843939931169E-12	2.459618382337784E-12	2.4549909109380426E-12	3.809580486988008E-13	7.330885697476452E-14
8.0	1.0	9.88540393180776E-9	7.787846973539261E-11	2.6920750333592967E-11	3.6637878611204594E-14	1.1088810617148826E-11	9.76021024463875E-12	9.999988947827259E-6	8.854039318077647E-10	9.622052479456031E-10	1.0771535975547636E-12	4.8236426759563235E-12	4.801432194777463E-12	2.6920749927322473E-12	2.6877627873749518E-12	4.880105122319376E-13	1.0771535975547637E-13
9.0	1.0	9.880818100679639E-9	7.830193619521429E-11	2.8835923849848938E-11	4.0799084553246083E-14	1.3879765958003692E-11	1.2003240190738902E-11	9.999986161033124E-6	8.80818100679645E-10	9.576270401263105E-10	1.4929967485492528E-12	4.365049065401344E-12	4.614812754493333E-12	2.8835923283567195E-12	2.8795787900789216E-12	6.001620095369451E-13	1.492996748549253E-13
10.0	1.0	9.876645484546282E-9	7.860050074505337E-11	3.0402972354502685E-11	4.4672056252776034E-14	1.6844343036706786E-11	1.4306370297905508E-11	9.999983200329017E-6	8.766454845462861E-10	9.532683905869442E-10	1.977594704395589E-12	3.991332959933127E-12	4.452440049006226E-12	3.0402971602031245E-12	3.0365610907285812E-12	7.153185148952754E-13	1.9775947043955892E-13
11.0	1.0	9.872816354176098E-9	7.882209278340051E-11	3.167778065737546E-11	4.827856423169792E-14	1.9950579074593627E-11	1.6635493818890508E-11	9.999980097699485E-6	8.728163541761022E-10	9.491120361441954E-10	2.5264108153074542E-12	3.6747314868106436E-12	4.313321631742449E-12	3.167777969419015E-12	3.164297432735803E-12	8.317746909445255E-13	2.526410815307454E-13
12.0	1.0	9.869282306887181E-9	7.899357434334035E-11	3.2709200975842714E-11	5.164013727629953E-14	2.3171753040444185E-11	1.896327765635475E-11	9.999976879887092E-6	8.692823068871864E-10	9.451419960051752E-10	3.133885225351794E-12	3.3991752835887316E-12	4.195094355060518E-12	3.270919977925021E-12	3.2676740227364346E-12	9.481638828177376E-13	3.133885225351794E-13
13.0	1.0	9.866007552124344E-9	7.913058146054848E-11	3.3538954911389226E-11	5.4776926137113144E-14	2.6485669525784698E-11	2.1268134577575916E-11	9.999973569107397E-6	8.660075521243498E-10	9.413443040782876E-10	3.7938295066109465E-12	3.1548945170035132E-12	4.095016722490102E-12	3.3538953460585666E-12	3.350864677923204E-12	1.0634067288787958E-12	3.7938295066109465E-13
14.0	1.0	9.86296416862797E-9	7.924265300642213E-11	3.420219844873501E-11	5.77073129067507E-14	2.98739708328611E-11	2.3533272603961094E-11	9.999970183736478E-6	8.629641686279754E-10	9.377070851673279E-10	4.499736467069908E-12	2.9355968667266723E-12	4.010419872284306E-12	3.420219672478843E-12	3.4173868241144725E-12	1.1766636301980547E-12	4.499736467069908E-13
15.0	1.0	9.860129448395785E-9	7.933592576857739E-11	3.472831877967942E-11	6.044786974673823E-14	3.3321519469680615E-11	2.5745859186206274E-11	9.999966738928398E-6	8.601294483957906E-10	9.342203562069479E-10	5.2450179574202425E-12	2.7369756335100953E-12	3.938891805184891E-12	3.4728316765464554E-12	3.470180950443957E-12	1.2872929593103138E-12	5.245017957420242E-13
16.0	1.0	9.857484350914307E-9	7.941456814338115E-11	3.5141761256553204E-11	6.301346993003533E-14	3.681586287838409E-11	2.789630621582317E-11	9.99996324715059E-6	8.574843509143128E-10	9.30875735843444E-10	6.02318321425019E-12	2.555908779768176E-12	3.878333330060605E-12	3.5141758936657937E-12	3.5116932121755047E-12	1.3948153107911586E-12	6.02318321425019E-13
17.0	1.0	9.85501255905194E-9	7.948155666073108E-11	3.546279874273151E-11	6.541745498248148E-14	4.034677839789332E-11	2.997766808961082E-11	9.999959718639056E-6	8.550125590519445E-10	9.276661467214246E-10	6.827968991251083E-12	2.3900192076547188E-12	3.826955066014948E-12	3.5462796103347953E-12	3.543952338245904E-12	1.4988834044805412E-12	6.827968991251084E-13
